order,competition,tag,query,source_id,ytid,duration_s,dur,title,discovered_at
273,nba,summerleague,NBA Summer League full game 2025,7XQ5Ud4FGFE,7XQ5Ud4FGFE,2963,2963,Hansen YANG（杨瀚森）| 2025 NBA Summer League 【 Blazers vs Warrio,2026-09-11T17:23:34Z
281,nba,summerleague,NBA Summer League full game 2025,jivGD8_vyyI,jivGD8_vyyI,3417,3417,Hansen YANG（杨瀚森）| 2025 NBA Summer League 【 Blazers vs Pelica,2026-09-11T17:23:34Z
289,basketball,eurobasket,FIBA EuroBasket 2025 full game,a1OC0R9F8cc,a1OC0R9F8cc,7246,7246,Round of 16 | Germany v Portugal | Full Basketball Game | FI,2026-09-11T17:23:38Z
290,basketball,eurobasket,FIBA EuroBasket 2025 full game,6BYeUynVAqI,6BYeUynVAqI,7831,7831,Group Phase | Lithuania v Germany | Full Basketball Game | F,2026-09-11T17:23:38Z
291,basketball,eurobasket,FIBA EuroBasket 2025 full game,nsdcO1cn9-k,nsdcO1cn9-k,6545,6545,Group Phase | Serbia v Estonia | Full Basketball Game | FIBA,2026-09-11T17:23:38Z
292,basketball,eurobasket,FIBA EuroBasket 2025 full game,_-kbDE-5tTE,_-kbDE-5tTE,7766,7766,Group Phase | Israel v France | Full Basketball Game | FIBA ,2026-09-11T17:23:38Z
297,basketball,eurobasket,FIBA EuroBasket 2025 full game,iP-W_gG4vvw,iP-W_gG4vvw,7700,7700,Semi-Finals | Germany v Finland | Full Basketball Game | FIB,2026-09-11T17:23:38Z
298,basketball,eurobasket,FIBA EuroBasket 2025 full game,_PA1xPaXG4E,_PA1xPaXG4E,8441,8441,Group Phase | Czechia v Estonia | Full Basketball Game | FIB,2026-09-11T17:23:38Z
300,basketball,fibawc,FIBA World Cup 2023 full game,JFmMqC0hF68,JFmMqC0hF68,8186,8186,SEMI-FINALS: USA vs Germany | Full Basketball Game | FIBA Ba,2026-09-11T17:23:43Z
301,basketball,fibawc,FIBA World Cup 2023 full game,L2uZqxKTgVU,L2uZqxKTgVU,7881,7881,Italy vs Slovenia | Full Basketball Game | FIBA Basketball W,2026-09-11T17:23:43Z
302,basketball,fibawc,FIBA World Cup 2023 full game,KJzQ-4xASsk,KJzQ-4xASsk,7671,7671,QUARTER-FINALS: Lithuania v Serbia | Full Basketball Game | ,2026-09-11T17:23:43Z
303,basketball,fibawc,FIBA World Cup 2023 full game,AiQuoRX8ibE,AiQuoRX8ibE,9441,9441,3RD PLACE GAME: USA vs Canada | Full Basketball Game | FIBA ,2026-09-11T17:23:43Z
304,basketball,fibawc,FIBA World Cup 2023 full game,fXoZZhGQcsg,fXoZZhGQcsg,8100,8100,Australia v Germany | Full Basketball Game | FIBA Basketball,2026-09-11T17:23:43Z
305,basketball,fibawc,FIBA World Cup 2023 full game,NMgQj7fNrSQ,NMgQj7fNrSQ,9935,9935,FINAL: Germany v Serbia | Full Basketball Game | FIBA Basket,2026-09-11T17:23:43Z
306,basketball,fibawc,FIBA World Cup 2023 full game,xM8R1zoCLwk,xM8R1zoCLwk,7745,7745,Greece v USA | Full Basketball Game | FIBA Basketball World ,2026-09-11T17:23:43Z
307,basketball,fibawc,FIBA World Cup 2023 full game,IOPrVtbhAzw,IOPrVtbhAzw,7776,7776,Germany v Slovenia | Full Basketball Game | FIBA Basketball ,2026-09-11T17:23:43Z
308,basketball,fibawc,FIBA World Cup 2023 full game,LfsV-UyWoWw,LfsV-UyWoWw,8520,8520,USA v Lithuania | Full Basketball Game | FIBA Basketball Wor,2026-09-11T17:23:43Z
309,basketball,fibawc,FIBA World Cup 2023 full game,nYaqpuN-o-4,nYaqpuN-o-4,7619,7619,Canada vs France | Full Basketball Game | FIBA Basketball Wo,2026-09-11T17:23:43Z
310,basketball,fibawc,FIBA World Cup 2023 full game,aQIql-cWWrE,aQIql-cWWrE,8235,8235,France v Latvia | Full Basketball Game | FIBA Basketball Wor,2026-09-11T17:23:43Z
311,basketball,fibawc,FIBA World Cup 2023 full game,eHtvlOwQbYE,eHtvlOwQbYE,8540,8540,Spain v Canada | Full Basketball Game | FIBA Basketball Worl,2026-09-11T17:23:43Z
312,basketball,fibawc,FIBA World Cup 2023 full game,TqRiTA7QKQE,TqRiTA7QKQE,7945,7945,QUARTER-FINALS: Canada v Slovenia | Full Basketball Game | F,2026-09-11T17:23:43Z
313,basketball,fibawc,FIBA World Cup 2023 full game,OUgH-3iZnYs,OUgH-3iZnYs,7330,7330,Germany v Finland | Full Basketball Game | FIBA Basketball W,2026-09-11T17:23:43Z
314,basketball,fibawc,FIBA World Cup 2023 full game,P5L_7tOaEP4,P5L_7tOaEP4,7746,7746,Japan v Venezuela | Full Basketball Game | FIBA Basketball W,2026-09-11T17:23:43Z
316,ncaa_basketball,.,Big East basketball full game replay,tcAoKSMDBMM,tcAoKSMDBMM,3825,3825,Duke vs. Syracuse Full Game Replay | 2024-25 ACC Men's Baske,2026-09-11T17:23:47Z
317,ncaa_basketball,.,Big East basketball full game replay,WutCtBQsSe0,WutCtBQsSe0,5158,5158,1984 Big East Championship Syracuse vs. Georgetown,2026-09-11T17:23:47Z
318,ncaa_basketball,.,Big East basketball full game replay,gmupMT-ABYE,gmupMT-ABYE,6817,6817,Creighton vs DePaul Full Game Replay | 2025 Big East Women's,2026-09-11T17:23:47Z
319,ncaa_basketball,.,Big East basketball full game replay,P4C8edKglqU,P4C8edKglqU,5787,5787,Creighton vs. Marquette Full Game l 2019-20 Big East Men's B,2026-09-11T17:23:47Z
320,ncaa_basketball,.,Big East basketball full game replay,Wjee3B1M1D8,Wjee3B1M1D8,7164,7164,Syracuse vs. UConn (3/9/2006),2026-09-11T17:23:47Z
321,ncaa_basketball,.,Big East basketball full game replay,ZrgRLjCw43E,ZrgRLjCw43E,5822,5822,UConn vs. Pittsburgh - Quarterfinals - 2011 Big East Tournam,2026-09-11T17:23:47Z
322,ncaa_basketball,.,Big East basketball full game replay,jHlSZOCTUqE,jHlSZOCTUqE,4735,4735,"Villanova vs UConn - Mar 9, 2025 | Women's College Basketbal",2026-09-11T17:23:47Z
323,ncaa_basketball,.,Big East basketball full game replay,5uef8OreJPE,5uef8OreJPE,4687,4687,03/09/1996 Big East Final: #6 Georgetown Hoyas vs. #3 Connec,2026-09-11T17:23:47Z
324,ncaa_basketball,.,Big East basketball full game replay,h99AgajRo_A,h99AgajRo_A,4499,4499,Davidson vs. Gonzaga: 2008 NCAA men's first round | FULL REP,2026-09-11T17:23:47Z
325,ncaa_basketball,.,Big East basketball full game replay,pl9cPZehbQw,pl9cPZehbQw,4924,4924,Syracuse vs. Kansas: 2003 National Championship | FULL GAME,2026-09-11T17:23:47Z
326,ncaa_basketball,.,Big East basketball full game replay,qnqRcm1gyIE,qnqRcm1gyIE,4589,4589,"Men's CBB: Connecticut at Georgetown, 19-Feb-1996, full game",2026-09-11T17:23:47Z
329,ncaa_basketball,.,Big East basketball full game replay,pdw9NrFEEu4,pdw9NrFEEu4,5637,5637,NCAAB 2010 Big East Tournament Final Georgetown vs West Virg,2026-09-11T17:23:47Z
330,ncaa_basketball,.,Pac-12 basketball full game replay,gcjRus2BZ24,gcjRus2BZ24,7285,7285,WBB Stanford v UCLA Mar 3 2023 Pac 12 Tournament,2026-09-11T17:23:51Z
331,ncaa_basketball,.,Pac-12 basketball full game replay,rv2g4WcZOVQ,rv2g4WcZOVQ,6020,6020,2023/03/05 - Washington State vs #19 UCLA - PAC12 Championsh,2026-09-11T17:23:51Z
334,ncaa_basketball,.,Pac-12 basketball full game replay,MYoNbxbsgh4,MYoNbxbsgh4,2440,2440,(2) USC vs (3) UCLA | 2024 Pac-12 Tournament: Semifinals | 3,2026-09-11T17:23:51Z
335,ncaa_basketball,.,Pac-12 basketball full game replay,tpIYpVdWscY,tpIYpVdWscY,10025,10025,#2 Oregon vs #7 Arizona 2014 Pac 12 Championship | Full Game,2026-09-11T17:23:51Z
339,ncaa_basketball,.,Pac-12 basketball full game replay,aEdMm3g8-oU,aEdMm3g8-oU,4934,4934,Miami vs. Iowa State: 2022 NCAA men's Sweet 16 round | FULL ,2026-09-11T17:23:51Z
345,basketball,bleague,B.League full game,tPLwS9QjGHw,tPLwS9QjGHw,8770,8770,ALVARK TOKYO vs LEVANGA HOKKAIDO | 2025-12-20 | RESONA GROUP,2026-09-11T17:23:55Z
346,basketball,bleague,B.League full game,UPlzuJyGLX0,UPlzuJyGLX0,8465,8465,OSAKA EVESSA vs LEVANGA HOKKAIDO | 2025-11-01 | RESONA GROUP,2026-09-11T17:23:55Z
347,basketball,bleague,B.League full game,W5oT9vh6BzU,W5oT9vh6BzU,13031,13031,【LIVE配信】B.LEAGUE MANILA GAMES 2026 GAME2｜2026.9.10,2026-09-11T17:23:55Z
348,basketball,bleague,B.League full game,zriCnOD_l5Q,zriCnOD_l5Q,9359,9359,【LIVE配信】B.LEAGUE MANILA GAMES 2026 GAME1｜2026.9.9,2026-09-11T17:23:55Z
349,basketball,bleague,B.League full game,EY2arR07ols,EY2arR07ols,10041,10041,English NAGASAKI VELCA vs CHIBA JETS | 2026-05-16 | RESONA G,2026-09-11T17:23:55Z
350,basketball,bleague,B.League full game,9SUkosgj6AQ,9SUkosgj6AQ,9466,9466,SHIGA LAKES vs SAGA BALLOONERS | 2026-04-01 | RESONA GROUP B,2026-09-11T17:23:55Z
351,basketball,bleague,B.League full game,BN6y5T9N-ac,BN6y5T9N-ac,8803,8803,KOSHIGAYA ALPHAS vs CHIBA JETS | 2025-11-12 | RESONA GROUP B,2026-09-11T17:23:55Z
352,basketball,bleague,B.League full game,VnJeifBzazk,VnJeifBzazk,8221,8221,SUNROCKERS SHIBUYA vs LEVANGA HOKKAIDO | 2025-12-07 | RESONA,2026-09-11T17:23:55Z
353,basketball,bleague,B.League full game,33xyEPPL91M,33xyEPPL91M,10800,10800,[English] FINALS GAME3 NAGASAKI vs RYUKYU | 2026-05-26 | Res,2026-09-11T17:23:55Z
354,basketball,bleague,B.League full game,ac20-_0pK48,ac20-_0pK48,9115,9115,[Live] ALVARK TOKYO vs LEVANGA HOKKAIDO | 2023-03-25 | B.LEA,2026-09-11T17:23:55Z
355,basketball,bleague,B.League full game,CC6iQxOXp3I,CC6iQxOXp3I,9751,9751,LEVANGA HOKKAIDO vs KOSHIGAYA ALPHAS | 2026-01-31 | RESONA G,2026-09-11T17:23:55Z
