variant,clip,frame_index,role,visible,detected,lsd_segments,candidate_groups
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,76,38
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,76,30
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,76,30
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,76,30
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,76,30
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,89,37
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,89,37
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,89,37
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,false,89,37
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,95,55
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,95,55
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,95,55
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,95,55
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,95,44
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,95,44
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,95,44
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,95,44
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,99,57
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,99,57
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,99,57
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,99,57
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,false,64,57
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,false,64,57
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,false,64,57
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,false,64,57
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,false,64,55
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,false,64,55
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,false,64,55
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,false,64,55
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,false,74,62
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,false,74,62
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,false,74,62
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,false,74,62
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,80,45
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,80,45
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,80,45
baseline,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,80,45
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,80,37
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,80,37
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,80,37
g120_merge,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,80,37
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,109,56
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,109,56
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,109,56
g123_clahe,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,109,56
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,80,43
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,false,80,43
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,80,43
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,80,43
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,80,40
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,false,80,40
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,80,40
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,80,40
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,101,51
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,true,101,51
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,false,101,51
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,101,51
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,false,66,32
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,false,66,32
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,false,66,32
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,false,66,32
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,false,66,27
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,false,66,27
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,false,66,27
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,false,66,27
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,false,97,38
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,false,97,38
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,false,97,38
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,false,97,38
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,false,101,48
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,false,101,48
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,false,101,48
baseline,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,false,101,48
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,false,101,44
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,false,101,44
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,false,101,44
g120_merge,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,false,101,44
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,false,122,50
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,false,122,50
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,false,122,50
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,false,122,50
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,72,53
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,72,53
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,72,53
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,72,53
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,72,44
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,72,44
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,72,44
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,72,44
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,95,56
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,95,56
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,95,56
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,false,95,56
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,false,117,68
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,false,117,68
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,false,117,68
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,false,117,68
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,false,117,54
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,false,117,54
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,false,117,54
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,false,117,54
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,false,152,66
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,false,152,66
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,false,152,66
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,false,152,66
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,74,59
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,74,59
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,74,59
baseline,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,74,59
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,74,49
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,74,49
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,74,49
g120_merge,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,74,49
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,97,68
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,97,68
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,97,68
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,97,68
baseline,wnba__wnba_01,8448,baseline,true,false,75,53
baseline,wnba__wnba_01,8448,free_throw,true,false,75,53
baseline,wnba__wnba_01,8448,lane_left,true,false,75,53
baseline,wnba__wnba_01,8448,lane_right,true,true,75,53
g120_merge,wnba__wnba_01,8448,baseline,true,false,75,40
g120_merge,wnba__wnba_01,8448,free_throw,true,false,75,40
g120_merge,wnba__wnba_01,8448,lane_left,true,true,75,40
g120_merge,wnba__wnba_01,8448,lane_right,true,true,75,40
g123_clahe,wnba__wnba_01,8448,baseline,true,false,84,55
g123_clahe,wnba__wnba_01,8448,free_throw,true,false,84,55
g123_clahe,wnba__wnba_01,8448,lane_left,true,false,84,55
g123_clahe,wnba__wnba_01,8448,lane_right,true,true,84,55
baseline,wnba__wnba_01,11904,baseline,true,false,69,46
baseline,wnba__wnba_01,11904,free_throw,true,false,69,46
baseline,wnba__wnba_01,11904,lane_left,true,true,69,46
baseline,wnba__wnba_01,11904,lane_right,true,false,69,46
g120_merge,wnba__wnba_01,11904,baseline,true,false,69,36
g120_merge,wnba__wnba_01,11904,free_throw,true,false,69,36
g120_merge,wnba__wnba_01,11904,lane_left,true,true,69,36
g120_merge,wnba__wnba_01,11904,lane_right,true,false,69,36
g123_clahe,wnba__wnba_01,11904,baseline,true,false,72,44
g123_clahe,wnba__wnba_01,11904,free_throw,true,false,72,44
g123_clahe,wnba__wnba_01,11904,lane_left,true,true,72,44
g123_clahe,wnba__wnba_01,11904,lane_right,true,true,72,44
baseline,wnba__wnba_01,13632,baseline,true,false,82,52
baseline,wnba__wnba_01,13632,free_throw,true,false,82,52
baseline,wnba__wnba_01,13632,lane_left,true,false,82,52
baseline,wnba__wnba_01,13632,lane_right,true,true,82,52
g120_merge,wnba__wnba_01,13632,baseline,true,false,82,39
g120_merge,wnba__wnba_01,13632,free_throw,true,false,82,39
g120_merge,wnba__wnba_01,13632,lane_left,true,false,82,39
g120_merge,wnba__wnba_01,13632,lane_right,true,true,82,39
g123_clahe,wnba__wnba_01,13632,baseline,true,false,70,39
g123_clahe,wnba__wnba_01,13632,free_throw,true,false,70,39
g123_clahe,wnba__wnba_01,13632,lane_left,true,false,70,39
g123_clahe,wnba__wnba_01,13632,lane_right,true,true,70,39
baseline,wnba__wnba_01_1080p,360,baseline,true,false,103,60
baseline,wnba__wnba_01_1080p,360,free_throw,true,false,103,60
baseline,wnba__wnba_01_1080p,360,lane_left,true,true,103,60
baseline,wnba__wnba_01_1080p,360,lane_right,true,true,103,60
g120_merge,wnba__wnba_01_1080p,360,baseline,true,false,103,45
g120_merge,wnba__wnba_01_1080p,360,free_throw,true,false,103,45
g120_merge,wnba__wnba_01_1080p,360,lane_left,true,true,103,45
g120_merge,wnba__wnba_01_1080p,360,lane_right,true,true,103,45
g123_clahe,wnba__wnba_01_1080p,360,baseline,true,false,99,56
g123_clahe,wnba__wnba_01_1080p,360,free_throw,true,false,99,56
g123_clahe,wnba__wnba_01_1080p,360,lane_left,true,true,99,56
g123_clahe,wnba__wnba_01_1080p,360,lane_right,true,true,99,56
baseline,wnba__wnba_01_1080p,12720,baseline,true,false,73,50
baseline,wnba__wnba_01_1080p,12720,free_throw,true,true,73,50
baseline,wnba__wnba_01_1080p,12720,lane_left,true,true,73,50
baseline,wnba__wnba_01_1080p,12720,lane_right,true,false,73,50
g120_merge,wnba__wnba_01_1080p,12720,baseline,true,false,73,43
g120_merge,wnba__wnba_01_1080p,12720,free_throw,true,false,73,43
g120_merge,wnba__wnba_01_1080p,12720,lane_left,true,true,73,43
g120_merge,wnba__wnba_01_1080p,12720,lane_right,true,false,73,43
g123_clahe,wnba__wnba_01_1080p,12720,baseline,true,false,75,45
g123_clahe,wnba__wnba_01_1080p,12720,free_throw,true,true,75,45
g123_clahe,wnba__wnba_01_1080p,12720,lane_left,true,true,75,45
g123_clahe,wnba__wnba_01_1080p,12720,lane_right,true,true,75,45
baseline,wnba__wnba_01_1080p,17280,baseline,false,false,57,41
baseline,wnba__wnba_01_1080p,17280,free_throw,false,false,57,41
baseline,wnba__wnba_01_1080p,17280,lane_left,false,false,57,41
baseline,wnba__wnba_01_1080p,17280,lane_right,false,false,57,41
g120_merge,wnba__wnba_01_1080p,17280,baseline,false,false,57,36
g120_merge,wnba__wnba_01_1080p,17280,free_throw,false,false,57,36
g120_merge,wnba__wnba_01_1080p,17280,lane_left,false,false,57,36
g120_merge,wnba__wnba_01_1080p,17280,lane_right,false,false,57,36
g123_clahe,wnba__wnba_01_1080p,17280,baseline,false,false,58,42
g123_clahe,wnba__wnba_01_1080p,17280,free_throw,false,false,58,42
g123_clahe,wnba__wnba_01_1080p,17280,lane_left,false,false,58,42
g123_clahe,wnba__wnba_01_1080p,17280,lane_right,false,false,58,42
baseline,wnba__wnba_02,4416,baseline,false,false,78,53
baseline,wnba__wnba_02,4416,free_throw,false,false,78,53
baseline,wnba__wnba_02,4416,lane_left,false,false,78,53
baseline,wnba__wnba_02,4416,lane_right,false,false,78,53
g120_merge,wnba__wnba_02,4416,baseline,false,false,78,45
g120_merge,wnba__wnba_02,4416,free_throw,false,false,78,45
g120_merge,wnba__wnba_02,4416,lane_left,false,false,78,45
g120_merge,wnba__wnba_02,4416,lane_right,false,false,78,45
g123_clahe,wnba__wnba_02,4416,baseline,false,false,87,60
g123_clahe,wnba__wnba_02,4416,free_throw,false,false,87,60
g123_clahe,wnba__wnba_02,4416,lane_left,false,false,87,60
g123_clahe,wnba__wnba_02,4416,lane_right,false,false,87,60
baseline,wnba__wnba_02,18624,baseline,false,false,93,71
baseline,wnba__wnba_02,18624,free_throw,false,false,93,71
baseline,wnba__wnba_02,18624,lane_left,false,false,93,71
baseline,wnba__wnba_02,18624,lane_right,false,false,93,71
g120_merge,wnba__wnba_02,18624,baseline,false,false,93,56
g120_merge,wnba__wnba_02,18624,free_throw,false,false,93,56
g120_merge,wnba__wnba_02,18624,lane_left,false,false,93,56
g120_merge,wnba__wnba_02,18624,lane_right,false,false,93,56
g123_clahe,wnba__wnba_02,18624,baseline,false,false,97,77
g123_clahe,wnba__wnba_02,18624,free_throw,false,false,97,77
g123_clahe,wnba__wnba_02,18624,lane_left,false,false,97,77
g123_clahe,wnba__wnba_02,18624,lane_right,false,false,97,77
baseline,wnba__wnba_02,20736,baseline,false,false,78,52
baseline,wnba__wnba_02,20736,free_throw,false,false,78,52
baseline,wnba__wnba_02,20736,lane_left,false,false,78,52
baseline,wnba__wnba_02,20736,lane_right,false,false,78,52
g120_merge,wnba__wnba_02,20736,baseline,false,false,78,45
g120_merge,wnba__wnba_02,20736,free_throw,false,false,78,45
g120_merge,wnba__wnba_02,20736,lane_left,false,false,78,45
g120_merge,wnba__wnba_02,20736,lane_right,false,false,78,45
g123_clahe,wnba__wnba_02,20736,baseline,false,false,83,58
g123_clahe,wnba__wnba_02,20736,free_throw,false,false,83,58
g123_clahe,wnba__wnba_02,20736,lane_left,false,false,83,58
g123_clahe,wnba__wnba_02,20736,lane_right,false,false,83,58
baseline,wnba__wnba_04,1920,baseline,false,false,116,76
baseline,wnba__wnba_04,1920,free_throw,false,false,116,76
baseline,wnba__wnba_04,1920,lane_left,false,false,116,76
baseline,wnba__wnba_04,1920,lane_right,false,false,116,76
g120_merge,wnba__wnba_04,1920,baseline,false,false,116,62
g120_merge,wnba__wnba_04,1920,free_throw,false,false,116,62
g120_merge,wnba__wnba_04,1920,lane_left,false,false,116,62
g120_merge,wnba__wnba_04,1920,lane_right,false,false,116,62
g123_clahe,wnba__wnba_04,1920,baseline,false,false,114,76
g123_clahe,wnba__wnba_04,1920,free_throw,false,false,114,76
g123_clahe,wnba__wnba_04,1920,lane_left,false,false,114,76
g123_clahe,wnba__wnba_04,1920,lane_right,false,false,114,76
baseline,wnba__wnba_04,3648,baseline,false,false,120,72
baseline,wnba__wnba_04,3648,free_throw,false,false,120,72
baseline,wnba__wnba_04,3648,lane_left,false,false,120,72
baseline,wnba__wnba_04,3648,lane_right,false,false,120,72
g120_merge,wnba__wnba_04,3648,baseline,false,false,120,57
g120_merge,wnba__wnba_04,3648,free_throw,false,false,120,57
g120_merge,wnba__wnba_04,3648,lane_left,false,false,120,57
g120_merge,wnba__wnba_04,3648,lane_right,false,false,120,57
g123_clahe,wnba__wnba_04,3648,baseline,false,false,110,64
g123_clahe,wnba__wnba_04,3648,free_throw,false,false,110,64
g123_clahe,wnba__wnba_04,3648,lane_left,false,false,110,64
g123_clahe,wnba__wnba_04,3648,lane_right,false,false,110,64
baseline,wnba__wnba_04,23424,baseline,false,false,165,78
baseline,wnba__wnba_04,23424,free_throw,false,false,165,78
baseline,wnba__wnba_04,23424,lane_left,false,false,165,78
baseline,wnba__wnba_04,23424,lane_right,false,false,165,78
g120_merge,wnba__wnba_04,23424,baseline,false,false,165,66
g120_merge,wnba__wnba_04,23424,free_throw,false,false,165,66
g120_merge,wnba__wnba_04,23424,lane_left,false,false,165,66
g120_merge,wnba__wnba_04,23424,lane_right,false,false,165,66
g123_clahe,wnba__wnba_04,23424,baseline,false,false,228,80
g123_clahe,wnba__wnba_04,23424,free_throw,false,false,228,80
