frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
1686,23,player,-2.624504327774048,17.126251220703125,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1686,24,player,70.6282730102539,13.562628746032715,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1692,23,player,-1.3855726718902588,18.21776580810547,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1692,24,player,72.36841583251953,12.76862621307373,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1695,23,player,-1.1077312231063843,18.694517135620117,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1695,24,player,69.21073150634766,12.454243659973145,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1698,23,player,-0.9895899295806885,18.638673782348633,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1698,24,player,68.85932922363281,12.302436828613281,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1710,25,player,0.6989099979400635,22.380958557128906,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1710,26,player,80.09574127197266,-6.320786476135254,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1713,25,player,0.7432892918586731,24.674001693725586,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1713,26,player,80.19156646728516,-6.35209846496582,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1716,25,player,-0.7547023296356201,24.779754638671875,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1716,26,player,82.4241943359375,-6.562617778778076,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1728,27,player,-0.573368489742279,30.657995223999023,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1728,28,player,71.59674072265625,15.612203598022461,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1860,29,player,-2.0483968257904053,25.860301971435547,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1860,30,player,65.99224090576172,10.532120704650879,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1863,29,player,-2.2052292823791504,26.016849517822266,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1863,30,player,66.79244232177734,10.568720817565918,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
2970,31,player,5.218639373779297,21.55223846435547,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
