section_identity,measured_class,status,ledger_decoded_frames,producer_read_frames,evaluated_ticks,suspended_ticks,ledger_evaluated_frames,verdict_evaluated_frames,verdict_attempted_frames_capped,route_max_frames,reads_reconcile,schedule_status,schedule_reason,cap_status,cap_limited_span_s,available_span_s,cap_loss_s,cap_loss_over_5s,tracking_rows
cba-Dys4JeucBBk_s1533,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.10000033333333,0.0,0,6130
cba-Dys4JeucBBk_s2976,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,5696
cba-Dys4JeucBBk_s4419,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4845
cba-Dys4JeucBBk_s5862,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4467
cba-Dys4JeucBBk_s7305,1080p30,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,100.0,130.03333333333333,0.0,0,0
cba-Dys4JeucBBk_s90,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4907
cba-He_gTzSCeuQ_s1476,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4465
cba-He_gTzSCeuQ_s2862,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4279
cba-He_gTzSCeuQ_s4248,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3992
cba-He_gTzSCeuQ_s5634,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5357
cba-He_gTzSCeuQ_s7020,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4950
cba-He_gTzSCeuQ_s90,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4237
cba-MnUJJaAE92U_s5354,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4960
cba-MnUJJaAE92U_s90,UNKNOWN,tracked,3897,939,939,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5596
cba-SMI0am_NG-c_s90,UNKNOWN,tracked,3251,904,904,0,1626,1626,1500,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2013
cba-cW8E3iYZVBI_s1216,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3321
cba-cW8E3iYZVBI_s2342,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4941
cba-cW8E3iYZVBI_s3468,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4463
cba-cW8E3iYZVBI_s4594,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4511
cba-cW8E3iYZVBI_s5720,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6330
cba-cW8E3iYZVBI_s90,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6030
e3E_WApsLV4_s1222,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.10000033333333,0.0,0,4104
e3E_WApsLV4_s2354,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4472
e3E_WApsLV4_s3486,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4372
e3E_WApsLV4_s4618,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4354
e3E_WApsLV4_s5750,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4120
e3E_WApsLV4_s90,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.10000033333333,0.0,0,3251
euroleague-QmoPpJI7OCI_s10670,720p25,tracked,3251,660,660,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.04,0.0,0,1632
euroleague-QmoPpJI7OCI_s2206,720p25,tracked,3251,690,690,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.07999999999998,0.0,0,2682
euroleague-QmoPpJI7OCI_s4322,720p25,tracked,3251,930,930,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.04,0.0,0,4446
euroleague-QmoPpJI7OCI_s6438,720p25,tracked,3251,1000,1000,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.07999999999998,0.0,0,3656
euroleague-QmoPpJI7OCI_s8554,720p25,tracked,3251,870,870,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.2,0.0,0,3509
euroleague-QmoPpJI7OCI_s90,720p25,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,119.96,130.07999999999998,0.0,0,0
fiba-6BYeUynVAqI_s1600,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,6076
fiba-6BYeUynVAqI_s3110,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,6017
fiba-6BYeUynVAqI_s4620,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4231
fiba-6BYeUynVAqI_s6130,1080p30,tracked,3901,1181,911,270,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,3169
fiba-6BYeUynVAqI_s7640,1080p30,tracked,3901,641,641,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,1772
fiba-6BYeUynVAqI_s90,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,2043
gleague-TUXsofc3mgg_s1771,1080p60,tracked,7801,520,500,20,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,2344
gleague-TUXsofc3mgg_s3452,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.08333366666668,50.0,1,0
gleague-TUXsofc3mgg_s5133,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,1653
gleague-TUXsofc3mgg_s6814,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,2674
gleague-TUXsofc3mgg_s8495,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,930
gleague-TUXsofc3mgg_s90,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.01666666666668,50.0,1,0
gleague-YuLn6qQVEv0_s1254,720p25,tracked,3251,994,994,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.04,0.0,0,2171
gleague-YuLn6qQVEv0_s2418,720p25,tracked,3251,994,994,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.04,0.0,0,4907
gleague-YuLn6qQVEv0_s3582,720p25,tracked,3251,1000,1000,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.04,0.0,0,3375
gleague-YuLn6qQVEv0_s4746,720p25,tracked,3251,934,934,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.12,0.0,0,4016
gleague-YuLn6qQVEv0_s90,720p25,tracked,3251,1000,1000,0,1626,1626,1500,3000,1,KNOWN,,CAPPED,120.0,130.07999999999998,0.0,0,3429
gleague-Z9LZwPvEMTU_s1877,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,1575
gleague-Z9LZwPvEMTU_s3664,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.0666666666667,50.0,1,2353
gleague-Z9LZwPvEMTU_s5451,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,208
gleague-Z9LZwPvEMTU_s7238,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,3115
gleague-Z9LZwPvEMTU_s90,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.01666666666668,50.0,1,0
gleague-Z9LZwPvEMTU_s9025,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,937
gleague-a0FMMvE3B5k_s1722,1080p60,tracked,7801,1181,439,742,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,2513
gleague-a0FMMvE3B5k_s3354,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.08333366666668,50.0,1,2064
gleague-a0FMMvE3B5k_s4986,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.08333366666668,50.0,1,3351
gleague-a0FMMvE3B5k_s6618,1080p60,tracked,7801,1151,491,660,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.08333366666668,50.0,1,1661
gleague-a0FMMvE3B5k_s8250,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.0666666666667,50.0,1,0
gleague-a0FMMvE3B5k_s90,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.01666666666668,50.0,1,0
gleague-cl9uwvP1Fe8_s1659,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,902
gleague-cl9uwvP1Fe8_s3228,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,2603
gleague-cl9uwvP1Fe8_s4797,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.01666666666668,50.0,1,0
gleague-cl9uwvP1Fe8_s6366,1080p60,tracked,7801,560,500,60,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.08333366666668,50.0,1,1929
gleague-cl9uwvP1Fe8_s7935,1080p60,tracked,7801,500,500,0,1301,1301,500,3000,1,KNOWN,,CAPPED,50.0,130.01666666666668,50.0,1,2568
gleague-cl9uwvP1Fe8_s90,1080p60,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,50.0,130.01666666666668,50.0,1,0
gleague-dd_QSkmUWyU_s1675,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,6326
gleague-dd_QSkmUWyU_s3260,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,6828
gleague-dd_QSkmUWyU_s4845,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,3946
gleague-dd_QSkmUWyU_s6430,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4880
gleague-dd_QSkmUWyU_s8015,1080p30,tracked,3901,870,870,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.10000033333333,0.0,0,3421
gleague-dd_QSkmUWyU_s90,1080p30,thin,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,ball_table_absent,CAPPED,100.0,130.03333333333333,0.0,0,0
gleague-iUn3klfUOkM_s1390,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,4427
gleague-iUn3klfUOkM_s2690,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,4163
gleague-iUn3klfUOkM_s3990,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.12999966666666,0.0,0,5549
gleague-iUn3klfUOkM_s90,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,3637
gleague-oA9IHkrPNws_s1190,720p60,tracked,7793,500,500,0,1299,1299,500,3000,1,KNOWN,,CAPPED,50.05,130.0632613319589,49.95,1,2034
gleague-oA9IHkrPNws_s2290,720p60,tracked,7793,500,500,0,1299,1299,500,3000,1,KNOWN,,CAPPED,50.05,130.06326133195412,49.95,1,3008
gleague-oA9IHkrPNws_s3390,720p60,tracked,7794,500,500,0,1299,1299,500,3000,1,KNOWN,,CAPPED,50.05,130.02989433262138,49.95,1,1735
gleague-oA9IHkrPNws_s4490,720p60,tracked,7794,500,500,0,1299,1299,500,3000,1,KNOWN,,CAPPED,50.05,130.0966273326293,49.95,1,1935
gleague-oA9IHkrPNws_s90,720p60,tracked,7793,500,500,0,1299,1299,500,3000,1,KNOWN,,CAPPED,50.05,130.04658333193677,49.95,1,2558
mn5dZWT3HBQ_s1785,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4991
mn5dZWT3HBQ_s3480,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4481
mn5dZWT3HBQ_s90,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5289
