section_identity,retained,retention_status,receiver_path,pod_source_path,bytes,pc_sha256,pod_sha256,digest_match,probe_status,measured_width,measured_height,codec_name,avg_frame_rate_rational,r_frame_rate_rational,measured_fps,decoded_pts_count,first_pts,last_pts,sealed_start_pts,sealed_stop_pts,sealed_start_frame,sealed_stop_frame,sealed_source_frames,pod_measured_height,pod_measured_fps,probe_agreement
I33o9UnUe1A_s2920,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
I33o9UnUe1A_s4335,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
I33o9UnUe1A_s5750,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
I33o9UnUe1A_s7165,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
I33o9UnUe1A_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
LS2gHvzAW9Y_s1776,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
LS2gHvzAW9Y_s3462,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
LS2gHvzAW9Y_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
OdGDLXvM76w_s1299,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
OdGDLXvM76w_s2508,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
OdGDLXvM76w_s3717,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
OdGDLXvM76w_s4926,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
OdGDLXvM76w_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
SNeyXC57K1Y_s1785,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__SNeyXC57K1Y_s1785.mp4,/workspace/data/footage_corpus/wnba__SNeyXC57K1Y_s1785.mp4,25315163,d4171c42c68491dc2bc0cd04969bd102a14fd1b3486f01864ed895818a232394,d4171c42c68491dc2bc0cd04969bd102a14fd1b3486f01864ed895818a232394,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
SNeyXC57K1Y_s3480,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__SNeyXC57K1Y_s3480.mp4,/workspace/data/footage_corpus/wnba__SNeyXC57K1Y_s3480.mp4,29386483,31ab6eab75f45225adc125517259b6125172ecab7eac8c7f3caa242d323618fd,31ab6eab75f45225adc125517259b6125172ecab7eac8c7f3caa242d323618fd,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,130.0299,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
SNeyXC57K1Y_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TcRGoJEF-Us_s1328,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__TcRGoJEF-Us_s1328.mp4,/workspace/data/footage_corpus/wnba__TcRGoJEF-Us_s1328.mp4,22245422,4eba52f0d49cb54343d5fc82a7c10f496262ec624fb0b7203e56915cb3a0b356,4eba52f0d49cb54343d5fc82a7c10f496262ec624fb0b7203e56915cb3a0b356,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,130.0299,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
TcRGoJEF-Us_s2566,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__TcRGoJEF-Us_s2566.mp4,/workspace/data/footage_corpus/wnba__TcRGoJEF-Us_s2566.mp4,20653663,95ed3077a26226b4043e6e0e84c920efc2a24ece6a29ac1ba39f64a1fd8a7ac6,95ed3077a26226b4043e6e0e84c920efc2a24ece6a29ac1ba39f64a1fd8a7ac6,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
TcRGoJEF-Us_s3804,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__TcRGoJEF-Us_s3804.mp4,/workspace/data/footage_corpus/wnba__TcRGoJEF-Us_s3804.mp4,21324442,8d99a3c6963e76ee8201b717b790183740d646046e894d4446109ff0591dbff7,8d99a3c6963e76ee8201b717b790183740d646046e894d4446109ff0591dbff7,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3898,0.0,130.063267,64.031633,66.031633,1920,1979,59,720,29.97002997002997,AGREE
TcRGoJEF-Us_s5042,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__TcRGoJEF-Us_s5042.mp4,/workspace/data/footage_corpus/wnba__TcRGoJEF-Us_s5042.mp4,19356129,e278a88f64eb0916f6a516488a3fa188ec381b39487997f95c79c6861d7cc69d,e278a88f64eb0916f6a516488a3fa188ec381b39487997f95c79c6861d7cc69d,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
TcRGoJEF-Us_s90,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__TcRGoJEF-Us_s90.mp4,/workspace/data/footage_corpus/wnba__TcRGoJEF-Us_s90.mp4,24046858,3d6b47978f7dcf24f03a602a58a805b92bbc9327ee8ab892cd7ee1cd7ccd84a7,3d6b47978f7dcf24f03a602a58a805b92bbc9327ee8ab892cd7ee1cd7ccd84a7,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,130.0299,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
a2pEHm9YzFo_s1501,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__a2pEHm9YzFo_s1501.mp4,/workspace/data/footage_corpus/wnba__a2pEHm9YzFo_s1501.mp4,38559120,c80f643bfdac45093d8866caccb23c4504eb78f20b1326d487c9621b29c06af3,c80f643bfdac45093d8866caccb23c4504eb78f20b1326d487c9621b29c06af3,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
a2pEHm9YzFo_s2912,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__a2pEHm9YzFo_s2912.mp4,/workspace/data/footage_corpus/wnba__a2pEHm9YzFo_s2912.mp4,49700522,2967e4c3f3b06d4e099a15b74b75ca76ab90ae5b909f853f9ec0ccb3855619ce,2967e4c3f3b06d4e099a15b74b75ca76ab90ae5b909f853f9ec0ccb3855619ce,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.033333,64.0,66.0,1920,1980,60,1080,30.0,AGREE
a2pEHm9YzFo_s4323,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__a2pEHm9YzFo_s4323.mp4,/workspace/data/footage_corpus/wnba__a2pEHm9YzFo_s4323.mp4,45645807,54539f7b88e926c9d88d130ae443277d167a3118b0c7b58f5d554fe6d6b985ca,54539f7b88e926c9d88d130ae443277d167a3118b0c7b58f5d554fe6d6b985ca,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.033333,64.0,66.0,1920,1980,60,1080,30.0,AGREE
a2pEHm9YzFo_s90,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__a2pEHm9YzFo_s90.mp4,/workspace/data/footage_corpus/wnba__a2pEHm9YzFo_s90.mp4,56558338,e72553dcc4bb3508b9837aa7739af2cbe7afec8b630cf7b75429ea0b6a566be8,e72553dcc4bb3508b9837aa7739af2cbe7afec8b630cf7b75429ea0b6a566be8,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s1533,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s1533.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s1533.mp4,71606033,775dcff4120cab432a3642181def178321f094276ef6d649cb82f2450ea26b60,775dcff4120cab432a3642181def178321f094276ef6d649cb82f2450ea26b60,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.066667,64.033333,66.033333,1921,1981,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s2976,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s2976.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s2976.mp4,73863755,d133408a48346ab5a57d3b3b4aa9bed64b73695f1c2315bcc675bcf548044de4,d133408a48346ab5a57d3b3b4aa9bed64b73695f1c2315bcc675bcf548044de4,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s4419,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s4419.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s4419.mp4,75071914,948221a2adf038533f590f91f8cea9b765c04c01f28e452d04ce7332627d7d0b,948221a2adf038533f590f91f8cea9b765c04c01f28e452d04ce7332627d7d0b,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s5862,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s5862.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s5862.mp4,72545511,dd303badf87d6c9254cb713ca0ff99eaddf5919ccebba40a1edf760aba697b5e,dd303badf87d6c9254cb713ca0ff99eaddf5919ccebba40a1edf760aba697b5e,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s7305,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s7305.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s7305.mp4,57495961,7ed65f4d4ff6e0d589236b764f41f67bda026037108130945ae173afe4cb3ba2,7ed65f4d4ff6e0d589236b764f41f67bda026037108130945ae173afe4cb3ba2,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-Dys4JeucBBk_s90,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\basketball__cba-Dys4JeucBBk_s90.mp4,/workspace/data/footage_corpus/basketball__cba-Dys4JeucBBk_s90.mp4,64694243,69f61e6bbb7a3c52fcab5b98c9d2f7154326cbafd05547a470d1c386d1ba7677,69f61e6bbb7a3c52fcab5b98c9d2f7154326cbafd05547a470d1c386d1ba7677,1,OK,1920,1080,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,1080,30.0,AGREE
cba-He_gTzSCeuQ_s1476,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-He_gTzSCeuQ_s2862,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-He_gTzSCeuQ_s4248,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-He_gTzSCeuQ_s5634,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-He_gTzSCeuQ_s7020,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-He_gTzSCeuQ_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-MnUJJaAE92U_s5354,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-MnUJJaAE92U_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-SMI0am_NG-c_s90,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s1216,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s2342,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s3468,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s4594,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s5720,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
