section_identity,competition,canonical_game,section_offset_s,terminal_utc,fetch_utc,status,requested_format_id,fetch_receipt_status,retained,retention_status,rows,decoded_frames,evaluated_frames,stride,source_height,source_fps,source_duration,probe_status,degenerate,resumed_partial,repeat_attempts_in_window,attempt_id
I33o9UnUe1A_s5750,nba,I33o9UnUe1A,5750,2026-09-11T17:44:19Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3011,3901,1301,3,720,30.0,131.36666666666667,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s5750@1789148659
I33o9UnUe1A_s7165,nba,I33o9UnUe1A,7165,2026-09-11T17:44:59Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4323,3901,1301,3,720,30.0,132.03333333333333,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s7165@1789148699
I33o9UnUe1A_s90,nba,I33o9UnUe1A,90,2026-09-11T17:44:19Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5224,3901,1301,3,720,30.0,134.33333333333334,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s90@1789148659
LS2gHvzAW9Y_s1776,wnba,LS2gHvzAW9Y,1776,2026-09-11T17:49:02Z,2026-09-11T17:43:47Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5105,3897,1299,3,720,29.97002997002997,130.56376666666668,SOURCE_NOT_RETAINED,False,False,0,LS2gHvzAW9Y_s1776@1789148942
LS2gHvzAW9Y_s3462,wnba,LS2gHvzAW9Y,3462,2026-09-11T17:51:44Z,2026-09-11T17:43:47Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,2571,3897,1299,3,720,29.97002997002997,133.50003333333333,SOURCE_NOT_RETAINED,False,False,0,LS2gHvzAW9Y_s3462@1789149104
LS2gHvzAW9Y_s90,wnba,LS2gHvzAW9Y,90,2026-09-11T17:51:44Z,2026-09-11T17:43:47Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,2192,3897,1299,3,720,29.97002997002997,131.73160000000001,SOURCE_NOT_RETAINED,False,False,0,LS2gHvzAW9Y_s90@1789149104
OdGDLXvM76w_s1299,wnba,OdGDLXvM76w,1299,2026-09-11T17:48:21Z,2026-09-11T17:40:08Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,2304,3901,1301,3,1080,30.0,133.53333333333333,SOURCE_NOT_RETAINED,False,False,0,OdGDLXvM76w_s1299@1789148901
OdGDLXvM76w_s2508,wnba,OdGDLXvM76w,2508,2026-09-11T17:48:41Z,2026-09-11T17:40:08Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5255,3901,1301,3,1080,30.0,132.73333333333332,SOURCE_NOT_RETAINED,False,False,0,OdGDLXvM76w_s2508@1789148921
OdGDLXvM76w_s3717,wnba,OdGDLXvM76w,3717,2026-09-11T17:50:03Z,2026-09-11T17:40:08Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3294,3901,1301,3,1080,30.0,131.63333333333333,SOURCE_NOT_RETAINED,False,False,0,OdGDLXvM76w_s3717@1789149003
OdGDLXvM76w_s4926,wnba,OdGDLXvM76w,4926,2026-09-11T17:50:23Z,2026-09-11T17:40:08Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3720,3901,1301,3,1080,30.0,130.96666666666667,SOURCE_NOT_RETAINED,False,False,0,OdGDLXvM76w_s4926@1789149023
OdGDLXvM76w_s90,wnba,OdGDLXvM76w,90,2026-09-11T17:50:23Z,2026-09-11T17:40:08Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,2968,3901,1301,3,1080,30.0,132.43333333333334,SOURCE_NOT_RETAINED,False,False,0,OdGDLXvM76w_s90@1789149023
SNeyXC57K1Y_s1785,wnba,SNeyXC57K1Y,1785,2026-09-11T17:54:26Z,2026-09-11T17:45:02Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4582,3897,1299,3,720,29.97002997002997,135.7356,OK,False,False,0,SNeyXC57K1Y_s1785@1789149266
SNeyXC57K1Y_s3480,wnba,SNeyXC57K1Y,3480,2026-09-11T17:54:47Z,2026-09-11T17:45:02Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4027,3897,1299,3,720,29.97002997002997,136.2361,OK,False,False,0,SNeyXC57K1Y_s3480@1789149287
SNeyXC57K1Y_s90,wnba,SNeyXC57K1Y,90,2026-09-11T17:54:47Z,2026-09-11T17:45:02Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3473,3897,1299,3,720,29.97002997002997,130.16336666666666,SOURCE_NOT_RETAINED,False,False,0,SNeyXC57K1Y_s90@1789149287
TcRGoJEF-Us_s1328,wnba,TcRGoJEF-Us,1328,2026-09-11T18:30:28Z,2026-09-11T18:22:38Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4197,3897,1299,3,720,29.97002997002997,130.89743333333334,OK,False,False,0,TcRGoJEF-Us_s1328@1789151428
TcRGoJEF-Us_s2566,wnba,TcRGoJEF-Us,2566,2026-09-11T18:30:07Z,2026-09-11T18:22:38Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2974,3897,1299,3,720,29.97002997002997,134.16736666666668,OK,False,False,0,TcRGoJEF-Us_s2566@1789151407
TcRGoJEF-Us_s3804,wnba,TcRGoJEF-Us,3804,2026-09-11T18:30:28Z,2026-09-11T18:22:38Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5237,3898,1300,3,720,29.97002997002997,132.8327,OK,False,False,0,TcRGoJEF-Us_s3804@1789151428
TcRGoJEF-Us_s5042,wnba,TcRGoJEF-Us,5042,2026-09-11T18:31:08Z,2026-09-11T18:22:38Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3088,3897,1299,3,720,29.97002997002997,131.96516666666668,OK,False,False,0,TcRGoJEF-Us_s5042@1789151468
TcRGoJEF-Us_s90,wnba,TcRGoJEF-Us,90,2026-09-11T18:30:48Z,2026-09-11T18:22:38Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3530,3897,1299,3,720,29.97002997002997,135.20173333333332,OK,False,False,0,TcRGoJEF-Us_s90@1789151448
a2pEHm9YzFo_s1501,wnba,a2pEHm9YzFo,1501,2026-09-11T18:33:29Z,2026-09-11T18:24:04Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3527,3901,1301,3,1080,30.0,134.2,OK,False,False,0,a2pEHm9YzFo_s1501@1789151609
a2pEHm9YzFo_s2912,wnba,a2pEHm9YzFo,2912,2026-09-11T18:36:30Z,2026-09-11T18:24:04Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4094,3901,1301,3,1080,30.0,133.2,OK,False,False,0,a2pEHm9YzFo_s2912@1789151790
a2pEHm9YzFo_s4323,wnba,a2pEHm9YzFo,4323,2026-09-11T18:36:50Z,2026-09-11T18:24:04Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5219,3901,1301,3,1080,30.0,131.2,OK,False,False,0,a2pEHm9YzFo_s4323@1789151810
a2pEHm9YzFo_s90,wnba,a2pEHm9YzFo,90,2026-09-11T18:36:30Z,2026-09-11T18:24:04Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1520,3901,1301,3,1080,30.0,133.5,OK,False,False,0,a2pEHm9YzFo_s90@1789151790
cba-Dys4JeucBBk_s1533,basketball,Dys4JeucBBk,1533,2026-09-11T18:27:25Z,2026-09-11T18:15:55Z,tracked,270,BOUND,1,RETAINED_OFF_POD,6130,3901,1301,3,1080,30.0,133.03333333333333,OK,False,False,0,cba-Dys4JeucBBk_s1533@1789151245
cba-Dys4JeucBBk_s2976,basketball,Dys4JeucBBk,2976,2026-09-11T18:27:05Z,2026-09-11T18:15:55Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5696,3901,1301,3,1080,30.0,131.03333333333333,OK,False,False,0,cba-Dys4JeucBBk_s2976@1789151225
cba-Dys4JeucBBk_s4419,basketball,Dys4JeucBBk,4419,2026-09-11T18:26:45Z,2026-09-11T18:15:55Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4845,3901,1301,3,1080,30.0,134.03333333333333,OK,False,False,0,cba-Dys4JeucBBk_s4419@1789151205
cba-Dys4JeucBBk_s5862,basketball,Dys4JeucBBk,5862,2026-09-11T18:26:24Z,2026-09-11T18:15:55Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4467,3901,1301,3,1080,30.0,132.03333333333333,OK,False,False,0,cba-Dys4JeucBBk_s5862@1789151184
cba-Dys4JeucBBk_s7305,basketball,Dys4JeucBBk,7305,2026-09-11T18:20:40Z,2026-09-11T18:15:55Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,30.0,135.03333333333333,OK,True,False,0,cba-Dys4JeucBBk_s7305@1789150840
cba-Dys4JeucBBk_s90,basketball,Dys4JeucBBk,90,2026-09-11T18:27:05Z,2026-09-11T18:15:55Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4907,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,cba-Dys4JeucBBk_s90@1789151225
cba-He_gTzSCeuQ_s1476,basketball,He_gTzSCeuQ,1476,2026-09-11T17:02:12Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4465,3897,1299,3,720,29.97002997002997,134.56776666666667,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s1476@1789146132
cba-He_gTzSCeuQ_s2862,basketball,He_gTzSCeuQ,2862,2026-09-11T17:03:12Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4279,3897,1299,3,720,29.97002997002997,134.20073333333335,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s2862@1789146192
cba-He_gTzSCeuQ_s4248,basketball,He_gTzSCeuQ,4248,2026-09-11T17:03:53Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3992,3897,1299,3,720,29.97002997002997,133.80033333333333,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s4248@1789146233
cba-He_gTzSCeuQ_s5634,basketball,He_gTzSCeuQ,5634,2026-09-11T17:04:13Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5357,3897,1299,3,720,29.97002997002997,133.4333,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s5634@1789146253
cba-He_gTzSCeuQ_s7020,basketball,He_gTzSCeuQ,7020,2026-09-11T17:04:54Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4950,3897,1299,3,720,29.97002997002997,133.0329,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s7020@1789146294
cba-He_gTzSCeuQ_s90,basketball,He_gTzSCeuQ,90,2026-09-11T17:04:54Z,2026-09-11T16:56:13Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4237,3897,1299,3,720,29.97002997002997,134.96816666666666,SOURCE_NOT_RETAINED,False,False,0,cba-He_gTzSCeuQ_s90@1789146294
cba-MnUJJaAE92U_s5354,basketball,MnUJJaAE92U,5354,2026-09-11T17:04:54Z,2026-09-11T16:54:27Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4960,3897,1299,3,720,29.97002997002997,133.70023333333333,SOURCE_NOT_RETAINED,False,False,0,cba-MnUJJaAE92U_s5354@1789146294
cba-MnUJJaAE92U_s90,basketball,MnUJJaAE92U,90,2026-09-11T17:05:34Z,2026-09-11T16:54:27Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5596,3897,1299,3,720,29.97002997002997,134.96816666666666,SOURCE_NOT_RETAINED,False,False,0,cba-MnUJJaAE92U_s90@1789146334
cba-SMI0am_NG-c_s90,basketball,SMI0am_NG-c,90,2026-09-11T17:09:16Z,2026-09-11T16:50:06Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,2013,3251,1626,2,1080,25.0,130.44,SOURCE_NOT_RETAINED,False,False,0,cba-SMI0am_NG-c_s90@1789146556
cba-cW8E3iYZVBI_s1216,basketball,cW8E3iYZVBI,1216,2026-09-11T17:06:55Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3321,3897,1299,3,720,29.97002997002997,130.7306,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s1216@1789146415
cba-cW8E3iYZVBI_s2342,basketball,cW8E3iYZVBI,2342,2026-09-11T17:07:55Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4941,3897,1299,3,720,29.97002997002997,135.50203333333334,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s2342@1789146475
cba-cW8E3iYZVBI_s3468,basketball,cW8E3iYZVBI,3468,2026-09-11T17:07:55Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4463,3897,1299,3,720,29.97002997002997,132.56576666666666,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s3468@1789146475
cba-cW8E3iYZVBI_s4594,basketball,cW8E3iYZVBI,4594,2026-09-11T17:08:56Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4511,3897,1299,3,720,29.97002997002997,131.49803333333332,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s4594@1789146536
cba-cW8E3iYZVBI_s5720,basketball,cW8E3iYZVBI,5720,2026-09-11T17:08:56Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,6330,3897,1299,3,720,29.97002997002997,135.0349,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s5720@1789146536
cba-cW8E3iYZVBI_s90,basketball,cW8E3iYZVBI,90,2026-09-11T17:08:56Z,2026-09-11T17:01:49Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,6030,3897,1299,3,720,29.97002997002997,133.39993333333334,SOURCE_NOT_RETAINED,False,False,0,cba-cW8E3iYZVBI_s90@1789146536
e3E_WApsLV4_s1222,wnba,e3E_WApsLV4,1222,2026-09-11T19:08:13Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4104,3901,1301,3,720,30.0,131.53333333333333,OK,False,False,0,e3E_WApsLV4_s1222@1789153693
e3E_WApsLV4_s2354,wnba,e3E_WApsLV4,2354,2026-09-11T19:08:33Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4472,3901,1301,3,720,30.0,132.96666666666667,OK,False,False,0,e3E_WApsLV4_s2354@1789153713
e3E_WApsLV4_s3486,wnba,e3E_WApsLV4,3486,2026-09-11T19:09:54Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4372,3901,1301,3,720,30.0,132.96666666666667,OK,False,False,0,e3E_WApsLV4_s3486@1789153794
e3E_WApsLV4_s4618,wnba,e3E_WApsLV4,4618,2026-09-11T19:10:14Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4354,3901,1301,3,720,30.0,134.8,OK,False,False,0,e3E_WApsLV4_s4618@1789153814
e3E_WApsLV4_s5750,wnba,e3E_WApsLV4,5750,2026-09-11T19:10:14Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4120,3901,1301,3,720,30.0,134.0,OK,False,False,0,e3E_WApsLV4_s5750@1789153814
e3E_WApsLV4_s90,wnba,e3E_WApsLV4,90,2026-09-11T19:10:14Z,2026-09-11T19:03:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,3251,3901,1301,3,720,30.0,132.33333333333334,OK,False,False,0,e3E_WApsLV4_s90@1789153814
euroleague-QmoPpJI7OCI_s10670,basketball,QmoPpJI7OCI,10670,2026-09-11T17:51:03Z,2026-09-11T17:46:10Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1632,3251,1626,2,720,25.0,135.04,OK,False,False,0,euroleague-QmoPpJI7OCI_s10670@1789149063
euroleague-QmoPpJI7OCI_s2206,basketball,QmoPpJI7OCI,2206,2026-09-11T17:51:03Z,2026-09-11T17:46:10Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2682,3251,1626,2,720,25.0,134.4,OK,False,False,0,euroleague-QmoPpJI7OCI_s2206@1789149063
euroleague-QmoPpJI7OCI_s4322,basketball,QmoPpJI7OCI,4322,2026-09-11T17:52:45Z,2026-09-11T17:46:10Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4446,3251,1626,2,720,25.0,130.72,OK,False,False,0,euroleague-QmoPpJI7OCI_s4322@1789149165
euroleague-QmoPpJI7OCI_s6438,basketball,QmoPpJI7OCI,6438,2026-09-11T17:53:45Z,2026-09-11T17:46:10Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3656,3251,1626,2,720,25.0,132.16,OK,False,False,0,euroleague-QmoPpJI7OCI_s6438@1789149225
euroleague-QmoPpJI7OCI_s8554,basketball,QmoPpJI7OCI,8554,2026-09-11T17:54:05Z,2026-09-11T17:46:10Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3509,3251,1626,2,720,25.0,133.6,OK,False,False,0,euroleague-QmoPpJI7OCI_s8554@1789149245
euroleague-QmoPpJI7OCI_s90,basketball,QmoPpJI7OCI,90,2026-09-11T17:50:23Z,2026-09-11T17:46:10Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,720,25.0,132.96,OK,True,False,0,euroleague-QmoPpJI7OCI_s90@1789149023
fiba-6BYeUynVAqI_s1600,basketball,6BYeUynVAqI,1600,2026-09-11T17:58:49Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,6076,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s1600@1789149529
fiba-6BYeUynVAqI_s3110,basketball,6BYeUynVAqI,3110,2026-09-11T17:59:30Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,6017,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s3110@1789149570
fiba-6BYeUynVAqI_s4620,basketball,6BYeUynVAqI,4620,2026-09-11T18:00:31Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4231,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s4620@1789149631
fiba-6BYeUynVAqI_s6130,basketball,6BYeUynVAqI,6130,2026-09-11T18:00:51Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3169,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s6130@1789149651
fiba-6BYeUynVAqI_s7640,basketball,6BYeUynVAqI,7640,2026-09-11T17:59:10Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1772,3901,1301,3,1080,30.0,136.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s7640@1789149550
fiba-6BYeUynVAqI_s90,basketball,6BYeUynVAqI,90,2026-09-11T18:01:31Z,2026-09-11T17:48:48Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2043,3901,1301,3,1080,30.0,135.03333333333333,OK,False,False,0,fiba-6BYeUynVAqI_s90@1789149691
gleague-TUXsofc3mgg_s1771,basketball,TUXsofc3mgg,1771,2026-09-11T18:09:15Z,2026-09-11T18:03:16Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2344,7801,1301,6,1080,60.0,131.01666666666668,OK,False,False,0,gleague-TUXsofc3mgg_s1771@1789150155
gleague-TUXsofc3mgg_s3452,basketball,TUXsofc3mgg,3452,2026-09-11T18:06:14Z,2026-09-11T18:03:16Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,132.01666666666668,OK,True,False,0,gleague-TUXsofc3mgg_s3452@1789149974
gleague-TUXsofc3mgg_s5133,basketball,TUXsofc3mgg,5133,2026-09-11T18:09:55Z,2026-09-11T18:03:16Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1653,7801,1301,6,1080,60.0,133.01666666666668,OK,False,False,0,gleague-TUXsofc3mgg_s5133@1789150195
gleague-TUXsofc3mgg_s6814,basketball,TUXsofc3mgg,6814,2026-09-11T18:10:15Z,2026-09-11T18:03:16Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2674,7801,1301,6,1080,60.0,134.01666666666668,OK,False,False,0,gleague-TUXsofc3mgg_s6814@1789150215
gleague-TUXsofc3mgg_s8495,basketball,TUXsofc3mgg,8495,2026-09-11T18:10:15Z,2026-09-11T18:03:16Z,tracked,270,BOUND,1,RETAINED_OFF_POD,930,7801,1301,6,1080,60.0,135.01666666666668,OK,False,False,0,gleague-TUXsofc3mgg_s8495@1789150215
gleague-TUXsofc3mgg_s90,basketball,TUXsofc3mgg,90,2026-09-11T18:07:34Z,2026-09-11T18:03:16Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,135.01666666666668,OK,True,False,0,gleague-TUXsofc3mgg_s90@1789150054
gleague-YuLn6qQVEv0_s1254,basketball,YuLn6qQVEv0,1254,2026-09-11T18:26:03Z,2026-09-11T18:20:09Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2171,3251,1626,2,720,25.0,134.12,OK,False,False,0,gleague-YuLn6qQVEv0_s1254@1789151163
gleague-YuLn6qQVEv0_s2418,basketball,YuLn6qQVEv0,2418,2026-09-11T18:26:24Z,2026-09-11T18:20:09Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4907,3251,1626,2,720,25.0,132.52,OK,False,False,0,gleague-YuLn6qQVEv0_s2418@1789151184
gleague-YuLn6qQVEv0_s3582,basketball,YuLn6qQVEv0,3582,2026-09-11T18:27:45Z,2026-09-11T18:20:09Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3375,3251,1626,2,720,25.0,130.92,OK,False,False,0,gleague-YuLn6qQVEv0_s3582@1789151265
gleague-YuLn6qQVEv0_s4746,basketball,YuLn6qQVEv0,4746,2026-09-11T18:29:47Z,2026-09-11T18:20:09Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4016,3251,1626,2,720,25.0,134.28,OK,False,False,0,gleague-YuLn6qQVEv0_s4746@1789151387
gleague-YuLn6qQVEv0_s90,basketball,YuLn6qQVEv0,90,2026-09-11T18:30:07Z,2026-09-11T18:20:09Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3429,3251,1626,2,720,25.0,130.76,OK,False,False,0,gleague-YuLn6qQVEv0_s90@1789151407
gleague-Z9LZwPvEMTU_s1877,basketball,Z9LZwPvEMTU,1877,2026-09-11T18:05:13Z,2026-09-11T17:59:29Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1575,7801,1301,6,1080,60.0,132.01666666666668,OK,False,False,0,gleague-Z9LZwPvEMTU_s1877@1789149913
gleague-Z9LZwPvEMTU_s3664,basketball,Z9LZwPvEMTU,3664,2026-09-11T18:06:14Z,2026-09-11T17:59:29Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2353,7801,1301,6,1080,60.0,134.01666666666668,OK,False,False,0,gleague-Z9LZwPvEMTU_s3664@1789149974
gleague-Z9LZwPvEMTU_s5451,basketball,Z9LZwPvEMTU,5451,2026-09-11T18:05:53Z,2026-09-11T17:59:29Z,tracked,270,BOUND,1,RETAINED_OFF_POD,208,7801,1301,6,1080,60.0,131.01666666666668,OK,False,False,0,gleague-Z9LZwPvEMTU_s5451@1789149953
gleague-Z9LZwPvEMTU_s7238,basketball,Z9LZwPvEMTU,7238,2026-09-11T18:06:54Z,2026-09-11T17:59:29Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3115,7801,1301,6,1080,60.0,133.01666666666668,OK,False,False,0,gleague-Z9LZwPvEMTU_s7238@1789150014
