section,arm,eval_index,reason,loss,margin,n_in_frame,n_hypotheses,n_fit_segments,n_heldout_segments,heldout_digest,forward_in_px,n_forward_in,forward_all_px,feet,feet_inside,boot_spread_p95_ft
S2,G352A,001139,valid,20.864,0.465,000398,111552,000230,000072,2c9d99a8450827a0,43.821,000398,43.821,000001,000001,0.358
S2,G352A,001675,valid,20.594,0.017,000398,099624,000240,000080,6d954e32e95c15cb,48.000,000398,48.000,000001,000001,0.424
S2,G352A,002211,valid,20.937,0.246,000398,103668,000229,000092,952d6f5efe974d26,34.380,000398,34.380,000001,000001,0.236
S2,G352A,002747,valid,20.698,0.065,000398,123824,000235,000082,d1678232a50b9bcd,32.407,000398,32.407,000001,000000,0.179
S2,G352A,003283,valid,20.959,1.250,000398,121704,000206,000096,25ebb5ab0e036b4c,22.829,000398,22.829,000001,000000,0.224
S2,G352A,003819,valid,21.679,0.046,000398,094660,000237,000082,81f429c118bdc585,30.757,000398,30.757,000001,000001,0.471
S2,G352A,004355,valid,21.765,0.148,000398,092388,000241,000070,23b0a820a72500bc,28.650,000398,28.650,000001,000000,0.293
S2,G352A,004891,valid,20.669,0.099,000398,130156,000235,000074,ea50c6d9d099e4aa,33.973,000398,33.973,000001,000001,0.293
S2,G352A,005427,valid,19.740,0.219,000398,118156,000239,000073,583db719fcc350d1,37.073,000398,37.073,000001,000001,0.256
S2,G352A,005963,valid,21.380,0.114,000398,096808,000228,000081,79528357200b2326,40.405,000398,40.405,000001,000000,0.190
S2,G352A,006499,valid,22.357,0.021,000398,103048,000248,000078,e07e36b386cda19f,26.740,000398,26.740,000001,000000,0.754
S2,G352A,007035,valid,20.126,0.232,000398,116960,000240,000077,adf4b21a1d7bf163,32.874,000398,32.874,000001,000000,0.170
S2,G352A,007571,valid,20.356,0.035,000398,111760,000252,000063,3be503e7d0eee873,36.567,000398,36.567,000001,000000,0.194
S2,G352B,000067,valid,21.656,0.022,000398,291708,000609,000088,29179eb73e984412,29.686,000398,29.686,000001,000000,0.133
S2,G352B,001407,valid,21.207,0.070,000398,252708,000607,000072,c37b42a211235ccf,27.505,000398,27.505,000001,000000,0.138
S2,G352B,002747,valid,20.531,0.717,000395,337784,000593,000082,d1678232a50b9bcd,27.386,000395,27.432,000001,000000,7.496
S2,G352B,004087,valid,20.258,0.088,000398,334996,000643,000074,51a8adb478986cfb,35.567,000398,35.567,000001,000001,0.156
S2,G352B,005427,valid,19.899,0.053,000398,316372,000617,000073,583db719fcc350d1,40.595,000398,40.595,000001,000001,0.202
S2,G352B,006767,valid,21.245,0.072,000396,303208,000605,000102,09d5e818a4c6705e,18.145,000396,18.145,000001,000000,0.990
S2,ROUTE,000067,valid,-,-,000398,000000,000000,000088,29179eb73e984412,36.290,000398,36.290,000001,000000,0.214
S2,ROUTE,000201,valid,-,-,000398,000000,000000,000085,b1a2e33f5915d2f3,30.044,000398,30.044,000001,000000,0.104
S2,ROUTE,000335,valid,-,-,000398,000000,000000,000073,f99dde597ead4e61,36.290,000398,36.290,000001,000000,0.187
S2,ROUTE,000469,valid,-,-,000398,000000,000000,000086,7cdc127b7bcfefbc,17.190,000398,17.190,000001,000000,0.194
S2,ROUTE,000603,valid,-,-,000398,000000,000000,000079,62f6447ad611f1be,17.190,000398,17.190,000001,000000,0.217
S2,ROUTE,000737,valid,-,-,000398,000000,000000,000097,b4c642ba37ffb758,19.514,000398,19.514,000001,000000,0.102
S2,ROUTE,000871,valid,-,-,000398,000000,000000,000077,1eba0f84279a2939,21.126,000398,21.126,000001,000000,0.090
S2,ROUTE,001005,valid,-,-,000398,000000,000000,000075,dfd7bc572e810caf,48.000,000398,48.000,000001,000000,0.132
S2,ROUTE,001139,valid,-,-,000398,000000,000000,000072,2c9d99a8450827a0,12.415,000398,12.415,000001,000000,0.083
S2,ROUTE,001273,valid,-,-,000398,000000,000000,000093,f0424fabfc5177f2,21.171,000398,21.171,000001,000000,0.246
S2,ROUTE,001407,valid,-,-,000398,000000,000000,000072,c37b42a211235ccf,15.280,000398,15.280,000001,000000,0.180
S2,ROUTE,001541,valid,-,-,000398,000000,000000,000079,d44cea606c63532c,17.541,000398,17.541,000001,000000,0.095
S2,ROUTE,001675,valid,-,-,000398,000000,000000,000080,6d954e32e95c15cb,33.632,000398,33.632,000001,000000,0.115
S2,ROUTE,001809,valid,-,-,000398,000000,000000,000076,be327ab47725f33c,26.424,000398,26.424,000001,000000,0.071
S2,ROUTE,001943,valid,-,-,000398,000000,000000,000103,84306ef6c8d6a198,13.370,000398,13.370,000001,000000,0.226
S2,ROUTE,002077,valid,-,-,000398,000000,000000,000084,fda7a51e4af46ab8,17.190,000398,17.190,000001,000000,0.222
S2,ROUTE,002211,valid,-,-,000398,000000,000000,000092,952d6f5efe974d26,16.333,000398,16.333,000001,000000,0.186
S2,ROUTE,002345,valid,-,-,000398,000000,000000,000076,3d82625b93cc2a6b,29.496,000398,29.496,000001,000000,0.107
S2,ROUTE,002479,valid,-,-,000398,000000,000000,000104,036a6747302e1cfd,9.550,000398,9.550,000001,000000,0.068
S2,ROUTE,002613,valid,-,-,000398,000000,000000,000085,13fc064ab508f4bc,20.947,000398,20.947,000001,000000,0.185
S2,ROUTE,002747,valid,-,-,000398,000000,000000,000082,d1678232a50b9bcd,30.560,000398,30.560,000001,000000,0.166
S2,ROUTE,002881,valid,-,-,000398,000000,000000,000085,7ca9c9f1ac2e56ec,13.883,000398,13.883,000001,000000,0.223
S2,ROUTE,003015,valid,-,-,000398,000000,000000,000075,c5f5b0dc56c42d99,9.550,000398,9.550,000001,000000,0.196
S2,ROUTE,003149,valid,-,-,000398,000000,000000,000073,5d1f2cfb854cc65e,17.190,000398,17.190,000001,000000,0.167
S2,ROUTE,003283,valid,-,-,000398,000000,000000,000096,25ebb5ab0e036b4c,11.460,000398,11.460,000001,000000,0.238
S2,ROUTE,003417,valid,-,-,000398,000000,000000,000078,a246af4352b2ff0f,16.316,000398,16.316,000001,000000,0.186
S2,ROUTE,003551,valid,-,-,000398,000000,000000,000081,e08b0a83989cdc02,21.965,000398,21.965,000001,000000,0.238
S2,ROUTE,003685,valid,-,-,000398,000000,000000,000085,87af9f29a0363f60,8.820,000398,8.820,000001,000000,0.228
S2,ROUTE,003819,valid,-,-,000398,000000,000000,000082,81f429c118bdc585,44.443,000398,44.443,000001,000000,0.119
S2,ROUTE,003953,valid,-,-,000398,000000,000000,000084,f61719189d20f5c7,18.910,000398,18.910,000001,000000,0.085
S2,ROUTE,004087,valid,-,-,000398,000000,000000,000074,51a8adb478986cfb,15.965,000398,15.965,000001,000000,0.104
S2,ROUTE,004221,valid,-,-,000398,000000,000000,000080,9b6a91d9a09029d5,20.947,000398,20.947,000001,000000,0.120
S2,ROUTE,004355,valid,-,-,000398,000000,000000,000070,23b0a820a72500bc,30.044,000398,30.044,000001,000000,0.214
S2,ROUTE,004489,valid,-,-,000398,000000,000000,000091,3d41243f6d61e201,17.081,000398,17.081,000001,000000,0.090
S2,ROUTE,004623,valid,-,-,000398,000000,000000,000070,c7a723cb406ecc48,14.325,000398,14.325,000001,000000,0.226
S2,ROUTE,004757,valid,-,-,000398,000000,000000,000071,91f97fb05ce5856f,22.306,000398,22.306,000001,000000,0.233
S2,ROUTE,004891,valid,-,-,000398,000000,000000,000074,ea50c6d9d099e4aa,17.018,000398,17.018,000001,000000,0.155
S2,ROUTE,005025,valid,-,-,000398,000000,000000,000082,7b1901c09671d570,10.505,000398,10.505,000001,000000,0.148
S2,ROUTE,005159,valid,-,-,000398,000000,000000,000086,0d25dcac766a1af1,48.000,000398,48.000,000001,000000,0.141
S2,ROUTE,005293,valid,-,-,000398,000000,000000,000081,fd8deb99798419e1,37.245,000398,37.245,000001,000000,0.142
S2,ROUTE,005427,valid,-,-,000398,000000,000000,000073,583db719fcc350d1,36.768,000398,36.768,000001,000000,0.127
S2,ROUTE,005561,valid,-,-,000398,000000,000000,000079,2fa42f522e249c25,48.000,000398,48.000,000001,000000,0.142
S2,ROUTE,005695,valid,-,-,000398,000000,000000,000084,07e7fccdc73be37a,48.000,000398,48.000,000001,000000,0.132
S2,ROUTE,005829,valid,-,-,000398,000000,000000,000078,72a65e6d2d409966,48.000,000398,48.000,000001,000000,0.157
S2,ROUTE,005963,valid,-,-,000398,000000,000000,000081,79528357200b2326,31.856,000398,31.856,000001,000000,0.147
S2,ROUTE,006097,valid,-,-,000398,000000,000000,000077,91deeaba436f6379,48.000,000398,48.000,000001,000000,0.065
S2,ROUTE,006231,valid,-,-,000398,000000,000000,000068,99057dc2a359a51f,33.425,000398,33.425,000001,000000,0.134
S2,ROUTE,006365,valid,-,-,000398,000000,000000,000086,37602a168c5e3653,25.722,000398,25.722,000001,000000,0.116
S2,ROUTE,006499,valid,-,-,000398,000000,000000,000078,e07e36b386cda19f,48.000,000398,48.000,000001,000000,0.118
S2,ROUTE,006633,valid,-,-,000398,000000,000000,000079,6542e1e5a88426a1,29.605,000398,29.605,000001,000000,0.138
S2,ROUTE,006767,valid,-,-,000398,000000,000000,000102,09d5e818a4c6705e,48.000,000398,48.000,000001,000000,0.107
S2,ROUTE,006901,valid,-,-,000398,000000,000000,000098,f2183604f2ee6a7d,33.425,000398,33.425,000001,000000,0.142
S2,ROUTE,007035,valid,-,-,000398,000000,000000,000077,adf4b21a1d7bf163,48.000,000398,48.000,000001,000000,0.131
S2,ROUTE,007169,valid,-,-,000398,000000,000000,000065,d49c0739b326b498,48.000,000398,48.000,000001,000000,0.132
S2,ROUTE,007303,valid,-,-,000398,000000,000000,000084,6f5e6733016ec4ea,48.000,000398,48.000,000001,000000,0.135
S2,ROUTE,007437,valid,-,-,000398,000000,000000,000073,a8a20b7878ae2c08,40.110,000398,40.110,000001,000000,0.139
S2,ROUTE,007571,valid,-,-,000398,000000,000000,000063,3be503e7d0eee873,48.000,000398,48.000,000001,000000,0.123
S2,ROUTE,007705,valid,-,-,000398,000000,000000,000075,7e4f0c0b72bf9ce3,35.335,000398,35.335,000001,000000,0.148
S2,ROUTE,007839,valid,-,-,000398,000000,000000,000089,1e2148cf647aea25,48.000,000398,48.000,000001,000000,0.149
S2,ROUTE,007973,valid,-,-,000398,000000,000000,000077,66555e63741d0e9f,35.065,000398,35.065,000001,000000,0.134
S3,G352A,000033,valid,20.919,0.082,000398,125100,000320,000101,712d67266e602cdb,44.759,000398,44.759,000006,000000,0.109
S3,G352A,000301,valid,21.112,0.042,000392,125804,000227,000076,d47880d20f38d724,33.766,000392,34.380,000010,000002,0.263
S3,G352A,000569,valid,23.384,0.557,000398,076312,000252,000081,64f2a228a6a7946e,33.990,000398,33.990,000001,000000,0.133
S3,G352A,000837,valid,24.577,0.279,000398,125428,000232,000078,6f2ff6ab63e9adfb,36.125,000398,36.125,000001,000000,0.258
S3,G352A,001105,valid,22.487,0.035,000390,113520,000220,000084,b0726056acb2f721,21.108,000390,22.109,000001,000000,0.577
S3,G352A,001373,valid,25.119,0.044,000387,101812,000238,000071,c8696bbd9cad11d5,30.665,000387,31.666,000001,000001,0.393
S3,G352A,001641,valid,26.066,0.243,000398,087872,000228,000079,37d1ed173a9028ba,47.945,000398,47.945,000001,000000,0.096
S3,G352A,001909,valid,18.151,0.031,000398,051160,000727,000288,9eaadc5555f6e4f3,11.955,000398,11.955,000004,000001,0.530
S3,G352A,002177,valid,23.054,0.072,000398,101052,000503,000157,075c6417d7c7ceac,32.793,000398,32.793,000014,000007,0.214
S3,G352A,002445,valid,21.423,0.031,000390,115408,000690,000226,37d0fb022085319f,15.280,000390,15.568,000013,000011,0.159
S3,G352A,002713,valid,23.408,0.094,000398,110348,000468,000146,6bbe4db5466cef5b,41.065,000398,41.065,000003,000001,0.780
S3,G352A,002981,valid,17.740,0.056,000398,018168,000048,000010,6d0bf11379a9f0c7,48.000,000398,48.000,000000,000000,-
S3,G352A,003249,valid,17.386,0.736,000398,047508,000063,000013,28e6f7b35eb95678,32.856,000398,32.856,000000,000000,-
S3,G352A,003517,valid,26.392,0.137,000283,000440,000033,000010,c1e4382156c1770f,48.000,000283,48.000,000000,000000,-
S3,G352A,003785,valid,21.787,0.015,000398,122556,000418,000137,95df3243a55c2254,23.875,000398,23.875,000010,000009,0.092
S3,G352B,000033,valid,18.814,0.118,000396,346100,000788,000101,712d67266e602cdb,40.307,000396,40.566,000006,000000,0.297
S3,G352B,000703,valid,20.629,0.001,000398,272624,000549,000087,1ee8350829376775,40.577,000398,40.577,000001,000000,5.279
S3,G352B,001373,valid,23.322,0.074,000396,294148,000543,000071,c8696bbd9cad11d5,45.341,000396,45.629,000001,000000,0.092
S3,G352B,002043,valid,19.654,0.135,000396,392520,001139,000152,4477ce97f989bb43,32.414,000396,32.649,000004,000000,2.761
S3,G352B,002713,valid,22.722,0.121,000383,322224,001280,000146,6bbe4db5466cef5b,26.740,000383,27.569,000003,000000,0.024
S3,G352B,003383,valid,13.835,0.029,000398,136076,000095,000013,4eed7f1f2db98a3a,48.000,000398,48.000,000000,000000,-
S3,ROUTE,000033,valid,-,-,000398,000000,000000,000101,712d67266e602cdb,48.000,000398,48.000,000006,000000,0.689
S3,ROUTE,000100,valid,-,-,000398,000000,000000,000094,c82a69fd8585aae2,48.000,000398,48.000,000002,000000,0.070
S3,ROUTE,000167,valid,-,-,000398,000000,000000,000051,2b0238ba6c6c6c8a,40.019,000398,40.019,000006,000000,0.074
S3,ROUTE,000234,valid,-,-,000398,000000,000000,000084,9ded66731ab86a91,48.000,000398,48.000,000004,000000,0.154
S3,ROUTE,000301,valid,-,-,000398,000000,000000,000076,d47880d20f38d724,48.000,000398,48.000,000010,000000,0.454
S3,ROUTE,000368,valid,-,-,000398,000000,000000,000093,1e5a994a94228112,26.666,000398,26.666,000001,000000,0.039
S3,ROUTE,000435,valid,-,-,000398,000000,000000,000070,ad85b3b42203808f,48.000,000398,48.000,000001,000000,0.034
S3,ROUTE,000502,valid,-,-,000398,000000,000000,000093,feed558f24dbb12d,48.000,000398,48.000,000001,000000,0.034
S3,ROUTE,000569,valid,-,-,000398,000000,000000,000081,64f2a228a6a7946e,9.964,000398,9.964,000001,000000,0.038
S3,ROUTE,000636,valid,-,-,000398,000000,000000,000081,676ced7d6d5b0556,17.415,000398,17.415,000001,000000,0.047
S3,ROUTE,000703,valid,-,-,000398,000000,000000,000087,1ee8350829376775,10.919,000398,10.919,000001,000000,0.040
S3,ROUTE,000770,valid,-,-,000398,000000,000000,000074,5beadff0728417c6,48.000,000398,48.000,000001,000000,0.040
S3,ROUTE,000837,valid,-,-,000398,000000,000000,000078,6f2ff6ab63e9adfb,42.982,000398,42.982,000001,000000,0.048
S3,ROUTE,000904,valid,-,-,000398,000000,000000,000077,b4cf484c1c152176,48.000,000398,48.000,000001,000000,0.081
S3,ROUTE,000971,valid,-,-,000398,000000,000000,000078,3df582288b562b1e,13.370,000398,13.370,000001,000000,0.092
S3,ROUTE,001038,valid,-,-,000398,000000,000000,000070,c2f154ed86356cad,17.225,000398,17.225,000001,000000,0.102
S3,ROUTE,001105,valid,-,-,000398,000000,000000,000084,b0726056acb2f721,48.000,000398,48.000,000001,000000,0.076
S3,ROUTE,001172,valid,-,-,000398,000000,000000,000088,9f380706ec90aace,37.224,000398,37.224,000001,000000,0.085
S3,ROUTE,001239,valid,-,-,000398,000000,000000,000072,0a5c1cc99683251e,27.305,000398,27.305,000001,000000,0.110
S3,ROUTE,001306,valid,-,-,000398,000000,000000,000071,259e27a1a58975df,48.000,000398,48.000,000001,000000,0.094
S3,ROUTE,001373,valid,-,-,000398,000000,000000,000071,c8696bbd9cad11d5,16.432,000398,16.432,000001,000000,0.102
S3,ROUTE,001440,valid,-,-,000398,000000,000000,000079,72cc35a9deadf0ac,33.081,000398,33.081,000001,000000,0.095
S3,ROUTE,001507,valid,-,-,000398,000000,000000,000068,e998ea97d13c0f10,48.000,000398,48.000,000001,000000,0.084
S3,ROUTE,001574,valid,-,-,000398,000000,000000,000084,ec20b449d3f96d38,35.749,000398,35.749,000001,000000,0.082
S3,ROUTE,001641,valid,-,-,000398,000000,000000,000079,37d1ed173a9028ba,18.756,000398,18.756,000001,000000,0.065
S3,ROUTE,001708,valid,-,-,000398,000000,000000,000073,3f7bc5826dc2e173,17.847,000398,17.847,000001,000000,0.088
S3,ROUTE,001775,valid,-,-,000398,000000,000000,000068,f538a09ddec556c9,21.143,000398,21.143,000001,000000,0.097
S3,ROUTE,001842,valid,-,-,000398,000000,000000,000136,16031ca1e6bcf993,17.864,000398,17.864,000005,000000,0.993
S3,ROUTE,001909,valid,-,-,000398,000000,000000,000288,9eaadc5555f6e4f3,1.910,000398,1.910,000004,000000,0.414
S3,ROUTE,001976,valid,-,-,000398,000000,000000,000128,0046bb0e6a1b614c,48.000,000398,48.000,000007,000000,0.773
S3,ROUTE,002043,valid,-,-,000398,000000,000000,000152,4477ce97f989bb43,32.045,000398,32.045,000004,000000,0.302
S3,ROUTE,002110,valid,-,-,000398,000000,000000,000171,302b044f3da8c772,16.972,000398,16.972,000013,000000,73.386
S3,ROUTE,002177,valid,-,-,000398,000000,000000,000157,075c6417d7c7ceac,14.504,000398,14.504,000014,000000,867.022
