closure,field,archived,recomputed,match
G363,digest:summary.json,05cd8a1e9aec5dbf669ac0e675306c11c82119988e9f2f8aa2932aa0b2d9ed42,05cd8a1e9aec5dbf669ac0e675306c11c82119988e9f2f8aa2932aa0b2d9ed42,1
G363,digest:ratings.csv,2080aa6ca210bfd81e217f1bcd51c474cfba9bec34bdbf4b679b1c93f22060b8,2080aa6ca210bfd81e217f1bcd51c474cfba9bec34bdbf4b679b1c93f22060b8,1
G363,digest:centre_diagnostic.json,2234ef9fd02071de7d33d043041ce83b089c68fc650aaccadbbab4fa7a7c8b71,2234ef9fd02071de7d33d043041ce83b089c68fc650aaccadbbab4fa7a7c8b71,1
G363,digest:arms.csv,246e5c8b4bc5e90a8c0e5034f3a0eecee1a9c6fda2f79297930719e4e83284e0,246e5c8b4bc5e90a8c0e5034f3a0eecee1a9c6fda2f79297930719e4e83284e0,1
G363,digest:predictions.csv,6a226ca5ee75e1156981f394b755c7b69b05f145a77c371cd24dce8c25bdb7fa,6a226ca5ee75e1156981f394b755c7b69b05f145a77c371cd24dce8c25bdb7fa,1
G363,digest:frame_scores.csv,77f13d9ff547f654a55524cb63ba12c552728e85facc549d64a978fb77430f81,77f13d9ff547f654a55524cb63ba12c552728e85facc549d64a978fb77430f81,1
G363,digest:frames.csv,b0c5e8953d4385a84b0d258e5b98da32149a985f3b49964df566abd1bf3565ea,b0c5e8953d4385a84b0d258e5b98da32149a985f3b49964df566abd1bf3565ea,1
G363,digest:identity.csv,e0d2571e63cd243fc9f1ff75ca985e2a8ce7a168ffd5b30d0fa6c3b2a13cdb4c,e0d2571e63cd243fc9f1ff75ca985e2a8ce7a168ffd5b30d0fa6c3b2a13cdb4c,1
G364,digest:validation_reserved.csv,060edfce0aba0f872bd92bc3a3c3e6192dd213bb9d3d7fc99d660249df75c7a0,060edfce0aba0f872bd92bc3a3c3e6192dd213bb9d3d7fc99d660249df75c7a0,1
G364,digest:validation_pool_embeddings.npz,2cf46758bae57337be4f4c959e28906397e9d042fa0b0c319d80d4a37d2ccc1e,2cf46758bae57337be4f4c959e28906397e9d042fa0b0c319d80d4a37d2ccc1e,1
G364,digest:dev_predictions.csv,33416a1c6942372d466b4f395eeff9f1a44c6b67ccb18b40a21edf3a1edc549d,33416a1c6942372d466b4f395eeff9f1a44c6b67ccb18b40a21edf3a1edc549d,1
G364,digest:validation_pool.csv,3c1ef1be76a070b490acf3dc237bd3366887f5a0a8e6f43bb5aae3f171dc6120,3c1ef1be76a070b490acf3dc237bd3366887f5a0a8e6f43bb5aae3f171dc6120,1
G364,digest:census.csv,4a1c423672f2897dfdc2c205925f8535740f5bb274d90f6c26e29706ea929cee,4a1c423672f2897dfdc2c205925f8535740f5bb274d90f6c26e29706ea929cee,1
G364,digest:absent.csv,604074fa2962162a2ffdf9dab4b22a985a1a17e1ea82995627d881560887f5d5,604074fa2962162a2ffdf9dab4b22a985a1a17e1ea82995627d881560887f5d5,1
G364,digest:model_identity.json,76df1d9096659204c43c20daa893ecdd017d8f7874056a811d11cb423df2bc34,76df1d9096659204c43c20daa893ecdd017d8f7874056a811d11cb423df2bc34,1
G364,digest:sources_validation.csv,7ddb63942fdc898e000740f253e02744dcda232b3372c65ecc7d788acfa67595,7ddb63942fdc898e000740f253e02744dcda232b3372c65ecc7d788acfa67595,1
G364,digest:sheet_manifest_dev.sha256,92c2e66e666c43c19ac1b1c9aa4d649eabd820a8e8747c28921c0b1a7e03375c,92c2e66e666c43c19ac1b1c9aa4d649eabd820a8e8747c28921c0b1a7e03375c,1
G364,digest:absent_validation.csv,93b2c3c04e83cbf3ac538b962afa82b3fa9741c2f71605d8909d8a7dadf45937,93b2c3c04e83cbf3ac538b962afa82b3fa9741c2f71605d8909d8a7dadf45937,1
G364,digest:model.json,a2a08eaac5e79315e329308b5d1ddaff4aede200b39039900932ee492dff966e,a2a08eaac5e79315e329308b5d1ddaff4aede200b39039900932ee492dff966e,1
G364,digest:sources.csv,b448aaf517c5ffc46431513b255e913dd5fef5d729a2e79f0ec4024f1acebdff,b448aaf517c5ffc46431513b255e913dd5fef5d729a2e79f0ec4024f1acebdff,1
G364,digest:ratings.csv,b6edc411eefc0fdc6c138f0e1e6df94b18a0e1e4fcf71ea249d0a78c647592d2,b6edc411eefc0fdc6c138f0e1e6df94b18a0e1e4fcf71ea249d0a78c647592d2,1
G364,digest:dev_labels.csv,de961ab9d745c7b30a459d0357f8a4f57e1845fe237a946969ce6d0b64129015,de961ab9d745c7b30a459d0357f8a4f57e1845fe237a946969ce6d0b64129015,1
G364,digest:dev.csv,f1139fa1ba885b3d499161eb77c0cb2fc77d42927a66d0a8da6840f80986f29e,f1139fa1ba885b3d499161eb77c0cb2fc77d42927a66d0a8da6840f80986f29e,1
G364,digest:validation_predictions.csv,f502e087181ce65341ab32fe46bb5a67facee522397e67474c7ec9af862fec7d,f502e087181ce65341ab32fe46bb5a67facee522397e67474c7ec9af862fec7d,1
G364,digest:dev_embeddings.npz,f5d526d6cdcb6d3177e2b0240ae01e412be3dd82d165cd08c382168d10b5c22d,f5d526d6cdcb6d3177e2b0240ae01e412be3dd82d165cd08c382168d10b5c22d,1
G367,digest:recovery.csv,1392a11b8e841487,1392a11b8e841487,1
G367,digest:g367_premise.json,536710c905bfc17c,27345916391b8cf2,0
G367,digest:summary.json,912ee59f72ae16e1,8185a48d77ced1b2,0
G367,digest:search.csv,9ef1ac0681552fcf,9ef1ac0681552fcf,1
G367,digest:g367_search.json,e3866835d3f58358,f2ea9514158df52a,0
