box_id,card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,player_id,position_source,source_branch,matched_event_id,matched_event_valid,repeated_coordinate,x_position,y_position,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_weight,mask_reason,native_width,native_height,native_form,transform_status,clip_left,clip_top,clip_right,clip_bottom,original_bbox_x1,original_bbox_y1,original_bbox_x2,original_bbox_y2,native_bbox_x1,native_bbox_y1,native_bbox_x2,native_bbox_y2,nominal_detector_form
720p60_24_r03,720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,9,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,266,1684,617.2798,179.089294,692.1964,305.3393,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,617.2798,119.089294,692.1964,245.3393,617.2798,179.089294,692.1964,305.3393,yes
720p60_24_r04,720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,8,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,304,1276,432.0728,493.90967,521.0506,607.2985,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,432.0728,433.90967,521.0506,547.2985,432.0728,493.90967,521.0506,607.2985,yes
720p60_25_r00,720p60_25,720p60,s-0Y7aLxXgM_s1275,6266,6866,6338,5,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,0,0,3073,601,765.06696,248.35306,838.7895,415.80356,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,765.06696,188.35306,838.7895,355.80356,765.06696,248.35306,838.7895,415.80356,yes
720p60_25_r01,720p60_25,720p60,s-0Y7aLxXgM_s1275,6266,6866,6338,7,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,0,0,2988,568,301.9904,60.0,412.78476,106.169052,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,1,0,0,301.9904,-89.83229,412.78476,46.169052,301.9904,60.0,412.78476,106.169052,yes
720p60_26_r00,720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6547_45_810_243_926,1,0,1104,101,810.0,105.0,926.0,303.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,810.0,45.0,926.0,243.0,810.0,105.0,926.0,303.0,yes
720p60_26_r01,720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,4,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,0,1039,303,34.0,370.0,127.0,531.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,34.0,310.0,127.0,471.0,34.0,370.0,127.0,531.0,yes
720p60_26_r02,720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,7,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,778,291,973.0,203.0,1077.0,395.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,973.0,143.0,1077.0,335.0,973.0,203.0,1077.0,395.0,yes
720p60_26_r03,720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,8,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6547_122_263_266_367,1,0,822,1353,263.0,182.0,367.0,326.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,263.0,122.0,367.0,266.0,263.0,182.0,367.0,326.0,yes
720p60_26_r04,720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,2,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,0,0,709,264,911.28253,190.97824,1004.0573,391.18546,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,911.28253,130.97824,1004.0573,331.18546,911.28253,190.97824,1004.0573,391.18546,yes
720p60_28_r00,720p60_28,720p60,xv0WyG7_99c_s4530,6963,7563,6975,6,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6975_234_878_402_962,1,0,3234,1354,878.0,294.0,962.0,462.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,878.0,234.0,962.0,402.0,878.0,294.0,962.0,462.0,yes
720p60_28_r01,720p60_28,720p60,xv0WyG7_99c_s4530,6963,7563,6975,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,3192,1295,843.0,293.0,937.0,464.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,843.0,233.0,937.0,404.0,843.0,293.0,937.0,464.0,yes
720p60_28_r02,720p60_28,720p60,xv0WyG7_99c_s4530,6963,7563,6975,5,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,3187,566,582.0,356.0,693.0,551.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,582.0,296.0,693.0,491.0,582.0,356.0,693.0,551.0,yes
720p60_28_r03,720p60_28,720p60,xv0WyG7_99c_s4530,6963,7563,6975,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,0,1,3116,292,504.0,361.0,625.0,585.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,504.0,301.0,625.0,525.0,504.0,361.0,625.0,585.0,yes
720p60_29_r00,720p60_29,720p60,xv0WyG7_99c_s4530,6963,7563,7557,6,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,0,3230,1369,371.0,135.0,692.0,720,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,1,371.0,75.0,692.0,668.0,371.0,135.0,692.0,720,yes
720p60_29_r01,720p60_29,720p60,xv0WyG7_99c_s4530,6963,7563,7557,3,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,3160,1173,126.0,269.0,440.0,720,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,1,126.0,209.0,440.0,668.0,126.0,269.0,440.0,720,yes
720p60_29_r02,720p60_29,720p60,xv0WyG7_99c_s4530,6963,7563,7557,10,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,113,241,640.0,191.0,1044.0,720,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,1,640.0,131.0,1044.0,669.0,640.0,191.0,1044.0,720,yes
720p60_29_r03,720p60_29,720p60,xv0WyG7_99c_s4530,6963,7563,7557,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,0,3384,483,680.0,208.0,920.0,720,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,1,680.0,148.0,920.0,671.0,680.0,208.0,920.0,720,yes
