unit_set,unit_id,card_id,reason,status
comparator,1080p30_26_d06,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d07,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d08,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d09,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d10,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d00,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d03,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d05,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d06,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d07,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d08,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d09,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d10,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d11,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d12,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d13,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d14,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d15,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_27_d16,1080p30_27,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_28_d00,1080p30_28,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_28_d01,1080p30_28,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_28_d02,1080p30_28,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_28_d03,1080p30_28,NO_IOU_0_50_MATCH,UNKNOWN
