card_id,draw_kind,draw_order,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,sealed_ordinal,universe_n,draw_formula,producer_boxes,comparator_boxes,matched_boxes,producer_silence,comparator_silence,status
1080p30_14,1080p30,13,tFnl0NVn6FA_s90,1708,2008,1936,1206,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,4,3,0,0,source_OK&transform_accounted&sealed_association
1080p30_15,1080p30,14,tZeqmc_-_sA_s2574,1815,2115,2004,1293,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,4,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_16,1080p30,16,yZ5u2sOpiNU_s3933,1974,2274,2031,1379,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,1,3,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_17,1080p30,17,yZ5u2sOpiNU_s5214,2089,2389,2104,1465,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,15,4,0,0,source_OK&transform_accounted&sealed_association
1080p30_18,1080p30,18,yZ5u2sOpiNU_s90,2206,2506,2299,1551,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,7,15,5,0,0,source_OK&transform_accounted&sealed_association
1080p30_19,1080p30,19,4JS090XPhmM_s2388,2322,2622,2373,1637,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,4,0,0,0,source_OK&transform_accounted&sealed_association
1080p30_20,1080p30,20,4JS090XPhmM_s3537,2438,2738,2447,1723,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,6,2,0,0,source_UNKNOWN&transform_accounted&sealed_association
1080p30_21,1080p30,20,4JS090XPhmM_s3537,2438,2738,2708,1810,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,14,2,0,0,source_OK&transform_accounted&sealed_association
1080p30_22,1080p30,21,4JS090XPhmM_s4686,2553,2853,2781,1896,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,12,3,0,0,source_OK&transform_accounted&sealed_association
1080p30_23,1080p30,22,3eeaJz1PJTM_s1331,2672,2972,2948,1982,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,8,0,0,0,source_OK&transform_accounted&sealed_association
1080p30_24,1080p30,23,3eeaJz1PJTM_s2572,2789,3089,3023,2068,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,11,2,0,0,source_OK&transform_accounted&sealed_association
1080p30_25,1080p30,24,3eeaJz1PJTM_s3813,2906,3206,3098,2154,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,7,15,3,0,0,source_OK&transform_accounted&sealed_association
1080p30_26,1080p30,26,3eeaJz1PJTM_s90,3136,3436,3286,2240,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,11,3,0,0,source_OK&transform_accounted&sealed_association
1080p30_27,1080p30,27,J8pMOFvFlsU_s1384,3253,3553,3364,2327,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,17,3,0,0,source_OK&transform_accounted&sealed_association
1080p30_28,1080p30,28,J8pMOFvFlsU_s3972,3370,3670,3439,2413,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,7,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_29,1080p30,29,J8pMOFvFlsU_s90,3486,3786,3783,2499,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,14,2,0,0,source_OK&transform_accounted&sealed_association
720p60_00,720p60,0,acb-jHcR5UxPGuE_s1393,232,832,232,0,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,0,11,0,1,0,source_OK&transform_accounted&sealed_association
720p60_01,720p60,1,acb-jHcR5UxPGuE_s90,465,1065,537,97,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,12,1,0,0,source_OK&transform_accounted&sealed_association
720p60_02,720p60,2,3gBeJyl7Szg_s2302,697,1297,751,194,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,6,1,0,0,source_OK&transform_accounted&sealed_association
720p60_03,720p60,3,3gBeJyl7Szg_s90,930,1530,966,291,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,13,1,0,0,source_OK&transform_accounted&sealed_association
720p60_04,720p60,4,Kh7Fj4ogPN4_s3606,1161,1761,1173,387,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,11,4,0,0,source_OK&transform_accounted&sealed_association
720p60_05,720p60,4,Kh7Fj4ogPN4_s3606,1161,1761,1755,484,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,11,3,0,0,source_OK&transform_accounted&sealed_association
720p60_06,720p60,5,Kh7Fj4ogPN4_s5950,1392,1992,1968,581,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,12,1,0,0,source_OK&transform_accounted&sealed_association
720p60_07,720p60,6,Ktu6yFS9iMo_s2532,1625,2225,2183,678,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,12,1,0,0,source_OK&transform_accounted&sealed_association
720p60_08,720p60,7,Ktu6yFS9iMo_s6195,1857,2457,2397,775,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,2,1,0,0,source_OK&transform_accounted&sealed_association
720p60_09,720p60,8,L7o4UCIIqS4_s2656,2089,2689,2611,872,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,2,0,0,0,source_OK&transform_accounted&sealed_association
720p60_10,720p60,9,L7o4UCIIqS4_s5222,2321,2921,2885,969,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,2,1,0,0,source_OK&transform_accounted&sealed_association
720p60_11,720p60,11,oL9Uaie2v2A_s5960,2785,3385,3175,1065,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,16,6,0,0,source_OK&transform_accounted&sealed_association
720p60_12,720p60,12,6rQ2sV4upfc_s1509,3018,3618,3390,1162,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,8,4,0,0,source_OK&transform_accounted&sealed_association
720p60_13,720p60,13,6rQ2sV4upfc_s90,3249,3849,3603,1259,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,1,8,0,0,0,source_OK&transform_accounted&sealed_association
720p60_14,720p60,14,7blRl4zVfrY_s3489,3481,4081,3817,1356,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,19,4,0,0,source_OK&transform_accounted&sealed_association
720p60_15,720p60,15,7blRl4zVfrY_s90,3714,4314,4032,1453,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,0,10,0,1,0,source_OK&transform_accounted&sealed_association
720p60_16,720p60,16,FyMWTVsJvv8_s4332,3945,4545,4515,1550,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,9,11,3,0,0,source_OK&transform_accounted&sealed_association
720p60_17,720p60,17,Ge4uewCFUFQ_s2382,4177,4777,4729,1647,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,11,1,0,0,source_OK&transform_accounted&sealed_association
720p60_18,720p60,18,Ge4uewCFUFQ_s4674,4410,5010,4944,1744,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,4,0,0,0,source_OK&transform_accounted&sealed_association
720p60_19,720p60,19,IpR4pT8iN0Y_s2432,4642,5242,5152,1840,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,0,9,0,1,0,source_OK&transform_accounted&sealed_association
720p60_20,720p60,20,KZK9rv9TnGE_s1474,4873,5473,5365,1937,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,10,3,0,0,source_OK&transform_accounted&sealed_association
720p60_21,720p60,21,KZK9rv9TnGE_s4242,5105,5705,5579,2034,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,8,2,0,0,source_OK&transform_accounted&sealed_association
720p60_22,720p60,22,KZK9rv9TnGE_s90,5337,5937,5793,2131,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,4,0,0,0,source_OK&transform_accounted&sealed_association
720p60_23,720p60,23,dAy3tnlu3EQ_s4326,5570,6170,6008,2228,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,7,9,2,0,0,source_OK&transform_accounted&sealed_association
720p60_24,720p60,24,qTXrSRHHR2M_s2262,5803,6403,6313,2325,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,12,2,0,0,source_OK&transform_accounted&sealed_association
720p60_25,720p60,26,s-0Y7aLxXgM_s1275,6266,6866,6338,2422,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,13,1,0,0,source_OK&transform_accounted&sealed_association
720p60_26,720p60,27,s-0Y7aLxXgM_s4830,6499,7099,6547,2518,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,10,2,0,0,source_OK&transform_accounted&sealed_association
720p60_27,720p60,28,xv0WyG7_99c_s1200,6731,7331,6761,2615,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,0,13,0,1,0,source_OK&transform_accounted&sealed_association
720p60_28,720p60,29,xv0WyG7_99c_s4530,6963,7563,6975,2712,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,11,3,0,0,source_OK&transform_accounted&sealed_association
720p60_29,720p60,29,xv0WyG7_99c_s4530,6963,7563,7557,2809,2810,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,7,3,0,0,source_OK&transform_accounted&sealed_association
