elapsed_min,attempt_id,pool,source_path,original_present,source_bytes
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s1296.mp4,1,67603884
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s2502.mp4,1,53729083
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s3708.mp4,1,69066821
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s4914.mp4,1,70018806
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s90.mp4,1,69346745
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,1,82139114
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s2277.mp4,1,74025294
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,1,79162595
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,1,87853287
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s8838.mp4,1,79466132
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,1,81165805
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s1397.mp4,1,92539434
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,1,94112289
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,1,97966113
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,1,95236044
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__7gOkXUv8Uwk_s1314.mp4,1,74706940
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__7gOkXUv8Uwk_s2538.mp4,1,74542741
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__7gOkXUv8Uwk_s3762.mp4,1,75143148
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__SbLEuud8mk4_s1247.mp4,1,66222280
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__SbLEuud8mk4_s2404.mp4,1,63520213
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__SbLEuud8mk4_s3561.mp4,1,61741511
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__SbLEuud8mk4_s4718.mp4,1,65390029
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__SbLEuud8mk4_s90.mp4,1,68149465
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__VR47OgmjPTs_s1238.mp4,1,94618155
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__VR47OgmjPTs_s2386.mp4,1,95612416
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__VR47OgmjPTs_s3534.mp4,1,94238117
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__VR47OgmjPTs_s4682.mp4,1,92308480
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__VR47OgmjPTs_s90.mp4,1,93063763
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s1423.mp4,1,94169221
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s2756.mp4,1,95394299
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s4089.mp4,1,93838581
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s90.mp4,1,93793403
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s1392.mp4,1,96166755
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s2694.mp4,1,94736997
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s3996.mp4,1,95358201
30,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s90.mp4,1,96910428
45,a01,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,0,0
45,a02,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,0,0
45,a03,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,0,0
45,a04,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,0,0
45,a05,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,0,0
45,a06,retained_g364_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,1,64995066
45,a07,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,0,0
45,a08,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,0,0
45,a09,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,0,0
45,a10,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,0,0
45,a11,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,0,0
45,a12,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,0,0
45,a13,retained_g364_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,1,61150234
45,a14,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0,0
