attempt_id,version_id,receiver_sha256,receiver_bytes,acknowledged,pixel_opened,byte_agreement,hold_path,source_path,retained_path,retained_sha256,retained_bytes,retained,pc_readback_match,pc_decode_ok,pc_frame_png_sha256,pc_frame_dims
a21,4e04a523599c4a8e-4aad923dc7a6,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,87504446,1,1,1,/workspace/g386_scratch/hold/a21.mp4,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\_fl2i6vToTM_s2496.mp4,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,87504446,1,1,1,a651a5ce02ef124c8e1aa6d28de9849717d2393e6755f634de872cd7902a4596,1920x1080
a22,299048a6420e357f-0744cdb7e35a,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,81000315,1,1,1,/workspace/g386_scratch/hold/a22.mp4,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\d3_0714DiHo_s217.mp4,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,81000315,1,1,1,59351983a23a0644b6d8d35eef1834ca0992c6bf09cba958ded3f93a9db0411f,1920x1080
a23,cf0c723aa1593f7c-73632a5e4968,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,76518525,1,1,1,/workspace/g386_scratch/hold/a23.mp4,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\i2y-_7B0IUg_s90.mp4,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,76518525,1,1,1,7d13c4603d6d25e6122b44852832e6bd5c08547e979a87ba9f95cf549841f9d5,1920x1080
a24,c254700c60ba9898-1adb109f5977,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486,1,1,1,/workspace/g386_scratch/hold/a24.mp4,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__iDogCL8td5Q_s2282.mp4,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486,1,1,1,26dae91ad91697c60902e9a4cc0701791019ef4ab5251bd26cbcc08fcbe71baf,1920x1080
a25,8c6d06adc9560e73-2c20fc8fbdd2,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,60983970,1,1,1,/workspace/g386_scratch/hold/a25.mp4,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\iwbowtaIIz8_s90.mp4,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,60983970,1,1,1,622ff3045dff8e18b4bb55e4d437d9fb7630e2fc80f66ba60244862006d134b0,1920x1080
a26,db5854c4f6dca5b8-3109016f4c11,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233,1,1,1,/workspace/g386_scratch/hold/a26.mp4,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\qrWmO434a0k_s1447.mp4,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233,1,1,1,3c955ebf12662da34b486ca05610ef1f44d6ed2ac23d6759f91c2f603c82322a,1920x1080
a27,f7b6d933bc6f93b6-605da4956f79,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592,1,1,1,/workspace/g386_scratch/hold/a27.mp4,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\tFnl0NVn6FA_s90.mp4,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592,1,1,1,ea0df833ff53e46afeeda74ae029010de4bd0557cc764f42ab7a81bef3befeea,1920x1080
a28,6ed357a28fae8afd-71970bf2a66f,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,72183029,1,1,1,/workspace/g386_scratch/hold/a28.mp4,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\tZeqmc_-_sA_s1332.mp4,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,72183029,1,1,1,e080f7c21fe340a6357563132d4aa82a528da2463eae2b23cd34489de167fbe6,1920x1080
a29,fa1af41f9feec552-90fb7a8133db,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,75846958,1,1,1,/workspace/g386_scratch/hold/a29.mp4,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\tZeqmc_-_sA_s2574.mp4,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,75846958,1,1,1,663f48348de9f30ffdeacd9da5ac17720d872d55a90a938e063ab66ce5ce405f,1920x1080
a30,af9bf71d5fa732f6-20fefdf4d8b5,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,100578787,1,1,1,/workspace/g386_scratch/hold/a30.mp4,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\wHs1OssEcAw_s2276.mp4,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,100578787,1,1,1,cfe966498f6aeddd438ea56c1091218ffd3a7fe67b7fd63fc30a82d05d497f1d,1920x1080
