attempt_id,mid_seconds,copy_png_sha256,original_png_sha256,original_present,pixel_agreement,render,original_raw_yuv_sha256,original_present_at_pixel_check,pc_frame_png_sha256,pc_frame_dims,pc_decode_ok,retained_raw_yuv_sha256,raw_pixel_agreement
a11,65.029,1faca3650798b74a834d8df927f84e3237e85f06f919d57075c321c7cfb604f3,1faca3650798b74a834d8df927f84e3237e85f06f919d57075c321c7cfb604f3,1,MATCH,render_a11_IeaneIKx1Ig_s6651.jpg,e0fa52dd4314ff85fa4fcbda633b0ea1453cdba466d16d578ece0adfa1abe0dc,1,21a90022b993dd45c63709443a6859e84257f7e5cedb6ff5b342c889fb9bfba9,1920x1080,1,e0fa52dd4314ff85fa4fcbda633b0ea1453cdba466d16d578ece0adfa1abe0dc,MATCH
a12,65.013,d4bccf07d1c39f1b03f9ec38fe133aff07c4635c438b5b048aab661b90b67a0e,d4bccf07d1c39f1b03f9ec38fe133aff07c4635c438b5b048aab661b90b67a0e,1,MATCH,render_a12_IeaneIKx1Ig_s11025.jpg,7e6a31de2a218947867123c4d5d7bbf92ebb2504ff452988036c47255dc3f778,1,dc24493e71b72af8db623519c8aac7d58927ec8fefd9f32d38036f37d292c192,1920x1080,1,7e6a31de2a218947867123c4d5d7bbf92ebb2504ff452988036c47255dc3f778,MATCH
a13,66.55,d346888d99d4d831bd7d50f77afada0d96398641d158dd3de074102d74828f36,d346888d99d4d831bd7d50f77afada0d96398641d158dd3de074102d74828f36,1,MATCH,render_a13_RIrGQJ_jsGQ_s1410.jpg,b5c069c9b80eb947694ea2ed16c2a0a4a63295f4928b064378af3e2c3f96a2e9,1,8d644dddf821a695bb6d7dc271b286b872b120d612c5dcb272925144473fdc7b,1920x1080,1,b5c069c9b80eb947694ea2ed16c2a0a4a63295f4928b064378af3e2c3f96a2e9,MATCH
a14,65.057,61435b52ea163441f983f0037c854bded17b293a62c68881836bc17f7016dabb,61435b52ea163441f983f0037c854bded17b293a62c68881836bc17f7016dabb,1,MATCH,render_a14_RtiZgPwcwNA_s2720.jpg,,0,fe9201360cc404e262080581d06cd0a56eb0fa792df71256dc1b6fb3b2e7381a,1920x1080,1,6c02075c3ded3f05ff0178ce66504a28fac99cc046d52f0be92fe1b5f9343560,ORIGINAL_ABSENT
a15,65.53,322a0d06b2c35b38ae5da3f23005eb2d2f9f6de2db3e2af7028d71cd3f3c32e4,322a0d06b2c35b38ae5da3f23005eb2d2f9f6de2db3e2af7028d71cd3f3c32e4,1,MATCH,render_a15_UCVSlzgun0o_s2298.jpg,2f14e803efbf5ce68c9cc49594b1f401badebbaf4f673fe305398af531c48d43,1,d762c14ff5bdf87e11ec86c42bb3cc52a8ec21d1607558e2e0aef27c4a8ab9f4,1920x1080,1,2f14e803efbf5ce68c9cc49594b1f401badebbaf4f673fe305398af531c48d43,MATCH
a16,66.071,e0effda92ddc7495febd9ce985d87a43710fa5e31c2c44a227517280743c5b4f,e0effda92ddc7495febd9ce985d87a43710fa5e31c2c44a227517280743c5b4f,1,MATCH,render_a16_UzaYBYy3GZg_s1378.jpg,b7934daebaea5874a04e7505109308efcad3ce213941efc713fba21da8d4e63c,1,80138b235bfd398ae5f1f540e7025560d04ce7d9813b7631be2d000ec2086654,1920x1080,1,b7934daebaea5874a04e7505109308efcad3ce213941efc713fba21da8d4e63c,MATCH
a17,65.54,b84018a867efcadd9985d6341d38d03302a4038e0abd2b5298cb508f48644191,b84018a867efcadd9985d6341d38d03302a4038e0abd2b5298cb508f48644191,1,MATCH,render_a17_Vm0FqeGo-8g_s1317.jpg,de586878f0069af072e4fc2ebe41cf050fa953c6de0c9424448eff857379a4fd,1,76f7bd056f01d28704e9dd9ea7cf5b3f0b5d3792896187d0148264827660eb95,1920x1080,1,de586878f0069af072e4fc2ebe41cf050fa953c6de0c9424448eff857379a4fd,MATCH
a18,67.546,57ea41fd71002ca5c3089396d0321e5e6b236489800d969d8dbb2c5fdbfe5b8c,57ea41fd71002ca5c3089396d0321e5e6b236489800d969d8dbb2c5fdbfe5b8c,1,MATCH,render_a18_X5w3V6rh26s_s90.jpg,40f6bfa8ef944a5eff4427af8736e8f60bf3eb573b8861077501ab9a7f8c79c2,1,65bc4c2ffe57cd6b2ec8a77b9d1d5fdefc22b3befdb15791311afa9ff1b5c29b,1920x1080,1,40f6bfa8ef944a5eff4427af8736e8f60bf3eb573b8861077501ab9a7f8c79c2,MATCH
a19,66.517,be93f1fe785d2a3263cf3ae174f1e6076ac87e2b70a50122cac1a76025ca9eb3,be93f1fe785d2a3263cf3ae174f1e6076ac87e2b70a50122cac1a76025ca9eb3,1,MATCH,render_a19_Y1cgaIWW8gk_s1437.jpg,2b5f19e03496978783c95185dc4c75d4920dae3cbd93e26a8d8bb2f4d4b73f86,1,c48c504a45f8e21b60ab6173c2219abc60d5c53601cfb7ac38e195092dfc4193,1920x1080,1,2b5f19e03496978783c95185dc4c75d4920dae3cbd93e26a8d8bb2f4d4b73f86,MATCH
a20,65.51,a17aeb5ced3433b2caa76be3c388f71db9d357bd53a48d1933e05a4e3081d54d,a17aeb5ced3433b2caa76be3c388f71db9d357bd53a48d1933e05a4e3081d54d,1,MATCH,render_a20__fl2i6vToTM_s90.jpg,497375554630379af56f5993589a5a789e9799e82bf3fa52c837316e6b74e970,1,21352ea1eb57495533e96b3c731195acdc66979c3552a8863e47a25c3e8a332c,1920x1080,1,497375554630379af56f5993589a5a789e9799e82bf3fa52c837316e6b74e970,MATCH
a21,65.512,c7009bf603c109e176bff189516a9a0ce4cf64aa951d1bdb65f4bca92c7c680d,c7009bf603c109e176bff189516a9a0ce4cf64aa951d1bdb65f4bca92c7c680d,1,MATCH,render_a21__fl2i6vToTM_s2496.jpg,f730688a03fc96d7d9473aaaf26bc75099be36023e6467ffee2a41c8a3026286,1,a651a5ce02ef124c8e1aa6d28de9849717d2393e6755f634de872cd7902a4596,1920x1080,1,f730688a03fc96d7d9473aaaf26bc75099be36023e6467ffee2a41c8a3026286,MATCH
a22,68.06,08062d31d4c8ff82eb995041c9e0051e12aefd1e36da25c7101e7c70a78b90a2,08062d31d4c8ff82eb995041c9e0051e12aefd1e36da25c7101e7c70a78b90a2,1,MATCH,render_a22_d3_0714DiHo_s217.jpg,ddabebca61d39693288e53a019a28d424e7999d8e38ade19d0aee431bd857cb2,1,59351983a23a0644b6d8d35eef1834ca0992c6bf09cba958ded3f93a9db0411f,1920x1080,1,ddabebca61d39693288e53a019a28d424e7999d8e38ade19d0aee431bd857cb2,MATCH
a23,65.52,a070f08c5f53d612508b18b8cfb875aac62df6aa51ceea6ea6bbba12f7d9a008,a070f08c5f53d612508b18b8cfb875aac62df6aa51ceea6ea6bbba12f7d9a008,1,MATCH,render_a23_i2y-_7B0IUg_s90.jpg,433155996c81a99e995f1049df64e6013f27682d061a0a083fcf08e029662533,1,7d13c4603d6d25e6122b44852832e6bd5c08547e979a87ba9f95cf549841f9d5,1920x1080,1,433155996c81a99e995f1049df64e6013f27682d061a0a083fcf08e029662533,MATCH
a24,65.013,274dc0e47be7d8b88782e95636cdb360e36e17a9dc97ba9fb76bc83b0ba19970,274dc0e47be7d8b88782e95636cdb360e36e17a9dc97ba9fb76bc83b0ba19970,1,MATCH,render_a24_iDogCL8td5Q_s2282.jpg,69439f45657a463d1231b2d1f27dd1673350d36a279ec1907d980a95106148ff,1,26dae91ad91697c60902e9a4cc0701791019ef4ab5251bd26cbcc08fcbe71baf,1920x1080,1,69439f45657a463d1231b2d1f27dd1673350d36a279ec1907d980a95106148ff,MATCH
a25,66.51,8db259d16ae8e16ea8197f27a53d99012f0229c434216da609ae41d4c1d214c8,8db259d16ae8e16ea8197f27a53d99012f0229c434216da609ae41d4c1d214c8,1,MATCH,render_a25_iwbowtaIIz8_s90.jpg,5ae88233972cfce874448bf85a9ab7e42a9951a726208a08ef4fc632b3f0302d,1,622ff3045dff8e18b4bb55e4d437d9fb7630e2fc80f66ba60244862006d134b0,1920x1080,1,5ae88233972cfce874448bf85a9ab7e42a9951a726208a08ef4fc632b3f0302d,MATCH
a26,66.517,240e3c7bb3d0fb4f8fa42191169d33000b63540ca24971969f39fb31560a9704,240e3c7bb3d0fb4f8fa42191169d33000b63540ca24971969f39fb31560a9704,1,MATCH,render_a26_qrWmO434a0k_s1447.jpg,0ba95829ccde60e032a756687340d5ab82f7f3d32926f2b6d82dd22c9ee56f61,1,3c955ebf12662da34b486ca05610ef1f44d6ed2ac23d6759f91c2f603c82322a,1920x1080,1,0ba95829ccde60e032a756687340d5ab82f7f3d32926f2b6d82dd22c9ee56f61,MATCH
a27,68.017,02b3beacd7579c81a112641c67d0b6f8478c41d4b4c0c7c4c6e2214a308dd6a1,02b3beacd7579c81a112641c67d0b6f8478c41d4b4c0c7c4c6e2214a308dd6a1,1,MATCH,render_a27_tFnl0NVn6FA_s90.jpg,d316cf8a6e2a9aac81a0f3959e5c76489d81085693ab6811cd9b520c07eeed7a,1,ea0df833ff53e46afeeda74ae029010de4bd0557cc764f42ab7a81bef3befeea,1920x1080,1,d316cf8a6e2a9aac81a0f3959e5c76489d81085693ab6811cd9b520c07eeed7a,MATCH
a28,66.517,3492da8f480d64d6edb1e08644f06c645652aada23de5719d4e4da064bcffb09,3492da8f480d64d6edb1e08644f06c645652aada23de5719d4e4da064bcffb09,1,MATCH,render_a28_tZeqmc_-_sA_s1332.jpg,1c02cd308b188792e121a70b96686bf49174a854566f51ebff996e591eb2fde9,1,e080f7c21fe340a6357563132d4aa82a528da2463eae2b23cd34489de167fbe6,1920x1080,1,1c02cd308b188792e121a70b96686bf49174a854566f51ebff996e591eb2fde9,MATCH
a29,67.517,1bbc264a2312fd8aa35a8d7a06d1534b4d4b195b5a85af2589d74eeaf52c8f53,1bbc264a2312fd8aa35a8d7a06d1534b4d4b195b5a85af2589d74eeaf52c8f53,1,MATCH,render_a29_tZeqmc_-_sA_s2574.jpg,dbb32c9c193486935e5ae80618f68e0891b124fe342d99f883d8632dbc74c2ba,1,663f48348de9f30ffdeacd9da5ac17720d872d55a90a938e063ab66ce5ce405f,1920x1080,1,dbb32c9c193486935e5ae80618f68e0891b124fe342d99f883d8632dbc74c2ba,MATCH
a30,67.529,b529640d62690f8669911998c53e70aedfba7c34c1beea890066db512fc7cf1a,b529640d62690f8669911998c53e70aedfba7c34c1beea890066db512fc7cf1a,1,MATCH,render_a30_wHs1OssEcAw_s2276.jpg,da8029c347801c8b1cb4644172b3a0b4eef98ab75cbce39baf55ee3fa517b589,1,cfe966498f6aeddd438ea56c1091218ffd3a7fe67b7fd63fc30a82d05d497f1d,1920x1080,1,da8029c347801c8b1cb4644172b3a0b4eef98ab75cbce39baf55ee3fa517b589,MATCH
