state_key,seed,pace_hex,n_poss
401810410:2040,401812450,0x1.8156ebcac4042p+4,24
401810410:2520,401812930,0x1.381da9b40b9d2p+3,10
401810410:600,401811010,0x1.040ef4b7e4840p+6,65
401810533:1080,401811613,0x1.97ab857d74973p+5,51
401810533:120,401810653,0x1.35f3a7b3b2164p+6,77
401810533:1560,401812093,0x1.2c88231ee87aep+5,38
401810533:2040,401812573,0x1.7b11cdf13ba9ap+4,24
401810533:2520,401813053,0x1.3a26ab494cbb4p+3,10
401810533:600,401811133,0x1.038f7cb0725b7p+6,65
401810539:1080,401811619,0x1.95a08aaa4bf3ep+5,51
401810539:120,401810659,0x1.37504eeb22832p+6,78
401810539:1560,401812099,0x1.295a9cf2e2279p+5,37
401810539:2040,401812579,0x1.7f27c3978cf01p+4,24
401810539:2520,401813059,0x1.433b06103a3b6p+3,10
401810539:600,401811139,0x1.02e12914ba24fp+6,65
401810541:1080,401811621,0x1.94f2370e93bd7p+5,51
401810541:120,401810661,0x1.3855cc54b6d4cp+6,78
401810541:1560,401812101,0x1.2b2b7be7780e0p+5,37
401810541:2040,401812581,0x1.7dcb1c601c835p+4,24
401810541:2520,401813061,0x1.3bf78a3de2a1bp+3,10
401810541:600,401811141,0x1.05434db5bee36p+6,65
401810549:1080,401811629,0x1.99b680509d3a7p+5,51
401810549:120,401810669,0x1.3a9ae3067234dp+6,79
401810549:1560,401812109,0x1.2a430c6d2d1adp+5,37
401810549:2040,401812589,0x1.752af956547cap+4,23
401810549:2520,401813069,0x1.5e78166502bc0p+3,11
401810549:600,401811149,0x1.05434db5bee36p+6,65
401810570:1080,401811650,0x1.95666ecbb9372p+5,51
401810570:120,401810690,0x1.3872da4400332p+6,78
401810570:1560,401812130,0x1.28e66535bcadfp+5,37
401810570:2040,401812610,0x1.76fbd84aea631p+4,23
401810570:2520,401813090,0x1.4996126846e22p+3,10
401810570:600,401811170,0x1.031b44f34ce1cp+6,65
401810628:1080,401811708,0x1.aa6f1b30878d2p+5,53
401810628:120,401810748,0x1.465c199d6fcc5p+6,82
401810628:1560,401812188,0x1.330d238d1a7fep+5,38
401810628:2040,401812668,0x1.8394e760d5abcp+4,24
401810628:2520,401813148,0x1.6c8176600bd3ap+3,11
401810628:600,401811228,0x1.0bd88436ddb16p+6,67
401810663:1080,401811743,0x1.aa78450ca19eep+5,53
401810663:120,401810783,0x1.44420e6aed222p+6,81
401810663:1560,401812223,0x1.39eb5bdefbd56p+5,39
401810663:2040,401812703,0x1.8e8227fae0a68p+4,25
401810663:2520,401813183,0x1.570e3bc67550cp+3,11
401810663:600,401811263,0x1.0eeb80ea67849p+6,68
401810771:1080,401811851,0x1.aa2ba4f99c1f9p+5,53
401810771:120,401810891,0x1.48244df1a1e84p+6,82
401810771:1560,401812331,0x1.3b0421ddba26bp+5,39
401810771:2040,401812811,0x1.8ebc94f4e82a1p+4,25
401810771:2520,401813291,0x1.695eafb0b5410p+3,11
401810771:600,401811371,0x1.0b9921c3f1722p+6,67
401810811:1080,401811891,0x1.b54d2591abf7ap+5,55
401810811:120,401810931,0x1.4e81aac169595p+6,84
401810811:1560,401812371,0x1.3ffe8a5bba4c0p+5,40
401810811:2040,401812851,0x1.8f91d15618083p+4,25
401810811:2520,401813331,0x1.4ae0e2a7fd960p+3,10
401810811:600,401811411,0x1.12e2b052dc4f7p+6,69
401810831:1080,401811911,0x1.b207049283078p+5,54
401810831:120,401810951,0x1.4d613d7064a50p+6,83
401810831:1560,401812391,0x1.41704886610a1p+5,40
401810831:2040,401812871,0x1.92971c887989dp+4,25
401810831:2520,401813351,0x1.5913cf50682d1p+3,11
401810831:600,401811431,0x1.191b418f54dd2p+6,70
401810930:1080,401812010,0x1.ba444da0be04ep+5,55
401810930:120,401811050,0x1.544318c8412f9p+6,85
401810930:1560,401812490,0x1.41c871871099bp+5,40
401810930:2040,401812970,0x1.a0e38a109a03bp+4,26
401810930:2520,401813450,0x1.60d3f0ea57fbfp+3,11
401810930:600,401811530,0x1.196014dd35b82p+6,70
401810966:1080,401812046,0x1.b73c7f38d45fdp+5,55
401810966:120,401811086,0x1.4d0e27840b0b3p+6,83
401810966:1560,401812526,0x1.3976bbc791ec5p+5,39
401810966:2040,401813006,0x1.9e14f1bbc715ap+4,26
401810966:2520,401813486,0x1.5e3a632f91a7cp+3,11
401810966:600,401811566,0x1.1475292aad241p+6,69
401810972:1080,401812052,0x1.c37e969c1f169p+5,56
401810972:120,401811092,0x1.57c6e2afa73d6p+6,86
401810972:1560,401812532,0x1.4bf9538c4b453p+5,41
401810972:2040,401813012,0x1.a46f1dee3a896p+4,26
401810972:2520,401813492,0x1.6cc6148575f71p+3,11
401810972:600,401811572,0x1.18e91b7cc0135p+6,70
401836800:1080,401837880,0x1.a0de6c7b29265p+5,52
401836800:120,401836920,0x1.3d05d479eb052p+6,79
401836800:1560,401838360,0x1.31fada14530afp+5,38
401836800:2040,401838840,0x1.7e5c1dfdae387p+4,24
401836800:2520,401839320,0x1.335c3961060a4p+3,10
401836800:600,401837400,0x1.06622d88930c5p+6,66
