clip,source_clip,frame_index,stratum,role,role_claimed,stable_group_index,stable_group_length_px
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,21710,9,lane_right,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,24744,10,baseline,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,24744,10,free_throw,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,24744,10,lane_left,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,24744,10,lane_right,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,28785,11,baseline,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,28785,11,free_throw,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,28785,11,lane_left,false,,
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,28785,11,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,383,0,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,383,0,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,383,0,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,383,0,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,3938,1,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,3938,1,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,3938,1,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,3938,1,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,5224,2,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,5224,2,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,5224,2,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,5224,2,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,baseline,true,2,97.500000
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,free_throw,true,27,91.249971
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,lane_left,true,4,197.748413
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,lane_right,true,0,637.511973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,9664,4,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,9664,4,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,9664,4,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,9664,4,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,13948,5,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,13948,5,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,13948,5,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,13948,5,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,14857,6,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,14857,6,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,14857,6,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,14857,6,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,baseline,true,64,132.547883
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,free_throw,true,52,83.784533
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,lane_left,true,70,191.491542
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,lane_right,true,0,637.500110
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19906,8,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19906,8,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19906,8,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19906,8,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,22868,9,baseline,true,0,537.508453
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,22868,9,free_throw,true,56,330.229628
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,22868,9,lane_left,true,51,78.915257
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,22868,9,lane_right,true,8,59.318994
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,25098,10,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,25098,10,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,25098,10,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,25098,10,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1013,0,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1013,0,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1013,0,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1013,0,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1529,1,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1529,1,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1529,1,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1529,1,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,3966,2,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,3966,2,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,3966,2,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,3966,2,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,5296,3,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,5296,3,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,5296,3,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,5296,3,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,6897,4,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,6897,4,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,6897,4,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,6897,4,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,8298,5,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,8298,5,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,8298,5,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,8298,5,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9394,6,baseline,true,68,138.837561
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9394,6,free_throw,true,3,120.024295
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9394,6,lane_left,true,6,414.714803
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9394,6,lane_right,true,5,420.149225
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,10966,7,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,10966,7,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,10966,7,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,10966,7,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,12798,8,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,12798,8,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,12798,8,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,12798,8,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,15083,9,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,15083,9,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,15083,9,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,15083,9,lane_right,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,16469,10,baseline,true,54,220.231492
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,16469,10,free_throw,true,28,217.885263
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,16469,10,lane_left,true,37,345.087826
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,16469,10,lane_right,true,0,496.185964
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,17024,11,baseline,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,17024,11,free_throw,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,17024,11,lane_left,false,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,17024,11,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,1292,0,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,1292,0,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,1292,0,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,1292,0,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,4563,1,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,4563,1,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,4563,1,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,4563,1,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,6817,2,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,6817,2,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,6817,2,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,6817,2,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,7519,3,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,7519,3,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,7519,3,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,7519,3,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,10782,4,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,10782,4,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,10782,4,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,10782,4,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,13088,5,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,13088,5,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,13088,5,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,13088,5,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,16464,6,baseline,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,16464,6,free_throw,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,16464,6,lane_left,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,16464,6,lane_right,false,,
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,baseline,true,58,446.254255
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,free_throw,true,3,433.755949
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,lane_left,true,23,109.946742
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,lane_right,true,26,206.305461
