frame_key,section_id,video_id,native_path,frame_order,section_rank,interior_rank,selection_status,retained,frame_path,native_width,native_height,source_sha256
X5w3V6rh26s_s1376:000042,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,42,5,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/X5w3V6rh26s_s1376_001.png,1920,1080,9899c861af53fdfeb7a84f21b7eef692ba1c6eac0e7cac4fbda2878db17b6251
X5w3V6rh26s_s1376:001088,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,1088,5,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/X5w3V6rh26s_s1376_002.png,1920,1080,9899c861af53fdfeb7a84f21b7eef692ba1c6eac0e7cac4fbda2878db17b6251
X5w3V6rh26s_s1376:002092,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,2092,5,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/X5w3V6rh26s_s1376_003.png,1920,1080,9899c861af53fdfeb7a84f21b7eef692ba1c6eac0e7cac4fbda2878db17b6251
X5w3V6rh26s_s1376:003097,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,3097,5,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/X5w3V6rh26s_s1376_004.png,1920,1080,9899c861af53fdfeb7a84f21b7eef692ba1c6eac0e7cac4fbda2878db17b6251
X5w3V6rh26s_s1376:004143,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,4143,5,5,PLANNED,DECODE_FAILED,,,,9899c861af53fdfeb7a84f21b7eef692ba1c6eac0e7cac4fbda2878db17b6251
Y1cgaIWW8gk_s2784:000042,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,42,6,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/Y1cgaIWW8gk_s2784_001.png,1920,1080,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6
Y1cgaIWW8gk_s2784:001084,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,1084,6,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/Y1cgaIWW8gk_s2784_002.png,1920,1080,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6
Y1cgaIWW8gk_s2784:002085,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,2085,6,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/Y1cgaIWW8gk_s2784_003.png,1920,1080,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6
Y1cgaIWW8gk_s2784:003086,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,3086,6,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/Y1cgaIWW8gk_s2784_004.png,1920,1080,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6
Y1cgaIWW8gk_s2784:004128,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,4128,6,5,PLANNED,DECODE_FAILED,,,,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6
_fl2i6vToTM_s90:000081,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,81,7,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/_fl2i6vToTM_s90_001.png,1920,1080,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345
_fl2i6vToTM_s90:002101,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,2101,7,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/_fl2i6vToTM_s90_002.png,1920,1080,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345
_fl2i6vToTM_s90:004040,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,4040,7,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/_fl2i6vToTM_s90_003.png,1920,1080,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345
_fl2i6vToTM_s90:005978,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,5978,7,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/_fl2i6vToTM_s90_004.png,1920,1080,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345
_fl2i6vToTM_s90:007998,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,7998,7,5,PLANNED,DECODE_FAILED,,,,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345
i2y-_7B0IUg_s490:000070,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,70,8,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/i2y-_7B0IUg_s490_001.png,1920,1080,ab54b648cb86e1db5fd0e075239e8f29b7acdb95b81ebfd843ffbd9a44417e87
i2y-_7B0IUg_s490:001819,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,1819,8,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/i2y-_7B0IUg_s490_002.png,1920,1080,ab54b648cb86e1db5fd0e075239e8f29b7acdb95b81ebfd843ffbd9a44417e87
i2y-_7B0IUg_s490:003498,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,3498,8,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/i2y-_7B0IUg_s490_003.png,1920,1080,ab54b648cb86e1db5fd0e075239e8f29b7acdb95b81ebfd843ffbd9a44417e87
i2y-_7B0IUg_s490:005177,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,5177,8,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/i2y-_7B0IUg_s490_004.png,1920,1080,ab54b648cb86e1db5fd0e075239e8f29b7acdb95b81ebfd843ffbd9a44417e87
i2y-_7B0IUg_s490:006926,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,6926,8,5,PLANNED,DECODE_FAILED,,,,ab54b648cb86e1db5fd0e075239e8f29b7acdb95b81ebfd843ffbd9a44417e87
iwbowtaIIz8_s90:000068,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,68,9,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/iwbowtaIIz8_s90_001.png,1920,1080,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b
iwbowtaIIz8_s90:001767,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,1767,9,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/iwbowtaIIz8_s90_002.png,1920,1080,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b
iwbowtaIIz8_s90:003399,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,3399,9,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/iwbowtaIIz8_s90_003.png,1920,1080,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b
iwbowtaIIz8_s90:005031,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,5031,9,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/iwbowtaIIz8_s90_004.png,1920,1080,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b
iwbowtaIIz8_s90:006730,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,6730,9,5,PLANNED,DECODE_FAILED,,,,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b
qrWmO434a0k_s2804:000042,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,42,10,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/qrWmO434a0k_s2804_001.png,1920,1080,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3
qrWmO434a0k_s2804:001084,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,1084,10,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/qrWmO434a0k_s2804_002.png,1920,1080,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3
qrWmO434a0k_s2804:002085,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,2085,10,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/qrWmO434a0k_s2804_003.png,1920,1080,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3
qrWmO434a0k_s2804:003086,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,3086,10,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/qrWmO434a0k_s2804_004.png,1920,1080,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3
qrWmO434a0k_s2804:004128,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,4128,10,5,PLANNED,DECODE_FAILED,,,,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3
tZeqmc_-_sA_s1332:000040,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,40,11,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/tZeqmc_-_sA_s1332_001.png,1920,1080,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710
tZeqmc_-_sA_s1332:001053,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,1053,11,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/tZeqmc_-_sA_s1332_002.png,1920,1080,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710
tZeqmc_-_sA_s1332:002025,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,2025,11,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/tZeqmc_-_sA_s1332_003.png,1920,1080,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710
tZeqmc_-_sA_s1332:002997,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,2997,11,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/tZeqmc_-_sA_s1332_004.png,1920,1080,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710
tZeqmc_-_sA_s1332:004010,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,4010,11,5,PLANNED,DECODE_FAILED,,,,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710
wHs1OssEcAw_s90:000081,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,81,12,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/wHs1OssEcAw_s90_001.png,1920,1080,53bdfd3c257f4999ea35342d74c5a848bf4093c2e1eb23c4438361c74a856adc
wHs1OssEcAw_s90:002106,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,2106,12,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/wHs1OssEcAw_s90_002.png,1920,1080,53bdfd3c257f4999ea35342d74c5a848bf4093c2e1eb23c4438361c74a856adc
wHs1OssEcAw_s90:004050,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,4050,12,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/wHs1OssEcAw_s90_003.png,1920,1080,53bdfd3c257f4999ea35342d74c5a848bf4093c2e1eb23c4438361c74a856adc
wHs1OssEcAw_s90:005995,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,5995,12,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/wHs1OssEcAw_s90_004.png,1920,1080,53bdfd3c257f4999ea35342d74c5a848bf4093c2e1eb23c4438361c74a856adc
wHs1OssEcAw_s90:008020,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,8020,12,5,PLANNED,DECODE_FAILED,,,,53bdfd3c257f4999ea35342d74c5a848bf4093c2e1eb23c4438361c74a856adc
