frame_key,section_id,video_id,native_path,frame_order,section_rank,interior_rank,selection_status
UzaYBYy3GZg_s90:001090,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,1090,4,2,PLANNED
UzaYBYy3GZg_s90:002097,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,2097,4,3,PLANNED
UzaYBYy3GZg_s90:003104,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,3104,4,4,PLANNED
UzaYBYy3GZg_s90:004152,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,4152,4,5,PLANNED
X5w3V6rh26s_s1376:000042,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,42,5,1,PLANNED
X5w3V6rh26s_s1376:001088,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,1088,5,2,PLANNED
X5w3V6rh26s_s1376:002092,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,2092,5,3,PLANNED
X5w3V6rh26s_s1376:003097,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,3097,5,4,PLANNED
X5w3V6rh26s_s1376:004143,X5w3V6rh26s_s1376,X5w3V6rh26s,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,4143,5,5,PLANNED
Y1cgaIWW8gk_s2784:000042,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,42,6,1,PLANNED
Y1cgaIWW8gk_s2784:001084,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,1084,6,2,PLANNED
Y1cgaIWW8gk_s2784:002085,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,2085,6,3,PLANNED
Y1cgaIWW8gk_s2784:003086,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,3086,6,4,PLANNED
Y1cgaIWW8gk_s2784:004128,Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,4128,6,5,PLANNED
_fl2i6vToTM_s90:000081,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,81,7,1,PLANNED
_fl2i6vToTM_s90:002101,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,2101,7,2,PLANNED
_fl2i6vToTM_s90:004040,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,4040,7,3,PLANNED
_fl2i6vToTM_s90:005978,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,5978,7,4,PLANNED
_fl2i6vToTM_s90:007998,_fl2i6vToTM_s90,_fl2i6vToTM,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,7998,7,5,PLANNED
i2y-_7B0IUg_s490:000070,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,70,8,1,PLANNED
i2y-_7B0IUg_s490:001819,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,1819,8,2,PLANNED
i2y-_7B0IUg_s490:003498,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,3498,8,3,PLANNED
i2y-_7B0IUg_s490:005177,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,5177,8,4,PLANNED
i2y-_7B0IUg_s490:006926,i2y-_7B0IUg_s490,i2y-_7B0IUg,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,6926,8,5,PLANNED
iwbowtaIIz8_s90:000068,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,68,9,1,PLANNED
iwbowtaIIz8_s90:001767,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,1767,9,2,PLANNED
iwbowtaIIz8_s90:003399,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,3399,9,3,PLANNED
iwbowtaIIz8_s90:005031,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,5031,9,4,PLANNED
iwbowtaIIz8_s90:006730,iwbowtaIIz8_s90,iwbowtaIIz8,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,6730,9,5,PLANNED
qrWmO434a0k_s2804:000042,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,42,10,1,PLANNED
qrWmO434a0k_s2804:001084,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,1084,10,2,PLANNED
qrWmO434a0k_s2804:002085,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,2085,10,3,PLANNED
qrWmO434a0k_s2804:003086,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,3086,10,4,PLANNED
qrWmO434a0k_s2804:004128,qrWmO434a0k_s2804,qrWmO434a0k,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,4128,10,5,PLANNED
tZeqmc_-_sA_s1332:000040,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,40,11,1,PLANNED
tZeqmc_-_sA_s1332:001053,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,1053,11,2,PLANNED
tZeqmc_-_sA_s1332:002025,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,2025,11,3,PLANNED
tZeqmc_-_sA_s1332:002997,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,2997,11,4,PLANNED
tZeqmc_-_sA_s1332:004010,tZeqmc_-_sA_s1332,tZeqmc_-_sA,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,4010,11,5,PLANNED
wHs1OssEcAw_s90:000081,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,81,12,1,PLANNED
wHs1OssEcAw_s90:002106,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,2106,12,2,PLANNED
wHs1OssEcAw_s90:004050,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,4050,12,3,PLANNED
wHs1OssEcAw_s90:005995,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,5995,12,4,PLANNED
wHs1OssEcAw_s90:008020,wHs1OssEcAw_s90,wHs1OssEcAw,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,8020,12,5,PLANNED
