game_id,source_name,shipped_utc,status,source_fps,stride,ledger_decoded_frames,first_processed_frame,last_processed_frame,source_retained,available_span_s,cap_limited_span_s,loss_s,loss_over_decision,attribution,unknown_reason,pts_count,pts_rate_validated,pts_duplicate_steps,pts_dropped_frames,measured_last_processed_pts_s
spBCthmSgks_s5310,nba__spBCthmSgks_s5310,2026-09-11T13:42:25Z,tracked,23.976023976023978,2,3118,0,3117,True,130.08829733333334,130.04658333333333,0.0,False,EOF,,3118,True,0,1,130.004875
spBCthmSgks_s6615,nba__spBCthmSgks_s6615,2026-09-11T13:42:38Z,tracked,23.976023976023978,2,3118,0,2997,True,130.08828633333334,125.04158333333334,0.0,False,CAP,,3118,True,0,1,124.999875
spBCthmSgks_s90,nba__spBCthmSgks_s90,2026-09-11T13:42:51Z,tracked,23.976023976023978,2,3118,255,3117,True,130.08828633333334,130.04658333333333,0.0,False,EOF,,3118,True,0,1,130.004875
xv0WyG7_99c_s1200,wnba__xv0WyG7_99c_s1200,2026-09-11T14:02:03Z,tracked,59.94006501250254,6,7793,0,3354,True,,,,,UNKNOWN,no_validated_fps_or_span,0,False,,,
xv0WyG7_99c_s2310,wnba__xv0WyG7_99c_s2310,2026-09-11T14:02:19Z,tracked,59.9400624804775,6,7793,0,3084,True,,,,,UNKNOWN,no_validated_fps_or_span,0,False,,,
xv0WyG7_99c_s3420,wnba__xv0WyG7_99c_s3420,2026-09-11T14:02:39Z,tracked,59.9400623966828,6,7793,24,2994,True,,,,,UNKNOWN,no_validated_fps_or_span,0,False,,,
xv0WyG7_99c_s4530,wnba__xv0WyG7_99c_s4530,2026-09-11T14:03:00Z,tracked,59.94006487578238,6,7793,0,3354,True,,,,,UNKNOWN,no_validated_fps_or_span,0,False,,,
zKcsXawOrxU_s1553,nba__zKcsXawOrxU_s1553,2026-09-11T13:49:44Z,tracked,30.0,3,3901,0,3177,True,130.03333333333333,105.93333333333334,0.0,False,CAP,,3901,True,0,0,105.9
zKcsXawOrxU_s3016,nba__zKcsXawOrxU_s3016,2026-09-11T13:49:54Z,tracked,30.0,3,3901,39,3267,True,130.03333333333333,108.93333333333334,0.0,False,CAP,,3901,True,0,0,108.9
zKcsXawOrxU_s4479,nba__zKcsXawOrxU_s4479,2026-09-11T13:50:06Z,tracked,30.0,3,3901,54,3357,True,130.10000033333333,111.93333333333334,0.0,False,CAP,,3901,True,0,2,111.9
zKcsXawOrxU_s5942,nba__zKcsXawOrxU_s5942,2026-09-11T13:50:17Z,tracked,30.0,3,3901,0,3054,True,130.06666633333333,101.83333333333333,0.0,False,CAP,,3901,True,0,1,101.8
zKcsXawOrxU_s7405,nba__zKcsXawOrxU_s7405,2026-09-11T13:50:25Z,thin,30.0,,,,,True,130.10000033333333,,,,FAILED_ATTEMPT,no_recorded_frame_order,3901,True,0,2,
zKcsXawOrxU_s90,nba__zKcsXawOrxU_s90,2026-09-11T13:50:36Z,tracked,30.0,3,3901,0,3627,True,130.03333333333333,120.93333333333334,0.0,False,CAP,,3901,True,0,0,120.9
