token,path,line,changed_by_proposal,alias_note
--frames,scripts/ingest_one_game.py,139,False,"argv value only, when the daemon passes its probe"
_VRAM_FLUSH_INTERVAL,scripts/ingest_preflight.sh,69,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/ingest_preflight.sh,70,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/ingest_preflight.sh,72,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/ingest_preflight.sh,74,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/ingest_preflight.sh,75,False,must not move
--frames,scripts/launch_multigpu.sh,34,False,"argv value only, when the daemon passes its probe"
--frames,scripts/launch_multigpu.sh,39,False,"argv value only, when the daemon passes its probe"
_VRAM_FLUSH_INTERVAL,scripts/launch_multigpu.sh,52,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/launch_single_3090_pod.sh,42,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/launch_single_3090_pod.sh,45,False,must not move
--frames,scripts/launch_single_gpu_pod.sh,21,False,"argv value only, when the daemon passes its probe"
_VRAM_FLUSH_INTERVAL,scripts/launch_single_gpu_pod.sh,24,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/launch_single_gpu_pod.sh,26,False,must not move
--frames,scripts/launch_single_gpu_pod.sh,40,False,"argv value only, when the daemon passes its probe"
--frames,scripts/launch_single_gpu_pod.sh,52,False,"argv value only, when the daemon passes its probe"
--frames,scripts/local_download_remote_process.sh,80,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/master_pipeline.py,224,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/master_pipeline.py,242,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/master_pipeline.py,259,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/master_pipeline.py,267,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/adapter_run.py,102,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/attempted_frame_count_source.py,145,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,145,False,"preserved alias, untouched"
max_frames,scripts/platformkit/attempted_frame_count_source.py,146,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/attempted_frame_count_source.py,148,False,"preserved alias, untouched"
max_frames,scripts/platformkit/attempted_frame_count_source.py,150,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,157,False,"preserved alias, untouched"
evaluated_frame_count,scripts/platformkit/attempted_frame_count_source.py,159,False,"preserved sidecar name, untouched"
decoded_frames,scripts/platformkit/attempted_frame_count_source.py,167,False,"preserved alias, untouched"
max_frames,scripts/platformkit/attempted_frame_count_source.py,167,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/attempted_frame_count_source.py,169,False,"preserved alias, untouched"
source_frame_count,scripts/platformkit/attempted_frame_count_source.py,170,False,"preserved alias, untouched"
max_frames,scripts/platformkit/attempted_frame_count_source.py,173,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,175,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,195,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,198,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/attempted_frame_count_source.py,199,False,"preserved alias, untouched"
max_frames,scripts/platformkit/attempted_frame_count_source.py,201,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,205,False,"preserved alias, untouched"
max_frames,scripts/platformkit/baseball_calib_probe.py,99,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/baseball_calib_probe.py,126,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/baseball_s4_emission.py,81,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/baseball_s4_emission.py,91,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/baseball_s4_emission.py,101,False,"preserved alias, untouched"
max_frames,scripts/platformkit/basketball_keypoint_measure.py,19,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_keypoint_measure.py,25,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_keypoint_measure.py,31,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_keypoint_measure.py,67,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_keypoint_measure.py,69,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_line_funnel.py,21,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_line_funnel.py,32,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/basketball_line_funnel.py,69,False,"preserved alias, untouched"
max_frames,scripts/platformkit/basketball_line_funnel.py,88,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/basketball_line_funnel.py,90,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/detection/measure_detector_delta.py,153,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/footage_bridge.py,500,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/footage_cycle.py,143,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/footage_cycle.py,154,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/football_smoke.py,24,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/football_smoke.py,40,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/g111_basketball_reachability.py,130,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g130_recensus.py,20,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g130_recensus.py,43,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g130_recensus.py,47,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g130_recensus.py,48,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g130_recensus.py,57,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g148_two_slot_measure.py,104,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/g148_two_slot_measure.py,188,False,"preserved alias, untouched"
--frames,scripts/platformkit/soccer_s1_adjudication_packet.py,152,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/synthcal/solve.py,73,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/synthcal/solve.py,81,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/synthcal/solve.py,104,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/synthcal/trace_emitter.py,97,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/synthcal/trace_emitter.py,102,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/tennis_camera_lock_measure.py,91,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_gate_probe.py,22,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_gate_probe.py,24,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,23,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,31,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,54,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,56,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,59,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_detector_recall.py,81,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_detector_recall.py,88,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/tennis_detector_recall.py,109,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/tennis_warmup_probe.py,20,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_warmup_probe.py,30,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_warmup_probe.py,43,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_warmup_probe.py,58,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,6,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,34,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,35,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,52,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tennis_wave7_falsifiers.py,99,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,116,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_baseball_s4_emission.py,38,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,7,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,17,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,18,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,21,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,21,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,34,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,43,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,51,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,64,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,64,False,"preserved run_clip and pipeline name, untouched"
evaluated_frame_count,scripts/platformkit/test_evaluated_frame_count_direct_path.py,66,False,"preserved sidecar name, untouched"
decoded_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,67,False,"preserved alias, untouched"
source_frame_count,scripts/platformkit/test_evaluated_frame_count_direct_path.py,68,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,69,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,69,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,72,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,72,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/test_footage_bridge.py,62,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/platformkit/test_football_smoke.py,22,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_g149_persist_decoded_denominator.py,11,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_g149_persist_decoded_denominator.py,39,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_g149_persist_decoded_denominator.py,56,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_g153_local_decoded_frames_producer.py,14,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_g153_local_decoded_frames_producer.py,51,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_track_daemon.py,167,False,"preserved alias, untouched"
build_command,scripts/platformkit/test_track_daemon.py,283,False,signature gains an optional trailing argument
build_command,scripts/platformkit/test_track_daemon.py,286,False,signature gains an optional trailing argument
build_command,scripts/platformkit/test_track_daemon.py,294,False,signature gains an optional trailing argument
build_command,scripts/platformkit/test_track_daemon.py,301,False,signature gains an optional trailing argument
build_command,scripts/platformkit/test_track_daemon.py,351,False,signature gains an optional trailing argument
evaluated_frames,scripts/platformkit/test_track_daemon_done.py,123,False,"preserved alias, untouched"
max_frames,scripts/platformkit/test_track_daemon_done.py,127,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/test_track_daemon_ledger_denominator.py,52,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/test_track_daemon_ledger_denominator.py,52,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/test_track_daemon_ledger_denominator.py,56,False,"preserved alias, untouched"
build_command,scripts/platformkit/track_daemon.py,80,True,signature gains an optional trailing argument
--frames,scripts/platformkit/track_daemon.py,96,True,"argv value only, when the daemon passes its probe"
decoded_frames,scripts/platformkit/track_daemon.py,218,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/track_daemon.py,219,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/track_daemon.py,316,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/track_daemon.py,317,False,"preserved alias, untouched"
build_command,scripts/platformkit/track_daemon.py,376,True,signature gains an optional trailing argument
evaluated_frame_count,scripts/platformkit/track_daemon_done.py,21,False,"preserved sidecar name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,108,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,112,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,121,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,122,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,126,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,126,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,131,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,131,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,133,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,133,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,143,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,149,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,150,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,203,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,209,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,225,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,227,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,227,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,232,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/track_daemon_done.py,240,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/track_daemon_done.py,240,False,"preserved alias, untouched"
max_frames,scripts/platformkit/track_daemon_done.py,243,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/track_daemon_ledger.py,27,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/track_daemon_ledger.py,27,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,56,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,73,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,148,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,110,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,114,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,121,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,133,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,138,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,139,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/basketball_imagepx_features.py,159,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/football_fieldview.py,160,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_fieldview.py,165,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_fieldview.py,199,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_snap.py,146,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_snap.py,154,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_snap.py,174,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_snap.py,177,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/football_snap.py,193,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g182_calibration_funnel.py,245,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g182_calibration_funnel.py,270,False,"preserved alias, untouched"
--frames,scripts/platformkit/tracking/g184_corner_detector_defect.py,238,False,"argv value only, when the daemon passes its probe"
decoded_frames,scripts/platformkit/tracking/g185_coordinate_contract_wall.py,122,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g185_coordinate_contract_wall.py,123,False,"preserved alias, untouched"
--frames,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,231,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,263,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g200_pod_concurrency.py,36,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,216,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,238,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g211_per_frame_cost.py,21,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g211_per_frame_cost.py,73,False,"argv value only, when the daemon passes its probe"
source_frame_count,scripts/platformkit/tracking/g231_out_of_bounds_structure.py,158,False,"preserved alias, untouched"
--frames,scripts/platformkit/tracking/g235_build_court_crash_confirmation.py,77,False,"argv value only, when the daemon passes its probe"
decoded_frames,scripts/platformkit/tracking/g236_label_reindex_existence.py,121,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g236b_reindex_validated_frame.py,112,False,"preserved alias, untouched"
--frames,scripts/platformkit/tracking/g238_homography_inlier_census.py,107,False,"argv value only, when the daemon passes its probe"
source_frame_count,scripts/platformkit/tracking/g275_footage_census.py,120,False,"preserved alias, untouched"
source_frame_count,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,77,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,117,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,125,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/platformkit/tracking/g285_per_person_recall.py,203,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g286_what_is_at_footpoint.py,244,False,"argv value only, when the daemon passes its probe"
decoded_frames,scripts/platformkit/tracking/g298_audit.py,26,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g298_detect.py,149,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g309_multigame_census.py,28,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g309_multigame_census.py,153,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g309_multigame_census.py,183,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g309_multigame_census.py,187,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,82,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,83,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,85,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,86,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,44,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,59,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,62,False,"preserved alias, untouched"
evaluated_frame_count,scripts/platformkit/tracking/g310_native_input_arm.py,85,False,"preserved sidecar name, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,88,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,91,False,"preserved alias, untouched"
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,129,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,214,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,285,False,"argv value only, when the daemon passes its probe"
--frames,scripts/platformkit/tracking/g311_apache_detector_arm.py,168,False,"argv value only, when the daemon passes its probe"
decoded_frames,scripts/platformkit/tracking/g311_proxies.py,110,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,1,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,5,False,"preserved alias, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,25,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,26,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,26,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,31,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,32,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,33,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,46,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,47,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,48,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,52,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,52,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,54,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,56,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,59,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,59,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,60,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,60,False,"preserved run_clip and pipeline name, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,61,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,62,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,65,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,68,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,69,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,73,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,81,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,93,False,"preserved run_clip and pipeline name, untouched"
decoded_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,96,False,"preserved alias, untouched"
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,97,False,"preserved alias, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,99,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,144,False,"preserved run_clip and pipeline name, untouched"
