source_name,competition,game,section,avg_frame_rate,r_frame_rate,validated_fps,fps_basis,stream_duration_s,height,nb_frames,bytes,in_shadow_population,in_draw
nba__L7o4UCIIqS4_s5222.mp4,nba,L7o4UCIIqS4,5222,708570000/11821309,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.047,720,7873,46736475,True,True
nba__L7o4UCIIqS4_s90.mp4,nba,L7o4UCIIqS4,90,717480000/11969957,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,7972,57633942,True,False
nba__oL9Uaie2v2A_s1264.mp4,nba,oL9Uaie2v2A,1264,88087500/1469593,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.026,720,7830,55386861,True,False
nba__oL9Uaie2v2A_s2438.mp4,nba,oL9Uaie2v2A,2438,360810000/6019513,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.049,720,8018,50026054,True,True
nba__oL9Uaie2v2A_s3612.mp4,nba,oL9Uaie2v2A,3612,709650000/11839327,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.038,720,7885,52870843,True,False
nba__oL9Uaie2v2A_s4786.mp4,nba,oL9Uaie2v2A,4786,70263000/1172221,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.028,720,7807,52169707,True,False
nba__oL9Uaie2v2A_s5960.mp4,nba,oL9Uaie2v2A,5960,22786875/380161,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.034,720,8102,40086716,True,False
nba__oL9Uaie2v2A_s90.mp4,nba,oL9Uaie2v2A,90,353970000/5905399,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,7866,42737967,True,False
nba__spBCthmSgks_s1395.mp4,nba,spBCthmSgks,1395,7892500/329183,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.191,720,3157,35479793,False,False
nba__spBCthmSgks_s2700.mp4,nba,spBCthmSgks,2700,96420000/4021517,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.244,720,3214,35546196,False,False
nba__spBCthmSgks_s4005.mp4,nba,spBCthmSgks,4005,94260000/3931427,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.09,720,3142,34779310,False,False
nba__spBCthmSgks_s5310.mp4,nba,spBCthmSgks,5310,57582000/2401649,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.101,720,3199,35866968,False,False
nba__spBCthmSgks_s6615.mp4,nba,spBCthmSgks,6615,281520000/11741729,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.114,720,3128,35458450,False,False
nba__spBCthmSgks_s90.mp4,nba,spBCthmSgks,90,18157500/757319,24000/1001,23.976023976023978,TWO_READER_AGREEMENT,130.095,720,3228,36078319,False,False
nba__yZ5u2sOpiNU_s1371.mp4,nba,yZ5u2sOpiNU,1371,30000/1001,30000/1001,29.97002997002997,TWO_READER_AGREEMENT,130.066,1080,4052,69403189,False,False
nba__yZ5u2sOpiNU_s2652.mp4,nba,yZ5u2sOpiNU,2652,30000/1001,30000/1001,29.97002997002997,TWO_READER_AGREEMENT,130.079,1080,3990,61348353,False,False
nba__yZ5u2sOpiNU_s3933.mp4,nba,yZ5u2sOpiNU,3933,30000/1001,30000/1001,29.97002997002997,TWO_READER_AGREEMENT,130.092,1080,3903,64267541,False,False
nba__yZ5u2sOpiNU_s5214.mp4,nba,yZ5u2sOpiNU,5214,30000/1001,30000/1001,29.97002997002997,TWO_READER_AGREEMENT,130.072,1080,3916,62680969,False,False
nba__yZ5u2sOpiNU_s90.mp4,nba,yZ5u2sOpiNU,90,30000/1001,30000/1001,29.97002997002997,TWO_READER_AGREEMENT,130.087,1080,4060,74361691,False,False
nba__zKcsXawOrxU_s1553.mp4,nba,zKcsXawOrxU,1553,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.034,720,3931,32805297,False,False
nba__zKcsXawOrxU_s3016.mp4,nba,zKcsXawOrxU,3016,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.033,720,3981,32873394,False,False
nba__zKcsXawOrxU_s4479.mp4,nba,zKcsXawOrxU,4479,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.1,720,4031,31938064,False,False
nba__zKcsXawOrxU_s5942.mp4,nba,zKcsXawOrxU,5942,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.067,720,3921,30543785,False,False
nba__zKcsXawOrxU_s7405.mp4,nba,zKcsXawOrxU,7405,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.1,720,3971,12476757,False,False
nba__zKcsXawOrxU_s90.mp4,nba,zKcsXawOrxU,90,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.033,720,4041,31084652,False,False
ncaa_basketball__6rQ2sV4upfc_s1509.mp4,ncaa_basketball,6rQ2sV4upfc,1509,44746875/746527,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.07,720,7955,50953115,True,False
ncaa_basketball__6rQ2sV4upfc_s2928.mp4,ncaa_basketball,6rQ2sV4upfc,2928,355050000/5923417,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.022,720,7890,52460899,True,False
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,ncaa_basketball,6rQ2sV4upfc,4347,704250000/11749237,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.023,720,7825,52188825,True,True
ncaa_basketball__6rQ2sV4upfc_s90.mp4,ncaa_basketball,6rQ2sV4upfc,90,721800000/12042029,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,8020,54041007,True,True
ncaa_basketball__7blRl4zVfrY_s1223.mp4,ncaa_basketball,7blRl4zVfrY,1223,726120000/12114101,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.035,720,8068,57860776,True,False
ncaa_basketball__7blRl4zVfrY_s2356.mp4,ncaa_basketball,7blRl4zVfrY,2356,351450000/5863357,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.017,720,7810,56478743,True,True
ncaa_basketball__7blRl4zVfrY_s3489.mp4,ncaa_basketball,7blRl4zVfrY,3489,353475000/5897141,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.032,720,7855,56326299,True,False
ncaa_basketball__7blRl4zVfrY_s4622.mp4,ncaa_basketball,7blRl4zVfrY,4622,179167500/2989111,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.031,720,7963,57365595,True,False
ncaa_basketball__7blRl4zVfrY_s90.mp4,ncaa_basketball,7blRl4zVfrY,90,356490000/5947441,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,7922,57345020,True,False
ncaa_basketball__FyMWTVsJvv8_s1504.mp4,ncaa_basketball,FyMWTVsJvv8,1504,178875000/2984231,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.032,720,7950,53641555,True,False
ncaa_basketball__FyMWTVsJvv8_s2918.mp4,ncaa_basketball,FyMWTVsJvv8,2918,713610000/11905393,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.029,720,7929,56239809,True,False
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,ncaa_basketball,FyMWTVsJvv8,4332,719640000/12005993,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.024,720,7996,57043679,True,True
ncaa_basketball__FyMWTVsJvv8_s90.mp4,ncaa_basketball,FyMWTVsJvv8,90,726480000/12120107,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.019,720,8072,58427269,True,True
ncaa_basketball__Ge4uewCFUFQ_s1236.mp4,ncaa_basketball,Ge4uewCFUFQ,1236,360090000/6007501,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.032,720,8002,55626245,True,False
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,ncaa_basketball,Ge4uewCFUFQ,2382,3630150/60563,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.026,720,8067,56676340,True,True
ncaa_basketball__Ge4uewCFUFQ_s3528.mp4,ncaa_basketball,Ge4uewCFUFQ,3528,44313750/739301,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.021,720,7878,56956229,True,False
ncaa_basketball__Ge4uewCFUFQ_s4674.mp4,ncaa_basketball,Ge4uewCFUFQ,4674,707040000/11795783,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.033,720,7856,56750617,True,False
ncaa_basketball__Ge4uewCFUFQ_s90.mp4,ncaa_basketball,Ge4uewCFUFQ,90,28742400/479519,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,7984,57603919,True,False
ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,ncaa_basketball,IpR4pT8iN0Y,1261,364770000/6085579,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.106,720,8106,53045191,True,False
ncaa_basketball__IpR4pT8iN0Y_s2432.mp4,ncaa_basketball,IpR4pT8iN0Y,2432,726840000/12126113,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.026,720,8076,50526631,True,False
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,ncaa_basketball,IpR4pT8iN0Y,3603,90247500/1505629,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.029,720,8022,53781321,True,True
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,ncaa_basketball,IpR4pT8iN0Y,90,22066875/368149,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.087,720,7846,53555283,True,True
ncaa_basketball__KZK9rv9TnGE_s1474.mp4,ncaa_basketball,KZK9rv9TnGE,1474,718650000/11989477,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.019,720,7985,56938793,True,False
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,ncaa_basketball,KZK9rv9TnGE,2858,178875000/2984231,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.051,720,7950,56773280,True,True
ncaa_basketball__KZK9rv9TnGE_s4242.mp4,ncaa_basketball,KZK9rv9TnGE,4242,178087500/2971093,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.018,720,7915,57308946,True,False
ncaa_basketball__KZK9rv9TnGE_s5626.mp4,ncaa_basketball,KZK9rv9TnGE,5626,709200000/11831819,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.034,720,7880,33004654,True,False
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,ncaa_basketball,KZK9rv9TnGE,7010,22066875/368149,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.033,720,7846,56448407,True,True
ncaa_basketball__KZK9rv9TnGE_s90.mp4,ncaa_basketball,KZK9rv9TnGE,90,721800000/12042029,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,8020,57656755,True,False
ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,ncaa_basketball,dAy3tnlu3EQ,1502,175635000/2930177,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.031,720,7806,56250979,True,False
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,ncaa_basketball,dAy3tnlu3EQ,2914,178447500/2977099,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.024,720,7931,52008265,True,True
ncaa_basketball__dAy3tnlu3EQ_s4326.mp4,ncaa_basketball,dAy3tnlu3EQ,4326,710640000/11855843,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.035,720,7896,56393316,True,False
ncaa_basketball__dAy3tnlu3EQ_s90.mp4,ncaa_basketball,dAy3tnlu3EQ,90,710280000/11849837,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.036,720,7892,57139571,True,False
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,ncaa_basketball,qTXrSRHHR2M,1176,359595000/5999243,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.021,720,7991,55295560,True,True
ncaa_basketball__qTXrSRHHR2M_s2262.mp4,ncaa_basketball,qTXrSRHHR2M,2262,353970000/5905399,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.039,720,7866,56808008,True,False
ncaa_basketball__qTXrSRHHR2M_s3348.mp4,ncaa_basketball,qTXrSRHHR2M,3348,714690000/11923411,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.042,720,7941,47134657,True,False
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,ncaa_basketball,qTXrSRHHR2M,4434,720720000/12024011,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.027,720,8008,57333697,True,True
ncaa_basketball__qTXrSRHHR2M_s5520.mp4,ncaa_basketball,qTXrSRHHR2M,5520,709650000/11839327,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.061,720,7885,53630393,True,False
ncaa_basketball__qTXrSRHHR2M_s90.mp4,ncaa_basketball,qTXrSRHHR2M,90,90247500/1505629,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,8022,57394972,True,False
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,ncaa_basketball,s-0Y7aLxXgM,1275,709290000/11833321,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,7881,55405416,True,True
ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,ncaa_basketball,s-0Y7aLxXgM,2460,718200000/11981969,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,7980,55664026,True,False
ncaa_basketball__s-0Y7aLxXgM_s3645.mp4,ncaa_basketball,s-0Y7aLxXgM,3645,89313750/1490051,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.021,720,7939,56736244,True,False
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,ncaa_basketball,s-0Y7aLxXgM,4830,35343000/589639,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.038,720,7854,54805277,True,True
ncaa_basketball__s-0Y7aLxXgM_s90.mp4,ncaa_basketball,s-0Y7aLxXgM,90,356490000/5947441,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,7922,57272045,True,False
wnba__3eeaJz1PJTM_s1331.mp4,wnba,3eeaJz1PJTM,1331,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.034,1080,3976,71255359,False,False
wnba__3eeaJz1PJTM_s2572.mp4,wnba,3eeaJz1PJTM,2572,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.066,1080,4028,70877597,False,False
wnba__3eeaJz1PJTM_s3813.mp4,wnba,3eeaJz1PJTM,3813,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.1,1080,3924,67932625,False,False
wnba__3eeaJz1PJTM_s5054.mp4,wnba,3eeaJz1PJTM,5054,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.034,1080,3910,67115625,False,False
wnba__3eeaJz1PJTM_s6295.mp4,wnba,3eeaJz1PJTM,6295,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.034,1080,3916,63899908,False,False
wnba__3eeaJz1PJTM_s90.mp4,wnba,3eeaJz1PJTM,90,30/1,30/1,30.0,TWO_READER_AGREEMENT,130.033,1080,4007,68766082,False,False
