table,sport,rows,n_frames,coordinate_spaces,first_blocker,downstream_ready_if_coordinate_or_schema_fixed,eligible_gain_if_that_blocker_alone_is_fixed
mlb_A5AkcaXA2fk,baseball,15889,8957,image_px,coordinate_contract_image_px,1,1
mlb_ARtRmUHC7dw,baseball,38335,5826,image_px,coordinate_contract_image_px,1,1
mlb_cC3rQWxcOqk,baseball,27022,9598,image_px,coordinate_contract_image_px,1,1
mlb_dSX2ujmGBgg,baseball,18128,9600,image_px,coordinate_contract_image_px,1,1
mlb_dVNOESziFWQ,baseball,8483,4125,image_px,coordinate_contract_image_px,1,1
mlb_FGtFanovws4,baseball,0,0,,empty_or_header_only,0,0
mlb_Fu9kVrQRg0M,baseball,36656,9600,image_px,coordinate_contract_image_px,1,1
mlb_gDv5xF2AA2E,baseball,49475,9342,image_px,coordinate_contract_image_px,1,1
mlb_gMm3EODDb6w,baseball,31181,5852,image_px,coordinate_contract_image_px,1,1
mlb_MUbgCYez-LY,baseball,49586,9600,image_px,coordinate_contract_image_px,1,1
mlb_NiSezRTvsew,baseball,12189,5016,image_px,coordinate_contract_image_px,1,1
mlb_nLoG6gvC-Nk,baseball,23345,9600,image_px,coordinate_contract_image_px,1,1
mlb_PPj97yvNGOo,baseball,38319,5867,image_px,coordinate_contract_image_px,1,1
mlb_ptIBgr6U1Y8,baseball,48319,5852,image_px,coordinate_contract_image_px,1,1
mlb_QqHhEShXAX0,baseball,42606,9600,image_px,coordinate_contract_image_px,1,1
mlb_VxQlqZhLJso,baseball,41756,9601,image_px,coordinate_contract_image_px,1,1
mlb_x6YpMlNYbrU,baseball,19936,9611,image_px,coordinate_contract_image_px,1,1
mlb_yihNr8zCgkA,baseball,15623,9601,image_px,coordinate_contract_image_px,1,1
mlb_Z5u9T4b1qxk,baseball,31016,9528,image_px,coordinate_contract_image_px,1,1
ncaa_basketball_IB-_u4gW3ds,basketball,3061,578,image_px,coordinate_contract_image_px,1,1
ncaa_basketball_mRkuGgeECak,basketball,1954,497,,missing_required_coordinate_or_schema,0,0
ncaa_basketball_sRtHQbywiTE,basketball,2234,745,image_px,coordinate_contract_image_px,1,1
ncaa_basketball_tiUvyvWOCxo,basketball,4424,978,image_px,coordinate_contract_image_px,1,1
ncaa_basketball_WFl3V7ZY4ss,basketball,3644,993,image_px,missing_required_coordinate_or_schema,0,0
ncaa_basketball_zqBCKovJCQU,basketball,5303,999,image_px,coordinate_contract_image_px,1,1
npb_01,npb,36684,8775,image_px,coordinate_contract_image_px,1,1
npb_02,npb,43025,9396,image_px,coordinate_contract_image_px,1,1
npb_03,npb,650,452,,missing_required_coordinate_or_schema,1,1
npb_04,npb,32744,9228,image_px,coordinate_contract_image_px,1,1
npb_05,npb,1455,920,,missing_required_coordinate_or_schema,1,1
npb_06,npb,835,565,,missing_required_coordinate_or_schema,1,1
npb_07,npb,565,365,,missing_required_coordinate_or_schema,1,1
npb_08,npb,577,343,,missing_required_coordinate_or_schema,1,1
npb_09,npb,41348,8630,image_px,coordinate_contract_image_px,1,1
npb_10,npb,43625,9259,image_px,coordinate_contract_image_px,1,1
npb_2iFIuWxu6HI,npb,41591,9272,image_px,coordinate_contract_image_px,1,1
npb_3PwJwWdTMek,npb,62260,9510,image_px,coordinate_contract_image_px,1,1
npb_aEpT4HU_ilg,npb,34836,9002,image_px,coordinate_contract_image_px,1,1
npb_Arpw32zVTuc,npb,30965,9235,image_px,coordinate_contract_image_px,1,1
npb_cHZcTsFreJY,npb,44359,9417,image_px,coordinate_contract_image_px,1,1
npb_dTLgOoX4nhc,npb,34698,8965,image_px,coordinate_contract_image_px,1,1
npb_HQfhD5Iwm7U,npb,35142,9216,image_px,coordinate_contract_image_px,1,1
npb_jm2Ocr-LAtc,npb,36626,9285,image_px,coordinate_contract_image_px,1,1
npb_kqPv-_WwWLk,npb,24431,9087,image_px,coordinate_contract_image_px,1,1
npb_RIwbEjh-zTs,npb,36367,9242,image_px,coordinate_contract_image_px,1,1
npb_ul7Kq_Km7eA,npb,47683,9442,image_px,coordinate_contract_image_px,1,1
npb_V3FrwLVwCpA,npb,30831,9199,image_px,coordinate_contract_image_px,1,1
npb_wZgoTPoZXKM,npb,36632,8597,image_px,coordinate_contract_image_px,1,1
npb_XGhDpaeFSKc,npb,33729,9038,image_px,coordinate_contract_image_px,1,1
npb_YI146E0gNnA,npb,42827,8590,image_px,coordinate_contract_image_px,1,1
soccer_-YbZsM26GDI,soccer,7221,662,,missing_required_coordinate_or_schema,1,1
soccer_6dIn3fUfI6U,soccer,96168,8122,image_px,coordinate_contract_image_px,1,1
soccer_7fOG8j_ncWY,soccer,68211,6573,image_px,coordinate_contract_image_px,1,1
soccer_8_DRy2i5-hs,soccer,75954,6818,image_px,coordinate_contract_image_px,1,1
soccer_A9ad17VZvs8,soccer,6126,907,image_px,coordinate_contract_image_px,1,1
soccer_AgspyOj5BPk,soccer,107232,7271,image_px,coordinate_contract_image_px,1,1
soccer_c1mzmBGHQr4,soccer,523,292,,missing_required_coordinate_or_schema,1,1
soccer_ci4vyd6PsNg,soccer,102639,7523,image_px,coordinate_contract_image_px,1,1
soccer_cKXZysISV4w,soccer,98261,8333,image_px,coordinate_contract_image_px,1,1
soccer_Cn26lFZ0_jI,soccer,64359,5371,image_px,coordinate_contract_image_px,1,1
soccer_cS4OpYJ0Pps,soccer,97339,9743,image_px,coordinate_contract_image_px,1,1
soccer_DdnvC6-PGYY,soccer,34728,3176,image_px,coordinate_contract_image_px,1,1
soccer_dnR5C6WLJI4,soccer,4111,933,,missing_required_coordinate_or_schema,1,1
soccer_EKhrdU9bVZA,soccer,90058,7710,image_px,coordinate_contract_image_px,1,1
soccer_GF-WteOINCc,soccer,80980,6765,image_px,coordinate_contract_image_px,1,1
soccer_HkN1E3HESS8,soccer,1632,680,,missing_required_coordinate_or_schema,1,1
soccer_HxBqMbI5kqQ,soccer,91744,7979,image_px,coordinate_contract_image_px,1,1
soccer_JIQnnYy7qYk,soccer,88867,6632,image_px,coordinate_contract_image_px,1,1
soccer_JLMH7eUeJBY,soccer,26361,3656,,missing_required_coordinate_or_schema,1,1
soccer_kSgNjoaqCpI,soccer,5025,1511,,missing_required_coordinate_or_schema,1,1
soccer_lv2CukQcR5s,soccer,40624,5076,,missing_required_coordinate_or_schema,1,1
soccer_Pbyn08kfhXY,soccer,81222,7699,image_px,coordinate_contract_image_px,1,1
soccer_QIpZ1pad73w,soccer,110774,7071,image_px,coordinate_contract_image_px,1,1
soccer_y0-6FHIaiZA,soccer,11710,1337,,missing_required_coordinate_or_schema,1,1
soccer_Z6NTDyxcODs,soccer,29785,5059,,missing_required_coordinate_or_schema,1,1
tennis_01,tennis,9547,4510,,missing_required_coordinate_or_schema,1,1
tennis_02,tennis,2421,1951,,missing_required_coordinate_or_schema,1,1
tennis_03,tennis,5610,3392,,missing_required_coordinate_or_schema,1,1
tennis_04,tennis,7492,3789,,missing_required_coordinate_or_schema,1,1
tennis_05,tennis,4303,2905,,missing_required_coordinate_or_schema,1,1
tennis_06,tennis,340,141,court_feet,eligible,1,0
tennis_07,tennis,8,4,court_feet,INSUFFICIENT_DATA,0,0
tennis_08,tennis,228,93,court_feet,eligible,1,0
tennis_09,tennis,4,2,court_feet,INSUFFICIENT_DATA,0,1
tennis_10,tennis,0,0,,empty_or_header_only,0,0
tennis_3x3eEWCZmWQ,tennis,266,101,court_feet,eligible,1,0
tennis_459iho5_AFs,tennis,0,0,,empty_or_header_only,0,0
tennis_nyYk2nPZAwY,tennis,415,160,court_feet,eligible,1,0
test720_4MoMewm2j-o,UNKNOWN,29830,5896,,unknown_sport_routing,0,0
wnba_01,wnba,4855,999,image_px,coordinate_contract_image_px,1,1
wnba_02,wnba,5342,1000,image_px,coordinate_contract_image_px,1,1
wnba_03,wnba,2380,971,image_px,coordinate_contract_image_px,1,1
wnba_04,wnba,4906,997,image_px,coordinate_contract_image_px,1,1
wnba_05,wnba,2230,547,image_px,coordinate_contract_image_px,1,1
wnba_kangps_g1,wnba,38424,5730,image_px,coordinate_contract_image_px,1,1
wnba_kangps_g2,wnba,29850,5987,image_px,coordinate_contract_image_px,1,1
