draw_j,source_name,source_path,sha256,bytes,codec_name,width,height,duration,r_frame_rate,avg_frame_rate,validated_fps,fps_basis,pts_count,valid_count,missing_count,duplicate_pts_steps,backwards_steps,gap_steps,dropped_frames,median_step_s,first_pts,last_pts,monotonic,frame_reader,packet_reader,packet_count,packet_negative_count,reader_exact_match,reader_max_abs_delta_s,reader_disagreeing_frames,packet_duplicate_pts_steps,packet_gap_steps,packet_dropped_frames,arm_c_admitted_frames,arm_c_packet_admitted_frames,arm_c_reader_admitted_delta,g401_digest_match
20,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,56676340,h264,1280,720,60000/1001,3630150/60563,130.026000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8067,274,True,0.000000000,0,0,0,0,5995,5995,0,True
21,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s90.mp4,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594,53555283,h264,1280,720,60000/1001,22066875/368149,130.087000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,4,0.0166889999999853,0.0,130.063267,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7846,53,False,0.016689000,111,24,25,28,5995,5995,0,True
22,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882,53781321,h264,1280,720,60000/1001,90247500/1505629,130.029000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8022,229,False,0.016689000,116,25,25,25,5995,5995,0,True
23,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s2858.mp4,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,56773280,h264,1280,720,60000/1001,178875000/2984231,130.051000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,2,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7950,157,True,0.000000000,0,0,1,2,5995,5995,0,True
24,ncaa_basketball__KZK9rv9TnGE_s7010.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s7010.mp4,ff08f42fc407650ced673a86a2a45ce5fba92cacdfb39a428f7779a9d81f92cd,56448407,h264,1280,720,60000/1001,22066875/368149,130.033000,59.94005994005994,TWO_READER_AGREEMENT,7794,7794,0,0,0,0,0,0.0166889999999853,0.0,130.013222,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7846,52,True,0.000000000,0,0,0,0,5995,5995,0,True
25,ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,351c95528ab0c8b078a4a502485ea0b977b973d824b498e76cd3663728c40841,52008265,h264,1280,720,60000/1001,178447500/2977099,130.024000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7931,138,True,0.000000000,0,0,0,0,5995,5995,0,True
26,ncaa_basketball__qTXrSRHHR2M_s1176.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s1176.mp4,09ce5c2bc7aa82e0ababd37f2fd1ef686efdc7034eee83299b9a58cc9751204b,55295560,h264,1280,720,60000/1001,359595000/5999243,130.021000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7991,198,True,0.000000000,0,0,0,0,5995,5995,0,True
27,ncaa_basketball__qTXrSRHHR2M_s4434.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s4434.mp4,1b93f3a24ea0835ab220f08bae0c87baecaecc51db43b6150ab83ee7597dcb22,57333697,h264,1280,720,60000/1001,720720000/12024011,130.027000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8008,215,True,0.000000000,0,0,0,0,5995,5995,0,True
28,ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,55405416,h264,1280,720,60000/1001,709290000/11833321,130.020000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7881,88,True,0.000000000,0,0,0,0,5995,5995,0,True
29,ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,54805277,h264,1280,720,60000/1001,35343000/589639,130.038000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,1,0.0166889999999853,0.0,130.013211,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7854,61,True,0.000000000,0,0,1,1,5995,5995,0,True
