source_name,arm,rule,frame_cap,read_frames,admitted_frames,first_admitted_index,last_admitted_index,last_admitted_pts,first_excluded_index,first_excluded_pts,span_s,deadline_s,endpoint_gap_s,overshoot_s,termination_reason,unknown_reason,contained,native_frame_interval_s,draw_j
nba__3gBeJyl7Szg_s4514.mp4,B_g401_fps_frame_cap,frame_cap,6000,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,FRAME_CAP,,True,0.016667,4
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,pts_stop,,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,DEADLINE,,True,0.016667,4
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,5
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,5
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,5
nba__H1-Ns9IU-JM_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,6
nba__H1-Ns9IU-JM_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,6
nba__H1-Ns9IU-JM_s90.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,6
nba__H1-Ns9IU-JM_s4314.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,7
nba__H1-Ns9IU-JM_s4314.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,7
nba__H1-Ns9IU-JM_s4314.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,7
nba__Kh7Fj4ogPN4_s1262.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,8
nba__Kh7Fj4ogPN4_s1262.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,8
nba__Kh7Fj4ogPN4_s1262.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,8
nba__Kh7Fj4ogPN4_s4778.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,9
nba__Kh7Fj4ogPN4_s4778.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,9
nba__Kh7Fj4ogPN4_s4778.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,9
nba__Ktu6yFS9iMo_s1311.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,10
nba__Ktu6yFS9iMo_s1311.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,10
nba__Ktu6yFS9iMo_s1311.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,10
nba__Ktu6yFS9iMo_s4974.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,11
nba__Ktu6yFS9iMo_s4974.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,11
nba__Ktu6yFS9iMo_s4974.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,11
nba__L7o4UCIIqS4_s1373.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,12
nba__L7o4UCIIqS4_s1373.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,12
nba__L7o4UCIIqS4_s1373.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,12
nba__L7o4UCIIqS4_s5222.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,13
nba__L7o4UCIIqS4_s5222.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,13
nba__L7o4UCIIqS4_s5222.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,13
nba__oL9Uaie2v2A_s2438.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,14
nba__oL9Uaie2v2A_s2438.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,14
nba__oL9Uaie2v2A_s2438.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,14
ncaa_basketball__6rQ2sV4upfc_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,15
ncaa_basketball__6rQ2sV4upfc_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,15
ncaa_basketball__6rQ2sV4upfc_s90.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,15
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,16
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,16
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,16
ncaa_basketball__7blRl4zVfrY_s2356.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,17
ncaa_basketball__7blRl4zVfrY_s2356.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,17
ncaa_basketball__7blRl4zVfrY_s2356.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,17
ncaa_basketball__FyMWTVsJvv8_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,18
ncaa_basketball__FyMWTVsJvv8_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,18
ncaa_basketball__FyMWTVsJvv8_s90.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,18
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,19
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,19
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,19
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,20
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,20
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,20
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,21
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,21
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,21
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,22
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,22
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,22
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,23
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,23
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,23
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,24
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,24
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,24
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,25
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,25
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,25
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,26
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,26
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,26
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,27
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,27
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,27
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033322,3000,50.050000,50.033322,100.000000,49.966678,-49.950000,FRAME_CAP,,True,0.016683,28
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,FRAME_CAP,,True,0.016683,28
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016589,99.999900,100.000000,0.000100,0.016589,DEADLINE,,True,0.016683,28
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.033311,3000,50.050000,50.033311,100.000000,49.966689,-49.950000,FRAME_CAP,,True,0.016683,29
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,FRAME_CAP,,True,0.016683,29
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,C_proposed_pts_stop,pts_stop,,5996,5995,0,5994,99.999900,5995,100.016578,99.999900,100.000000,0.000100,0.016578,DEADLINE,,True,0.016683,29
