game_id,rows,seconds,finished_at
0022400909_s2352,005226,002891,1788834384
0022400909_s824,001326,002505,1788834384
0022400909_s3116,005538,002435,1788834646
0022400909_s633,004905,002866,1788834673
0022400909_s2161,005877,003230,1788834697
0022400909_s2925,004251,003256,1788834890
0022400909_s1970,004371,003594,1788835061
0022400909_s1206,003171,005423,1788835090
0022400909_s3498,005604,002380,1788835144
0022400909_s3689,001242,002513,1788835329
0022400909_s3307,005761,003387,1788835804
0022400909_s3880,004425,002374,1788836094
0022400909_s4071,004454,002442,1788836313
0022400909_s60,004516,004756,1788836440
0022401156_s247,004893,002600,1788837277
0022401156_s1369,004781,002154,1788837277
0022400909_s5026,003540,002726,1788837351
0022400909_s5408,003425,002529,1788837399
0022400909_s4262,005267,003378,1788837468
0022400909_s4453,001700,003246,1788837535
0022401156_s1182,004880,002600,1788837698
0022400909_s4644,004058,003383,1788837746
0022400909_s5217,005945,003251,1788837900
0022401156_s1556,006048,003271,1788838579
0022401156_s1930,005791,002633,1788838707
0022401156_s1743,000932,002975,1788838759
0022401156_s2304,004284,002975,1788839396
0022400909_s4835,003289,005191,1788839554
0022401156_s2491,002365,002826,1788840082
0022401156_s2117,004576,003919,1788840212
0022400909_s5599,002873,005196,1788840236
0022401156_s2678,006739,003322,1788840579
0022401156_s3052,004040,003065,1788840580
0022401156_s60,005297,003248,1788840696
0022401156_s434,005235,003487,1788840866
0022401156_s2865,006027,003699,1788841029
0022401156_s3426,005656,003333,1788841060
0022401156_s3239,004882,003469,1788841147
0022401156_s3613,005468,003934,1788841815
0022401156_s3800,004186,003330,1788841889
0022401156_s4174,004658,003364,1788842102
0022401156_s3987,003783,003563,1788842249
0022401156_s4361,003931,003151,1788842526
0022401156_s4922,000334,002472,1788842662
0022401156_s4548,004425,003908,1788843442
0022401156_s4735,003174,003380,1788843442
0022401156_s5109,003811,003490,1788843707
0022401156_s5296,002462,003149,1788843707
0022401156_s5483,002935,003225,1788843783
0022401156_s621,004930,003349,1788844025
0022500081_s1545,002102,002899,1788844026
0022500081_s4812,000000,000146,1788844151
0022401156_s808,004988,003357,1788844203
0022401156_s995,006040,003222,1788844231
0022500081_s1248,003928,003192,1788844231
0022500081_s1842,005077,003006,1788844801
0022500081_s2139,004719,003052,1788844922
0022500081_s4515,000000,001159,1788844922
0022500081_s2733,003673,002844,1788845073
0022500081_s3030,000001,000365,1788845805
0022500081_s357,000002,000365,1788845805
0022500081_s2436,000000,000393,1788845833
0022500081_s3327,000002,000393,1788845834
0022401198_s968,002842,001822,1788847262
0022401198_s1876,005823,001874,1788847314
0022401198_s60,003904,001874,1788847314
0022401198_s2784,003811,001955,1788847395
0022500081_s3921,003985,001635,1788847420
0022500081_s3624,003104,001682,1788847468
0022500081_s5109,004441,001681,1788847494
0022500081_s4218,004835,001959,1788847771
0022500081_s60,003550,001448,1788848742
0022500081_s5406,004572,001639,1788848882
0022500081_s5703,006082,001589,1788848882
0022500081_s6297,005093,001786,1788849186
0022500081_s654,003560,001929,1788849377
0022500081_s6891,005843,001747,1788849499
0022500081_s6594,006114,002097,1788849570
0022500081_s8673,000000,000092,1788849571
0022500621_s7200,000000,000630,1788850181
0022500081_s6000,003889,002979,1788850352
0022500081_s7782,005966,001690,1788850552
0022500081_s7485,006128,001791,1788850653
0022500081_s8079,006292,001762,1788850928
0022500081_s8376,004649,001988,1788851345
0022500081_s951,005416,001914,1788851464
0022500081_s7188,006030,002792,1788851514
0022500621_s8100,003687,001450,1788851612
0022500630_s5400,001627,001154,1788851686
0022500621_s900,004899,001474,1788851806
0022500630_s6000,003281,001291,1788851924
0022500630_s6600,002770,001202,1788852111
