sheet_id,game_id,prefix,final_label,other_sport,shipped_utc,content,gate_reason,max_surface_permille,near_share,bytes_per_frame
sheet_0069,eurocup-qrWmO434a0k_s6875,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788874073,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0071,bleague-oW8psSa2hf4_s6360,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788895439,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0073,fiba--x4DRmtYn4Q_s4283,fiba,BASKETBALL_NONPLAY,,2026-09-10T19:08:08Z,accept,playing_surface_and_shot_continuity_present,334,0.0,13602
sheet_0074,cba-8R8t7v2N-zQ_s4176,cba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788900709,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0076,fiba-UG_eQNRDHiI_s1385,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788910966,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0081,fiba-A2W5ZjAgr7M_s5398,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788891657,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0083,euroleague-Rwt3m7deGg0_s6650,euroleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788882536,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0084,UzaYBYy3GZg_s5242,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872362,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0088,fiba-jFUMvm_epUE_s2750,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788907648,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0089,UHJ90jJmCYw_s5635,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788902830,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0090,QXFM3hlaDAk_s2660,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872090,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0102,acb-_a72WK36Its_s6520,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788893663,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0104,fiba-fyp4VsE-8Fc_s5499,fiba,BASKETBALL_NONPLAY,,2026-09-10T18:53:22Z,accept,playing_surface_and_shot_continuity_present,619,0.0,12044
sheet_0106,N-eE7ZwTuno_s3744,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T16:50:35Z,accept,playing_surface_and_shot_continuity_present,422,0.0,16570
sheet_0107,fiba-58p-Cj2gY7I_s1400,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788874697,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0108,gleague-_fl2i6vToTM_s3764,gleague,BASKETBALL_NONPLAY,,2026-09-10T18:29:36Z,accept,playing_surface_and_shot_continuity_present,612,0.0,10384
sheet_0109,RIrGQJ_jsGQ_s2795,nba,BASKETBALL_NONPLAY,,2026-09-10T19:28:31Z,accept,playing_surface_and_shot_continuity_present,322,0.0,17462
sheet_0113,bt3NwN7k8bY_s3312,nba,NON_SPORT,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788876462,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0116,wd08fix8q3Q_s5830,wnba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788898271,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0117,QXFM3hlaDAk_s5230,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872507,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0118,cba-FaMCJR6tFm0_s90,cba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788896049,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0121,euroleague-8ue528gaVyY_s1228,euroleague,BASKETBALL_NONPLAY,,2026-09-10T16:57:54Z,accept,playing_surface_and_shot_continuity_present,392,0.018,17277
sheet_0122,eurocup-Y6POC6V1Y5E_s1221,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788907315,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0123,fiba-7HQqWMaKxpA_s4185,fiba,BASKETBALL_NONPLAY,,2026-09-10T17:20:53Z,review,ambiguous_content_fail_open,33,0.0,11024
sheet_0125,EqseleqhpTk_s2765,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T19:00:28Z,accept,playing_surface_and_shot_continuity_present,906,0.0,18833
sheet_0126,GNjSxoeDT-E_s2309,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T18:57:55Z,accept,playing_surface_and_shot_continuity_present,639,0.0,15716
sheet_0136,ncaaw-yFLPyfhtpR4_s6155,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788891511,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0137,bleague-oW8psSa2hf4_s3852,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788894981,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0138,ncaaw-PKm-w1NE8J0_s3525,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788876025,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0141,850xnW8BoAU_s5162,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788878977,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0144,euroleague-a_GxgklBtEs_s2783,euroleague,BASKETBALL_NONPLAY,,2026-09-10T19:51:12Z,accept,playing_surface_and_shot_continuity_present,273,0.0,11580
sheet_0149,gleague-_fl2i6vToTM_s3097,gleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788860917,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0150,5U9k1U6nN-g_s4558,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788876441,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0153,1zPhldjbJnU_s4514,wnba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788914045,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0154,fiba-14Mh4JjtLVg_s90,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788900731,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0157,fiba--x4DRmtYn4Q_s7035,fiba,BASKETBALL_NONPLAY,,2026-09-10T19:08:40Z,accept,playing_surface_and_shot_continuity_present,186,0.017,9002
sheet_0165,cba-FaMCJR6tFm0_s3819,cba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788895916,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0167,lnb-ouDVA0vM20g_s6535,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788896512,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0174,nbl-YqB41CtbFqA_s5518,nbl,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788881590,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0176,1E5Rw89keTg_s534,wnba,BASKETBALL_NONPLAY,,2026-09-10T16:46:36Z,accept,playing_surface_and_shot_continuity_present,459,0.0,18032
sheet_0177,fiba-tFnl0NVn6FA_s2774,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788914932,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0181,ncaaw-2u7_bVcenTg_s5074,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788885207,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0182,WeheQidCPXI_s2688,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788871257,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0183,fiba-IGcau1WL8Q0_s5586,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788879207,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0184,fiba-fyp4VsE-8Fc_s1491,fiba,BASKETBALL_NONPLAY,,2026-09-10T18:51:58Z,review,ambiguous_content_fail_open,760,0.0,11722
sheet_0185,lnb-GnTuUGxkWOE_s90,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788889739,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0187,euroleague-Rwt3m7deGg0_s2714,euroleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788881466,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0188,lnb-ouDVA0vM20g_s1379,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788896450,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0189,WeheQidCPXI_s5286,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788871509,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0196,fiba-Byk8aH-n_U4_s1491,fiba,BASKETBALL_NONPLAY,,2026-09-10T18:48:12Z,accept,playing_surface_and_shot_continuity_present,426,0.0,15523
sheet_0200,XzIzQZBrPBY_s244,nba,BASKETBALL_NONPLAY,,2026-09-10T16:54:27Z,accept,playing_surface_and_shot_continuity_present,604,0.0,12044
sheet_0202,lnb-oNjFF2XRKgA_s90,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872794,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0205,fiba-fyp4VsE-8Fc_s4098,fiba,BASKETBALL_NONPLAY,,2026-09-10T17:40:10Z,accept,playing_surface_and_shot_continuity_present,313,0.0,11473
sheet_0206,ncaaw-yFLPyfhtpR4_s3729,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788890982,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0209,gleague-oOUJmFpxNFs_s568,gleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788888744,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0211,acb-6NGcNkDDK9o_s6320,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788902976,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0213,QXFM3hlaDAk_s1375,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788871778,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0214,euroleague-8ue528gaVyY_s5845,euroleague,BASKETBALL_NONPLAY,,2026-09-10T18:19:26Z,accept,playing_surface_and_shot_continuity_present,275,0.0,15031
sheet_0217,EqseleqhpTk_s5310,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T17:47:12Z,accept,playing_surface_and_shot_continuity_present,752,0.0,16662
sheet_0220,gleague-_fl2i6vToTM_s6105,gleague,BASKETBALL_NONPLAY,,2026-09-10T17:07:11Z,accept,playing_surface_and_shot_continuity_present,675,0.0,10986
sheet_0221,bleague-oW8psSa2hf4_s5106,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788895002,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0222,nbl-kRQtUZmPm0E_s636,nbl,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788914728,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0225,ncaaw-97NekCpWCeo_s2846,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788874032,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0233,UPco-jzOoEg_s2796,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788910860,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0235,ncaaw-UCVSlzgun0o_s4506,ncaaw,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788899277,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0237,lnb-3_eNM4ikjzY_s6810,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788886087,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0239,gleague-_fl2i6vToTM_s1293,gleague,BASKETBALL_NONPLAY,,2026-09-10T17:05:57Z,accept,playing_surface_and_shot_continuity_present,564,0.0,11266
sheet_0241,jKoEJNdiRyI_s3429,wnba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788893346,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0242,s4xx-bV7D8I_s868,wnba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788898271,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0247,cba-FaMCJR6tFm0_s5062,cba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788896386,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0252,hOtf1-DI88w_s6680,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788885123,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0253,wJSOHbeQcg4_s5540,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T17:34:09Z,accept,playing_surface_and_shot_continuity_present,786,0.0,17029
sheet_0254,acb-8Oh7-GrvKvE_s3900,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788910286,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0255,euroleague-a_GxgklBtEs_s1469,euroleague,BASKETBALL_NONPLAY,,2026-09-10T19:50:30Z,accept,playing_surface_and_shot_continuity_present,241,0.0,11262
sheet_0258,N-eE7ZwTuno_s1390,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788854611,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0260,gleague--PH9jt8lss0_s1197,gleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788881630,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0264,E-5WuXXdGSA_s3993,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788891906,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0266,fiba-tFnl0NVn6FA_s6800,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788915305,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0269,5U9k1U6nN-g_s1207,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788875665,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0270,fiba-7HQqWMaKxpA_s155,fiba,BASKETBALL_NONPLAY,,2026-09-10T19:14:29Z,accept,playing_surface_and_shot_continuity_present,236,0.0,13656
sheet_0271,G8bPOW37Sp0_s615,wnba,BASKETBALL_NONPLAY,,2026-09-10T19:26:03Z,accept,playing_surface_and_shot_continuity_present,261,0.0,16422
sheet_0277,fXLNra4sjjU_s4682,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T17:01:48Z,accept,playing_surface_and_shot_continuity_present,490,0.0,18457
sheet_0279,myAuD3DmJMY_s2668,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788900751,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0280,jKoEJNdiRyI_s90,wnba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788893958,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0282,HUSo3PzP7lo_s60,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788853969,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0285,wHs1OssEcAw_s2276,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788912921,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0286,acb-IZW8vZFesBI_s4089,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788889314,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0287,uZkAbRqeGrc_s1607,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788877732,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0290,bleague-oW8psSa2hf4_s1344,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788894521,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0291,fiba--x4DRmtYn4Q_s2907,fiba,BASKETBALL_NONPLAY,,2026-09-10T19:07:49Z,accept,playing_surface_and_shot_continuity_present,177,0.0,12998
sheet_0294,euroleague-8ue528gaVyY_s4707,euroleague,BASKETBALL_NONPLAY,,2026-09-10T18:19:08Z,accept,playing_surface_and_shot_continuity_present,689,0.0,20209
sheet_0295,acb-_a72WK36Its_s3948,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788894144,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0296,h5pTl8fOM2U_s4502,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788915675,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0297,eurocup-qrWmO434a0k_s1447,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788873616,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0298,fiba-XKDW0xL3yKc_s6295,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788870858,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0299,eurocup-RuYvEezE47Y_s4089,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788890775,UNKNOWN,UNKNOWN,UNKNOWN
