tick_key,baseline_loss,candidate_loss,n_train
wnba_5l4:354,0.1,000000,000180
wnba_5l4:357,000000,000000,000180
wnba_5l4:360,0.1,0.1,000180
wnba_5l4:363,000000,000000,000180
wnba_5l4:369,0.1,0.1,000180
wnba_5l4:372,0.3,0.3,000180
wnba_5l4:375,000000,000000,000180
wnba_5l4:378,0.1,0.1,000180
wnba_5l4:381,000000,000000,000180
wnba_5l4:384,000000,000000,000180
wnba_5l4:387,000000,0.1,000180
wnba_5l4:390,000000,000000,000180
wnba_5l4:393,000000,000000,000180
wnba_5l4:396,0.1,000000,000180
wnba_5l4:399,0.1,0.1,000180
wnba_5l4:402,0.1,0.1,000180
wnba_5l4:405,000000,000000,000180
wnba_5l4:408,0.1,0.1,000180
wnba_5l4:411,000000,0.1,000180
wnba_5l4:414,0.1,0.1,000180
wnba_5l4:417,0.1,000000,000180
wnba_5l4:420,0.1,0.1,000180
wnba_5l4:423,0.2,000000,000180
wnba_5l4:426,0.1,000000,000180
wnba_5l4:429,0.1,000000,000180
wnba_5l4:432,0.1,000000,000180
wnba_5l4:435,000000,000000,000180
wnba_5l4:438,0.1,0.1,000180
wnba_5l4:441,000000,000000,000180
wnba_5l4:444,0.2,0.1,000180
wnba_5l4:447,0.2,000000,000180
wnba_5l4:450,000000,000000,000180
wnba_5l4:453,0.1,0.1,000180
wnba_5l4:456,0.1,000000,000180
wnba_5l4:459,000000,000000,000180
wnba_5l4:462,000000,000000,000180
wnba_5l4:465,0.2,0.2,000180
wnba_5l4:468,000000,000000,000180
wnba_5l4:471,000000,000000,000180
wnba_5l4:474,0.2,0.2,000180
wnba_5l4:477,0.1,0.1,000180
wnba_5l4:480,0.2,000000,000180
wnba_5l4:483,000000,000000,000180
wnba_5l4:486,0.1,0.1,000180
wnba_5l4:489,0.1,0.1,000180
wnba_5l4:492,0.2,0.1,000180
wnba_5l4:495,0.1,0.1,000180
wnba_5l4:498,000000,000000,000180
wnba_5l4:501,000000,000000,000180
wnba_5l4:504,000000,000000,000180
wnba_5l4:507,000000,000000,000180
wnba_5l4:510,0.1,0.1,000180
wnba_5l4:513,000000,000000,000180
wnba_5l4:516,000000,000000,000180
wnba_5l4:519,000000,000000,000180
wnba_5l4:522,000000,000000,000180
wnba_5l4:525,0.1,0.1,000180
wnba_5l4:528,0.1,0.1,000180
wnba_5l4:531,000000,000000,000180
wnba_5l4:534,000000,000000,000180
wnba_5l4:537,0.1,0.1,000180
wnba_5l4:540,000000,000000,000180
wnba_5l4:543,0.3,0.3,000180
wnba_5l4:546,000000,000000,000180
wnba_5l4:549,000000,000000,000180
wnba_5l4:552,000000,000000,000180
wnba_5l4:555,000000,000000,000180
wnba_5l4:558,000000,000000,000180
wnba_5l4:561,000000,000000,000180
wnba_5l4:564,000000,000000,000180
wnba_5l4:567,0.1,000000,000180
wnba_5l4:570,0.2,0.1,000180
wnba_5l4:573,000000,000000,000180
wnba_5l4:576,0.3,0.2,000180
wnba_5l4:579,0.2,0.2,000180
wnba_5l4:582,0.1,000000,000180
wnba_5l4:585,000000,000000,000180
wnba_5l4:588,0.3,0.2,000180
wnba_5l4:591,0.3,0.2,000180
wnba_5l4:594,0.1,000000,000180
wnba_5l4:597,0.2,000000,000180
wnba_5l4:600,0.2,0.1,000180
wnba_5l4:603,0.1,000000,000180
