clip_id,sport,path,samples,surface_frac,graphic_frac,verdict
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,24,1.0,0.0,USABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,24,1.0,0.0,USABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,24,0.958,0.0,USABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,24,1.0,0.0,USABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,24,1.0,0.0,USABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball,data/footage_corpus/ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,24,1.0,0.0,USABLE
npb__npb_01_720p,npb,data/footage_corpus/npb__npb_01_720p.mp4,24,0.75,0.0,USABLE
npb__npb_3PwJwWdTMek,npb,data/footage_corpus/npb__npb_3PwJwWdTMek.mp4,24,1.0,0.0,USABLE
npb__npb_HQfhD5Iwm7U,npb,data/footage_corpus/npb__npb_HQfhD5Iwm7U.mp4,24,1.0,0.0,USABLE
npb__npb_V3FrwLVwCpA,npb,data/footage_corpus/npb__npb_V3FrwLVwCpA.mp4,24,0.958,0.0,USABLE
npb__npb_jm2Ocr-LAtc,npb,data/footage_corpus/npb__npb_jm2Ocr-LAtc.mp4,24,0.833,0.042,USABLE
npb__npb_kqPv-_WwWLk,npb,data/footage_corpus/npb__npb_kqPv-_WwWLk.mp4,24,1.0,0.0,USABLE
soccer__soccer_AgspyOj5BPk,soccer,data/footage_corpus/soccer__soccer_AgspyOj5BPk.mp4,24,0.958,0.0,USABLE
soccer__soccer_DdnvC6-PGYY,soccer,data/footage_corpus/soccer__soccer_DdnvC6-PGYY.mp4,24,0.833,0.0,USABLE
soccer__soccer_EKhrdU9bVZA,soccer,data/footage_corpus/soccer__soccer_EKhrdU9bVZA.mp4,24,0.958,0.0,USABLE
soccer__soccer_cKXZysISV4w,soccer,data/footage_corpus/soccer__soccer_cKXZysISV4w.mp4,24,0.958,0.0,USABLE
soccer__soccer_kSgNjoaqCpI_1080p,soccer,data/footage_corpus/soccer__soccer_kSgNjoaqCpI_1080p.mp4,24,0.917,0.0,USABLE
tennis__tennis_06,tennis,data/footage_corpus/tennis__tennis_06.mp4,24,0.917,0.0,USABLE
tennis__tennis_07,tennis,data/footage_corpus/tennis__tennis_07.mp4,24,0.917,0.0,USABLE
tennis__tennis_08,tennis,data/footage_corpus/tennis__tennis_08.mp4,24,1.0,0.0,USABLE
tennis__tennis_09,tennis,data/footage_corpus/tennis__tennis_09.mp4,24,1.0,0.0,USABLE
tennis__tennis_10,tennis,data/footage_corpus/tennis__tennis_10.mp4,24,1.0,0.0,USABLE
tennis__tennis_3x3eEWCZmWQ,tennis,data/footage_corpus/tennis__tennis_3x3eEWCZmWQ.mp4,24,1.0,0.0,USABLE
tennis__tennis_459iho5_AFs,tennis,data/footage_corpus/tennis__tennis_459iho5_AFs.mp4,24,1.0,0.0,USABLE
tennis__tennis_nyYk2nPZAwY,tennis,data/footage_corpus/tennis__tennis_nyYk2nPZAwY.mp4,24,1.0,0.0,USABLE
tennis__tennis_nyYk2nPZAwY_720p,tennis,data/footage_corpus/tennis__tennis_nyYk2nPZAwY_720p.mp4,24,1.0,0.0,USABLE
wnba__wnba_01,wnba,data/footage_corpus/wnba__wnba_01.mp4,24,1.0,0.0,USABLE
wnba__wnba_01_1080p,wnba,data/footage_corpus/wnba__wnba_01_1080p.mp4,24,1.0,0.0,USABLE
wnba__wnba_02,wnba,data/footage_corpus/wnba__wnba_02.mp4,24,1.0,0.0,USABLE
wnba__wnba_04,wnba,data/footage_corpus/wnba__wnba_04.mp4,24,1.0,0.0,USABLE
wnba__wnba_05,wnba,data/footage_corpus/wnba__wnba_05.mp4,24,0.042,0.0,SUSPECT
