section_id,set,declared_ticks,producer_evaluated_ticks,schedule_reason,m1_observed_ticks_in_declared,m1_zero_ticks_over_declared,m1_zero_share_over_declared,m1_observed_ticks_in_producer_evaluated,m1_zero_ticks_over_producer_evaluated,m1_zero_share_over_producer_evaluated
XCaGht2GmPg_s90,FRESH69,1299,500,,49,1250,0.962279,49,451,0.902000
XzIzQZBrPBY_s244,FRESH69,1299,500,,28,1271,0.978445,28,472,0.944000
XzIzQZBrPBY_s398,FRESH69,1299,500,,215,1084,0.834488,215,285,0.570000
XzIzQZBrPBY_s90,FRESH69,1299,500,,427,872,0.671286,427,73,0.146000
eaKqXq9dfig_s259,FRESH69,1301,500,,34,1267,0.973866,34,466,0.932000
eaKqXq9dfig_s428,FRESH69,1301,500,,146,1155,0.887779,146,354,0.708000
eaKqXq9dfig_s90,FRESH69,1301,500,,176,1125,0.864719,176,324,0.648000
fXLNra4sjjU_s5830,FRESH69,1299,1000,,16,1283,0.987683,16,984,0.984000
fXLNra4sjjU_s90,FRESH69,1299,1000,,30,1269,0.976905,30,970,0.970000
h6j_iLYRx8U_s1424,FRESH69,1299,500,,108,1191,0.916859,108,392,0.784000
h6j_iLYRx8U_s2758,FRESH69,1299,500,,254,1045,0.804465,254,246,0.492000
h6j_iLYRx8U_s4092,FRESH69,1299,500,,106,1193,0.918399,106,394,0.788000
h6j_iLYRx8U_s5426,FRESH69,1299,500,,20,1279,0.984604,20,480,0.960000
h6j_iLYRx8U_s6760,FRESH69,1299,500,,162,1137,0.875289,162,338,0.676000
h6j_iLYRx8U_s90,FRESH69,1299,500,,24,1275,0.981524,24,476,0.952000
wJSOHbeQcg4_s1180,FRESH69,1301,1000,,746,555,0.426595,746,254,0.254000
wJSOHbeQcg4_s2270,FRESH69,1301,1000,,604,697,0.535742,604,396,0.396000
wJSOHbeQcg4_s3360,FRESH69,1301,1000,,465,836,0.642583,465,535,0.535000
wJSOHbeQcg4_s4450,FRESH69,1301,1000,,681,620,0.476556,681,319,0.319000
wJSOHbeQcg4_s5540,FRESH69,1301,1000,,49,1252,0.962337,49,951,0.951000
wJSOHbeQcg4_s90,FRESH69,1301,1000,,653,648,0.498078,653,347,0.347000
