section_id,set,file,present,bytes,sha256
EqseleqhpTk_s90,FRESH69,ball_tracking.csv,1,35805,7ba37e28b44d0aa73469cdcc545fc1bf3837544223a4a421f354b63bc6c1ef0e
EqseleqhpTk_s90,FRESH69,evaluated_frame_count.json,0,,ABSENT
EqseleqhpTk_s90,FRESH69,harness_verdict.json,0,,ABSENT
G8bPOW37Sp0_s320,FRESH69,tracking_data.csv,1,1250013,624b5f6c4bf7e122d46bcc5788d42b16f4cae2544168238d3dd62b20f2596bd3
G8bPOW37Sp0_s320,FRESH69,ball_tracking.csv,1,33506,c49ff79d5a6b82e6c29e67c091c06b4b083d251492bca47b3a6a4aa57977d70d
G8bPOW37Sp0_s320,FRESH69,evaluated_frame_count.json,0,,ABSENT
G8bPOW37Sp0_s320,FRESH69,harness_verdict.json,0,,ABSENT
G8bPOW37Sp0_s550,FRESH69,tracking_data.csv,1,1864365,76359b5455f8fabed89630974c9817c477fdc4096243d92e74872fbd96a0ba14
G8bPOW37Sp0_s550,FRESH69,ball_tracking.csv,1,34517,9fedab85455f852db83937f406a5a53fbf1bac8a1dc7de8b5445735bc640746b
G8bPOW37Sp0_s550,FRESH69,evaluated_frame_count.json,0,,ABSENT
G8bPOW37Sp0_s550,FRESH69,harness_verdict.json,0,,ABSENT
G8bPOW37Sp0_s90,FRESH69,tracking_data.csv,1,1316293,606363e091bf38e49232d4a7dea8e8f510f941a623cb967208b3bc02d9f05cd6
G8bPOW37Sp0_s90,FRESH69,ball_tracking.csv,1,31142,0e8398a24db9b26feaed52743320a4cfe44c987b0f45aec5e349bbe71bb17e5a
G8bPOW37Sp0_s90,FRESH69,evaluated_frame_count.json,0,,ABSENT
G8bPOW37Sp0_s90,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s1167,FRESH69,tracking_data.csv,1,1770891,1cc18e175a7ab6ef0234594f7d6ad811d9a124e8e434eeee4a197f14be858c83
GNjSxoeDT-E_s1167,FRESH69,ball_tracking.csv,1,32327,2e7f8de5d8ca67ad8feae47abda9575876c1fde6fb546a5191bb2355181ddb1a
GNjSxoeDT-E_s1167,FRESH69,evaluated_frame_count.json,0,,ABSENT
GNjSxoeDT-E_s1167,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s2244,FRESH69,tracking_data.csv,1,1612437,1ea3d7f81921289918562ab020495072eb0442538667fea5ee8036472f77a445
GNjSxoeDT-E_s2244,FRESH69,ball_tracking.csv,1,31975,77c843c9b99bfe949ed7b468d2fbb8999692a931d521533f0a9c9023d35841ea
GNjSxoeDT-E_s2244,FRESH69,evaluated_frame_count.json,0,,ABSENT
GNjSxoeDT-E_s2244,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s3321,FRESH69,tracking_data.csv,1,773396,5e1c6b4120c1b98b7092e9a9143f1feb59fed38398fb4b62dfe06c442587d0f4
GNjSxoeDT-E_s3321,FRESH69,ball_tracking.csv,1,29803,8a626a5f7933e13b4aed64be108137d41aa371d659669376c73b540bdd6d8433
GNjSxoeDT-E_s3321,FRESH69,evaluated_frame_count.json,0,,ABSENT
GNjSxoeDT-E_s3321,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s4398,FRESH69,tracking_data.csv,1,1773236,769b59eaf09c89d915167aa91f09be4638dc4b72a44406747f1d725ada938d3b
GNjSxoeDT-E_s4398,FRESH69,ball_tracking.csv,1,34783,63ab1fbc062c44439821a2a61c0e4863c40de3eb3eba6691afb78dec691c3d9c
GNjSxoeDT-E_s4398,FRESH69,evaluated_frame_count.json,0,,ABSENT
GNjSxoeDT-E_s4398,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s5475,FRESH69,tracking_data.csv,1,2099536,dc1790e9db6ebaa25dc0c0434104f8e453c79967c63b4cc3fa26b44a6987c6a4
GNjSxoeDT-E_s5475,FRESH69,ball_tracking.csv,1,39027,f35e0c0ff4b1b2e0fbd7926e8b85fd8b5d7df2b4559452d29f4a62e3b8c6c191
GNjSxoeDT-E_s5475,FRESH69,evaluated_frame_count.json,0,,ABSENT
GNjSxoeDT-E_s5475,FRESH69,harness_verdict.json,0,,ABSENT
GNjSxoeDT-E_s90,FRESH69,tracking_data.csv,1,656762,dc414fc8a0d60dc519ec31c029ec637ee149b1cc27a4ef10a415f082549a4bd4
GNjSxoeDT-E_s90,FRESH69,ball_tracking.csv,1,30328,47847ad317af8e63d6a816417ccbac8ddf49cb7e02a4b0ee74ea9cc0456951ba
GNjSxoeDT-E_s90,FRESH69,evaluated_frame_count.json,0,,ABSENT
