section_id,set,frame,tick_class,sub_reason
1zPhldjbJnU_s1196,SEALED34,387,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,390,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,393,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,396,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,399,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,402,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,405,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,408,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,411,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,414,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,417,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,420,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,423,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,426,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,429,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,432,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,435,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,438,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,441,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,444,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,447,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,450,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,453,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,456,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,459,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,462,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,465,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,468,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,471,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,474,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,477,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,480,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,483,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,486,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,489,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,492,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,495,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,498,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,501,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,504,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,507,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,510,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,513,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,516,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,519,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,522,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,525,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,528,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,531,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,534,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,537,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,540,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,543,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,546,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,549,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,552,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,555,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,558,OBSERVED,
