section_id,set,declared_ticks,producer_evaluated_ticks,route_capped_ticks,ledger_evaluated_frames,observed_ticks,observed_ticks_in_declared,ledger_minus_producer,restate_evaluated_frames,zero_share_over_declared,zero_share_over_producer_evaluated,g368_observed_pairs,g368_producer_pairs,m1_observed_ticks_in_producer_evaluated,m1_zero_ticks_over_producer_evaluated,m1_zero_share_over_producer_evaluated
ncaaw-lFZWLVzvCEs_s4374,SEALED34,1300,1000,1000,1300,936,936,300,1,0.280000,0.064000,935,999,265,735,0.735000
ncaaw-lFZWLVzvCEs_s90,SEALED34,1299,1000,1000,1299,1000,1000,299,1,0.230177,0.000000,999,999,649,351,0.351000
tDpmV777-IQ_s5262,SEALED34,1299,500,500,1299,446,446,799,1,0.656659,0.108000,445,499,394,106,0.212000
wHs1OssEcAw_s1183,SEALED34,1299,500,500,1299,494,494,799,1,0.619707,0.012000,493,499,466,34,0.068000
wHs1OssEcAw_s3369,SEALED34,1299,500,500,1299,500,500,799,1,0.615089,0.000000,499,499,27,473,0.946000
wHs1OssEcAw_s5555,SEALED34,1299,500,500,1299,392,392,799,1,0.698229,0.216000,391,499,182,318,0.636000
0KIBu1jQBL8_s1205,FRESH69,1299,269,ABSENT,1299,269,269,1030,1,0.792918,0.000000,268,268,192,77,0.286245
0KIBu1jQBL8_s2320,FRESH69,1299,224,ABSENT,1299,224,224,1075,1,0.827560,0.000000,223,223,30,194,0.866071
0KIBu1jQBL8_s3435,FRESH69,1299,804,ABSENT,1299,798,798,495,1,0.385681,0.007463,797,803,41,763,0.949005
0KIBu1jQBL8_s4550,FRESH69,1299,524,ABSENT,1299,499,499,775,1,0.615858,0.047710,498,523,429,95,0.181298
0KIBu1jQBL8_s5665,FRESH69,1299,1000,ABSENT,1299,963,963,299,1,0.258661,0.037000,962,999,843,157,0.157000
0KIBu1jQBL8_s90,FRESH69,1299,614,ABSENT,1299,231,231,685,1,0.822171,0.623779,230,613,45,569,0.926710
1E5Rw89keTg_s312,FRESH69,1299,1000,1000,1299,1000,1000,299,1,0.230177,0.000000,999,999,30,970,0.970000
1E5Rw89keTg_s534,FRESH69,1300,1000,1000,1300,989,989,300,1,0.239231,0.011000,988,999,122,878,0.878000
1E5Rw89keTg_s90,FRESH69,1299,1000,1000,1299,1000,1000,299,1,0.230177,0.000000,999,999,346,654,0.654000
6FlZaoWSfFw_s337,FRESH69,1300,1000,1000,1300,1000,1000,300,1,0.230769,0.000000,999,999,483,517,0.517000
6FlZaoWSfFw_s584,FRESH69,1299,824,1000,1299,800,800,475,1,0.384142,0.029126,799,823,399,425,0.515777
6FlZaoWSfFw_s90,FRESH69,1299,1000,1000,1299,995,995,299,1,0.234026,0.005000,994,999,30,970,0.970000
9F5q5jCbrMI_s1270,FRESH69,1299,500,500,1299,470,470,799,1,0.638183,0.060000,469,499,454,46,0.092000
9F5q5jCbrMI_s2450,FRESH69,1299,500,500,1299,437,437,799,1,0.663587,0.126000,436,499,159,341,0.682000
9F5q5jCbrMI_s3630,FRESH69,1299,500,500,1299,500,500,799,1,0.615089,0.000000,499,499,115,385,0.770000
9F5q5jCbrMI_s4810,FRESH69,1299,500,500,1299,500,500,799,1,0.615089,0.000000,499,499,381,119,0.238000
9F5q5jCbrMI_s90,FRESH69,1291,500,500,1291,500,500,791,1,0.612703,0.000000,499,499,374,126,0.252000
EqseleqhpTk_s1395,FRESH69,1299,1000,ABSENT,1299,999,999,299,1,0.230947,0.001000,998,999,541,459,0.459000
EqseleqhpTk_s2700,FRESH69,1299,1000,ABSENT,1299,961,961,299,1,0.260200,0.039000,960,999,75,925,0.925000
EqseleqhpTk_s4005,FRESH69,1300,1000,ABSENT,1300,968,968,300,1,0.255385,0.032000,967,999,954,46,0.046000
EqseleqhpTk_s5310,FRESH69,1299,939,ABSENT,1299,914,914,360,1,0.296382,0.026624,913,938,28,911,0.970181
EqseleqhpTk_s90,FRESH69,1299,1000,ABSENT,1299,995,995,299,1,0.234026,0.005000,994,999,742,258,0.258000
G8bPOW37Sp0_s320,FRESH69,1299,1000,ABSENT,1299,1000,1000,299,1,0.230177,0.000000,999,999,314,686,0.686000
G8bPOW37Sp0_s550,FRESH69,1299,1000,ABSENT,1299,1000,1000,299,1,0.230177,0.000000,999,999,250,750,0.750000
G8bPOW37Sp0_s90,FRESH69,1299,1000,ABSENT,1299,941,941,299,1,0.275597,0.059000,940,999,557,443,0.443000
GNjSxoeDT-E_s1167,FRESH69,1299,1000,ABSENT,1299,1000,1000,299,1,0.230177,0.000000,999,999,566,434,0.434000
GNjSxoeDT-E_s2244,FRESH69,1299,1000,ABSENT,1299,988,988,299,1,0.239415,0.012000,987,999,504,496,0.496000
GNjSxoeDT-E_s3321,FRESH69,1299,1000,ABSENT,1299,736,736,299,1,0.433410,0.264000,735,999,167,833,0.833000
GNjSxoeDT-E_s4398,FRESH69,1299,1000,ABSENT,1299,1000,1000,299,1,0.230177,0.000000,999,999,16,984,0.984000
GNjSxoeDT-E_s5475,FRESH69,1300,1000,ABSENT,1300,1000,1000,300,1,0.230769,0.000000,999,999,92,908,0.908000
GNjSxoeDT-E_s90,FRESH69,1299,1000,ABSENT,1299,655,655,299,1,0.495766,0.345000,654,999,110,890,0.890000
HUSo3PzP7lo_s246,FRESH69,1299,500,500,1299,499,499,799,1,0.615858,0.002000,498,499,60,440,0.880000
HUSo3PzP7lo_s402,FRESH69,1299,500,500,1299,418,418,799,1,0.678214,0.164000,417,499,173,327,0.654000
HUSo3PzP7lo_s90,FRESH69,1299,493,500,1299,493,493,806,1,0.620477,0.000000,492,492,436,57,0.115619
N-eE7ZwTuno_s1308,FRESH69,1299,1000,1000,1299,1000,1000,299,1,0.230177,0.000000,999,999,757,243,0.243000
N-eE7ZwTuno_s2526,FRESH69,1299,1000,1000,1299,962,962,299,1,0.259430,0.038000,961,999,674,326,0.326000
N-eE7ZwTuno_s3744,FRESH69,1299,1000,1000,1299,988,988,299,1,0.239415,0.012000,987,999,834,166,0.166000
N-eE7ZwTuno_s4962,FRESH69,1299,1000,1000,1299,1000,1000,299,1,0.230177,0.000000,999,999,601,399,0.399000
N-eE7ZwTuno_s90,FRESH69,1299,1000,1000,1299,989,989,299,1,0.238645,0.011000,988,999,25,975,0.975000
RIrGQJ_jsGQ_s1410,FRESH69,1301,1000,ABSENT,1301,1000,1000,301,1,0.231360,0.000000,999,999,717,283,0.283000
RIrGQJ_jsGQ_s2730,FRESH69,1301,779,ABSENT,1301,778,778,522,1,0.401998,0.001284,777,778,373,406,0.521181
RIrGQJ_jsGQ_s4050,FRESH69,1301,1000,ABSENT,1301,1000,1000,301,1,0.231360,0.000000,999,999,292,708,0.708000
RIrGQJ_jsGQ_s5370,FRESH69,1301,1000,ABSENT,1301,999,999,301,1,0.232129,0.001000,998,999,923,77,0.077000
RIrGQJ_jsGQ_s90,FRESH69,1301,780,1000,1301,532,532,521,1,0.591084,0.317949,531,779,283,497,0.637179
XCaGht2GmPg_s1416,FRESH69,1299,500,ABSENT,1299,493,493,799,1,0.620477,0.014000,492,499,78,422,0.844000
XCaGht2GmPg_s2742,FRESH69,1299,500,500,1299,500,500,799,1,0.615089,0.000000,499,499,453,47,0.094000
XCaGht2GmPg_s4068,FRESH69,1299,500,ABSENT,1299,495,495,799,1,0.618938,0.010000,494,499,37,463,0.926000
XCaGht2GmPg_s5394,FRESH69,1299,500,ABSENT,1299,499,499,799,1,0.615858,0.002000,498,499,23,477,0.954000
XCaGht2GmPg_s90,FRESH69,1299,500,ABSENT,1299,497,497,799,1,0.617398,0.006000,496,499,49,451,0.902000
XzIzQZBrPBY_s244,FRESH69,1299,500,500,1299,498,498,799,1,0.616628,0.004000,497,499,28,472,0.944000
XzIzQZBrPBY_s398,FRESH69,1299,500,500,1299,493,493,799,1,0.620477,0.014000,492,499,215,285,0.570000
XzIzQZBrPBY_s90,FRESH69,1299,500,500,1299,499,499,799,1,0.615858,0.002000,498,499,427,73,0.146000
eaKqXq9dfig_s259,FRESH69,1301,500,500,1301,500,500,801,1,0.615680,0.000000,499,499,34,466,0.932000
eaKqXq9dfig_s428,FRESH69,1301,500,500,1301,495,495,801,1,0.619523,0.010000,494,499,146,354,0.708000
eaKqXq9dfig_s90,FRESH69,1301,500,500,1301,496,496,801,1,0.618755,0.008000,495,499,176,324,0.648000
fXLNra4sjjU_s5830,FRESH69,1299,1000,ABSENT,1299,949,949,299,1,0.269438,0.051000,948,999,16,984,0.984000
fXLNra4sjjU_s90,FRESH69,1299,1000,ABSENT,1299,999,999,299,1,0.230947,0.001000,998,999,30,970,0.970000
h6j_iLYRx8U_s1424,FRESH69,1299,500,ABSENT,1299,500,500,799,1,0.615089,0.000000,499,499,108,392,0.784000
h6j_iLYRx8U_s2758,FRESH69,1299,500,ABSENT,1299,500,500,799,1,0.615089,0.000000,499,499,254,246,0.492000
h6j_iLYRx8U_s4092,FRESH69,1299,500,ABSENT,1299,500,500,799,1,0.615089,0.000000,499,499,106,394,0.788000
h6j_iLYRx8U_s5426,FRESH69,1299,500,ABSENT,1299,500,500,799,1,0.615089,0.000000,499,499,20,480,0.960000
h6j_iLYRx8U_s6760,FRESH69,1299,500,ABSENT,1299,494,494,799,1,0.619707,0.012000,493,499,162,338,0.676000
h6j_iLYRx8U_s90,FRESH69,1299,500,ABSENT,1299,499,499,799,1,0.615858,0.002000,498,499,24,476,0.952000
wJSOHbeQcg4_s1180,FRESH69,1301,1000,ABSENT,1301,1000,1000,301,1,0.231360,0.000000,999,999,746,254,0.254000
wJSOHbeQcg4_s2270,FRESH69,1301,1000,1000,1301,999,999,301,1,0.232129,0.001000,998,999,604,396,0.396000
wJSOHbeQcg4_s3360,FRESH69,1301,1000,ABSENT,1301,983,983,301,1,0.244427,0.017000,982,999,465,535,0.535000
wJSOHbeQcg4_s4450,FRESH69,1301,1000,ABSENT,1301,921,921,301,1,0.292083,0.079000,920,999,681,319,0.319000
wJSOHbeQcg4_s5540,FRESH69,1301,1000,ABSENT,1301,1000,1000,301,1,0.231360,0.000000,999,999,49,951,0.951000
wJSOHbeQcg4_s90,FRESH69,1301,1000,ABSENT,1301,977,977,301,1,0.249039,0.023000,976,999,653,347,0.347000
