section_id,set,declared_ticks,declared_reason,schedule_reason,stride,decoded_frames,ledger_evaluated_frames,verdict_evaluated_frames,producer_evaluated_ticks,route_max_frames,route_capped_ticks,verdict_attempted_frames_capped,observed_ticks,ball_rows,tracking_rows,observed_stride,suspended_frames,zero_observation_ticks,zero_observation_share,tracking_path,tracking_bytes,ball_path,ball_bytes,observed,scheduled_no_detection,not_scheduled,unknown,observed_share,scheduled_no_detection_share,not_scheduled_share,unknown_share,sub_suspended,sub_beyond_route_cap,sub_off_producer_lattice,sub_gated_or_unreached
eurocup-Y6POC6V1Y5E_s1221,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,963,1000,3927,3,0,338,0.259800,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s1221/tracking_data.csv,1489491,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s1221/ball_tracking.csv,28434,963,37,301,0,0.740200,0.028440,0.231360,0.000000,0,241,0,60
eurocup-Y6POC6V1Y5E_s3483,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,892,1000,3983,3,0,409,0.314374,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s3483/tracking_data.csv,1370805,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s3483/ball_tracking.csv,24886,892,108,301,0,0.685626,0.083013,0.231360,0.000000,0,271,0,30
eurocup-Y6POC6V1Y5E_s5745,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,1000,1000,4170,3,0,301,0.231360,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s5745/tracking_data.csv,1577536,/workspace/wt/a12/data/g376_snapshot/eurocup-Y6POC6V1Y5E_s5745/ball_tracking.csv,33030,1000,0,301,0,0.768640,0.000000,0.231360,0.000000,0,301,0,0
euroleague-AIPW_g_VZN0_s1153,SEALED34,1626,,,2,3251,1626,1626,434,3000,1500,1500,433,434,1952,3,0,1410,0.867159,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s1153/tracking_data.csv,730052,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s1153/ball_tracking.csv,14676,216,1,1409,0,0.132841,0.000615,0.866544,0.000000,0,86,1000,323
euroleague-AIPW_g_VZN0_s3279,SEALED34,1626,,,2,3251,1626,1626,904,3000,1500,1500,888,904,4144,3,0,1183,0.727552,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s3279/tracking_data.csv,1550268,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s3279/ball_tracking.csv,28640,443,9,1174,0,0.272448,0.005535,0.722017,0.000000,0,84,1000,90
euroleague-AIPW_g_VZN0_s5405,SEALED34,1626,,,2,3251,1626,1626,1000,3000,1500,1500,974,1000,4160,3,0,1140,0.701107,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s5405/tracking_data.csv,1463415,/workspace/wt/a12/data/g376_snapshot/euroleague-AIPW_g_VZN0_s5405/ball_tracking.csv,28317,486,14,1126,0,0.298893,0.008610,0.692497,0.000000,0,96,1000,30
fiba-1DKl1QOo_b8_s1289,SEALED34,1626,,,2,3251,1626,1626,881,3000,1500,1500,609,881,1650,3,0,1323,0.813653,/workspace/wt/a12/data/g376_snapshot/fiba-1DKl1QOo_b8_s1289/tracking_data.csv,583198,/workspace/wt/a12/data/g376_snapshot/fiba-1DKl1QOo_b8_s1289/ball_tracking.csv,26797,303,137,1186,0,0.186347,0.084256,0.729397,0.000000,0,84,1000,102
fiba-1DKl1QOo_b8_s4886,SEALED34,1626,,,2,3251,1626,1626,904,3000,1500,1500,901,904,4103,3,0,1175,0.722632,/workspace/wt/a12/data/g376_snapshot/fiba-1DKl1QOo_b8_s4886/tracking_data.csv,1537213,/workspace/wt/a12/data/g376_snapshot/fiba-1DKl1QOo_b8_s4886/ball_tracking.csv,29240,451,1,1174,0,0.277368,0.000615,0.722017,0.000000,0,84,1000,90
fiba-UG_eQNRDHiI_s1385,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,994,1000,4593,3,0,307,0.235972,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s1385/tracking_data.csv,1686353,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s1385/ball_tracking.csv,33384,994,6,301,0,0.764028,0.004612,0.231360,0.000000,0,171,0,130
fiba-UG_eQNRDHiI_s3975,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,967,1000,5984,3,0,334,0.256726,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s3975/tracking_data.csv,2185118,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s3975/ball_tracking.csv,31020,967,33,301,0,0.743274,0.025365,0.231360,0.000000,0,61,0,240
fiba-UG_eQNRDHiI_s90,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,970,1000,5003,3,0,331,0.254420,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s90/tracking_data.csv,1839848,/workspace/wt/a12/data/g376_snapshot/fiba-UG_eQNRDHiI_s90/ball_tracking.csv,30291,970,30,301,0,0.745580,0.023059,0.231360,0.000000,0,271,0,30
fiba-jFUMvm_epUE_s6740,SEALED34,1301,,,3,3901,1301,1301,453,3000,1000,1000,422,453,1314,3,0,879,0.675634,/workspace/wt/a12/data/g376_snapshot/fiba-jFUMvm_epUE_s6740/tracking_data.csv,499642,/workspace/wt/a12/data/g376_snapshot/fiba-jFUMvm_epUE_s6740/ball_tracking.csv,13937,422,31,848,0,0.324366,0.023828,0.651806,0.000000,0,271,0,577
lnb-1CBY-LXG8VA_s6525,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,990,1000,5498,3,0,311,0.239047,/workspace/wt/a12/data/g376_snapshot/lnb-1CBY-LXG8VA_s6525/tracking_data.csv,2092979,/workspace/wt/a12/data/g376_snapshot/lnb-1CBY-LXG8VA_s6525/ball_tracking.csv,30771,990,10,301,0,0.760953,0.007686,0.231360,0.000000,0,301,0,0
lnb-ouDVA0vM20g_s1379,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,1000,1000,4361,3,0,301,0.231360,/workspace/wt/a12/data/g376_snapshot/lnb-ouDVA0vM20g_s1379/tracking_data.csv,1656594,/workspace/wt/a12/data/g376_snapshot/lnb-ouDVA0vM20g_s1379/ball_tracking.csv,24382,1000,0,301,0,0.768640,0.000000,0.231360,0.000000,0,301,0,0
nbl-kRQtUZmPm0E_s363,SEALED34,1301,,,5,6501,1301,1301,600,3000,600,600,530,600,1719,5,0,771,0.592621,/workspace/wt/a12/data/g376_snapshot/nbl-kRQtUZmPm0E_s363/tracking_data.csv,621688,/workspace/wt/a12/data/g376_snapshot/nbl-kRQtUZmPm0E_s363/ball_tracking.csv,18455,530,70,701,0,0.407379,0.053805,0.538816,0.000000,0,683,0,18
nbl-kRQtUZmPm0E_s90,SEALED34,1301,,,5,6501,1301,1301,600,3000,600,600,600,600,2466,5,0,701,0.538816,/workspace/wt/a12/data/g376_snapshot/nbl-kRQtUZmPm0E_s90/tracking_data.csv,915471,/workspace/wt/a12/data/g376_snapshot/nbl-kRQtUZmPm0E_s90/ball_tracking.csv,20189,600,0,701,0,0.461184,0.000000,0.538816,0.000000,0,683,0,18
ncaaw-lFZWLVzvCEs_s2232,SEALED34,1299,,,3,3897,1299,1299,1000,3000,1000,1000,990,1000,3600,3,0,309,0.237875,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s2232/tracking_data.csv,1445007,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s2232/ball_tracking.csv,35857,990,10,299,0,0.762125,0.007698,0.230177,0.000000,0,239,0,60
ncaaw-lFZWLVzvCEs_s4374,SEALED34,1300,,,3,3898,1300,1300,1000,3000,1000,1000,936,1000,2970,3,0,364,0.280000,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s4374/tracking_data.csv,1128335,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s4374/ball_tracking.csv,31887,936,64,300,0,0.720000,0.049231,0.230769,0.000000,0,150,0,150
ncaaw-lFZWLVzvCEs_s90,SEALED34,1299,,,3,3897,1299,1299,1000,3000,1000,1000,1000,1000,4110,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s90/tracking_data.csv,1582720,/workspace/wt/a12/data/g376_snapshot/ncaaw-lFZWLVzvCEs_s90/ball_tracking.csv,37116,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,269,0,30
tDpmV777-IQ_s5262,SEALED34,1299,,,6,7793,1299,1299,500,3000,500,500,446,500,2863,6,0,853,0.656659,/workspace/wt/a12/data/g376_snapshot/tDpmV777-IQ_s5262/tracking_data.csv,1173008,/workspace/wt/a12/data/g376_snapshot/tDpmV777-IQ_s5262/ball_tracking.csv,17096,446,54,799,0,0.343341,0.041570,0.615089,0.000000,0,799,0,0
wHs1OssEcAw_s1183,SEALED34,1299,,,6,7793,1299,1299,500,3000,500,500,494,500,3248,6,0,805,0.619707,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s1183/tracking_data.csv,1331086,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s1183/ball_tracking.csv,17285,494,6,799,0,0.380293,0.004619,0.615089,0.000000,0,784,0,15
wHs1OssEcAw_s3369,SEALED34,1299,,,6,7793,1299,1299,500,3000,500,500,500,500,1649,6,0,799,0.615089,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s3369/tracking_data.csv,678979,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s3369/ball_tracking.csv,16741,500,0,799,0,0.384911,0.000000,0.615089,0.000000,0,799,0,0
wHs1OssEcAw_s5555,SEALED34,1299,,,6,7793,1299,1299,500,3000,500,500,392,500,818,6,0,907,0.698229,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s5555/tracking_data.csv,327501,/workspace/wt/a12/data/g376_snapshot/wHs1OssEcAw_s5555/ball_tracking.csv,17190,392,108,799,0,0.301771,0.083141,0.615089,0.000000,0,769,0,30
0KIBu1jQBL8_s1205,FRESH69,1299,,,3,3897,1299,,269,,,,269,1239,1786,3,970,1030,0.792918,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s1205/tracking_data.csv,726038,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s1205/ball_tracking.csv,31273,269,0,1030,0,0.207082,0.000000,0.792918,0.000000,970,0,0,60
0KIBu1jQBL8_s2320,FRESH69,1299,,,3,3897,1299,,224,,,,224,1119,1213,3,895,1075,0.827560,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s2320/tracking_data.csv,489528,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s2320/ball_tracking.csv,27332,224,0,1075,0,0.172440,0.000000,0.827560,0.000000,895,0,0,180
0KIBu1jQBL8_s3435,FRESH69,1299,,,3,3897,1299,,804,,,,798,1149,3020,3,345,501,0.385681,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s3435/tracking_data.csv,1252896,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s3435/ball_tracking.csv,35572,798,6,495,0,0.614319,0.004619,0.381062,0.000000,345,0,0,150
0KIBu1jQBL8_s4550,FRESH69,1299,,,3,3897,1299,,524,,,,499,1239,2433,3,715,800,0.615858,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s4550/tracking_data.csv,978387,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s4550/ball_tracking.csv,32435,499,25,775,0,0.384142,0.019246,0.596613,0.000000,715,0,0,60
0KIBu1jQBL8_s5665,FRESH69,1299,,,3,3897,1299,,1000,,,,963,1000,5491,3,0,336,0.258661,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s5665/tracking_data.csv,2186941,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s5665/ball_tracking.csv,35768,963,37,299,0,0.741339,0.028483,0.230177,0.000000,0,0,0,299
0KIBu1jQBL8_s90,FRESH69,1299,,,3,3897,1299,,614,,,,231,1269,489,3,655,1068,0.822171,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s90/tracking_data.csv,182897,/workspace/wt/a12/data/g376_snapshot/0KIBu1jQBL8_s90/ball_tracking.csv,32852,231,383,685,0,0.177829,0.294842,0.527329,0.000000,655,0,0,30
1E5Rw89keTg_s312,FRESH69,1299,,,3,3897,1299,1299,1000,3000,1000,1000,1000,1000,4020,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s312/tracking_data.csv,1592054,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s312/ball_tracking.csv,32569,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,299,0,0
1E5Rw89keTg_s534,FRESH69,1300,,,3,3898,1300,1300,1000,3000,1000,1000,989,1000,4292,3,0,311,0.239231,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s534/tracking_data.csv,1688919,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s534/ball_tracking.csv,34526,989,11,300,0,0.760769,0.008462,0.230769,0.000000,0,300,0,0
1E5Rw89keTg_s90,FRESH69,1299,,,3,3897,1299,1299,1000,3000,1000,1000,1000,1000,3596,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s90/tracking_data.csv,1405606,/workspace/wt/a12/data/g376_snapshot/1E5Rw89keTg_s90/ball_tracking.csv,32752,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,299,0,0
6FlZaoWSfFw_s337,FRESH69,1300,,,3,3898,1300,1300,1000,3000,1000,1000,1000,1000,4491,3,0,300,0.230769,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s337/tracking_data.csv,1801190,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s337/ball_tracking.csv,32348,1000,0,300,0,0.769231,0.000000,0.230769,0.000000,0,240,0,60
6FlZaoWSfFw_s584,FRESH69,1299,,,3,3897,1299,1299,824,3000,1000,1000,800,1269,3174,3,445,499,0.384142,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s584/tracking_data.csv,1287167,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s584/ball_tracking.csv,38917,800,24,475,0,0.615858,0.018476,0.365666,0.000000,445,0,0,30
6FlZaoWSfFw_s90,FRESH69,1299,,,3,3897,1299,1299,1000,3000,1000,1000,995,1000,4259,3,0,304,0.234026,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s90/tracking_data.csv,1563425,/workspace/wt/a12/data/g376_snapshot/6FlZaoWSfFw_s90/ball_tracking.csv,29871,995,5,299,0,0.765974,0.003849,0.230177,0.000000,0,239,0,60
9F5q5jCbrMI_s1270,FRESH69,1299,,,6,7794,1299,1299,500,3000,500,500,470,500,2593,6,0,829,0.638183,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s1270/tracking_data.csv,1048714,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s1270/ball_tracking.csv,14709,470,30,799,0,0.361817,0.023095,0.615089,0.000000,0,799,0,0
9F5q5jCbrMI_s2450,FRESH69,1299,,,6,7793,1299,1299,500,3000,500,500,437,500,1354,6,0,862,0.663587,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s2450/tracking_data.csv,533457,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s2450/ball_tracking.csv,14660,437,63,799,0,0.336413,0.048499,0.615089,0.000000,0,799,0,0
9F5q5jCbrMI_s3630,FRESH69,1299,,,6,7793,1299,1299,500,3000,500,500,500,500,1808,6,0,799,0.615089,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s3630/tracking_data.csv,735523,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s3630/ball_tracking.csv,18205,500,0,799,0,0.384911,0.000000,0.615089,0.000000,0,799,0,0
9F5q5jCbrMI_s4810,FRESH69,1299,,,6,7793,1299,1299,500,3000,500,500,500,500,1205,6,0,799,0.615089,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s4810/tracking_data.csv,493143,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s4810/ball_tracking.csv,18173,500,0,799,0,0.384911,0.000000,0.615089,0.000000,0,799,0,0
9F5q5jCbrMI_s90,FRESH69,1291,,,6,7742,1291,1291,500,3000,500,500,500,500,3251,6,0,791,0.612703,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s90/tracking_data.csv,1343296,/workspace/wt/a12/data/g376_snapshot/9F5q5jCbrMI_s90/ball_tracking.csv,17227,500,0,791,0,0.387297,0.000000,0.612703,0.000000,0,761,0,30
EqseleqhpTk_s1395,FRESH69,1299,,,3,3897,1299,,1000,,,,999,1000,5073,3,0,300,0.230947,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s1395/tracking_data.csv,2077969,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s1395/ball_tracking.csv,33965,999,1,299,0,0.769053,0.000770,0.230177,0.000000,0,0,0,299
EqseleqhpTk_s2700,FRESH69,1299,,,3,3897,1299,,1000,,,,961,1000,3813,3,0,338,0.260200,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s2700/tracking_data.csv,1548995,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s2700/ball_tracking.csv,35894,961,39,299,0,0.739800,0.030023,0.230177,0.000000,0,0,0,299
EqseleqhpTk_s4005,FRESH69,1300,,,3,3898,1300,,1000,,,,968,1000,5242,3,0,332,0.255385,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s4005/tracking_data.csv,2117473,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s4005/ball_tracking.csv,32421,968,32,300,0,0.744615,0.024615,0.230769,0.000000,0,0,0,300
EqseleqhpTk_s5310,FRESH69,1299,,,3,3897,1299,,939,,,,914,939,1953,3,0,385,0.296382,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s5310/tracking_data.csv,723833,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s5310/ball_tracking.csv,33703,914,25,360,0,0.703618,0.019246,0.277136,0.000000,0,0,0,360
EqseleqhpTk_s90,FRESH69,1299,,,3,3897,1299,,1000,,,,995,1000,5159,3,0,304,0.234026,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s90/tracking_data.csv,2143502,/workspace/wt/a12/data/g376_snapshot/EqseleqhpTk_s90/ball_tracking.csv,35805,995,5,299,0,0.765974,0.003849,0.230177,0.000000,0,0,0,299
G8bPOW37Sp0_s320,FRESH69,1299,,,3,3897,1299,,1000,,,,1000,1000,3187,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s320/tracking_data.csv,1250013,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s320/ball_tracking.csv,33506,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,0,0,299
G8bPOW37Sp0_s550,FRESH69,1299,,,3,3897,1299,,1000,,,,1000,1000,4639,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s550/tracking_data.csv,1864365,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s550/ball_tracking.csv,34517,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,0,0,299
G8bPOW37Sp0_s90,FRESH69,1299,,,3,3897,1299,,1000,,,,941,1000,3430,3,0,358,0.275597,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s90/tracking_data.csv,1316293,/workspace/wt/a12/data/g376_snapshot/G8bPOW37Sp0_s90/ball_tracking.csv,31142,941,59,299,0,0.724403,0.045420,0.230177,0.000000,0,0,0,299
GNjSxoeDT-E_s1167,FRESH69,1299,,,3,3897,1299,,1000,,,,1000,1000,4405,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s1167/tracking_data.csv,1770891,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s1167/ball_tracking.csv,32327,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,0,0,299
GNjSxoeDT-E_s2244,FRESH69,1299,,,3,3897,1299,,1000,,,,988,1000,4053,3,0,311,0.239415,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s2244/tracking_data.csv,1612437,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s2244/ball_tracking.csv,31975,988,12,299,0,0.760585,0.009238,0.230177,0.000000,0,0,0,299
GNjSxoeDT-E_s3321,FRESH69,1299,,,3,3897,1299,,1000,,,,736,1000,2072,3,0,563,0.433410,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s3321/tracking_data.csv,773396,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s3321/ball_tracking.csv,29803,736,264,299,0,0.566590,0.203233,0.230177,0.000000,0,0,0,299
GNjSxoeDT-E_s4398,FRESH69,1299,,,3,3897,1299,,1000,,,,1000,1000,4358,3,0,299,0.230177,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s4398/tracking_data.csv,1773236,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s4398/ball_tracking.csv,34783,1000,0,299,0,0.769823,0.000000,0.230177,0.000000,0,0,0,299
GNjSxoeDT-E_s5475,FRESH69,1300,,,3,3898,1300,,1000,,,,1000,1165,5156,3,165,300,0.230769,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s5475/tracking_data.csv,2099536,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s5475/ball_tracking.csv,39027,1000,0,300,0,0.769231,0.000000,0.230769,0.000000,165,0,0,135
GNjSxoeDT-E_s90,FRESH69,1299,,,3,3897,1299,,1000,,,,655,1000,1711,3,0,644,0.495766,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s90/tracking_data.csv,656762,/workspace/wt/a12/data/g376_snapshot/GNjSxoeDT-E_s90/ball_tracking.csv,30328,655,345,299,0,0.504234,0.265589,0.230177,0.000000,0,0,0,299
