section_id,set,pin,live_sha256,g370_sha256,tables_from,sidecars_from,pin_check
G8bPOW37Sp0_s320,FRESH69,624b5f6c4bf7e122d46bcc5788d42b16f4cae2544168238d3dd62b20f2596bd3,d8e9bf63d9e1087c2f26915cee6e6e70375d70b55cd156730efdf6674f51a94c,624b5f6c4bf7e122d46bcc5788d42b16f4cae2544168238d3dd62b20f2596bd3,/workspace/g370_snapshot/G8bPOW37Sp0_s320,NONE,MATCH
G8bPOW37Sp0_s550,FRESH69,76359b5455f8fabed89630974c9817c477fdc4096243d92e74872fbd96a0ba14,eb80726760b28af1ed0c5e1a9f7ad2458a35c0ba9838b04c191306c33d38d2ce,76359b5455f8fabed89630974c9817c477fdc4096243d92e74872fbd96a0ba14,/workspace/g370_snapshot/G8bPOW37Sp0_s550,NONE,MATCH
G8bPOW37Sp0_s90,FRESH69,606363e091bf38e49232d4a7dea8e8f510f941a623cb967208b3bc02d9f05cd6,25634f72c5875a2d9588c83b2ea6aadeeb1c06b6d6f3f3ef0ed740326d980f74,606363e091bf38e49232d4a7dea8e8f510f941a623cb967208b3bc02d9f05cd6,/workspace/g370_snapshot/G8bPOW37Sp0_s90,NONE,MATCH
GNjSxoeDT-E_s1167,FRESH69,1cc18e175a7ab6ef0234594f7d6ad811d9a124e8e434eeee4a197f14be858c83,d86310aef4dc99ac2e4f9bb90c84bf5c5b72e58094d8e38ebe5257680599fae9,1cc18e175a7ab6ef0234594f7d6ad811d9a124e8e434eeee4a197f14be858c83,/workspace/g370_snapshot/GNjSxoeDT-E_s1167,NONE,MATCH
GNjSxoeDT-E_s2244,FRESH69,1ea3d7f81921289918562ab020495072eb0442538667fea5ee8036472f77a445,1d410ee988a834fa193eda9731a6ab9d053dd799a5c664e3634f7abfe41f8b37,1ea3d7f81921289918562ab020495072eb0442538667fea5ee8036472f77a445,/workspace/g370_snapshot/GNjSxoeDT-E_s2244,NONE,MATCH
GNjSxoeDT-E_s3321,FRESH69,5e1c6b4120c1b98b7092e9a9143f1feb59fed38398fb4b62dfe06c442587d0f4,a4d8d5e6cb00a91df3d87fe58288adcb782ef3b82e7e6fc48037362fb11b0c10,5e1c6b4120c1b98b7092e9a9143f1feb59fed38398fb4b62dfe06c442587d0f4,/workspace/g370_snapshot/GNjSxoeDT-E_s3321,NONE,MATCH
GNjSxoeDT-E_s4398,FRESH69,769b59eaf09c89d915167aa91f09be4638dc4b72a44406747f1d725ada938d3b,29dc7cac34b1f0df8e3ed6895746633612859cf8a1b88d1258c353fc8dd893e8,769b59eaf09c89d915167aa91f09be4638dc4b72a44406747f1d725ada938d3b,/workspace/g370_snapshot/GNjSxoeDT-E_s4398,NONE,MATCH
GNjSxoeDT-E_s5475,FRESH69,dc1790e9db6ebaa25dc0c0434104f8e453c79967c63b4cc3fa26b44a6987c6a4,bbcaa96b66764d31c85d5b5a38a235224b15c59c59fb07827e2918f638bf3ed2,dc1790e9db6ebaa25dc0c0434104f8e453c79967c63b4cc3fa26b44a6987c6a4,/workspace/g370_snapshot/GNjSxoeDT-E_s5475,NONE,MATCH
GNjSxoeDT-E_s90,FRESH69,dc414fc8a0d60dc519ec31c029ec637ee149b1cc27a4ef10a415f082549a4bd4,5d0f4ff2bf4f490dcddd5612a2c28bf238d645b14235c2eaa5b5052dcc4a1e21,dc414fc8a0d60dc519ec31c029ec637ee149b1cc27a4ef10a415f082549a4bd4,/workspace/g370_snapshot/GNjSxoeDT-E_s90,NONE,MATCH
HUSo3PzP7lo_s246,FRESH69,6c5eda57b49596a4b4ae7182103960ef442f91817e655ff94d5008a4de6673d4,6c5eda57b49596a4b4ae7182103960ef442f91817e655ff94d5008a4de6673d4,6c5eda57b49596a4b4ae7182103960ef442f91817e655ff94d5008a4de6673d4,/workspace/data/tracking/HUSo3PzP7lo_s246,/workspace/data/tracking/HUSo3PzP7lo_s246,MATCH
