frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
1734,57.858,111,194,1,1,0
1737,57.958,98,198,1,1,0
1740,58.058,105,204,1,1,0
1743,58.158,115,201,1,1,0
1746,58.258,125,207,1,1,0
1749,58.358,122,217,1,1,0
1752,58.458,119,225,1,1,0
1755,58.559,127,216,1,1,0
1758,58.659,135,222,1,1,0
1761,58.759,126,225,1,1,0
1764,58.859,115,228,1,1,0
1767,58.959,115,237,1,1,0
1770,59.059,115,237,1,1,0
1773,59.159,109,238,1,1,0
1776,59.259,112,239,1,1,0
1779,59.359,114,236,1,1,0
1782,59.459,115,225,1,1,0
1785,59.559,107,234,1,1,0
1788,59.66,114,228,1,1,0
1791,59.76,110,224,1,1,0
1794,59.86,112,217,1,1,0
1797,59.96,112,212,1,1,0
1800,60.06,103,207,1,1,0
1803,60.16,91,206,1,1,0
1806,60.26,97,200,1,1,0
1809,60.36,94,197,1,1,0
1812,60.46,84,194,1,1,0
1815,60.56,86,191,1,1,0
1818,60.661,89,180,1,1,0
1821,60.761,95,171,1,1,0
1824,60.861,91,163,1,1,0
1827,60.961,102,165,1,1,0
1830,61.061,98,156,1,1,0
1833,61.161,99,149,1,1,0
1836,61.261,108,142,1,1,0
1839,61.361,106,133,1,1,0
1842,61.461,105,138,1,1,0
1845,61.562,93,143,1,1,0
1848,61.662,89,133,1,1,0
1851,61.762,88,144,1,1,0
1854,61.862,100,140,1,1,0
1857,61.962,101,129,1,1,0
1860,62.062,95,140,1,1,0
1863,62.162,96,149,1,1,0
1866,62.262,99,149,1,1,0
1869,62.362,88,153,1,1,0
1872,62.462,79,153,1,1,0
1875,62.562,84,156,1,1,0
1878,62.663,95,150,1,1,0
1881,62.763,91,155,1,1,0
1884,62.863,104,152,1,1,0
1887,62.963,101,163,1,1,0
1890,63.063,106,153,1,1,0
1893,63.163,112,154,1,1,0
1896,63.263,111,154,1,1,0
1899,63.363,106,164,1,1,0
1902,63.463,96,165,1,1,0
1905,63.563,90,164,1,1,0
1908,63.664,86,164,1,1,0
1911,63.764,99,163,1,1,0
1914,63.864,100,163,1,1,0
1917,63.964,97,174,1,1,0
1920,64.064,103,166,1,1,0
1923,64.164,90,166,1,1,0
1926,64.264,91,164,1,1,0
1929,64.364,87,162,1,1,0
1932,64.464,94,159,1,1,0
1935,64.564,103,157,1,1,0
1938,64.665,112,161,1,1,0
1941,64.765,116,156,1,1,0
1944,64.865,127,148,1,1,0
1947,64.965,127,147,1,1,0
1950,65.065,115,147,1,1,0
1953,65.165,103,147,1,1,0
1956,65.265,96,147,1,1,0
1959,65.365,91,147,1,1,0
1962,65.465,86,148,1,1,0
1965,65.566,85,151,1,1,0
1968,65.666,85,154,1,1,0
1971,65.766,85,156,1,1,0
1974,65.866,87,157,1,1,0
1977,65.966,87,161,1,1,0
1980,66.066,86,168,1,1,0
1983,66.166,79,176,1,1,0
1986,66.266,69,185,1,1,0
1989,66.366,70,197,1,1,0
1992,66.466,79,196,1,1,0
1995,66.567,82,205,1,1,0
1998,66.667,86,205,1,1,0
2001,66.767,88,216,1,1,0
2004,66.867,85,223,1,1,0
2007,66.967,74,223,1,1,0
2010,67.067,85,226,1,1,0
2013,67.167,83,221,1,1,0
2016,67.267,76,222,1,1,0
2019,67.367,81,223,1,1,0
2022,67.467,76,228,1,1,0
2025,67.567,76,232,1,1,0
2028,67.668,69,244,1,1,0
2031,67.768,71,244,1,1,0
2034,67.868,58,243,1,1,0
2037,67.968,47,243,1,1,0
2040,68.068,35,240,1,1,0
2043,68.168,24,239,1,1,0
2046,68.268,24,239,1,1,0
2049,68.368,5,237,1,1,0
2052,68.468,,,0,1,0
2055,68.569,,,0,1,0
2058,68.669,,,0,1,0
2061,68.769,,,0,1,0
2064,68.869,,,0,1,0
2067,68.969,,,0,1,0
2070,69.069,,,0,1,0
2073,69.169,,,0,1,0
2076,69.269,,,0,1,0
2079,69.369,,,0,1,0
2082,69.469,,,0,1,0
2085,69.57,,,0,1,0
2088,69.67,,,0,1,0
2091,69.77,,,0,1,0
2094,69.87,,,0,1,0
2097,69.97,,,0,1,0
2100,70.07,,,0,1,0
2103,70.17,,,0,1,0
2106,70.27,,,0,1,0
2109,70.37,25,497,1,1,0
2112,70.47,31,495,1,1,0
2115,70.57,0,235,1,1,0
2118,70.671,,,0,1,0
2121,70.771,212,478,1,1,0
2124,70.871,6,241,1,1,0
2127,70.971,9,229,1,1,0
2130,71.071,8,217,1,1,0
2133,71.171,7,216,1,1,0
2136,71.271,10,218,1,1,0
2139,71.371,8,230,1,1,0
2142,71.471,13,219,1,1,0
2145,71.572,5,224,1,1,0
2148,71.672,17,228,1,1,0
2151,71.772,20,239,1,1,0
2154,71.872,18,247,1,1,0
2157,71.972,6,254,1,1,0
2160,72.072,13,244,1,1,0
2163,72.172,6,248,1,1,0
2166,72.272,61,391,1,1,0
2169,72.372,61,391,1,1,0
2172,72.472,61,391,1,1,0
2175,72.573,61,391,1,1,0
2178,72.673,61,391,1,1,0
2181,72.773,29,312,1,1,0
2184,72.873,18,310,1,1,0
2187,72.973,4,309,1,1,0
2190,73.073,,,0,1,0
2193,73.173,0,308,1,1,0
2196,73.273,,,0,1,0
2199,73.373,,,0,1,0
2202,73.473,,,0,1,0
2205,73.573,,,0,1,0
2208,73.674,,,0,1,0
2211,73.774,,,0,1,0
2214,73.874,6,191,1,1,0
2217,73.974,12,188,1,1,0
2220,74.074,7,200,1,1,0
2223,74.174,5,199,1,1,0
2226,74.274,,,0,1,0
2229,74.374,,,0,1,0
2232,74.474,47,242,1,1,0
2235,74.575,49,239,1,1,0
2238,74.675,48,242,1,1,0
