window,game_id,sport,status,seconds,claim_epoch,finished_at,decoded_frames,rows,straddle,source_identity_path
AFTER,WeheQidCPXI_s4052,ncaa_basketball,tracked,365,1789069406,1789069771,3897,3413,0,data/tracking/source_identity/WeheQidCPXI_s4052.source_identity.json
AFTER,UzaYBYy3GZg_s1443,ncaa_basketball,tracked,529,1789069262,1789069791,3897,5456,0,data/tracking/source_identity/UzaYBYy3GZg_s1443.source_identity.json
AFTER,UzaYBYy3GZg_s5307,ncaa_basketball,tracked,425,1789069588,1789070013,3775,2727,0,data/tracking/source_identity/UzaYBYy3GZg_s5307.source_identity.json
AFTER,QXFM3hlaDAk_s155,ncaa_basketball,tracked,405,1789069689,1789070094,3901,4916,0,data/tracking/source_identity/QXFM3hlaDAk_s155.source_identity.json
AFTER,QXFM3hlaDAk_s2725,ncaa_basketball,tracked,446,1789069709,1789070155,3901,3187,0,data/tracking/source_identity/QXFM3hlaDAk_s2725.source_identity.json
AFTER,QXFM3hlaDAk_s5295,ncaa_basketball,tracked,446,1789069730,1789070176,3741,2762,0,data/tracking/source_identity/QXFM3hlaDAk_s5295.source_identity.json
AFTER,QXFM3hlaDAk_s1440,ncaa_basketball,tracked,507,1789069690,1789070197,3901,5077,0,data/tracking/source_identity/QXFM3hlaDAk_s1440.source_identity.json
AFTER,QXFM3hlaDAk_s4010,ncaa_basketball,tracked,466,1789069731,1789070197,3901,3548,0,data/tracking/source_identity/QXFM3hlaDAk_s4010.source_identity.json
AFTER,G8bPOW37Sp0_s155,wnba,tracked,466,1789069751,1789070217,3897,4835,0,data/tracking/source_identity/G8bPOW37Sp0_s155.source_identity.json
AFTER,WeheQidCPXI_s5351,ncaa_basketball,tracked,527,1789069731,1789070258,3747,2795,0,data/tracking/source_identity/WeheQidCPXI_s5351.source_identity.json
AFTER,euroleague-a_GxgklBtEs_s1469,basketball,tracked,284,1789070054,1789070338,7801,556,0,data/tracking/source_identity/euroleague-a_GxgklBtEs_s1469.source_identity.json
AFTER,euroleague-a_GxgklBtEs_s155,basketball,tracked,264,1789070115,1789070379,7801,1935,0,data/tracking/source_identity/euroleague-a_GxgklBtEs_s155.source_identity.json
AFTER,euroleague-a_GxgklBtEs_s2783,basketball,tracked,284,1789070135,1789070419,7801,2101,0,data/tracking/source_identity/euroleague-a_GxgklBtEs_s2783.source_identity.json
AFTER,G8bPOW37Sp0_s385,wnba,tracked,466,1789069973,1789070439,3897,4049,0,data/tracking/source_identity/G8bPOW37Sp0_s385.source_identity.json
AFTER,euroleague-a_GxgklBtEs_s4097,basketball,tracked,324,1789070136,1789070460,7801,2829,0,data/tracking/source_identity/euroleague-a_GxgklBtEs_s4097.source_identity.json
AFTER,euroleague-a_GxgklBtEs_s5411,basketball,tracked,324,1789070136,1789070460,7801,2952,0,data/tracking/source_identity/euroleague-a_GxgklBtEs_s5411.source_identity.json
AFTER,g7dzEFLiemQ_s1258,ncaa_basketball,tracked,282,1789070218,1789070500,7793,1925,0,data/tracking/source_identity/g7dzEFLiemQ_s1258.source_identity.json
AFTER,g7dzEFLiemQ_s155,ncaa_basketball,tracked,282,1789070278,1789070560,7793,2101,0,data/tracking/source_identity/g7dzEFLiemQ_s155.source_identity.json
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789070520,1789070560,,0,0,data/tracking/source_identity/fiba-7HQqWMaKxpA_s6980.source_identity.json
AFTER,g7dzEFLiemQ_s2361,ncaa_basketball,tracked,302,1789070318,1789070620,7793,2114,0,data/tracking/source_identity/g7dzEFLiemQ_s2361.source_identity.json
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789070601,1789070641,,0,0,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s6825.source_identity.json
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789070621,1789070661,,0,0,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s90.source_identity.json
AFTER,g7dzEFLiemQ_s3464,ncaa_basketball,tracked,302,1789070379,1789070681,7793,1962,0,data/tracking/source_identity/g7dzEFLiemQ_s3464.source_identity.json
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789070641,1789070681,,0,0,data/tracking/source_identity/RIrGQJ_jsGQ_s6690.source_identity.json
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789070661,1789070701,,0,0,data/tracking/source_identity/fiba-fyp4VsE-8Fc_s90.source_identity.json
AFTER,g7dzEFLiemQ_s4567,ncaa_basketball,tracked,342,1789070379,1789070721,7519,2084,0,data/tracking/source_identity/g7dzEFLiemQ_s4567.source_identity.json
AFTER,G8bPOW37Sp0_s615,wnba,tracked,605,1789070157,1789070762,3766,3539,0,data/tracking/source_identity/G8bPOW37Sp0_s615.source_identity.json
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789070722,1789070762,,0,0,data/tracking/source_identity/fiba-tZeqmc_-_sA_s6365.source_identity.json
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789070722,1789070762,,0,0,data/tracking/source_identity/fiba-tZeqmc_-_sA_s90.source_identity.json
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789070882,1789070922,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789070922,1789070962,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789070942,1789070982,,0,0,
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789070962,1789071002,,0,0,
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789070983,1789071023,,0,0,
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789071023,1789071063,,0,0,
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789071043,1789071083,,0,0,
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789071203,1789071243,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789071223,1789071263,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789071243,1789071283,,0,0,
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789071264,1789071304,,0,0,
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789071304,1789071344,,0,0,
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789071344,1789071384,,0,0,
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789071364,1789071404,,0,0,
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789071504,1789071544,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789071545,1789071585,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789071565,1789071605,,0,0,
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789071585,1789071625,,0,0,
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789071605,1789071645,,0,0,
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789071665,1789071705,,0,0,
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789071685,1789071725,,0,0,
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789071846,1789071886,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789071866,1789071906,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789071886,1789071926,,0,0,
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789071906,1789071946,,0,0,
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789071926,1789071966,,0,0,
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789071966,1789072006,,0,0,
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789071986,1789072026,,0,0,
AFTER,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789072127,1789072167,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789072147,1789072187,,0,0,
AFTER,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789072167,1789072207,,0,0,
AFTER,RIrGQJ_jsGQ_s6690,nba,thin,40,1789072187,1789072227,,0,0,
AFTER,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789072227,1789072267,,0,0,
AFTER,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789072267,1789072307,,0,0,
AFTER,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789072287,1789072327,,0,0,
