index,game_id,sport,first_claim_utc,location,src_path,src_bytes,copy_status,reason,scratch_path,scratch_bytes
51,fiba-7HQqWMaKxpA_s4185,basketball,2026-09-10T15:52:56Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
54,fiba-7HQqWMaKxpA_s90,basketball,2026-09-10T15:53:56Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
57,0KIBu1jQBL8_s3435,ncaa_basketball,2026-09-10T16:02:58Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
60,0KIBu1jQBL8_s90,ncaa_basketball,2026-09-10T16:03:58Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
63,fiba-Y1cgaIWW8gk_s4131,basketball,2026-09-10T16:07:59Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
66,fiba-Y1cgaIWW8gk_s90,basketball,2026-09-10T16:10:00Z,CORPUS,/workspace/data/footage_corpus/basketball__fiba-Y1cgaIWW8gk_s90.mp4,58883653,OK,,scratch_g372/sources/basketball__fiba-Y1cgaIWW8gk_s90.mp4,58883653
69,RIrGQJ_jsGQ_s4050,nba,2026-09-10T16:11:01Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
72,RIrGQJ_jsGQ_s90,nba,2026-09-10T16:12:22Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
75,fiba-Byk8aH-n_U4_s1426,basketball,2026-09-10T16:15:24Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
78,fiba-Byk8aH-n_U4_s5434,basketball,2026-09-10T16:18:06Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
81,wJSOHbeQcg4_s3360,ncaa_basketball,2026-09-10T16:19:47Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
84,fiba-fyp4VsE-8Fc_s4098,basketball,2026-09-10T16:23:51Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
87,fiba-fyp4VsE-8Fc_s90,basketball,2026-09-10T16:24:12Z,BRIDGE,/workspace/data/footage_bridge/basketball__fiba-fyp4VsE-8Fc_s90.mp4,85266665,OK,,scratch_g372/sources/basketball__fiba-fyp4VsE-8Fc_s90.mp4,85266665
90,GNjSxoeDT-E_s1167,ncaa_basketball,2026-09-10T16:25:33Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
93,GNjSxoeDT-E_s4398,ncaa_basketball,2026-09-10T16:27:35Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
96,EqseleqhpTk_s2700,ncaa_basketball,2026-09-10T16:30:37Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
99,EqseleqhpTk_s4005,ncaa_basketball,2026-09-10T16:32:39Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
102,EqseleqhpTk_s90,ncaa_basketball,2026-09-10T16:35:00Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
105,fiba-tZeqmc_-_sA_s3816,basketball,2026-09-10T16:37:02Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
108,fiba-tZeqmc_-_sA_s90,basketball,2026-09-10T16:39:43Z,CORPUS,/workspace/data/footage_corpus/basketball__fiba-tZeqmc_-_sA_s90.mp4,58196753,OK,,scratch_g372/sources/basketball__fiba-tZeqmc_-_sA_s90.mp4,58196753
111,9F5q5jCbrMI_s2450,ncaa_basketball,2026-09-10T16:41:45Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
114,1E5Rw89keTg_s312,wnba,2026-09-10T16:43:46Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
117,1E5Rw89keTg_s534,wnba,2026-09-10T16:45:07Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
120,HUSo3PzP7lo_s402,nba,2026-09-10T16:48:49Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
123,eaKqXq9dfig_s428,nba,2026-09-10T16:53:12Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
126,euroleague-zud-2wkhjJY_s296,basketball,2026-09-10T17:51:52Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
129,fiba-tZeqmc_-_sA_s2639,basketball,2026-09-10T17:53:54Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
132,fiba-tZeqmc_-_sA_s6365,basketball,2026-09-10T17:55:35Z,CORPUS,/workspace/data/footage_corpus/basketball__fiba-tZeqmc_-_sA_s6365.mp4,56088519,OK,,scratch_g372/sources/basketball__fiba-tZeqmc_-_sA_s6365.mp4,56088519
135,9F5q5jCbrMI_s2515,ncaa_basketball,2026-09-10T18:00:18Z,CORPUS,/workspace/data/footage_corpus/ncaa_basketball__9F5q5jCbrMI_s2515.mp4,90742947,OK,,scratch_g372/sources/ncaa_basketball__9F5q5jCbrMI_s2515.mp4,90742947
138,fiba-XKDW0xL3yKc_s155,basketball,2026-09-10T18:00:59Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
141,fiba-XKDW0xL3yKc_s3878,basketball,2026-09-10T18:02:01Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
144,HUSo3PzP7lo_s155,nba,2026-09-10T18:06:43Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
147,eaKqXq9dfig_s155,nba,2026-09-10T18:11:45Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
