window,game_id,sport,status,seconds,claim_epoch,finished_at,decoded_frames,rows,straddle,source_identity_path
BEFORE,fiba-Byk8aH-n_U4_s5499,basketball,tracked,447,1789066242,1789066689,3901,4169,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s4163,basketball,tracked,264,1789066506,1789066770,7801,923,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s5499,basketball,tracked,263,1789066527,1789066790,7801,2906,0,<ABSENT_KEY>
BEFORE,fiba-Byk8aH-n_U4_s6835,basketball,tracked,467,1789066343,1789066810,3750,2501,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s6835,basketball,tracked,263,1789066568,1789066831,7500,1542,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s3425,ncaa_basketball,tracked,405,1789066588,1789066993,3901,2424,0,<ABSENT_KEY>
BEFORE,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789066953,1789066993,,0,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s4515,ncaa_basketball,tracked,446,1789066609,1789067055,3901,5844,0,<ABSENT_KEY>
BEFORE,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789067015,1789067055,,0,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s1232,ncaa_basketball,tracked,426,1789066649,1789067075,3897,4440,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s5605,ncaa_basketball,tracked,467,1789066649,1789067116,3865,3388,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s155,ncaa_basketball,tracked,427,1789066709,1789067136,3897,3263,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s2309,ncaa_basketball,tracked,427,1789066730,1789067157,3897,4449,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s3386,ncaa_basketball,tracked,407,1789066770,1789067177,3897,4003,0,<ABSENT_KEY>
BEFORE,EqseleqhpTk_s1460,ncaa_basketball,tracked,407,1789066790,1789067197,3897,4621,0,<ABSENT_KEY>
BEFORE,EqseleqhpTk_s155,ncaa_basketball,tracked,447,1789066974,1789067421,3897,5068,0,<ABSENT_KEY>
BEFORE,EqseleqhpTk_s4070,ncaa_basketball,tracked,406,1789067035,1789067441,3897,4120,0,<ABSENT_KEY>
BEFORE,EqseleqhpTk_s2765,ncaa_basketball,tracked,426,1789067035,1789067461,3897,5270,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s5540,ncaa_basketball,tracked,406,1789067117,1789067523,3850,4724,0,<ABSENT_KEY>
BEFORE,GNjSxoeDT-E_s4463,ncaa_basketball,tracked,447,1789067097,1789067544,3897,3938,0,<ABSENT_KEY>
BEFORE,1E5Rw89keTg_s155,wnba,tracked,406,1789067138,1789067544,3897,3767,0,<ABSENT_KEY>
BEFORE,1E5Rw89keTg_s377,wnba,tracked,406,1789067158,1789067564,3897,5475,0,<ABSENT_KEY>
BEFORE,EqseleqhpTk_s5375,ncaa_basketball,tracked,508,1789067076,1789067584,3763,4267,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s7035,basketball,tracked,284,1789067483,1789067767,3751,1564,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s1531,basketball,tracked,427,1789067381,1789067808,3901,2727,0,<ABSENT_KEY>
BEFORE,XCaGht2GmPg_s1481,nba,tracked,284,1789067524,1789067808,7792,2928,0,<ABSENT_KEY>
BEFORE,XCaGht2GmPg_s155,nba,tracked,304,1789067545,1789067849,7793,2174,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s155,basketball,tracked,468,1789067401,1789067869,3901,3043,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s2907,basketball,tracked,447,1789067422,1789067869,3901,2492,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s6980,basketball,thin,40,1789067829,1789067869,,0,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s5659,basketball,tracked,427,1789067483,1789067910,3901,1763,0,<ABSENT_KEY>
BEFORE,fiba--x4DRmtYn4Q_s4283,basketball,tracked,447,1789067483,1789067930,3901,6002,0,<ABSENT_KEY>
BEFORE,XCaGht2GmPg_s2807,nba,tracked,284,1789067849,1789068133,7793,1484,0,<ABSENT_KEY>
BEFORE,XCaGht2GmPg_s5459,nba,tracked,263,1789067891,1789068154,7793,1927,0,<ABSENT_KEY>
BEFORE,XCaGht2GmPg_s4133,nba,tracked,304,1789067870,1789068174,7793,2872,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s155,basketball,tracked,447,1789067747,1789068194,3901,3334,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s2885,basketball,tracked,467,1789067768,1789068235,3901,4136,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s1520,basketball,tracked,508,1789067747,1789068255,3901,4758,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s4250,basketball,tracked,528,1789067788,1789068316,3901,5109,0,<ABSENT_KEY>
BEFORE,fiba-7HQqWMaKxpA_s5615,basketball,tracked,487,1789067830,1789068317,3901,5933,0,<ABSENT_KEY>
BEFORE,0KIBu1jQBL8_s1270,ncaa_basketball,tracked,406,1789068093,1789068499,3898,969,0,<ABSENT_KEY>
BEFORE,0KIBu1jQBL8_s2385,ncaa_basketball,tracked,406,1789068114,1789068520,3897,2042,0,<ABSENT_KEY>
BEFORE,fiba-Y1cgaIWW8gk_s6825,basketball,thin,40,1789068480,1789068520,,0,0,<ABSENT_KEY>
BEFORE,fiba-Y1cgaIWW8gk_s90,basketball,thin,40,1789068500,1789068540,,0,0,<ABSENT_KEY>
BEFORE,0KIBu1jQBL8_s155,ncaa_basketball,tracked,447,1789068114,1789068561,3897,2623,0,<ABSENT_KEY>
BEFORE,0KIBu1jQBL8_s4615,ncaa_basketball,tracked,386,1789068195,1789068581,3897,957,0,<ABSENT_KEY>
BEFORE,0KIBu1jQBL8_s3500,ncaa_basketball,tracked,447,1789068154,1789068601,3897,3926,0,<ABSENT_KEY>
BEFORE,fiba-Y1cgaIWW8gk_s1502,basketball,tracked,427,1789068215,1789068642,3901,4236,0,<ABSENT_KEY>
BEFORE,fiba-Y1cgaIWW8gk_s4196,basketball,tracked,426,1789068277,1789068703,3901,4326,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789068663,1789068703,,0,0,<ABSENT_KEY>
BEFORE,fiba-Y1cgaIWW8gk_s2849,basketball,tracked,447,1789068277,1789068724,3901,2643,0,<ABSENT_KEY>
BEFORE,fiba-tZeqmc_-_sA_s6365,basketball,thin,40,1789068684,1789068724,,0,0,<ABSENT_KEY>
BEFORE,fiba-tZeqmc_-_sA_s90,basketball,thin,40,1789068684,1789068724,,0,0,<ABSENT_KEY>
BEFORE,RIrGQJ_jsGQ_s6690,nba,thin,40,1789068704,1789068744,,0,0,<ABSENT_KEY>
