game_id,eligible,table_readable,video_id_parsed,run_start_known
6cNq5d_NOXs_s60,1,1,1,1
6cNq5d_NOXs_s772,1,1,1,1
7Ci3zQ5Vm4M_s1201,0,0,1,1
7Ci3zQ5Vm4M_s2312,1,1,1,1
7Ci3zQ5Vm4M_s3423,1,1,1,1
7Ci3zQ5Vm4M_s4534,1,1,1,1
7Ci3zQ5Vm4M_s5645,1,1,1,1
7Ci3zQ5Vm4M_s90,1,1,1,1
7WBKNCu3NLU_s308,1,1,1,1
7WBKNCu3NLU_s526,1,1,1,1
7WBKNCu3NLU_s90,1,1,1,1
850xnW8BoAU_s1358,1,1,1,1
850xnW8BoAU_s2626,1,1,1,1
850xnW8BoAU_s3894,1,1,1,1
850xnW8BoAU_s5162,1,1,1,1
850xnW8BoAU_s90,1,1,1,1
8kHt2bFTK6g_s1255,1,1,1,1
8kHt2bFTK6g_s2420,1,1,1,1
8kHt2bFTK6g_s3585,1,1,1,1
8kHt2bFTK6g_s90,1,1,1,1
9F5q5jCbrMI_s1270,1,1,1,1
9F5q5jCbrMI_s2450,1,1,1,1
9F5q5jCbrMI_s3630,1,1,1,1
9F5q5jCbrMI_s4810,1,1,1,1
9F5q5jCbrMI_s90,1,1,1,1
9sq-YMlIo9Q_s1218,1,1,1,1
9sq-YMlIo9Q_s2346,1,1,1,1
9sq-YMlIo9Q_s3474,1,1,1,1
9sq-YMlIo9Q_s4602,1,1,1,1
9sq-YMlIo9Q_s5730,1,1,1,1
9sq-YMlIo9Q_s90,1,1,1,1
E-5WuXXdGSA_s1391,1,1,1,1
E-5WuXXdGSA_s2692,1,1,1,1
E-5WuXXdGSA_s3993,1,1,1,1
E-5WuXXdGSA_s5294,1,1,1,1
E-5WuXXdGSA_s6595,0,0,1,1
E-5WuXXdGSA_s90,1,1,1,1
EqseleqhpTk_s1395,1,1,1,1
EqseleqhpTk_s2700,1,1,1,1
EqseleqhpTk_s4005,1,1,1,1
EqseleqhpTk_s5310,1,1,1,1
EqseleqhpTk_s90,1,1,1,1
G8bPOW37Sp0_s320,1,1,1,1
G8bPOW37Sp0_s550,1,1,1,1
G8bPOW37Sp0_s90,1,1,1,1
GNjSxoeDT-E_s1167,1,1,1,1
GNjSxoeDT-E_s2244,1,1,1,1
GNjSxoeDT-E_s3321,1,1,1,1
GNjSxoeDT-E_s4398,1,1,1,1
GNjSxoeDT-E_s5475,1,1,1,1
GNjSxoeDT-E_s90,1,1,1,1
HUSo3PzP7lo_s231,1,1,1,1
HUSo3PzP7lo_s402,1,1,1,1
HUSo3PzP7lo_s60,1,1,1,1
Hm7V4jOxlUI_s1271,0,0,1,1
Hm7V4jOxlUI_s2452,0,0,1,1
Hm7V4jOxlUI_s3633,0,0,1,1
Hm7V4jOxlUI_s90,1,1,1,1
LPDnemFoqVk_s1162,1,1,1,1
LPDnemFoqVk_s2234,1,1,1,1
LPDnemFoqVk_s3306,1,1,1,1
LPDnemFoqVk_s4378,1,1,1,1
LPDnemFoqVk_s5450,0,0,1,1
LPDnemFoqVk_s90,1,1,1,1
N-eE7ZwTuno_s1065,1,1,1,1
N-eE7ZwTuno_s1390,1,1,1,1
N-eE7ZwTuno_s1715,1,1,1,1
N-eE7ZwTuno_s2040,1,1,1,1
N-eE7ZwTuno_s2365,1,1,1,1
N-eE7ZwTuno_s2690,1,1,1,1
N-eE7ZwTuno_s3015,1,1,1,1
N-eE7ZwTuno_s3340,1,1,1,1
N-eE7ZwTuno_s3665,1,1,1,1
N-eE7ZwTuno_s3990,0,0,1,1
N-eE7ZwTuno_s415,1,1,1,1
N-eE7ZwTuno_s4315,1,1,1,1
N-eE7ZwTuno_s4640,1,1,1,1
N-eE7ZwTuno_s4965,1,1,1,1
N-eE7ZwTuno_s740,1,1,1,1
N-eE7ZwTuno_s90,1,1,1,1
NNJTTtwp7KE_s498,1,1,1,1
NNJTTtwp7KE_s90,1,1,1,1
NNJTTtwp7KE_s906,1,1,1,1
QXFM3hlaDAk_s1375,1,1,1,1
QXFM3hlaDAk_s2660,1,1,1,1
QXFM3hlaDAk_s3945,1,1,1,1
QXFM3hlaDAk_s5230,1,1,1,1
QXFM3hlaDAk_s90,1,1,1,1
RIrGQJ_jsGQ_s1410,1,1,1,1
RIrGQJ_jsGQ_s2730,1,1,1,1
RIrGQJ_jsGQ_s4050,1,1,1,1
RIrGQJ_jsGQ_s5370,1,1,1,1
RIrGQJ_jsGQ_s6690,0,0,1,1
RIrGQJ_jsGQ_s90,1,1,1,1
UHJ90jJmCYw_s1199,1,1,1,1
UHJ90jJmCYw_s2308,1,1,1,1
UHJ90jJmCYw_s3417,1,1,1,1
UHJ90jJmCYw_s4526,1,1,1,1
UHJ90jJmCYw_s5635,1,1,1,1
UHJ90jJmCYw_s90,1,1,1,1
UPco-jzOoEg_s1443,1,1,1,1
UPco-jzOoEg_s2796,1,1,1,1
UzaYBYy3GZg_s1378,1,1,1,1
UzaYBYy3GZg_s2666,1,1,1,1
UzaYBYy3GZg_s3954,1,1,1,1
UzaYBYy3GZg_s5242,1,1,1,1
UzaYBYy3GZg_s90,1,1,1,1
VEUJpELt_yA_s1212,1,1,1,1
VEUJpELt_yA_s2334,1,1,1,1
VEUJpELt_yA_s3456,1,1,1,1
VEUJpELt_yA_s4578,1,1,1,1
VEUJpELt_yA_s5700,1,1,1,1
VEUJpELt_yA_s90,1,1,1,1
Vm0FqeGo-8g_s1317,1,1,1,1
Vm0FqeGo-8g_s2544,1,1,1,1
Vm0FqeGo-8g_s3771,1,1,1,1
Vm0FqeGo-8g_s4998,1,1,1,1
Vm0FqeGo-8g_s90,1,1,1,1
WeheQidCPXI_s1389,1,1,1,1
WeheQidCPXI_s2688,1,1,1,1
WeheQidCPXI_s3987,1,1,1,1
WeheQidCPXI_s5286,1,1,1,1
WeheQidCPXI_s90,1,1,1,1
X5w3V6rh26s_s1376,1,1,1,1
X5w3V6rh26s_s2662,1,1,1,1
X5w3V6rh26s_s3948,1,1,1,1
X5w3V6rh26s_s5234,1,1,1,1
X5w3V6rh26s_s90,1,1,1,1
XCaGht2GmPg_s1416,1,1,1,1
XCaGht2GmPg_s2742,1,1,1,1
XCaGht2GmPg_s4068,1,1,1,1
XCaGht2GmPg_s5394,1,1,1,1
XCaGht2GmPg_s6720,0,0,1,1
XCaGht2GmPg_s90,1,1,1,1
XzIzQZBrPBY_s229,1,1,1,1
XzIzQZBrPBY_s398,1,1,1,1
XzIzQZBrPBY_s60,1,1,1,1
Ze8frxZxNyk_s1368,1,1,1,1
Ze8frxZxNyk_s2646,1,1,1,1
Ze8frxZxNyk_s3924,1,1,1,1
Ze8frxZxNyk_s5202,1,1,1,1
Ze8frxZxNyk_s90,1,1,1,1
acb-6NGcNkDDK9o_s1336,1,1,1,1
acb-6NGcNkDDK9o_s2582,1,1,1,1
acb-6NGcNkDDK9o_s3828,1,1,1,1
acb-6NGcNkDDK9o_s5074,1,1,1,1
acb-6NGcNkDDK9o_s6320,1,1,1,1
acb-6NGcNkDDK9o_s90,1,1,1,1
acb-8Oh7-GrvKvE_s1360,1,1,1,1
acb-8Oh7-GrvKvE_s2630,1,1,1,1
acb-8Oh7-GrvKvE_s3900,1,1,1,1
acb-8Oh7-GrvKvE_s5170,1,1,1,1
acb-8Oh7-GrvKvE_s6440,1,1,1,1
acb-8Oh7-GrvKvE_s90,0,0,1,1
acb-DCA1PAsKVJs_s1465,1,1,1,1
acb-DCA1PAsKVJs_s2840,1,1,1,1
acb-DCA1PAsKVJs_s4215,0,0,1,1
acb-DCA1PAsKVJs_s5590,1,1,1,1
acb-DCA1PAsKVJs_s6965,1,1,1,1
acb-DCA1PAsKVJs_s90,0,0,1,1
acb-IZW8vZFesBI_s1423,1,1,1,1
acb-IZW8vZFesBI_s2756,1,1,1,1
acb-IZW8vZFesBI_s4089,1,1,1,1
acb-IZW8vZFesBI_s5422,1,1,1,1
acb-IZW8vZFesBI_s6755,0,0,1,1
acb-IZW8vZFesBI_s90,1,1,1,1
acb-_a72WK36Its_s1376,1,1,1,1
acb-_a72WK36Its_s2662,1,1,1,1
acb-_a72WK36Its_s3948,1,1,1,1
acb-_a72WK36Its_s5234,1,1,1,1
acb-_a72WK36Its_s6520,0,0,1,1
acb-_a72WK36Its_s90,1,1,1,1
