game_id,video_id,requested_start_s,requested_end_s,actual_first_pts,fps,width,height,topcut_px,source_sha256,bytes,fetch_utc,format_id,path
cba-8R8t7v2N-zQ_s5538,8R8t7v2N-zQ,5538,5668,UNKNOWN,30.0,1920,1080,60,f117dd7a3134962d150ea8331dbf87a783ffe18adcd8f6337185269e4e1b95da,64381830,2026-09-09T19:02:19Z,270,/workspace/g361_refetch/8R8t7v2N-zQ_s5538.mp4
eurocup-DyCvYr221F8_s5062,DyCvYr221F8,5062,5192,UNKNOWN,30.0,1920,1080,60,e51034b454c666d2d07310b2702d30dc8e02b34a1ad956ad98200949979c8e4f,70362647,2026-09-09T19:03:01Z,270,/workspace/g361_refetch/DyCvYr221F8_s5062.mp4
eurocup-qrWmO434a0k_s4161,qrWmO434a0k,4161,4291,UNKNOWN,30.0,1920,1080,60,5a163d5266fefaf40316dd4314041e9bf13dc61574034a41910253ff3db35fd6,66864877,2026-09-09T19:04:19Z,270,/workspace/g361_refetch/qrWmO434a0k_s4161.mp4
euroleague-HkwnT6jwtNs_s1276,HkwnT6jwtNs,1276,1406,UNKNOWN,25.0,1920,1080,60,e7d4808c2944bcedb18117d7acec42d0e86e93df6d329fe258c36c02a0508d83,75578109,2026-09-09T19:05:54Z,270,/workspace/g361_refetch/HkwnT6jwtNs_s1276.mp4
fiba-14Mh4JjtLVg_s6710,14Mh4JjtLVg,6710,6840,UNKNOWN,30.0,1920,1080,60,e6ccb591dfe2d2b4d34bb1adda359418ffa915ed0ffac53a0188fcc895ecf817,47279393,2026-09-09T19:06:34Z,270,/workspace/g361_refetch/14Mh4JjtLVg_s6710.mp4
fiba-A2W5ZjAgr7M_s6725,A2W5ZjAgr7M,6725,6855,UNKNOWN,30.0,1920,1080,60,abb87c76105c2dfb20d6b813d254d339d95feb831de0de15129d2be1335bc02e,54046710,2026-09-09T19:07:34Z,270,/workspace/g361_refetch/A2W5ZjAgr7M_s6725.mp4
fiba-UG_eQNRDHiI_s3975,UG_eQNRDHiI,3975,4105,UNKNOWN,30.0,1920,1080,60,ee8ee30092ac08a0270ff09f793ed4204e0053107617e69405c737f52a5a4780,65519334,2026-09-09T19:08:30Z,270,/workspace/g361_refetch/UG_eQNRDHiI_s3975.mp4
fiba-tFnl0NVn6FA_s90,tFnl0NVn6FA,90,220,0.0,30.0,1920,1080,60,b476e16d53648424f665207cc79fb011d335f2ef77493edc725af82e85d23264,63658970,2026-09-09T19:09:16Z,270,/workspace/g361_refetch/tFnl0NVn6FA_s90.mp4
jKoEJNdiRyI_s90,jKoEJNdiRyI,90,220,UNKNOWN,30.0,1920,1080,60,ffeccd60df15ce55f640a880ecbcd91c2273fe39381ffccf253e7d61c501023f,42599244,2026-09-09T19:10:48Z,270,/workspace/g361_refetch/jKoEJNdiRyI_s90.mp4
lnb-ouDVA0vM20g_s2668,ouDVA0vM20g,2668,2798,UNKNOWN,30.0,1920,1080,60,8dc2448f6c53f6a06142c7d3f7b8fbf726407ecc5d5e17bbc42f62d342e7b248,57972251,2026-09-09T19:12:44Z,270,/workspace/g361_refetch/ouDVA0vM20g_s2668.mp4
ncaaw-PKm-w1NE8J0_s4670,PKm-w1NE8J0,4670,4800,UNKNOWN,29.97002997002997,1920,1080,60,3482c7b817b871dc707dc8890f629c7ebc18067967f0187c0fef8470da1104ce,62625556,2026-09-09T19:14:59Z,270,/workspace/g361_refetch/PKm-w1NE8J0_s4670.mp4
ncaaw-yFLPyfhtpR4_s1303,yFLPyfhtpR4,1303,1433,UNKNOWN,23.97602499896111,1920,1080,60,df6eba30236579eb6f532e3c830349124b568b12953db3922823ad423ca3d833,69523224,2026-09-09T19:15:52Z,270,/workspace/g361_refetch/yFLPyfhtpR4_s1303.mp4
wd08fix8q3Q_s5830,wd08fix8q3Q,5830,5960,UNKNOWN,30.0,1920,1080,60,9ee5f170266520a016f127721931f74dc0d67da2efda248af89620a409b867f4,47629330,2026-09-09T19:16:45Z,270,/workspace/g361_refetch/wd08fix8q3Q_s5830.mp4
