game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022500035,130,CHI,34032,34925,894,29.83,789.5,801.1,-2.27,0,0,,0,cut,,,0,0,0,31,316,1,70.6,0.0,3pt_arc,,0
0022500035,131,MIL,34926,35309,383,12.77,827.0,815.7,,0,0,,0,transition,,,3,0,0,2,489,1,306.1,19.5,backcourt,,0
0022500035,134,CHI,35310,36056,746,24.87,,,80.59,3,1,35973,0,hand_off,,,2,0,0,0,722,1,,20.4,backcourt,,0
0022500035,140,CHI,36111,36479,369,12.31,655.3,999.6,,0,0,,0,transition,,,6,0,0,2,8,1,409.5,11.8,mid_range,,0
0022500035,141,MIL,36480,37112,633,21.12,785.3,642.0,,0,0,,0,transition,,,9,2,0,18,472,2,550.9,3.0,mid_range,,0
0022500035,142,CHI,37113,37259,147,4.9,729.2,452.9,,0,0,,0,transition,,,1,1,0,4,417,1,530.0,19.2,mid_range,,0
0022500035,143,MIL,37260,37508,248,8.27,734.1,554.6,,0,0,,0,transition,,,0,0,0,2,472,1,,19.3,mid_range,,0
0022500035,146,CHI,37509,37589,81,2.7,364.3,475.0,,0,0,,0,cut,,,2,0,0,3,523,1,,21.4,backcourt,,0
0022500035,147,MIL,37590,37700,111,3.7,524.5,464.8,,0,0,,0,transition,,,10,0,0,0,225,2,,20.4,mid_range,,0
0022500035,150,CHI,37803,38207,404,13.47,380.2,930.8,29.52,3,0,,0,transition,,,12,2,0,19,613,2,996.5,14.7,backcourt,,0
0022500035,153,MIL,38208,38921,714,23.82,504.9,607.3,0.55,0,0,,0,cut,,,0,0,0,38,553,1,190.8,0.3,3pt_arc,,0
0022500035,154,CHI,38922,39329,408,13.61,,,66.38,1,0,,0,off_screen,,,5,0,0,1,738,3,84.8,10.5,backcourt,,0
0022500035,155,MIL,39330,39623,294,9.81,742.5,1067.8,-1.84,8,0,,0,transition,,,1,3,0,29,511,0,528.6,14.3,corner_3,,0
0022500035,158,CHI,39672,40082,410,13.67,206.3,615.8,-8.55,0,0,,0,transition,,,4,2,1,16,521,0,435.1,19.3,3pt_arc,,0
0022500035,163,MIL,40083,40475,393,13.11,445.9,994.1,0.64,0,0,,0,cut,,,1,1,0,19,482,0,165.7,11.0,3pt_arc,,0
0022500035,164,CHI,40476,40568,93,3.1,315.9,513.3,-50.32,0,0,,0,transition,,,2,2,0,5,521,0,119.6,21.0,3pt_arc,,0
0022500035,165,MIL,40569,40643,75,2.5,329.0,423.9,-10.83,2,0,,0,transition,,,1,4,0,12,470,0,356.9,21.6,3pt_arc,,0
0022500035,168,CHI,40713,40784,72,2.4,,,-16.76,5,0,,0,transition,,,5,0,0,5,859,0,87.0,21.7,3pt_arc,,0
0022500035,169,MIL,40785,41093,309,10.31,605.8,829.2,-1.17,5,0,,0,transition,,,2,1,0,42,72,1,519.7,13.8,corner_3,,0
0022500035,170,CHI,41094,41222,129,4.3,248.9,1143.8,,0,0,,0,off_screen,,,0,1,0,7,609,1,36.7,19.8,3pt_arc,,0
