frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
14,0.234,6,green,1083,1331,0.0,0.0,0.0,mid_range,0,,,216.0,none,416991.5,722.8,1175.6,2,0,,0.0,475,188,545,327,,,0.0,1044.3,0.0,0,0,15,0,1.0
14,0.234,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,416991.5,722.8,1175.6,2,0,,0.0,251,615,334,675,,,0.0,452.5,0.0,0,0,15,0,1.0
14,0.234,9,green,406,1442,0.0,-1.0,0.0,3pt_arc,0,,,214.0,none,416991.5,722.8,1175.6,2,0,,0.0,589,203,665,405,,,0.0,638.7,0.0,0,0,15,0,1.0
14,0.234,10,green,404,963,0.0,-2.0,0.0,paint,0,,,265.1,none,416991.5,722.8,1175.6,2,0,,0.0,619,593,699,675,,,0.0,272.9,0.0,0,0,15,0,1.0
15,0.25,1,green,1054,1545,0.0,0.0,0.0,mid_range,0,,,213.7,none,417760.0,722.1,1175.0,2,0,,0.0,240,232,297,383,,,0.0,1134.4,0.0,0,0,16,0,1.0
15,0.25,3,green,633,665,3.61,3.61,236.3,3pt_arc,0,,,375.8,none,417760.0,722.1,1175.0,2,0,,0.0,861,233,923,380,,,0.0,516.3,0.75,0,0,16,0,1.0
15,0.25,4,green,1025,1059,2.0,2.0,270.0,mid_range,0,,,279.7,none,417760.0,722.1,1175.0,2,0,,0.0,670,185,748,316,,,0.0,895.3,0.45,0,0,16,0,1.0
15,0.25,5,green,764,1165,2.24,2.24,243.4,3pt_arc,0,,,281.7,none,417760.0,722.1,1175.0,2,0,,0.0,631,271,735,417,,,0.0,684.8,1.8,0,0,16,0,1.0
15,0.25,6,green,1081,1333,2.83,2.83,135.0,mid_range,0,,,213.7,none,417760.0,722.1,1175.0,2,0,,0.0,475,188,544,328,,,0.0,1043.5,0.86,0,0,16,0,1.0
15,0.25,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,417760.0,722.1,1175.0,2,0,,0.0,250,617,332,675,,,0.0,452.5,0.0,0,0,16,0,1.0
15,0.25,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,417760.0,722.1,1175.0,2,0,,0.0,588,196,665,403,,,0.0,638.7,0.0,0,0,16,0,1.0
15,0.25,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,417760.0,722.1,1175.0,2,0,,0.0,619,594,698,675,,,0.0,272.9,0.0,0,0,16,0,1.0
16,0.267,1,green,1054,1545,0.0,0.0,0.0,mid_range,0,,,213.5,none,418468.0,729.0,1183.8,2,0,,0.0,240,232,297,383,,,0.0,1134.4,0.0,0,0,17,0,1.0
16,0.267,3,green,632,661,4.12,0.51,256.0,3pt_arc,0,,,378.4,none,418468.0,729.0,1183.8,2,0,,0.0,862,233,924,380,,,0.0,516.8,-0.58,0,0,17,0,1.0
16,0.267,4,green,1025,1059,0.0,-2.0,0.0,mid_range,0,,,271.3,none,418468.0,729.0,1183.8,2,0,,0.0,670,184,748,316,,,0.0,895.3,0.0,0,0,17,0,1.0
16,0.267,5,green,822,1239,94.02,91.78,51.9,3pt_arc,0,,,271.3,none,418468.0,729.0,1183.8,2,0,,0.0,576,184,683,412,,,0.0,771.0,-87.12,0,0,17,0,1.0
16,0.267,6,green,1079,1333,2.0,-0.83,180.0,mid_range,0,,,213.5,none,418468.0,729.0,1183.8,2,0,,0.0,475,187,543,329,,,0.0,1041.7,1.78,0,0,17,0,1.0
16,0.267,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,418468.0,729.0,1183.8,2,0,,0.0,255,618,327,674,,,0.0,452.5,0.0,0,0,17,0,1.0
16,0.267,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,418468.0,729.0,1183.8,2,0,,0.0,338,112,394,168,,,0.0,638.7,0.0,0,0,17,0,1.0
16,0.267,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,418468.0,729.0,1183.8,2,0,,0.0,619,594,698,675,,,0.0,272.9,0.0,0,0,17,0,1.0
17,0.284,1,green,1053,1546,1.41,1.41,135.0,mid_range,0,,,212.4,none,422975.0,751.7,1158.1,2,0,,0.0,239,231,296,384,,,0.0,1134.2,0.18,0,0,18,0,1.0
17,0.284,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,422975.0,751.7,1158.1,2,0,,0.0,727,190,807,331,,,0.0,797.3,0.0,0,0,18,0,1.0
17,0.284,3,green,630,658,3.61,-0.51,236.3,3pt_arc,0,,,379.6,none,422975.0,751.7,1158.1,2,0,,0.0,863,232,925,380,,,0.0,516.1,0.7,0,0,18,0,1.0
17,0.284,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,422975.0,751.7,1158.1,2,0,,0.0,670,184,748,316,,,0.0,895.3,0.0,0,0,18,0,1.0
17,0.284,5,green,816,1235,7.21,-86.81,213.7,3pt_arc,0,,,273.2,none,422975.0,751.7,1158.1,2,0,,0.0,576,184,690,413,,,0.0,763.8,7.19,0,0,18,0,1.0
17,0.284,6,green,1077,1335,2.83,0.83,135.0,mid_range,0,,,212.4,none,422975.0,751.7,1158.1,2,0,,0.0,474,187,542,330,,,0.0,1040.8,0.85,0,0,18,0,1.0
17,0.284,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,422975.0,751.7,1158.1,2,0,,0.0,405,549,484,670,,,0.0,452.5,0.0,0,0,18,0,1.0
17,0.284,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,422975.0,751.7,1158.1,2,0,,0.0,357,88,417,165,,,0.0,638.7,0.0,0,0,18,0,1.0
17,0.284,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,422975.0,751.7,1158.1,2,0,,0.0,620,596,698,675,,,0.0,272.9,0.0,0,0,18,0,1.0
18,0.3,1,green,1053,1546,0.0,-1.41,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,238,231,296,384,,,0.0,1134.2,0.0,0,0,19,0,1.0
18,0.3,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,727,190,807,331,,,0.0,797.3,0.0,0,0,19,0,1.0
18,0.3,3,green,629,655,3.16,-0.45,251.6,3pt_arc,0,,,381.4,none,423788.0,751.6,1157.8,2,0,,0.0,865,232,925,380,,,0.0,516.3,-0.24,0,0,19,0,1.0
