game_id,elapsed_s,timestamp_utc,timestamp_reason,p_market,p_null,p_simulator,outcome,loss_market,loss_null,loss_simulator,timestamp
401810032,1080,2025-11-06T02:21:05Z,,0.4549999999999999,0.4696203730790385,0.5,0,0.2070249999999999,0.2205432948108953,0.25,401810032:1080
401810030,2520,2025-11-06T02:49:06Z,,0.98,0.9803419151462016,0.546875,1,0.0004000000000000007,0.0003864403001191375,0.205322265625,401810030:2520
401810032,1560,2025-11-06T02:54:05Z,,0.645,0.6565776605291062,0.625,0,0.41602500000000003,0.4310942243058742,0.390625,401810032:1560
401810032,2040,2025-11-06T03:11:05Z,,0.685,0.6955030344746463,0.5,0,0.46922500000000006,0.4837244709634411,0.25,401810032:2040
401810036,120,2025-11-06T03:13:06Z,,0.5549999999999999,0.5684795119857979,0.515625,1,0.19802500000000006,0.18620993157601512,0.234619140625,401810036:120
401810034,120,2025-11-06T03:15:04Z,,0.475,0.4894821845373425,0.46875,1,0.275625,0.26062843990476403,0.2822265625,401810034:120
401810036,600,2025-11-06T03:32:06Z,,0.405,0.4197530606015611,0.546875,1,0.354025,0.33668651068125555,0.205322265625,401810036:600
401810032,2520,2025-11-06T03:33:05Z,,0.3349999999999999,0.3493898552878651,0.546875,0,0.11222499999999994,0.12207327097807531,0.299072265625,401810032:2520
401810034,600,2025-11-06T03:39:04Z,,0.395,0.4097415994966653,0.359375,1,0.366025,0.348404979364755,0.410400390625,401810034:600
401810036,1080,2025-11-06T03:54:06Z,,0.3299999999999999,0.3443377657324045,0.546875,1,0.4489000000000002,0.4298929654447753,0.205322265625,401810036:1080
401810034,1080,2025-11-06T04:04:04Z,,0.475,0.4894821845373425,0.5625,1,0.275625,0.26062843990476403,0.19140625,401810034:1080
401810036,1560,2025-11-06T04:26:17Z,,0.4449999999999999,0.4596716024535036,0.578125,1,0.30802500000000016,0.29195477719516466,0.177978515625,401810036:1560
401810034,1560,2025-11-06T04:46:04Z,,0.54,0.5537198836578398,0.34375,1,0.21159999999999995,0.19916594224237208,0.4306640625,401810034:1560
401810036,2040,2025-11-06T04:51:06Z,,0.62,0.6321810173131955,0.59375,1,0.1444,0.13529080402475577,0.1650390625,401810036:2040
401810034,2040,2025-11-06T05:07:04Z,,0.1999999999999999,0.2116068327386486,0.546875,1,0.6400000000000001,0.6215637861843851,0.205322265625,401810034:2040
401810036,2520,2025-11-06T05:15:07Z,,0.5900000000000001,0.6028306120672153,0.4375,1,0.16809999999999994,0.1577435227109028,0.31640625,401810036:2520
401810034,2520,2025-11-06T05:33:05Z,,0.255,0.2681019540157542,0.53125,1,0.555025,0.5356747497155572,0.2197265625,401810034:2520
401809510,120,2025-11-08T00:14:05Z,,0.5800000000000001,0.5986585198589822,0.453125,1,0.17639999999999995,0.16107498368178297,0.299072265625,401809510:120
401809510,600,2025-11-08T00:34:06Z,,0.775,0.7824333559787796,0.5,1,0.05062499999999999,0.04733524459065643,0.25,401809510:600
401809774,120,2025-11-08T00:46:07Z,,0.4,0.4222158304812267,0.53125,1,0.36,0.3338345465464986,0.2197265625,401809774:120
401809512,120,2025-11-08T00:47:07Z,,0.575,0.5939087282971003,0.4375,0,0.33062499999999995,0.3527275775474789,0.19140625,401809512:120
401809510,1080,2025-11-08T01:02:06Z,,0.81,0.8153607412225948,0.34375,1,0.03609999999999998,0.03409165588186959,0.4306640625,401809510:1080
401809774,600,2025-11-08T01:05:08Z,,0.425,0.4468688592057476,0.484375,1,0.33062499999999995,0.3059540589163511,0.265869140625,401809774:600
401809512,600,2025-11-08T01:07:07Z,,0.53,0.5510167085876934,0.6875,0,0.28090000000000004,0.303619413142815,0.47265625,401809512:600
401809776,120,2025-11-08T01:13:04Z,,0.64,0.6554500525490954,0.53125,1,0.1296,0.11871466628842113,0.2197265625,401809776:120
401809778,120,2025-11-08T01:17:05Z,,0.92,0.9198777858680282,0.4375,1,0.006399999999999993,0.00641956919740955,0.31640625,401809778:120
401809774,1080,2025-11-08T01:25:08Z,,0.2249999999999999,0.2456074819909923,0.40625,1,0.6006250000000002,0.5691080712279709,0.3525390625,401809774:1080
401809512,1080,2025-11-08T01:26:15Z,,0.77,0.7777339461761972,0.578125,0,0.5929,0.6048700910347999,0.334228515625,401809512:1080
401809510,1560,2025-11-08T01:29:05Z,,0.6950000000000001,0.7072560356915484,0.421875,1,0.09302499999999997,0.085699028639028,0.334228515625,401809510:1560
401809778,600,2025-11-08T01:34:05Z,,0.96,0.958871475683804,0.640625,1,0.001600000000000003,0.0016915555124279221,0.129150390625,401809778:600
401809776,600,2025-11-08T01:36:04Z,,0.765,0.77303522309592,0.484375,1,0.055224999999999996,0.05151300995511881,0.265869140625,401809776:600
401809510,2040,2025-11-08T01:49:05Z,,0.74,0.7495473279988901,0.515625,1,0.06760000000000001,0.06272654091249552,0.234619140625,401809510:2040
401809776,1080,2025-11-08T01:54:04Z,,0.84,0.8436587628072788,0.46875,1,0.02560000000000001,0.02444258244695071,0.2822265625,401809776:1080
401809778,1080,2025-11-08T01:57:05Z,,0.9705,0.9693116538436212,0.5625,1,0.0008702499999999983,0.0009417745898137314,0.19140625,401809778:1080
401809512,1560,2025-11-08T01:58:07Z,,0.6599999999999999,0.6743103593662251,0.484375,0,0.4355999999999999,0.4546944607486076,0.234619140625,401809512:1560
401809774,1560,2025-11-08T02:01:19Z,,0.62,0.6357068606526401,0.390625,1,0.1444,0.13270949137555493,0.371337890625,401809774:1560
401809510,2520,2025-11-08T02:11:06Z,,0.505,0.5270628293385289,0.46875,1,0.245025,0.22366956739327745,0.2822265625,401809510:2520
401809512,2040,2025-11-08T02:16:07Z,,0.6799999999999999,0.6931443758412705,0.53125,0,0.4623999999999999,0.4804491257603845,0.2822265625,401809512:2040
401809774,2040,2025-11-08T02:27:07Z,,0.78,0.7877819926473244,0.453125,1,0.04839999999999999,0.04503648264474027,0.299072265625,401809774:2040
401809778,1560,2025-11-08T02:29:05Z,,0.996,0.9955105283401692,0.421875,1,1.600000000000003e-05,2.015535578442413e-05,0.334228515625,401809778:1560
401809776,1560,2025-11-08T02:31:04Z,,0.9725,0.9713151202575976,0.46875,1,0.0007562499999999982,0.0008228223258360883,0.2822265625,401809776:1560
401809512,2520,2025-11-08T02:37:07Z,,0.2199999999999999,0.2442471774996957,0.5625,0,0.04839999999999995,0.05965668371656786,0.31640625,401809512:2520
401809778,2040,2025-11-08T02:49:05Z,,0.9995,0.9993934195375176,0.5625,1,2.4999999999994493e-07,3.679398574653731e-07,0.19140625,401809778:2040
401809776,2040,2025-11-08T02:50:04Z,,0.996,0.9955105283401692,0.546875,1,1.600000000000003e-05,2.015535578442413e-05,0.205322265625,401809776:2040
401809774,2520,2025-11-08T02:52:07Z,,0.85,0.8541687640748372,0.484375,1,0.022500000000000006,0.02126674937146049,0.265869140625,401809774:2520
401809778,2520,2025-11-08T03:13:05Z,,0.9995,0.9993934195375176,0.46875,1,2.4999999999994493e-07,3.679398574653731e-07,0.2822265625,401809778:2520
401809776,2520,2025-11-08T03:14:04Z,,0.994,0.9933679524106082,0.5,1,3.600000000000006e-05,4.398405522795816e-05,0.25,401809776:2520
401809780,120,2025-11-08T03:16:07Z,,0.16,0.1813084756574711,0.46875,0,0.0256,0.03287276334523579,0.2197265625,401809780:120
401809780,600,2025-11-08T03:32:06Z,,0.1999999999999999,0.2234490191207631,0.609375,0,0.03999999999999996,0.04992946414603115,0.371337890625,401809780:600
