game_id,rows_before,rows_after,cols_before,cols_after,canonical_sha256_before,canonical_sha256_after,identical,ball_sha256_before,ball_sha256_after,ball_identical,first_diff
Fu__lY_KbYU_s1352,4605,4807,70,73,052aa3c033941817ef1a057e405dcda49925cae112706439fccd2247cb957c37,a43dafd45930134a33e273e6c79fa225bc983cde7c11185b0ea2e1d1d0e1454c,False,18fe8bbb20c8de10bd49f2d2c10aae35bd85edf5b61fd5a7bbb9e647f2268ff1,de1d4437dc7e3670a76b7f3332024bc9d8d36bd6994f13f9f8db8b866dd712cd,False,line 11
Fu__lY_KbYU_s90,5234,2897,70,73,682dad5e2bb4ad2cde50ce07a6edff17073385fee61e5fdcdb72f8d11ab9f36f,f46d78b84000e8e66cf89fbe05e83ec89756a440029b1dbbbbaca9bfa2fcefe3,False,725c177ba4360e34847d436ec7d5e7028ef0c8a4327ee78134e3ff78d09ea6cc,38fa4f23bc604f90c3b4d79fa524a9a6a2591e3542a4441998137071097b3269,False,line 3
GtwFiAa1gXI_s3762,4662,4356,70,73,7136de43b9decb8b03bf48567d97f0528dcc51d39fcccc101987a013cadfd4b6,b277fd79ac7a60f9323ba58c8a96681a838e9b1a1e439eba0bd1e49aeb6eb983,False,61ef149f830b0e5cb024d63fb2425cb69351cbe899d5c0971c2f48dd2648f2d7,837c959cc9d212c170a68d99dfd10f6de2b18696a1027f102f1ca18d6a1e879e,False,line 5
o-0zMlCbY3o_s1481,4008,3331,70,73,4cba10e4a8cd7139a72f3880b840c3d52ba5001bc7c08f57c48ba42e6a126d3b,f21a4a896503c38013cda2b8837a2effac45bad855f30a4e9d081d10c80e2934,False,9f8e79975a74c409a7709e2174af12c2d6bc15e6ac160e68166d2857b73dfbe8,78ae9b442facac9d16c92fd58fbd54fee7982ba1f8a8b3ed33abd3c9d2c90551,False,line 4
J8WABIinM64_s1385,3305,3135,70,73,e15b6aab0b039c5d3aa1acf14e6b495551864dcc3b32f5226b2d5290368330e9,2d3251cba02f0278c7811def693cd6760d2df740b85e56725b1a1f1076dfef5a,False,93a6296addd5420fd86b82dd557bfdd155fa91c0328b5037a713a035c3df539a,3287418de4691ddf1ab05ed67268b6f56ee4ce0e492aea5a8aeba3e187ebf7c6,False,line 2
FZAUuuuREg0_s1835,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
J8WABIinM64_s2680,5309,5018,70,73,5e5c3abdf1ecf92b89c4f8039bc427afb2b7cf81f70b4322bd495a384ec98b50,c74cd92c3219c8972a5234b342416c9675a6fc15ef2f94e807ac6689abb797ce,False,3c6ccc4c6fe79bb6abfeecdc559311d9c9ec0ae1480c7f8de613c59a0d3ef2c6,b217d8dca6da69cdfc97915558767ab0631726e20f795db6274e90c08351a9cb,False,line 6
J8WABIinM64_s90,2357,2069,70,73,d87578a77bf4389d3190ec0f033e8404e77617c57be53920c9c35204b4952006,31d38d704a24d49ea2819d1187449e246b1718cf9ef91011c34f0683c2b7df60,False,d48ff140d173e99f600f696ccf576c0fc662f79b76820ce91cedb4ce24c88ac1,b9750cc16dc19667c0a57f19cf7ded10fa9aeb46f512116377ed56bb2853aa81,False,line 6
dPgMkcHsSBE_s2668,3672,4842,70,73,448513a8d7febc57fa9fbc2b8f677ce7770a6e92550100aced1843ff3292d12a,86edcc19572142eeebef0abf465d4ffe60f1305536d9d8e1a7e96c57cf998686,False,a0dbee899780aa46fe1b90c650c6707fcaf2d3b587e0e66430956bf6a048a37b,fb563d5576c371bfe5ad0e27252cf3c95bee697d3ef8e11ac43dd67eaa374fbb,False,line 17
dPgMkcHsSBE_s90,5505,3625,70,73,cfc297dbb94d6d17c95905e736abf17e3ee847bd179d2395098be369afa71ed8,691a0777bdc746d7ca29bc8a572c76415f2d69549ea202f021ae0fa3b698b63e,False,3192a58f9276fa309ce1e5c5a790f97942f6ff2181eab558a9deb0c2feacf182,8fa463c431f0e019be4298cd280c460fecdf5e0464bb85d724b4a6697724584c,False,line 3
fW6Q1NSXAzY_s2734,2232,2181,70,73,1ccc8b9f718b14339d136e08568f0ddd23e25c7352200c49f212427d89d31627,b9c84dc3aedcf441aa4df9d981bbef15c1234c7652d60a2b35bd6b7975ba7e23,False,b106d8e2b72f726592390a73470131106521aaf69f7fa53cf9a629e846b21d0a,273042de1ceb8b5144dbfa193d1ff9532f3603e4dde038c1b2d54b69b203f0f4,False,line 2
RD68Xth--34_s1287,4520,5847,70,73,ce05159a6b7b16e6f895daf352606a51820999c5286dbffe639c5ad9a99f1b52,7509a32d8cdfea5d34c767eba1e40b2838987fa82e23fd6dde8a149308b17f8a,False,ff625600da399fe75d47869ad7d5b35697e3f8b12be32aa4b3406ddb26d0688d,e4e7873c23937bfe7d5cb98f21843ecc2102371b28d42547bd5d5f57c40011a9,False,line 5
RD68Xth--34_s4878,5572,5162,70,73,49e84d019c547375959dce9223049acc7f183d6f740b550e5cef403470a7a47a,ee2524d79ad85a0423153589f8dda55babc03c785629ba33fb45b274872f3ffb,False,46ed0de98917704df4a6c4c3ecf1508e386b65986feb2fa09f5697c454bd521a,ca0e47b96d043efabbb1f2327f83f395d2141b4b3de85e25b37071f14f88d582,False,line 1
c-AQzcZ1Jxs_s3537,5425,5817,70,73,b6715a654e7a78e05d3a9cf4e4d076766266c99e24ba9f5ccc903498fcc53df8,f0fbaa6862424a5fcfabc744f08b3eaed3bede6abb2bfdea4ef294fbfce7d28d,False,0d68255093421f55e77c5ba6a811bb388d5e593c9038e825c559f1f9b9b00dfd,b62709b36398a6641683bb5bdec08b3bf9e9f0a8215c10e1fc570954dd6a8f84,False,line 5
RtiZgPwcwNA_s2720,5103,5149,70,73,09fd5042a937281dfed03753f1f2f749818efa392a22b79630e8e38e4b006495,c84c1d9de812ba48bf72b6c5b2102b7b55546b02e689ea367c044e83ade287af,False,f3163cf056d722755090a719700dbd1fc295e4380ebded94781ab1f88ad68961,7a2f9484ed15f7b26abf03b5cf58433ac89e139270872db7eedb2b91d3d07142,False,line 1
eXwgsSpz-GY_s2458,3796,3992,70,73,09ab9c481a5e4759e3163d05e947683209750773b33b8bc009744de617709343,1340aff47851b3124bb8b6f297c74e41689f0c63fe348239349e514d13014bba,False,f03648e47fcba05f74dec34cddc64d41b892fe0a10544c005ca2505837729e62,0d2ba53a060664aa14d4101c4914a86a32c98cf4050ce7601eb2d7f62538fed4,False,line 4
iDogCL8td5Q_s2282,2912,2679,70,73,4fc7eb1bbfad405a8ae5cbf669200057d1a31e6dd33b7b0520dc49dc937355e1,a937545657796132ecd09d072273afc7d6efef8696683928bb5f5a95bbce8f06,False,4d7ba2e2ef4b5717665ff065adef603908f857f5402f7f8473c5e68ac3f7b82a,b90c7b04e28df39fb756657bc256eef7abd7980a84ee7e52d9b382de754bdf70,False,line 1
euroleague-6sJXOThOUEY_s10205,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
euroleague-mXTDT3_sQbk_s7542,3478,3417,70,73,1f4a712535e32edf1ae700cf70272bcf2d863e0679277f463667088b60b0e288,4b4e68d463f1594906fe114e0f7f7d99bb6c5748eb63c7b52d1450a5e0c52040,False,4caaa2eaef954926ca47581790013efd517d99c5dc640a2db7187c4c0653014e,a3b74548ff82dc4e47d93efb2515f8d3739db203044b7e85b30c24af349bdc3b,False,line 1
4Pc01w1n9Mg_s1296,4201,4618,70,73,94cdbfd8d8f451de0b5e3c2abfb634567998b61f8f47936829a8ac354a3ee531,2dcadca71ebe527ee35d7ab3faa309b8939cb94ddf4f57d92e4fcb506e0aa6b6,False,d7e78f8715fb94113a8867076b1a155f5a26dc1be670d7ceec915cb99ca0643b,0d1ceeab73680412b2b69276a44440720cc34fb7e06fca44177ae7485659c022,False,line 3
IeaneIKx1Ig_s6651,1231,901,70,73,ca57b49ab5896435c7788f31849a689b3f3350f468b882ef14658d413c5bb988,d0307003f3cdde1cdfe471d3eb18183e43da80e850c0c44b87b91a9cecc5fc34,False,b0c7a16d64faec74d467ddb172d9e8ee666fa078f17e7c73b8e471e14daff654,eaab11449e1b393af58ea6e8cc9d188321ee97ffcc01e67d0c077d388439a342,False,line 2
euroleague-31BodlgQOvg_s10474,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
euroleague-CKh4oSjKnbQ_s1703,2365,2352,70,73,7b4bdf698b7b95d310dbf65bb72c9c597f5969bfd58fee6fe77d75681e0077c4,1ca859c981b6c198aee5436f260c2f0c3ae31e588602fce83ec55bd012cac908,False,bc04c6ce0371d9336a7955f20277ce23993138d6d89ba30822d83a99e248ed15,407801ac0882c6f7f5298b693a3ac384dcc73b6cc7b9adaa0c873bc2f82e1906,False,line 1
euroleague-lTRxUTuX-Tk_s1900,3814,3469,70,73,3be01a4e3b071a703c712f0c6b140b9760b49b91263ef6cb3af784fdbfe29968,4f71635e3b5a484e43f1e9c7f99b7ce3dadedeb7ccafdb97ed72f0d12b549b0d,False,c2bddf7929fe401a339e7efba3dca478a98f78a783c41be1595d688cbfb4cef3,df88db92a570e1246dd6997215a1d529784135ab25ac51263ac99da52e45c662,False,line 2
euroleague-ldo5c1SYPPY_s90,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
euroleague-s7FYmMgF7j0_s2006,3129,4145,70,73,394a6b6b04c7165021a5d5b750763595fc384f6bb78e69e296dbc7af0626a571,63caf8fa8da5ea0539cae21a131822e5b85453547c117eeefe1f875af68fd392,False,308e37fd49f6a5c64eebf46da5b443062466a7037774f8aed4fc2a75f48b6ce6,abff20e928aadf1eae1745c1d6c826c9bd89b5936643e3e01d5d8f4f85de6d98,False,line 4
euroleague-tCpBCdX4AJ0_s90,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
