frame,order,trace_branch_label,trace_final_label,trace_event,stamped_label,stamped_branch,stamped_event,agree
51,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
51,1,DETECTION,DETECTION,51_-12_508_168_787,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,51_-12_508_168_787,True
51,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
54,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
54,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
54,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
54,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
57,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
57,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
57,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
57,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
60,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
60,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
60,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
60,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
63,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
63,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
63,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
63,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
66,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
66,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
66,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
66,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
69,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
69,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
69,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
69,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
72,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
72,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
72,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
72,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,True
75,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
75,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
78,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
78,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
81,0,DETECTION,DETECTION,81_-13_385_155_711,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,81_-13_385_155_711,True
81,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
81,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
84,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
84,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
84,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
87,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
87,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
87,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,True
90,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
90,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
90,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
93,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
93,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
93,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
96,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
96,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
99,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
99,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
102,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
102,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
102,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
105,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
105,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
105,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
108,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
108,1,DETECTION,DETECTION,108_-12_401_212_718,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,108_-12_401_212_718,True
108,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
111,0,DETECTION,DETECTION,111_-11_405_213_722,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,111_-11_405_213_722,True
111,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
114,0,DETECTION,DETECTION,114_-12_409_213_726,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,114_-12_409_213_726,True
114,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
117,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
117,1,DETECTION,DETECTION,117_-12_411_211_729,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,117_-12_411_211_729,True
117,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
120,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
120,1,DETECTION,DETECTION,120_-11_418_211_733,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,120_-11_418_211_733,True
120,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
123,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
123,1,DETECTION,DETECTION,123_-12_421_211_734,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,123_-12_421_211_734,True
123,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
126,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
126,1,DETECTION,DETECTION,126_-11_423_211_736,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,126_-11_423_211_736,True
126,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
129,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
129,1,DETECTION,DETECTION,129_-12_430_214_738,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,129_-12_430_214_738,True
129,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
132,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
132,1,DETECTION,SUBPIXEL,132_-12_432_213_738,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
132,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
135,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
135,1,DETECTION,DETECTION,135_-12_437_214_742,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,135_-12_437_214_742,True
135,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
138,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
138,1,DETECTION,DETECTION,138_-11_440_216_740,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,138_-11_440_216_740,True
138,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
141,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
141,1,DETECTION,SUBPIXEL,141_-11_443_216_740,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
141,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
144,0,DETECTION,DETECTION,144_-10_445_214_742,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,144_-10_445_214_742,True
144,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
144,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
147,0,DETECTION,DETECTION,147_-10_448_214_748,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,147_-10_448_214_748,True
147,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
147,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
150,0,DETECTION,DETECTION,150_-10_454_214_753,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,150_-10_454_214_753,True
150,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
150,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
153,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
153,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
153,2,DETECTION,SUBPIXEL,153_-6_1512_204_1770,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
156,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
156,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
156,2,DETECTION,SUBPIXEL,156_-12_456_215_749,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
156,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
159,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
159,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
159,2,DETECTION,SUBPIXEL,159_-6_1505_209_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
162,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
162,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
162,2,DETECTION,DETECTION,162_-12_455_219_749,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,162_-12_455_219_749,True
162,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
165,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
165,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
165,2,DETECTION,SUBPIXEL,165_-7_1503_207_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
168,0,DETECTION,SUBPIXEL,168_9_714_847_1019,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
168,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
168,2,DETECTION,SUBPIXEL,168_-12_456_217_749,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
168,3,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
171,0,DETECTION,SUBPIXEL,171_10_714_847_1018,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
171,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
171,2,DETECTION,SUBPIXEL,171_-10_1503_205_1755,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
174,0,DETECTION,DETECTION,174_10_713_843_1019,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,174_10_713_843_1019,True
174,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
174,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
174,3,DETECTION,SUBPIXEL,174_-7_1503_205_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
177,0,DETECTION,SUBPIXEL,177_12_709_846_1018,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
177,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
177,2,DETECTION,SUBPIXEL,177_-10_1503_207_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
180,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
180,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
180,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
180,3,DETECTION,SUBPIXEL,180_-12_1504_207_1759,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
183,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
183,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
183,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
183,3,DETECTION,SUBPIXEL,183_-12_1503_208_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
186,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
186,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
186,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
186,3,DETECTION,SUBPIXEL,186_-12_1503_208_1761,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
189,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
189,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
189,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
189,3,DETECTION,SUBPIXEL,189_-12_1501_210_1762,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
192,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
192,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
192,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
192,3,DETECTION,DETECTION,192_-12_1502_212_1767,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,192_-12_1502_212_1767,True
195,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
195,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
195,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
195,3,DETECTION,SUBPIXEL,195_-12_1501_211_1771,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
198,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
198,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
198,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
198,3,DETECTION,SUBPIXEL,198_-11_1507_213_1762,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
201,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
201,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
201,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
201,3,DETECTION,SUBPIXEL,201_-11_1512_214_1752,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
204,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
204,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
204,2,DETECTION,SUBPIXEL,204_-11_1515_215_1749,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
204,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
207,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
207,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
207,2,DETECTION,SUBPIXEL,207_-12_1515_213_1749,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
207,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
210,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
210,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
210,2,DETECTION,SUBPIXEL,210_-12_1516_218_1753,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
210,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
213,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
213,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
213,2,DETECTION,SUBPIXEL,213_-12_1518_217_1755,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
213,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
216,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
216,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
216,2,DETECTION,SUBPIXEL,216_-12_1518_214_1758,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
216,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
219,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
219,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
219,2,DETECTION,SUBPIXEL,219_-11_1521_215_1761,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
222,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
222,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
222,2,DETECTION,SUBPIXEL,222_-10_1522_216_1765,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
225,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
225,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
225,2,DETECTION,DETECTION,225_-10_1521_217_1773,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,225_-10_1521_217_1773,True
228,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
228,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
228,2,DETECTION,SUBPIXEL,228_-10_1527_211_1779,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
231,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
231,1,DETECTION,DETECTION,231_366_636_718_801,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,231_366_636_718_801,True
231,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
234,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
234,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
237,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
237,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
240,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
240,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
243,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
