render,frame_key,section_id,frame_index,source_sha256,validation_status,selection_status,raw_state,presence_prediction
render_13_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:1397,ncaa_basketball__QXFM3hlaDAk_s1440,1397,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_14_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:2396,ncaa_basketball__QXFM3hlaDAk_s1440,2396,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_15_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:3261,ncaa_basketball__QXFM3hlaDAk_s1440,3261,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_16_REFUSED.jpg,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327:ncaa_basketball__UzaYBYy3GZg_s155:265,ncaa_basketball__UzaYBYy3GZg_s155,265,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327,REFUSED,REFUSED_MARGIN,REFUSED,ABSTAIN
render_17_REFUSED.jpg,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327:ncaa_basketball__UzaYBYy3GZg_s155:1192,ncaa_basketball__UzaYBYy3GZg_s155,1192,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_18_REFUSED.jpg,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327:ncaa_basketball__UzaYBYy3GZg_s155:2186,ncaa_basketball__UzaYBYy3GZg_s155,2186,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_19_REFUSED.jpg,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327:ncaa_basketball__UzaYBYy3GZg_s155:3048,ncaa_basketball__UzaYBYy3GZg_s155,3048,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_20_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:66,ncaa_basketball__UzaYBYy3GZg_s4019,66,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_21_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:1061,ncaa_basketball__UzaYBYy3GZg_s4019,1061,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_MARGIN,REFUSED,NON_COURT
render_22_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:1989,ncaa_basketball__UzaYBYy3GZg_s4019,1989,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_23_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:2785,ncaa_basketball__UzaYBYy3GZg_s4019,2785,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_24_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:3648,ncaa_basketball__UzaYBYy3GZg_s4019,3648,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_25_REFUSED.jpg,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957:ncaa_basketball__g7dzEFLiemQ_s1258:1292,ncaa_basketball__g7dzEFLiemQ_s1258,1292,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_26_REFUSED.jpg,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957:ncaa_basketball__g7dzEFLiemQ_s1258:3359,ncaa_basketball__g7dzEFLiemQ_s1258,3359,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957,REFUSED,REFUSED_MARGIN,REFUSED,NON_COURT
render_27_REFUSED.jpg,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957:ncaa_basketball__g7dzEFLiemQ_s1258:5298,ncaa_basketball__g7dzEFLiemQ_s1258,5298,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957,REFUSED,REFUSED_MARGIN,REFUSED,NON_COURT
render_28_REFUSED.jpg,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:4668,nba__pPHOlLVyjQc_s1603,4668,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11,REFUSED,REFUSED_VALIDATION,REFUSED,COURT
render_29_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:1730,ncaa_basketball__QXFM3hlaDAk_s1440,1730,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,REFUSED_VALIDATION,REFUSED,NON_COURT
render_30_REFUSED.jpg,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c:ncaa_basketball__UzaYBYy3GZg_s4019:795,ncaa_basketball__UzaYBYy3GZg_s4019,795,f17f87263665f21889ab7a440bc8b502ec61d842bf6e56d8b9955c4295eeb40c,REFUSED,REFUSED_VALIDATION,REFUSED,NON_COURT
