game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made,shot_clock,contest_arm_angle,closeout_speed,fatigue_proxy,dribble_count,ball_shot_arc_angle,catch_and_shoot,shot_distance,second_chance,shot_creation,shots_pbp_coverage,team_abbrev,pbp_game_clock
22400430,111,90111,1501.85,10,LaVine,MIL,38,433,0.0322,0.5017,paint,,0.3024,0.0,18015,3,1.0,6.0,0.295321632821495,,337648.3,0,-86.66396444086045,1,15.1,0,catch_and_shoot,0.3798,CHI,1502.0
22400430,113,90636,1510.6,4,,CHI,14,196,0.0119,0.2271,3pt_arc,,0.2633,0.0,18015,178,,6.0,0.0,,352329.1,0,82.6228884679926,1,,1,catch_and_shoot,0.3798,MIL,
22400430,115,91134,1518.9,6,Lillard,MIL,1176,277,0.9975,0.321,paint,,0.1393,0.0,18015,344,0.0,6.0,0.0,,326493.5,0,-89.36300493158653,1,,1,catch_and_shoot,0.3798,MIL,1515.0
22400430,117,91647,1527.45,1,Vučević,CHI,788,15,0.6684,0.0174,mid_range,,0.4986,0.0,18015,485,0.0,6.0,0.2552052301210188,,397299.1,0,-86.29247801415443,1,,1,catch_and_shoot,0.3798,CHI,1527.0
22400430,119,92250,1537.5,5,,CHI,725,453,0.6149,0.5249,mid_range,,0.1325,0.0,18015,686,,5.0,0.0,,387235.0,0,-71.59075697175625,1,,1,catch_and_shoot,0.3798,MIL,
22400430,122,92916,1548.6,7,Lopez,MIL,329,388,0.2791,0.4496,3pt_arc,47.5,0.0403,0.0,18015,908,0.0,5.0,0.436840807466811,,327113.7,0,51.28578632740248,1,,1,catch_and_shoot,0.3798,MIL,1545.0
22400430,125,93639,1560.65,2,White,CHI,87,157,0.0738,0.1819,3pt_arc,,0.3878,0.0,18017,121,0.0,5.0,0.0,,410464.1,1,89.1924956982283,0,,1,pull_up,0.3798,CHI,1562.0
22400430,128,94299,1571.65,4,,CHI,918,463,0.7786,0.5365,3pt_arc,,0.0884,0.0,18018,132,,5.0,0.0,,364672.8,0,88.25884486275157,1,,1,catch_and_shoot,0.3798,MIL,
22400430,130,94785,1579.75,10,,MIL,918,119,0.7786,0.1379,corner_3,,0.3158,0.0,18019,69,,5.0,0.0,,349458.1,0,-89.27942542539954,1,,0,catch_and_shoot,0.3798,CHI,
22400430,133,95469,1591.15,6,Middleton,MIL,1,458,0.0008,0.5307,paint,,0.3751,0.0,18020,16,0.0,5.0,0.0250253630024946,,344220.7,0,87.7539130297269,1,58.4,0,catch_and_shoot,0.3798,MIL,1591.0
