variant,clip,frame_index,role,visible,detected,matching_indices
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,47
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,19;43
before,wnba__wnba_01,8448,baseline,true,false,
before,wnba__wnba_01,8448,free_throw,true,false,
before,wnba__wnba_01,8448,lane_left,true,false,
before,wnba__wnba_01,8448,lane_right,true,true,5;23;28
before,wnba__wnba_01,11904,baseline,true,false,
before,wnba__wnba_01,11904,free_throw,true,false,
before,wnba__wnba_01,11904,lane_left,true,true,5
before,wnba__wnba_01,11904,lane_right,true,false,
before,wnba__wnba_01,13632,baseline,true,false,
before,wnba__wnba_01,13632,free_throw,true,false,
before,wnba__wnba_01,13632,lane_left,true,false,
before,wnba__wnba_01,13632,lane_right,true,true,2;3
before,wnba__wnba_01_1080p,360,baseline,true,false,
before,wnba__wnba_01_1080p,360,free_throw,true,false,
before,wnba__wnba_01_1080p,360,lane_left,true,true,7;25;43
before,wnba__wnba_01_1080p,360,lane_right,true,true,14;20;48;56
before,wnba__wnba_01_1080p,12720,baseline,true,false,
before,wnba__wnba_01_1080p,12720,free_throw,true,true,2
before,wnba__wnba_01_1080p,12720,lane_left,true,true,2;43
before,wnba__wnba_01_1080p,12720,lane_right,true,false,
before,wnba__wnba_01_1080p,17280,baseline,false,,
before,wnba__wnba_01_1080p,17280,free_throw,false,,
before,wnba__wnba_01_1080p,17280,lane_left,false,,
before,wnba__wnba_01_1080p,17280,lane_right,false,,
before,wnba__wnba_02,4416,baseline,false,,
before,wnba__wnba_02,4416,free_throw,false,,
before,wnba__wnba_02,4416,lane_left,false,,
before,wnba__wnba_02,4416,lane_right,false,,
before,wnba__wnba_02,18624,baseline,false,,
before,wnba__wnba_02,18624,free_throw,false,,
before,wnba__wnba_02,18624,lane_left,false,,
before,wnba__wnba_02,18624,lane_right,false,,
before,wnba__wnba_02,20736,baseline,false,,
before,wnba__wnba_02,20736,free_throw,false,,
before,wnba__wnba_02,20736,lane_left,false,,
before,wnba__wnba_02,20736,lane_right,false,,
before,wnba__wnba_04,1920,baseline,false,,
before,wnba__wnba_04,1920,free_throw,false,,
before,wnba__wnba_04,1920,lane_left,false,,
before,wnba__wnba_04,1920,lane_right,false,,
before,wnba__wnba_04,3648,baseline,false,,
before,wnba__wnba_04,3648,free_throw,false,,
before,wnba__wnba_04,3648,lane_left,false,,
before,wnba__wnba_04,3648,lane_right,false,,
before,wnba__wnba_04,23424,baseline,false,,
before,wnba__wnba_04,23424,free_throw,false,,
before,wnba__wnba_04,23424,lane_left,false,,
before,wnba__wnba_04,23424,lane_right,false,,
before,wnba__wnba_05,2304,baseline,false,,
before,wnba__wnba_05,2304,free_throw,false,,
before,wnba__wnba_05,2304,lane_left,false,,
before,wnba__wnba_05,2304,lane_right,false,,
before,wnba__wnba_05,6912,baseline,true,false,
before,wnba__wnba_05,6912,free_throw,true,false,
before,wnba__wnba_05,6912,lane_left,true,false,
before,wnba__wnba_05,6912,lane_right,true,true,55
before,wnba__wnba_05,23424,baseline,false,,
before,wnba__wnba_05,23424,free_throw,false,,
before,wnba__wnba_05,23424,lane_left,false,,
before,wnba__wnba_05,23424,lane_right,false,,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,20
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,25
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,24
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,18;25;33
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,2;29
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,12;16
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,true,16
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,3
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,13
after,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,2
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,38
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,12;21;33
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,39
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,6
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,,
after,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,39
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,
after,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,18;36
after,wnba__wnba_01,8448,baseline,true,false,
after,wnba__wnba_01,8448,free_throw,true,false,
after,wnba__wnba_01,8448,lane_left,true,true,14
after,wnba__wnba_01,8448,lane_right,true,true,1;3;19
after,wnba__wnba_01,11904,baseline,true,false,
after,wnba__wnba_01,11904,free_throw,true,false,
after,wnba__wnba_01,11904,lane_left,true,true,3
after,wnba__wnba_01,11904,lane_right,true,false,
after,wnba__wnba_01,13632,baseline,true,false,
after,wnba__wnba_01,13632,free_throw,true,false,
after,wnba__wnba_01,13632,lane_left,true,false,
after,wnba__wnba_01,13632,lane_right,true,true,0
after,wnba__wnba_01_1080p,360,baseline,true,false,
after,wnba__wnba_01_1080p,360,free_throw,true,false,
after,wnba__wnba_01_1080p,360,lane_left,true,true,8
after,wnba__wnba_01_1080p,360,lane_right,true,true,12;33;34;41
after,wnba__wnba_01_1080p,12720,baseline,true,false,
after,wnba__wnba_01_1080p,12720,free_throw,true,false,
after,wnba__wnba_01_1080p,12720,lane_left,true,true,38
after,wnba__wnba_01_1080p,12720,lane_right,true,false,
after,wnba__wnba_01_1080p,17280,baseline,false,,
after,wnba__wnba_01_1080p,17280,free_throw,false,,
after,wnba__wnba_01_1080p,17280,lane_left,false,,
after,wnba__wnba_01_1080p,17280,lane_right,false,,
after,wnba__wnba_02,4416,baseline,false,,
after,wnba__wnba_02,4416,free_throw,false,,
after,wnba__wnba_02,4416,lane_left,false,,
after,wnba__wnba_02,4416,lane_right,false,,
after,wnba__wnba_02,18624,baseline,false,,
after,wnba__wnba_02,18624,free_throw,false,,
after,wnba__wnba_02,18624,lane_left,false,,
after,wnba__wnba_02,18624,lane_right,false,,
after,wnba__wnba_02,20736,baseline,false,,
after,wnba__wnba_02,20736,free_throw,false,,
after,wnba__wnba_02,20736,lane_left,false,,
after,wnba__wnba_02,20736,lane_right,false,,
after,wnba__wnba_04,1920,baseline,false,,
after,wnba__wnba_04,1920,free_throw,false,,
after,wnba__wnba_04,1920,lane_left,false,,
after,wnba__wnba_04,1920,lane_right,false,,
after,wnba__wnba_04,3648,baseline,false,,
after,wnba__wnba_04,3648,free_throw,false,,
after,wnba__wnba_04,3648,lane_left,false,,
after,wnba__wnba_04,3648,lane_right,false,,
after,wnba__wnba_04,23424,baseline,false,,
after,wnba__wnba_04,23424,free_throw,false,,
after,wnba__wnba_04,23424,lane_left,false,,
after,wnba__wnba_04,23424,lane_right,false,,
after,wnba__wnba_05,2304,baseline,false,,
after,wnba__wnba_05,2304,free_throw,false,,
after,wnba__wnba_05,2304,lane_left,false,,
after,wnba__wnba_05,2304,lane_right,false,,
after,wnba__wnba_05,6912,baseline,true,false,
after,wnba__wnba_05,6912,free_throw,true,false,
after,wnba__wnba_05,6912,lane_left,true,false,
after,wnba__wnba_05,6912,lane_right,true,true,48
after,wnba__wnba_05,23424,baseline,false,,
after,wnba__wnba_05,23424,free_throw,false,,
after,wnba__wnba_05,23424,lane_left,false,,
after,wnba__wnba_05,23424,lane_right,false,,
