ledger_line,game_id,sport,status,started_at_utc,finished_at_utc,seconds
413,wnba_07,wnba,tracked,2026-09-02T23:14:42Z,2026-09-02T23:22:45Z,483
414,npb_u2svMam9fKE,npb,tracked,2026-09-02T23:28:46Z,2026-09-02T23:33:45Z,299
415,kbo_7o6CiQiGfCQ,kbo,tracked,2026-09-02T23:35:31Z,2026-09-02T23:39:52Z,261
416,soccer_PwqdSwPQFFw,soccer,tracked,2026-09-02T23:57:07Z,2026-09-03T00:05:32Z,505
417,wnba_08,wnba,tracked,2026-09-02T23:55:38Z,2026-09-03T00:08:52Z,794
418,ncaa_basketball_4Drw9t7xqgg,ncaa_basketball,tracked,2026-09-03T00:03:23Z,2026-09-03T00:11:29Z,486
419,wnba_09,wnba,tracked,2026-09-03T00:05:33Z,2026-09-03T00:15:03Z,570
420,tennis_08,tennis,tracked,2026-09-02T23:39:52Z,2026-09-03T00:16:52Z,2220
421,ncaa_basketball_VIlUnUeCMmE,ncaa_basketball,tracked,2026-09-03T00:22:09Z,2026-09-03T00:26:11Z,242
422,wnba_10,wnba,tracked,2026-09-03T00:31:56Z,2026-09-03T00:37:32Z,336
423,soccer_DtzIyXc56f4,soccer,tracked,2026-09-03T00:41:03Z,2026-09-03T00:51:01Z,598
424,ncaa_basketball_owTX2OPmIVw,ncaa_basketball,tracked,2026-09-03T00:45:47Z,2026-09-03T00:52:20Z,393
425,wnba_OdGDLXvM76w,wnba,tracked,2026-09-03T00:53:06Z,2026-09-03T01:01:31Z,505
426,kbo_8UMcAyU1pi0,kbo,tracked,2026-09-03T01:07:46Z,2026-09-03T01:30:36Z,1370
427,mlb_FGtFanovws4,mlb,thin,2026-09-03T02:38:07Z,2026-09-03T02:42:07Z,240
