section_id,video_id,offset_s,competition,game_id,sport,status,source_resolution,duration_s,eligible,ineligible_reason
0022500594_s5400,,,nba,,nba,tracked,640x360,152.700,0,no_video_id_or_offset
0022500594_s8100,,,nba,,nba,tracked,640x360,154.033,0,no_video_id_or_offset
cavs_broadcast_2025,,,nba,,nba,tracked,1280x720,937.053,0,no_video_id_or_offset
0022500594_s1500,,,nba,,nba,tracked,640x360,151.367,0,no_video_id_or_offset
0022500594_s9300,,,nba,,nba,tracked,640x360,152.767,0,no_video_id_or_offset
0022500594_s3900,,,nba,,nba,tracked,640x360,151.367,0,no_video_id_or_offset
0022500594_s6600,,,nba,,nba,tracked,640x360,150.800,0,no_video_id_or_offset
0022500575_s4500,,,nba,,nba,thin,640x360,134.901,0,no_video_id_or_offset
0022500575_s1500,,,nba,,nba,tracked,640x360,155.222,0,no_video_id_or_offset
0022500594_s6000,,,nba,,nba,tracked,640x360,130.033,0,no_video_id_or_offset
0022500594_s4500,,,nba,,nba,thin,640x360,130.967,0,no_video_id_or_offset
0022500594_s900,,,nba,,nba,tracked,640x360,134.033,0,no_video_id_or_offset
0022500594_s3300,,,nba,,nba,tracked,640x360,134.033,0,no_video_id_or_offset
0022500594_s2100,,,nba,,nba,tracked,640x360,134.033,0,no_video_id_or_offset
0022500575_s9300,,,nba,,nba,thin,640x360,130.097,0,no_video_id_or_offset
0022500575_s2100,,,nba,,nba,tracked,640x360,131.965,0,no_video_id_or_offset
0022500575_s6000,,,nba,,nba,tracked,640x360,134.735,0,no_video_id_or_offset
phi_tor_2025,,,nba,,nba,thin,1280x720,904.654,0,no_video_id_or_offset
atl_ind_2025,,,nba,,nba,thin,1280x720,966.616,0,no_video_id_or_offset
bos_mia_2025,,,nba,,nba,thin,1280x720,908.458,0,no_video_id_or_offset
0022500575_s3300,,,nba,,nba,tracked,640x360,130.764,0,no_video_id_or_offset
nba_highlights_gsw,,,nba,,nba,thin,1280x720,979.479,0,no_video_id_or_offset
sac_por_2025,,,nba,,nba,thin,1280x720,1058.090,0,no_video_id_or_offset
0022500575_s3900,,,nba,,nba,tracked,640x360,132.833,0,no_video_id_or_offset
0022500575_s6600,,,nba,,nba,tracked,640x360,131.465,0,no_video_id_or_offset
0022500575_s8700,,,nba,,nba,tracked,640x360,133.367,0,no_video_id_or_offset
0022500575_s7200,,,nba,,nba,tracked,640x360,133.533,0,no_video_id_or_offset
0022500575_s900,,,nba,,nba,tracked,640x360,130.063,0,no_video_id_or_offset
0022500594_s8700,,,nba,,nba,tracked,640x360,131.367,0,no_video_id_or_offset
0022500594_s9900,,,nba,,nba,tracked,640x360,131.367,0,no_video_id_or_offset
0022500630_s1500,,,nba,,nba,tracked,640x360,130.931,0,no_video_id_or_offset
0022500592_s2700,,,nba,,nba,thin,640x360,131.899,0,no_video_id_or_offset
0022500592_s300,,,nba,,nba,thin,640x360,130.831,0,no_video_id_or_offset
0022500594_s7200,,,nba,,nba,tracked,640x360,130.033,0,no_video_id_or_offset
0022500592_s9300,,,nba,,nba,thin,640x360,133.567,0,no_video_id_or_offset
0022500630_s4500,,,nba,,nba,tracked,640x360,131.164,0,no_video_id_or_offset
0022500592_s6000,,,nba,,nba,tracked,640x360,130.197,0,no_video_id_or_offset
0022500592_s4500,,,nba,,nba,thin,640x360,131.431,0,no_video_id_or_offset
0022500592_s900,,,nba,,nba,tracked,640x360,132.366,0,no_video_id_or_offset
0022500630_s3900,,,nba,,nba,tracked,640x360,132.833,0,no_video_id_or_offset
0022500592_s2100,,,nba,,nba,tracked,640x360,130.364,0,no_video_id_or_offset
0022500630_s2100,,,nba,,nba,tracked,640x360,131.031,0,no_video_id_or_offset
0022500592_s1500,,,nba,,nba,tracked,640x360,133.901,0,no_video_id_or_offset
0022500592_s8700,,,nba,,nba,tracked,640x360,132.032,0,no_video_id_or_offset
0022500630_s3300,,,nba,,nba,tracked,640x360,130.764,0,no_video_id_or_offset
0022500621_s2100,,,nba,,nba,thin,640x360,131.965,0,no_video_id_or_offset
0022500592_s3900,,,nba,,nba,tracked,640x360,134.968,0,no_video_id_or_offset
0022500592_s5400,,,nba,,nba,tracked,640x360,133.734,0,no_video_id_or_offset
0022500592_s7200,,,nba,,nba,tracked,640x360,133.267,0,no_video_id_or_offset
0022500592_s8100,,,nba,,nba,tracked,640x360,130.497,0,no_video_id_or_offset
0022400909_s2400,,,nba,,nba,thin,1280x720,134.067,0,no_video_id_or_offset
0022500621_s6000,,,nba,,nba,thin,640x360,134.735,0,no_video_id_or_offset
0022500592_s3300,,,nba,,nba,tracked,640x360,133.433,0,no_video_id_or_offset
0022500592_s6600,,,nba,,nba,tracked,640x360,131.732,0,no_video_id_or_offset
0022500621_s1500,,,nba,,nba,tracked,640x360,131.264,0,no_video_id_or_offset
0022500575,,,nba,,nba,tracked,640x360,9637.027,0,no_video_id_or_offset
0022500621_s4500,,,nba,,nba,tracked,640x360,131.298,0,no_video_id_or_offset
0022500621_s2700,,,nba,,nba,tracked,640x360,134.034,0,no_video_id_or_offset
0022500621_s300,,,nba,,nba,tracked,640x360,131.098,0,no_video_id_or_offset
0022400909_s900,,,nba,,nba,tracked,1280x720,132.532,0,no_video_id_or_offset
0022500621_s6600,,,nba,,nba,tracked,640x360,131.465,0,no_video_id_or_offset
0022500621_s3300,,,nba,,nba,tracked,640x360,130.764,0,no_video_id_or_offset
0022500621_s5400,,,nba,,nba,tracked,640x360,132.666,0,no_video_id_or_offset
0022500621_s3900,,,nba,,nba,tracked,640x360,130.564,0,no_video_id_or_offset
0022400909_s3900,,,nba,,nba,tracked,1280x720,133.900,0,no_video_id_or_offset
0022400909_s5400,,,nba,,nba,tracked,1280x720,135.268,0,no_video_id_or_offset
0022400909_s442,,,nba,,nba,tracked,1280x720,130.897,0,no_video_id_or_offset
0022400909_s1015,,,nba,,nba,tracked,1280x720,133.300,0,no_video_id_or_offset
0022400909_s251,,,nba,,nba,tracked,1280x720,135.202,0,no_video_id_or_offset
0022400909_s2543,,,nba,,nba,thin,1280x720,132.065,0,no_video_id_or_offset
0022400909_s1397,,,nba,,nba,tracked,1280x720,130.330,0,no_video_id_or_offset
0022400909_s2734,,,nba,,nba,tracked,1280x720,130.197,0,no_video_id_or_offset
0022400909_s1779,,,nba,,nba,tracked,1280x720,131.298,0,no_video_id_or_offset
0022400909_s1588,,,nba,,nba,tracked,1280x720,131.598,0,no_video_id_or_offset
0022400909_s2352,,,nba,,nba,tracked,1280x720,130.497,0,no_video_id_or_offset
0022400909_s824,,,nba,,nba,tracked,1280x720,130.731,0,no_video_id_or_offset
0022400909_s3116,,,nba,,nba,tracked,1280x720,130.530,0,no_video_id_or_offset
0022400909_s633,,,nba,,nba,tracked,1280x720,134.368,0,no_video_id_or_offset
0022400909_s2161,,,nba,,nba,tracked,1280x720,135.602,0,no_video_id_or_offset
0022400909_s2925,,,nba,,nba,tracked,1280x720,133.200,0,no_video_id_or_offset
0022400909_s1970,,,nba,,nba,tracked,1280x720,134.501,0,no_video_id_or_offset
0022400909_s1206,,,nba,,nba,timeout,1280x720,133.867,0,no_video_id_or_offset
0022400909_s3498,,,nba,,nba,tracked,1280x720,132.799,0,no_video_id_or_offset
0022400909_s3689,,,nba,,nba,tracked,1280x720,130.497,0,no_video_id_or_offset
0022400909_s3307,,,nba,,nba,tracked,1280x720,133.533,0,no_video_id_or_offset
0022400909_s3880,,,nba,,nba,tracked,1280x720,131.298,0,no_video_id_or_offset
0022400909_s4071,,,nba,,nba,tracked,1280x720,130.631,0,no_video_id_or_offset
0022400909_s60,,,nba,,nba,tracked,1280x720,132.866,0,no_video_id_or_offset
0022401156_s247,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022401156_s1369,,,nba,,nba,tracked,1280x720,134.033,0,no_video_id_or_offset
0022400909_s5026,,,nba,,nba,tracked,1280x720,130.597,0,no_video_id_or_offset
0022400909_s5408,,,nba,,nba,tracked,1280x720,130.664,0,no_video_id_or_offset
0022400909_s4262,,,nba,,nba,tracked,1280x720,132.032,0,no_video_id_or_offset
0022400909_s4453,,,nba,,nba,tracked,1280x720,132.399,0,no_video_id_or_offset
0022401156_s1182,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022400909_s4644,,,nba,,nba,tracked,1280x720,133.867,0,no_video_id_or_offset
0022400909_s5217,,,nba,,nba,tracked,1280x720,130.731,0,no_video_id_or_offset
0022401156_s1556,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022401156_s1930,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022401156_s1743,,,nba,,nba,tracked,1280x720,131.300,0,no_video_id_or_offset
0022401156_s2304,,,nba,,nba,tracked,1280x720,134.033,0,no_video_id_or_offset
0022400909_s4835,,,nba,,nba,tracked,1280x720,134.134,0,no_video_id_or_offset
0022401156_s2491,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022401156_s2117,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022400909_s5599,,,nba,,nba,tracked,1280x720,131.732,0,no_video_id_or_offset
0022401156_s2678,,,nba,,nba,tracked,1280x720,133.033,0,no_video_id_or_offset
0022401156_s3052,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022401156_s60,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022401156_s434,,,nba,,nba,tracked,1280x720,134.033,0,no_video_id_or_offset
0022401156_s2865,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022401156_s3426,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022401156_s3239,,,nba,,nba,tracked,1280x720,131.300,0,no_video_id_or_offset
0022401156_s3613,,,nba,,nba,tracked,1280x720,132.567,0,no_video_id_or_offset
0022401156_s3800,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022401156_s4174,,,nba,,nba,tracked,1280x720,134.033,0,no_video_id_or_offset
0022401156_s3987,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022401156_s4361,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022401156_s4922,,,nba,,nba,tracked,1280x720,130.367,0,no_video_id_or_offset
0022401156_s4548,,,nba,,nba,tracked,1280x720,133.033,0,no_video_id_or_offset
0022401156_s4735,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022401156_s5109,,,nba,,nba,tracked,1280x720,134.033,0,no_video_id_or_offset
0022401156_s5296,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022401156_s5483,,,nba,,nba,tracked,1280x720,133.033,0,no_video_id_or_offset
0022401156_s621,,,nba,,nba,tracked,1280x720,130.267,0,no_video_id_or_offset
0022500081_s1545,,,nba,,nba,tracked,1280x720,133.700,0,no_video_id_or_offset
0022500081_s4812,,,nba,,nba,thin,1280x720,131.367,0,no_video_id_or_offset
0022401156_s808,,,nba,,nba,tracked,1280x720,133.033,0,no_video_id_or_offset
0022401156_s995,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022500081_s1248,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022500081_s1842,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022500081_s2139,,,nba,,nba,tracked,1280x720,130.367,0,no_video_id_or_offset
0022500081_s4515,,,nba,,nba,thin,1280x720,133.033,0,no_video_id_or_offset
0022500081_s2733,,,nba,,nba,tracked,1280x720,132.367,0,no_video_id_or_offset
0022500081_s3030,,,nba,,nba,tracked,1280x720,130.700,0,no_video_id_or_offset
0022500081_s357,,,nba,,nba,tracked,1280x720,135.033,0,no_video_id_or_offset
0022500081_s2436,,,nba,,nba,thin,1280x720,134.033,0,no_video_id_or_offset
0022500081_s3327,,,nba,,nba,tracked,1280x720,134.367,0,no_video_id_or_offset
0022401198_s968,,,nba,,nba,tracked,1280x720,130.800,0,no_video_id_or_offset
0022401198_s1876,,,nba,,nba,tracked,1280x720,133.900,0,no_video_id_or_offset
0022401198_s60,,,nba,,nba,tracked,1280x720,132.900,0,no_video_id_or_offset
0022401198_s2784,,,nba,,nba,tracked,1280x720,131.900,0,no_video_id_or_offset
0022500081_s3921,,,nba,,nba,tracked,1280x720,131.033,0,no_video_id_or_offset
0022500081_s3624,,,nba,,nba,tracked,1280x720,132.700,0,no_video_id_or_offset
0022500081_s5109,,,nba,,nba,tracked,1280x720,135.033,0,no_video_id_or_offset
0022500081_s4218,,,nba,,nba,tracked,1280x720,134.700,0,no_video_id_or_offset
0022500081_s60,,,nba,,nba,tracked,1280x720,131.367,0,no_video_id_or_offset
0022500081_s5406,,,nba,,nba,tracked,1280x720,133.367,0,no_video_id_or_offset
0022500081_s5703,,,nba,,nba,tracked,1280x720,131.700,0,no_video_id_or_offset
0022500081_s6297,,,nba,,nba,tracked,1280x720,133.700,0,no_video_id_or_offset
0022500081_s654,,,nba,,nba,tracked,1280x720,133.367,0,no_video_id_or_offset
0022500081_s6891,,,nba,,nba,tracked,1280x720,130.367,0,no_video_id_or_offset
0022500081_s6594,,,nba,,nba,tracked,1280x720,132.033,0,no_video_id_or_offset
0022500081_s8673,,,nba,,nba,thin,1280x720,131.033,0,no_video_id_or_offset
0022500621_s7200,,,nba,,nba,thin,640x360,133.533,0,no_video_id_or_offset
0022500081_s6000,,,nba,,nba,tracked,1280x720,130.033,0,no_video_id_or_offset
0022500081_s7782,,,nba,,nba,tracked,1280x720,130.700,0,no_video_id_or_offset
0022500081_s7485,,,nba,,nba,tracked,1280x720,132.367,0,no_video_id_or_offset
0022500081_s8079,,,nba,,nba,tracked,1280x720,134.367,0,no_video_id_or_offset
0022500081_s8376,,,nba,,nba,tracked,1280x720,132.700,0,no_video_id_or_offset
0022500081_s951,,,nba,,nba,tracked,1280x720,131.700,0,no_video_id_or_offset
0022500081_s7188,,,nba,,nba,tracked,1280x720,132.400,0,no_video_id_or_offset
0022500621_s8100,,,nba,,nba,tracked,640x360,131.298,0,no_video_id_or_offset
0022500630_s5400,,,nba,,nba,tracked,640x360,130.130,0,no_video_id_or_offset
0022500621_s900,,,nba,,nba,tracked,640x360,133.166,0,no_video_id_or_offset
0022500630_s6000,,,nba,,nba,tracked,640x360,134.735,0,no_video_id_or_offset
0022500630_s6600,,,nba,,nba,tracked,640x360,131.465,0,no_video_id_or_offset
bzahHiNvCUE_s430,bzahHiNvCUE,430,nba,nba:bzahHiNvCUE,nba,tracked,1920x1080,132.632,1,
bzahHiNvCUE_s60,bzahHiNvCUE,60,nba,nba:bzahHiNvCUE,nba,tracked,1920x1080,133.266,1,
HUSo3PzP7lo_s231,HUSo3PzP7lo,231,nba,nba:HUSo3PzP7lo,nba,tracked,1920x1080,135.302,1,
N-eE7ZwTuno_s1065,N-eE7ZwTuno,1065,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,132.466,1,
N-eE7ZwTuno_s2040,N-eE7ZwTuno,2040,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,135.202,1,
5TiTjV1JPW8_s401,5TiTjV1JPW8,401,nba,nba:5TiTjV1JPW8,nba,tracked,1920x1080,130.731,1,
5TiTjV1JPW8_s60,5TiTjV1JPW8,60,nba,nba:5TiTjV1JPW8,nba,tracked,1920x1080,130.063,1,
5TiTjV1JPW8_s742,5TiTjV1JPW8,742,nba,nba:5TiTjV1JPW8,nba,tracked,1920x1080,131.848,1,
cavs_vs_celtics_2025,,,nba,,nba,tracked,1280x720,1076.208,0,no_video_id_or_offset
HUSo3PzP7lo_s402,HUSo3PzP7lo,402,nba,nba:HUSo3PzP7lo,nba,tracked,1920x1080,130.130,1,
HUSo3PzP7lo_s60,HUSo3PzP7lo,60,nba,nba:HUSo3PzP7lo,nba,tracked,1920x1080,134.968,1,
eaKqXq9dfig_s244,eaKqXq9dfig,244,nba,nba:eaKqXq9dfig,nba,tracked,1920x1080,131.583,1,
N-eE7ZwTuno_s1715,N-eE7ZwTuno,1715,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,134.601,1,
eaKqXq9dfig_s428,eaKqXq9dfig,428,nba,nba:eaKqXq9dfig,nba,tracked,1920x1080,133.017,1,
bzahHiNvCUE_s800,bzahHiNvCUE,800,nba,nba:bzahHiNvCUE,nba,tracked,1920x1080,131.298,1,
6cNq5d_NOXs_s416,6cNq5d_NOXs,416,nba,nba:6cNq5d_NOXs,nba,tracked,1920x1080,130.414,1,
6cNq5d_NOXs_s60,6cNq5d_NOXs,60,nba,nba:6cNq5d_NOXs,nba,tracked,1920x1080,132.249,1,
6cNq5d_NOXs_s772,6cNq5d_NOXs,772,nba,nba:6cNq5d_NOXs,nba,tracked,1920x1080,135.085,1,
eaKqXq9dfig_s60,eaKqXq9dfig,60,nba,nba:eaKqXq9dfig,nba,tracked,1920x1080,131.517,1,
XzIzQZBrPBY_s229,XzIzQZBrPBY,229,nba,nba:XzIzQZBrPBY,nba,tracked,1920x1080,130.397,1,
XzIzQZBrPBY_s398,XzIzQZBrPBY,398,nba,nba:XzIzQZBrPBY,nba,tracked,1920x1080,130.397,1,
XzIzQZBrPBY_s60,XzIzQZBrPBY,60,nba,nba:XzIzQZBrPBY,nba,tracked,1920x1080,131.832,1,
N-eE7ZwTuno_s1390,N-eE7ZwTuno,1390,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,130.097,1,
N-eE7ZwTuno_s2365,N-eE7ZwTuno,2365,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,134.901,1,
N-eE7ZwTuno_s3015,N-eE7ZwTuno,3015,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,131.031,1,
N-eE7ZwTuno_s3340,N-eE7ZwTuno,3340,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,132.733,1,
N-eE7ZwTuno_s415,N-eE7ZwTuno,415,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,133.100,1,
N-eE7ZwTuno_s2690,N-eE7ZwTuno,2690,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,134.468,1,
N-eE7ZwTuno_s3990,N-eE7ZwTuno,3990,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,thin,1920x1080,131.732,0,status_thin
N-eE7ZwTuno_s740,N-eE7ZwTuno,740,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,135.869,1,
N-eE7ZwTuno_s4315,N-eE7ZwTuno,4315,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,135.602,1,
N-eE7ZwTuno_s4965,N-eE7ZwTuno,4965,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,131.098,1,
nbl-WTEUwPcy7X8_s369,WTEUwPcy7X8,369,basketball/nbl,basketball:WTEUwPcy7X8,basketball,tracked,1920x1080,131.100,1,
N-eE7ZwTuno_s4640,N-eE7ZwTuno,4640,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,130.097,1,
N-eE7ZwTuno_s90,N-eE7ZwTuno,90,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,136.036,1,
nbl-WTEUwPcy7X8_s648,WTEUwPcy7X8,648,basketball/nbl,basketball:WTEUwPcy7X8,basketball,tracked,1920x1080,131.380,1,
N-eE7ZwTuno_s3665,N-eE7ZwTuno,3665,ncaa_basketball,ncaa_basketball:N-eE7ZwTuno,ncaa_basketball,tracked,1920x1080,134.034,1,
NNJTTtwp7KE_s498,NNJTTtwp7KE,498,nba,nba:NNJTTtwp7KE,nba,tracked,1920x1080,130.864,1,
nbl-WTEUwPcy7X8_s90,WTEUwPcy7X8,90,basketball/nbl,basketball:WTEUwPcy7X8,basketball,tracked,1920x1080,130.540,1,
NNJTTtwp7KE_s90,NNJTTtwp7KE,90,nba,nba:NNJTTtwp7KE,nba,tracked,1920x1080,132.933,1,
NNJTTtwp7KE_s906,NNJTTtwp7KE,906,nba,nba:NNJTTtwp7KE,nba,tracked,1920x1080,133.684,1,
4PH6yOSvcs4_s1511,4PH6yOSvcs4,1511,nba,nba:4PH6yOSvcs4,nba,thin,1920x1080,134.718,0,status_thin
4PH6yOSvcs4_s2932,4PH6yOSvcs4,2932,nba,nba:4PH6yOSvcs4,nba,thin,1920x1080,130.564,0,status_thin
6FlZaoWSfFw_s90,6FlZaoWSfFw,90,wnba,wnba:6FlZaoWSfFw,wnba,tracked,1920x1080,130.430,1,
m7K0J4wzDn4_s2070,m7K0J4wzDn4,2070,nba,nba:m7K0J4wzDn4,nba,thin,1920x1080,134.201,0,status_thin
6FlZaoWSfFw_s584,6FlZaoWSfFw,584,wnba,wnba:6FlZaoWSfFw,wnba,tracked,1920x1080,132.833,1,
m7K0J4wzDn4_s4050,m7K0J4wzDn4,4050,nba,nba:m7K0J4wzDn4,nba,thin,1920x1080,132.115,0,status_thin
nbl-eawn8RbLFEM_s368,eawn8RbLFEM,368,basketball/nbl,basketball:eawn8RbLFEM,basketball,tracked,1920x1080,135.380,1,
nbl-eawn8RbLFEM_s90,eawn8RbLFEM,90,basketball/nbl,basketball:eawn8RbLFEM,basketball,tracked,1920x1080,131.900,1,
4PH6yOSvcs4_s90,4PH6yOSvcs4,90,nba,nba:4PH6yOSvcs4,nba,tracked,1920x1080,133.800,1,
nbl-eawn8RbLFEM_s646,eawn8RbLFEM,646,basketball/nbl,basketball:eawn8RbLFEM,basketball,tracked,1920x1080,130.140,1,
euroleague-8ue528gaVyY_s5784,8ue528gaVyY,5784,basketball/euroleague,basketball:8ue528gaVyY,basketball,tracked,1920x1080,132.560,1,
euroleague-8ue528gaVyY_s90,8ue528gaVyY,90,basketball/euroleague,basketball:8ue528gaVyY,basketball,tracked,1920x1080,132.960,1,
euroleague-8ue528gaVyY_s2937,8ue528gaVyY,2937,basketball/euroleague,basketball:8ue528gaVyY,basketball,tracked,1920x1080,133.200,1,
fXLNra4sjjU_s90,fXLNra4sjjU,90,ncaa_basketball,ncaa_basketball:fXLNra4sjjU,ncaa_basketball,tracked,1920x1080,134.968,1,
6FlZaoWSfFw_s337,6FlZaoWSfFw,337,wnba,wnba:6FlZaoWSfFw,wnba,tracked,1920x1080,131.365,1,
fXLNra4sjjU_s5832,fXLNra4sjjU,5832,ncaa_basketball,ncaa_basketball:fXLNra4sjjU,ncaa_basketball,tracked,1920x1080,131.231,1,
G8bPOW37Sp0_s90,G8bPOW37Sp0,90,wnba,wnba:G8bPOW37Sp0,wnba,tracked,1920x1080,132.132,1,
m7K0J4wzDn4_s90,m7K0J4wzDn4,90,nba,nba:m7K0J4wzDn4,nba,tracked,1920x1080,131.898,1,
G8bPOW37Sp0_s550,G8bPOW37Sp0,550,wnba,wnba:G8bPOW37Sp0,wnba,tracked,1920x1080,133.233,1,
fXLNra4sjjU_s2961,fXLNra4sjjU,2961,ncaa_basketball,ncaa_basketball:fXLNra4sjjU,ncaa_basketball,tracked,1920x1080,133.100,1,
G8bPOW37Sp0_s320,G8bPOW37Sp0,320,wnba,wnba:G8bPOW37Sp0,wnba,tracked,1920x1080,130.597,1,
gleague-_fl2i6vToTM_s3097,_fl2i6vToTM,3097,basketball/gleague,basketball:_fl2i6vToTM,basketball,tracked,1920x1080,133.266,1,
gleague-_fl2i6vToTM_s90,_fl2i6vToTM,90,basketball/gleague,basketball:_fl2i6vToTM,basketball,tracked,1920x1080,130.147,1,
gleague-_fl2i6vToTM_s6104,_fl2i6vToTM,6104,basketball/gleague,basketball:_fl2i6vToTM,basketball,tracked,1920x1080,132.733,1,
