section_name,game_id,pool,tracking_path,tracking_sha256,tracking_bytes,tracking_rows,ball_path,ball_sha256,ball_bytes,ball_rows,unique_frames,finished_at
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE,POST_EPOCH,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s6440/tracking_data.csv,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,974433,002530,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s6440/ball_tracking.csv,3dc0dc375427a95bcea0f885b29301fa212f72ec927f75cec3579e6bcbbf05c2,016407,000500,000470,1788910410
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E,POST_EPOCH,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s1221/tracking_data.csv,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,1489491,003927,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s1221/ball_tracking.csv,40e4ee8b678d4388e98dab419492193712b4ed15ce0daefa016509cbef32e554,028434,001000,000963,1788907315
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E,POST_EPOCH,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s3483/tracking_data.csv,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,1370805,003983,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s3483/ball_tracking.csv,83bb4af87c8e2ee0071bb6cbfc98f587a62a85bc73dd5bd3a9c225ec68195137,024886,001000,000892,1788909288
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E,POST_EPOCH,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s5745/tracking_data.csv,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,1577536,004170,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s5745/ball_tracking.csv,249553be0a5876a838c00def47a485e1fcac12b2fa0afa73140d54cd8141b251,033030,001000,001000,1788908651
euroleague-AIPW_g_VZN0_s1153,euroleague-AIPW_g_VZN0,POST_EPOCH,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s1153/tracking_data.csv,3b2e733b3d09b7ee999f485f913f262ff688b004c30202eb787841380d2b12e8,730052,001952,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s1153/ball_tracking.csv,e509729c0f36599b44faaef1182657f7963af14539855a807ed4850abb8f1c7a,014676,000434,000433,1788911562
euroleague-AIPW_g_VZN0_s3279,euroleague-AIPW_g_VZN0,POST_EPOCH,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s3279/tracking_data.csv,ecbc261c780bc94953b21f60ecdb4000ff63303f3c4104e5f64c55d44b30468b,1550268,004144,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s3279/ball_tracking.csv,eef0d5dbea9778e13906677de88fd8ede90fa2e5bb329b0b6068e67a780ae4cc,028640,000904,000888,1788911733
euroleague-AIPW_g_VZN0_s5405,euroleague-AIPW_g_VZN0,POST_EPOCH,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s5405/tracking_data.csv,f260c3b7da19d6abd7d70eb4c38c55567142d0a8cf31e47a99caebac3ad18632,1463415,004160,/workspace/nba-ai-system/data/tracking/euroleague-AIPW_g_VZN0_s5405/ball_tracking.csv,4b6e4f3381402e016ce143cfb33ec96b08a358965f3e663acca66d596a3afd9f,028317,001000,000974,1788911733
fiba-1DKl1QOo_b8_s1289,fiba-1DKl1QOo_b8,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-1DKl1QOo_b8_s1289/tracking_data.csv,c6e94d28e120c269a51e3433fd874d8ff4869b79e7ec7bdc5c7b9d9ee1cc0b36,583198,001650,/workspace/nba-ai-system/data/tracking/fiba-1DKl1QOo_b8_s1289/ball_tracking.csv,8aa8c306414d505135a203970d7f534f711756e8680578e2768c45ff878987e8,026797,000881,000609,1788914334
fiba-1DKl1QOo_b8_s4886,fiba-1DKl1QOo_b8,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-1DKl1QOo_b8_s4886/tracking_data.csv,e4ddd6adb92f5295e8d8eeac9adb9605684a1ff9e14fac19758291baa3316c53,1537213,004103,/workspace/nba-ai-system/data/tracking/fiba-1DKl1QOo_b8_s4886/ball_tracking.csv,2e865a759b8308ff1f6c5645a10ef106822a6ebb35b15491df340fe34b61550b,029240,000904,000901,1788914478
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s1385/tracking_data.csv,286d338681f898a2e1bc98e3d06c67ccec6d45c78f11ade91d561a98a4009541,1686353,004593,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s1385/ball_tracking.csv,85ff9c4128c854265966c3675623d5763fb480dbbfe5142d25e862c93799ffb4,033384,001000,000994,1788910966
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s3975/tracking_data.csv,b8e841e864645685aadeef79260c522c6e1b7307a65d3e43415706a65d3e5b01,2185118,005984,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s3975/ball_tracking.csv,951acba7f5f57d2360e27af19a8b68c27322e9e978bc141d31e088d324c70d82,031020,001000,000967,1788910860
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s90/tracking_data.csv,ef5a741fa90f285b88bc8014d4170cb733ef63f1bb38ac5621abb81e921f70ba,1839848,005003,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s90/ball_tracking.csv,5f16ef518c8332c8fd84cdfece3ef06eacbd0ee983759b6e3ecfdeee05daa282,030291,001000,000970,1788911113
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,POST_EPOCH,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/tracking_data.csv,4e16f4f437e92a0d7a013f8dde4134e7b53acc7ccd8c1f6314f4ed29cc2e89f5,499642,001314,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/ball_tracking.csv,596f91602cd60f7dfeda73854b76090610398f51e6fecb972aef4a96fc48324a,013937,000453,000422,1788908030
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,POST_EPOCH,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/tracking_data.csv,e7c285cb79d1bfb54281cb01d3c6484ebcc0baf27950e0509edd469610270463,2092979,005498,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/ball_tracking.csv,072d8675e85388d58f3f40cbf170d90b5fb661329e8142734d208687525c7f4d,030771,001000,000990,1788909245
lnb-ouDVA0vM20g_s1379,lnb-ouDVA0vM20g,G346_LIVE,/workspace/nba-ai-system/data/tracking/lnb-ouDVA0vM20g_s1379/tracking_data.csv,381b262b8c70fdbcfe658dbe75d7e7d8fae8e7c18d2814379e9f1a1876aa2ca5,1656594,004361,/workspace/nba-ai-system/data/tracking/lnb-ouDVA0vM20g_s1379/ball_tracking.csv,7088be5deb62a359335347b91c03c2d3e9099ea8a85aea68cf91bb134237e084,024382,001000,001000,1788896450
nbl-kRQtUZmPm0E_s363,nbl-kRQtUZmPm0E,POST_EPOCH,/workspace/nba-ai-system/data/tracking/nbl-kRQtUZmPm0E_s363/tracking_data.csv,1e9e6b63430532bd152b559b4a9bef29ece67762189a5030cc79e74c64f8c288,621688,001719,/workspace/nba-ai-system/data/tracking/nbl-kRQtUZmPm0E_s363/ball_tracking.csv,9729c5ad9e65a47939f622cd5fa3a4b5fd5324acfa07a2f8261a86a93ff6c2e5,018455,000600,000530,1788914666
nbl-kRQtUZmPm0E_s90,nbl-kRQtUZmPm0E,POST_EPOCH,/workspace/nba-ai-system/data/tracking/nbl-kRQtUZmPm0E_s90/tracking_data.csv,46db0957950d389457ebf179efeccf8c9808d32dddd71ef6c89a2e8f80ec3e71,915471,002466,/workspace/nba-ai-system/data/tracking/nbl-kRQtUZmPm0E_s90/ball_tracking.csv,e4ed62c142c2a802d205045d9c9f6d8544e35335eb2e3171bb4c60904f9e40fc,020189,000600,000600,1788914480
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs,POST_EPOCH,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s2232/tracking_data.csv,418c24ab2d96569b0b90dc8330cd806f7237b87ab3ac36c62fb002804454b081,1445007,003600,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s2232/ball_tracking.csv,9ca34fc6ebc040ae77d44ed371c6a8889348df04044646f4a75d72ffbba0f0b6,035857,001000,000990,1788909711
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,POST_EPOCH,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/tracking_data.csv,b6f056816b6023d26e02e16b9f770afa0094685421f3a27e183c8138ce88fd16,1128335,002970,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/ball_tracking.csv,5db998d6d10b19a547bf4dde2f788d01e9e3a06c67899e2d4297a6edc4a87f43,031887,001000,000936,1788910053
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,POST_EPOCH,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/tracking_data.csv,85fa05c44451f6fb320452501bdf19fd0a98667cf6186bebfbe2e0fa6722df36,1582720,004110,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/ball_tracking.csv,eba088e7fe21f49534b61f51135c91d4c5ff13c4a627fcdb50e672235ed1af6e,037116,001000,001000,1788910265
tDpmV777-IQ_s5262,tDpmV777-IQ,POST_EPOCH,/workspace/nba-ai-system/data/tracking/tDpmV777-IQ_s5262/tracking_data.csv,63025d0ff5ff9ce6ed4cc5d25482c71d6c96f454860cf47b63e0649ebb375f4d,1173008,002863,/workspace/nba-ai-system/data/tracking/tDpmV777-IQ_s5262/ball_tracking.csv,90caed930576a2158d393bc2dd8379162ae2a97b62aca9e69e3dca916ec65758,017096,000500,000446,1788912513
wHs1OssEcAw_s1183,wHs1OssEcAw,POST_EPOCH,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s1183/tracking_data.csv,c9833b8cb06b74956ad7a4e8dce20e200e7aed9e517c8b5832954c8f60ddfc52,1331086,003248,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s1183/ball_tracking.csv,e99713b9c7df1805e768d4eead7817b29b9ba579af9a7d7880e926df43b7e4c8,017285,000500,000494,1788912697
wHs1OssEcAw_s3369,wHs1OssEcAw,POST_EPOCH,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s3369/tracking_data.csv,11e50aea76cc58bb7605c24e6271bae5efd07c5d60e3249f5f9d5c1362847b93,678979,001649,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s3369/ball_tracking.csv,e3b3b774955bc175d11fa19819e92cdd38a61e25aa978ecde7f72012d1e98a94,016741,000500,000500,1788913637
wHs1OssEcAw_s5555,wHs1OssEcAw,POST_EPOCH,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s5555/tracking_data.csv,25792a67e4f2fa299e1cf8b021e5e5d645cfaa96d7c5fcab90824ad2a0081e41,327501,000818,/workspace/nba-ai-system/data/tracking/wHs1OssEcAw_s5555/ball_tracking.csv,d75e1fae6cbcb219321a49f4f254518b3909db5fdb46f72400bd6247d6ec50e6,017190,000500,000392,1788913063
