frame,attacking_team,defending_team,pressure
1174,green,white,0.4441
1177,green,white,0.4489
1180,green,white,0.4552
1183,green,white,0.4605
1186,green,white,0.4741
1189,green,white,0.4734
1192,green,white,0.4769
1195,green,white,0.474
1198,green,white,0.4754
1201,green,white,0.4928
1204,green,white,0.5016
1207,green,white,0.5149
1210,green,white,0.5141
1213,green,white,0.5187
1216,green,white,0.5262
1219,green,white,0.5232
1222,green,white,0.5355
1225,green,white,0.5305
1228,green,white,0.5245
1231,green,white,0.5173
1234,green,white,0.5049
1237,green,white,0.4945
1240,green,white,0.4852
1243,green,white,0.4736
1246,green,white,0.447
1249,green,white,0.4195
1252,green,white,0.392
1255,green,white,0.3712
1258,green,white,0.3504
1261,green,white,0.328
1270,green,white,0.3022
1273,green,white,0.2761
1276,green,white,0.2654
1279,green,white,0.2541
1282,green,white,0.2208
1285,green,white,0.1946
1288,green,white,0.1705
1291,green,white,0.1652
1308,white,green,0.1798
1311,white,green,0.1999
1314,white,green,0.2257
1317,white,green,0.2513
1320,white,green,0.2755
1323,white,green,0.2997
1326,white,green,0.3238
1329,green,white,0.3438
1332,green,white,0.3546
1335,white,green,0.3713
1338,white,green,0.3896
1341,white,green,0.4079
1344,white,green,0.4279
1347,white,green,0.4292
1350,white,green,0.4491
1353,white,green,0.4691
1356,white,green,0.4891
1359,white,green,0.5091
1362,green,white,0.529
1365,green,white,0.549
1368,white,green,0.549
1371,green,white,0.5489
1374,green,white,0.5281
1377,green,white,0.5258
1380,green,white,0.5217
1383,green,white,0.5175
1386,green,white,0.4967
1389,white,green,0.5
1392,green,white,0.4928
1395,green,white,0.4928
1398,green,white,0.4911
1401,white,green,0.4895
1404,white,green,0.4895
1407,white,green,0.5082
1410,white,green,0.5083
1413,white,green,0.5083
1414,green,white,0.5191
1416,white,green,0.5191
1417,white,green,0.5133
1419,white,green,0.5176
1420,white,green,0.5118
1422,white,green,0.516
1423,white,green,0.5252
1425,white,green,0.5302
1426,white,green,0.5243
1428,white,green,0.5299
1429,white,green,0.5408
1431,white,green,0.5458
1432,white,green,0.5564
1434,white,green,0.5606
1435,white,green,0.5548
1437,white,green,0.5589
1438,green,white,0.5631
1440,white,green,0.5672
1443,white,green,0.5514
1444,green,white,0.5556
1446,white,green,0.5489
1447,white,green,0.5489
1449,green,white,0.5547
1452,green,white,0.5375
1455,white,green,0.5433
1458,white,green,0.5392
1461,white,green,0.545
1464,white,green,0.5367
1467,white,green,0.5266
1470,white,green,0.5011
1473,green,white,0.5069
1476,green,white,0.4865
1479,white,green,0.4923
1482,white,green,0.4881
1485,white,green,0.494
1488,white,green,0.4898
1491,white,green,0.4656
1494,white,green,0.4415
1497,white,green,0.4573
1500,white,green,0.4332
1503,white,green,0.409
1506,white,green,0.391
1509,white,green,0.391
1512,white,green,0.4041
1515,green,white,0.3935
1518,white,green,0.3774
1521,white,green,0.3574
1524,white,green,0.3374
1527,green,white,0.3398
1530,green,white,0.3598
1533,green,white,0.3481
1536,green,white,0.345
1539,green,white,0.3292
1540,white,green,0.3325
1542,white,green,0.3125
1543,green,white,0.3158
1545,white,green,0.3358
1546,green,white,0.3592
1549,green,white,0.3642
1551,green,white,0.3842
1552,green,white,0.4092
1554,green,white,0.4272
1555,white,green,0.4305
1557,green,white,0.4305
1558,white,green,0.4444
1560,green,white,0.4605
1561,white,green,0.4805
1563,green,white,0.5004
1566,green,white,0.5179
1569,green,white,0.5221
1572,green,white,0.5379
1575,green,white,0.553
1578,white,green,0.573
1581,white,green,0.5538
1584,white,green,0.558
1587,green,white,0.5588
1590,white,green,0.563
1593,white,green,0.5596
1594,green,white,0.5566
1596,green,white,0.5566
1597,green,white,0.5536
1599,green,white,0.5536
1600,green,white,0.5536
1602,green,white,0.5537
1603,green,white,0.5543
1605,green,white,0.5459
1606,green,white,0.5509
1608,green,white,0.531
1609,green,white,0.5294
1611,green,white,0.5094
1612,green,white,0.5053
1614,green,white,0.4895
1615,white,green,0.4854
1617,white,green,0.4852
1618,white,green,0.501
1620,white,green,0.481
1621,white,green,0.4769
1623,white,green,0.461
1624,white,green,0.459
1626,white,green,0.4432
1629,white,green,0.4254
1632,white,green,0.4095
1635,white,green,0.3904
1638,white,green,0.3704
1641,white,green,0.3505
1644,white,green,0.3431
1647,white,green,0.3223
1650,white,green,0.3264
1653,white,green,0.3281
1656,white,green,0.344
1659,white,green,0.324
1662,white,green,0.3198
1665,white,green,0.2998
1668,white,green,0.2958
1671,white,green,0.2758
1674,white,green,0.2716
1677,white,green,0.2558
1686,white,green,0.2517
1689,white,green,0.2317
1692,white,green,0.2275
1695,white,green,0.2275
1698,white,green,0.2375
1701,white,green,0.2408
1704,white,green,0.2608
1707,white,green,0.2767
1716,white,green,0.2725
1720,white,green,0.2883
1722,white,green,0.2842
1723,white,green,0.28
1725,white,green,0.26
1726,white,green,0.28
1728,white,green,0.28
1731,white,green,0.285
1734,white,green,0.2883
1737,white,green,0.2883
1740,white,green,0.2883
1743,white,green,0.2892
1746,white,green,0.2892
1749,white,green,0.2925
1752,white,green,0.2925
1755,white,green,0.2883
1758,white,green,0.2742
1761,white,green,0.2667
1764,white,green,0.2467
1767,white,green,0.2267
1770,white,green,0.2267
1773,white,green,0.2067
1776,white,green,0.2067
1779,white,green,0.1867
1782,white,green,0.2067
1785,white,green,0.2067
1788,white,green,0.2067
1791,white,green,0.2017
1794,white,green,0.1983
1797,white,green,0.1983
1800,white,green,0.1983
1806,white,green,0.1933
1809,white,green,0.2033
1812,white,green,0.2
1815,white,green,0.2
1818,white,green,0.2
1821,white,green,0.2
1824,white,green,0.2
1827,white,green,0.205
1830,white,green,0.215
1833,white,green,0.22
1836,white,green,0.23
1839,white,green,0.24
1842,white,green,0.245
1845,white,green,0.225
1848,white,green,0.205
1851,white,green,0.205
1854,green,white,0.225
1863,green,white,0.225
1866,green,white,0.225
1869,green,white,0.225
1875,green,white,0.225
1881,green,white,0.215
1890,green,white,0.215
1893,green,white,0.2175
1896,green,white,0.2375
1899,green,white,0.2575
1902,green,white,0.2575
1905,green,white,0.2525
1908,green,white,0.2425
1911,green,white,0.2374
1914,green,white,0.2314
1917,green,white,0.2234
1920,green,white,0.2209
1923,green,white,0.2234
1926,white,green,0.2434
1929,white,green,0.2634
1932,green,white,0.2634
1935,green,white,0.2854
1938,green,white,0.3068
1941,green,white,0.3283
1944,green,white,0.3483
1947,green,white,0.3683
1950,green,white,0.3883
1953,green,white,0.4074
1956,green,white,0.4074
1959,green,white,0.4141
1962,green,white,0.4391
1965,green,white,0.4572
1968,green,white,0.4737
1971,green,white,0.4804
1974,green,white,0.4804
1977,green,white,0.4817
1980,green,white,0.4812
1983,green,white,0.4807
1986,green,white,0.4827
1989,white,green,0.4902
1992,white,green,0.4768
1995,white,green,0.4573
1998,white,green,0.4359
2001,white,green,0.4145
2004,white,green,0.3945
2007,white,green,0.3745
2010,white,green,0.3545
2013,green,white,0.3528
2016,green,white,0.3562
2019,green,white,0.3528
2022,green,white,0.3512
2025,green,white,0.358
2028,green,white,0.3666
2031,green,white,0.3849
2034,green,white,0.406
2037,green,white,0.4252
2040,white,green,0.4457
2043,green,white,0.4637
2046,green,white,0.4617
2049,green,white,0.4542
2052,green,white,0.4708
2055,green,white,0.4883
2058,green,white,0.5083
2061,green,white,0.5283
2064,green,white,0.5483
2067,green,white,0.5703
2070,green,white,0.5953
2073,green,white,0.6053
2076,green,white,0.607
2079,green,white,0.6087
2082,green,white,0.6103
2085,green,white,0.6103
2088,green,white,0.6103
2091,green,white,0.6053
2094,green,white,0.6003
2097,green,white,0.5978
2100,green,white,0.5953
2103,green,white,0.5953
2106,green,white,0.5953
2109,green,white,0.5953
2112,green,white,0.592
2115,green,white,0.592
2118,green,white,0.592
2121,green,white,0.592
2124,green,white,0.592
2127,green,white,0.59
2130,green,white,0.585
2133,green,white,0.575
2136,green,white,0.57
2139,green,white,0.565
2142,green,white,0.56
2145,green,white,0.555
2148,green,white,0.55
2151,white,green,0.55
2154,white,green,0.55
2157,white,green,0.55
2160,green,white,0.55
2163,white,green,0.55
2166,white,green,0.55
2169,green,white,0.55
2172,green,white,0.55
2175,green,white,0.55
2178,green,white,0.55
2181,green,white,0.55
2184,green,white,0.55
2187,green,white,0.55
2190,green,white,0.53
2193,green,white,0.5099
2196,green,white,0.4898
2199,green,white,0.4697
2202,green,white,0.4571
2205,green,white,0.4445
2208,green,white,0.4278
2211,green,white,0.4078
2214,white,green,0.4078
2217,white,green,0.4078
2220,white,green,0.4078
2223,white,green,0.4078
2226,white,green,0.4078
2229,white,green,0.3878
2232,white,green,0.3678
2235,white,green,0.3478
2238,white,green,0.3278
2241,white,green,0.3078
2244,white,green,0.2878
2247,white,green,0.2678
2250,white,green,0.2678
2253,white,green,0.2679
2256,white,green,0.288
2259,white,green,0.3081
2262,white,green,0.3222
2265,white,green,0.3362
2268,white,green,0.3543
2271,white,green,0.376
2274,white,green,0.3576
2277,white,green,0.3376
2280,white,green,0.3176
2283,white,green,0.2976
2286,white,green,0.281
2289,white,green,0.281
2292,white,green,0.281
2295,white,green,0.281
2298,green,white,0.301
2301,green,white,0.321
2304,green,white,0.321
2307,green,white,0.3243
2310,green,white,0.3276
2313,green,white,0.3276
2316,green,white,0.3076
2319,green,white,0.291
2322,green,white,0.2695
2325,green,white,0.2481
2328,white,green,0.2467
2331,white,green,0.245
2334,white,green,0.2433
2379,white,green,0.2433
2382,white,green,0.2433
2385,white,green,0.2433
2388,white,green,0.24
2391,white,green,0.24
2394,white,green,0.2433
2397,white,green,0.2433
2400,green,white,0.2433
2403,green,white,0.2433
2406,white,green,0.2633
2409,white,green,0.28
2412,white,green,0.2967
2415,white,green,0.3167
2418,white,green,0.3167
2421,white,green,0.3133
2424,white,green,0.3133
2427,white,green,0.3133
2430,white,green,0.3133
2433,white,green,0.3133
2436,green,white,0.3333
2439,green,white,0.3533
2442,green,white,0.3733
2445,green,white,0.3933
2448,green,white,0.4133
2451,green,white,0.4133
2454,green,white,0.41
2457,white,green,0.43
2460,white,green,0.43
2463,white,green,0.41
2466,white,green,0.39
2469,white,green,0.37
2475,white,green,0.35
2478,white,green,0.33
2481,white,green,0.33
2484,white,green,0.33
2487,white,green,0.33
2490,white,green,0.33
2493,white,green,0.31
2496,white,green,0.29
2499,white,green,0.27
2502,white,green,0.25
2505,white,green,0.23
2508,white,green,0.21
2511,white,green,0.19
2514,white,green,0.19
2517,white,green,0.19
2520,white,green,0.17
2523,white,green,0.15
2526,white,green,0.15
2529,green,white,0.17
2532,green,white,0.19
2535,green,white,0.19
2538,white,green,0.21
2541,white,green,0.23
2544,white,green,0.23
2547,white,green,0.23
2550,white,green,0.25
2553,white,green,0.27
2556,white,green,0.29
2559,green,white,0.31
2562,white,green,0.33
2565,white,green,0.35
2568,white,green,0.37
2571,green,white,0.39
2574,green,white,0.41
2577,green,white,0.43
2580,green,white,0.45
2583,green,white,0.47
2586,green,white,0.4725
2589,green,white,0.4725
2592,green,white,0.4725
2595,white,green,0.495
2598,white,green,0.495
2601,white,green,0.475
2604,white,green,0.475
2607,white,green,0.475
2610,white,green,0.455
2613,white,green,0.455
2616,white,green,0.455
2619,white,green,0.455
2622,white,green,0.455
2625,white,green,0.455
2628,white,green,0.455
2631,white,green,0.455
2634,white,green,0.455
2637,white,green,0.435
2640,white,green,0.415
2643,white,green,0.395
2646,white,green,0.3925
2649,white,green,0.3925
2652,white,green,0.3925
2655,white,green,0.37
2658,white,green,0.35
2661,white,green,0.35
2664,white,green,0.35
2667,white,green,0.35
2670,white,green,0.35
2673,white,green,0.35
2676,white,green,0.35
2679,white,green,0.35
2682,white,green,0.35
2685,white,green,0.35
2688,white,green,0.3533
2691,white,green,0.3583
2694,white,green,0.3383
2697,white,green,0.3383
2700,white,green,0.3583
2703,white,green,0.3783
2706,white,green,0.3783
2709,white,green,0.3583
2712,white,green,0.3583
2715,white,green,0.3783
2718,white,green,0.3783
2721,white,green,0.3783
2724,white,green,0.3983
2727,white,green,0.4183
2730,white,green,0.4383
2733,white,green,0.4383
2736,white,green,0.4383
2739,green,white,0.4383
2742,green,white,0.4383
2745,white,green,0.4383
2748,white,green,0.435
2751,white,green,0.41
2754,white,green,0.41
2757,green,white,0.43
2760,green,white,0.43
2763,white,green,0.43
2766,white,green,0.45
2769,white,green,0.47
2772,white,green,0.47
2778,white,green,0.45
2781,green,white,0.47
2784,green,white,0.49
2787,white,green,0.49
2790,white,green,0.49
2793,white,green,0.47
2796,white,green,0.45
2799,white,green,0.43
2802,white,green,0.41
2805,white,green,0.39
2808,white,green,0.37
2811,white,green,0.35
2814,white,green,0.35
2817,green,white,0.37
2820,green,white,0.37
2823,white,green,0.37
2826,white,green,0.37
2829,white,green,0.37
2832,green,white,0.37
2835,white,green,0.37
2838,white,green,0.39
2841,white,green,0.37
2844,white,green,0.35
2847,white,green,0.33
2850,white,green,0.31
2853,green,white,0.335
2856,green,white,0.355
2859,green,white,0.375
2862,green,white,0.395
2865,green,white,0.42
2868,green,white,0.445
2871,green,white,0.47
2874,green,white,0.495
2877,green,white,0.495
2880,green,white,0.497
2883,white,green,0.497
2886,green,white,0.4984
2889,white,green,0.4984
2892,green,white,0.5001
2895,white,green,0.5021
2898,green,white,0.5046
2901,green,white,0.5263
2904,green,white,0.5463
2907,green,white,0.5683
2910,green,white,0.5933
2913,green,white,0.5883
2916,green,white,0.5883
2919,green,white,0.5883
2922,green,white,0.5883
2925,green,white,0.5833
2928,green,white,0.5783
2931,green,white,0.5733
2934,green,white,0.5683
2937,green,white,0.5683
2940,green,white,0.5663
2943,green,white,0.5663
2946,green,white,0.5648
2949,green,white,0.5648
2952,white,green,0.5632
2955,white,green,0.5612
2958,white,green,0.5587
2961,white,green,0.557
2964,white,green,0.557
2967,green,white,0.555
2970,green,white,0.55
2973,green,white,0.55
2976,green,white,0.55
2979,white,green,0.55
2980,green,white,0.5525
2982,white,green,0.5525
2983,green,white,0.5525
2985,white,green,0.5525
2986,white,green,0.54
2988,white,green,0.545
2989,white,green,0.5317
2991,white,green,0.5367
2992,white,green,0.5417
2994,white,green,0.5467
2995,white,green,0.5533
2997,white,green,0.5583
2998,white,green,0.5583
3000,white,green,0.5583
3001,white,green,0.5633
3003,white,green,0.5683
3004,green,white,0.5683
3006,white,green,0.5717
3007,green,white,0.5717
3009,white,green,0.5767
3010,green,white,0.5742
3012,green,white,0.5642
3013,green,white,0.5642
3016,green,white,0.5642
3019,green,white,0.5783
3021,green,white,0.5533
3022,green,white,0.5517
3024,white,green,0.5467
3025,white,green,0.545
3028,white,green,0.5233
3030,white,green,0.4967
3031,white,green,0.4783
3033,white,green,0.4583
3034,green,white,0.4633
3036,green,white,0.4383
3037,green,white,0.4373
3040,green,white,0.4413
3042,green,white,0.418
3043,green,white,0.422
3045,green,white,0.397
3046,white,green,0.405
3049,white,green,0.419
3052,green,white,0.421
3055,green,white,0.4243
3058,green,white,0.4243
3060,green,white,0.4243
3061,green,white,0.441
3063,white,green,0.441
3064,green,white,0.4427
3066,green,white,0.4593
3067,green,white,0.4813
3069,green,white,0.4947
3070,green,white,0.5197
3072,green,white,0.4947
3073,green,white,0.5146
3075,green,white,0.4906
3076,green,white,0.4752
3078,green,white,0.4752
3079,green,white,0.4602
3081,green,white,0.4602
3082,green,white,0.4555
3084,green,white,0.4315
3085,green,white,0.4307
3087,green,white,0.4074
3088,green,white,0.3882
3091,green,white,0.3976
3093,green,white,0.3759
3094,green,white,0.3642
3096,green,white,0.3392
3097,green,white,0.3283
3099,green,white,0.3063
3100,green,white,0.2944
3102,green,white,0.2694
3103,green,white,0.279
3105,green,white,0.259
3106,green,white,0.2662
3108,green,white,0.2576
3109,green,white,0.2652
3111,green,white,0.2562
3112,green,white,0.2655
3114,green,white,0.2422
3115,green,white,0.2656
3117,green,white,0.2443
3118,green,white,0.266
3120,white,green,0.2835
3121,green,white,0.2958
3123,white,green,0.3158
3124,green,white,0.3176
3126,green,white,0.3176
3127,white,green,0.3236
3129,white,green,0.3236
3130,green,white,0.3356
3132,green,white,0.3356
3133,green,white,0.3474
3135,green,white,0.3474
3136,white,green,0.3579
3139,white,green,0.375
3142,green,white,0.3832
3145,white,green,0.4055
3147,white,green,0.4161
3148,green,white,0.4299
3150,green,white,0.4266
3151,green,white,0.4469
3153,green,white,0.4453
3154,green,white,0.4503
3156,green,white,0.4486
3157,green,white,0.4536
3159,green,white,0.4635
3160,green,white,0.4878
3162,green,white,0.4927
3163,green,white,0.5202
3165,white,green,0.5202
3166,white,green,0.5477
3168,white,green,0.5463
3169,white,green,0.5713
3171,white,green,0.5735
3172,green,white,0.5784
3174,white,green,0.5846
3175,green,white,0.5864
3177,white,green,0.5864
3178,green,white,0.5976
3180,white,green,0.5976
3181,green,white,0.6023
3183,green,white,0.5823
3184,green,white,0.5823
3186,green,white,0.5623
3187,green,white,0.5633
3189,white,green,0.5633
3190,green,white,0.564
3192,white,green,0.564
3193,green,white,0.5625
3195,green,white,0.5425
3196,green,white,0.539
3198,green,white,0.519
3199,white,green,0.5215
3201,green,white,0.5215
3202,white,green,0.527
3204,white,green,0.525
3205,white,green,0.5077
3207,green,white,0.5077
3208,green,white,0.5084
3210,green,white,0.5084
3211,green,white,0.5091
3213,green,white,0.5291
3214,white,green,0.5291
3216,green,white,0.5491
3217,green,white,0.5448
3219,green,white,0.5248
3220,green,white,0.5255
3222,green,white,0.5055
3223,green,white,0.5032
3225,green,white,0.5032
3226,green,white,0.5026
3228,green,white,0.5026
3229,green,white,0.4984
3231,green,white,0.4984
3232,green,white,0.4959
3234,green,white,0.4959
3235,green,white,0.5132
3237,green,white,0.5132
3238,green,white,0.5125
3240,green,white,0.4925
3241,white,green,0.4901
3243,white,green,0.4701
3244,green,white,0.4701
3246,green,white,0.4501
3247,green,white,0.4535
3249,white,green,0.4735
3252,white,green,0.4678
3255,white,green,0.4678
3258,white,green,0.466
3261,white,green,0.4885
3264,white,green,0.4877
3267,green,white,0.5102
3270,white,green,0.5093
3273,white,green,0.5093
3276,white,green,0.4843
3279,white,green,0.4668
3282,green,white,0.4628
3285,green,white,0.4628
3288,white,green,0.4578
3291,white,green,0.4778
3294,green,white,0.4778
3297,green,white,0.4978
3300,green,white,0.4968
3303,green,white,0.5188
3306,green,white,0.5155
3309,green,white,0.518
3312,green,white,0.5205
3315,green,white,0.5425
3318,green,white,0.5405
3321,white,green,0.538
3324,white,green,0.5372
3327,white,green,0.5347
3330,white,green,0.5322
3333,white,green,0.5322
3336,white,green,0.5538
3339,white,green,0.5713
3342,white,green,0.5713
3345,white,green,0.5713
3348,green,white,0.5713
3351,green,white,0.5713
3354,white,green,0.568
3357,white,green,0.568
3360,white,green,0.5665
3363,white,green,0.567
3366,white,green,0.5653
3369,white,green,0.5448
3372,white,green,0.5223
3375,white,green,0.5018
3378,green,white,0.5018
3381,white,green,0.5018
3384,white,green,0.4801
3387,white,green,0.4601
3390,white,green,0.4621
3393,green,white,0.4621
3396,green,white,0.4604
3399,green,white,0.4604
3402,green,white,0.4604
3405,green,white,0.4404
3408,green,white,0.4204
3411,green,white,0.4004
3414,white,green,0.4004
3417,white,green,0.4004
3420,green,white,0.3979
3423,green,white,0.3954
3426,green,white,0.3754
3429,green,white,0.3734
3432,green,white,0.3734
3435,green,white,0.372
3438,green,white,0.352
3441,green,white,0.332
3444,white,green,0.352
3447,white,green,0.372
3450,white,green,0.35
3453,white,green,0.33
3456,white,green,0.31
3459,white,green,0.29
3462,white,green,0.27
3465,white,green,0.27
3468,white,green,0.27
3471,white,green,0.27
3474,white,green,0.25
3477,white,green,0.23
3480,white,green,0.21
3483,white,green,0.19
3486,green,white,0.21
3489,green,white,0.23
3492,white,green,0.25
3495,white,green,0.27
3498,white,green,0.27
3501,white,green,0.27
3504,green,white,0.27
3507,green,white,0.27
3510,green,white,0.29
3513,green,white,0.31
3516,white,green,0.33
3519,white,green,0.35
3522,white,green,0.37
3525,white,green,0.39
3528,white,green,0.41
3531,white,green,0.43
3534,white,green,0.43
3537,green,white,0.45
3540,green,white,0.47
3543,green,white,0.49
3546,green,white,0.49
3549,white,green,0.49
3552,white,green,0.49
3555,white,green,0.49
3558,white,green,0.49
3561,white,green,0.49
3564,white,green,0.47
3567,white,green,0.45
3570,white,green,0.43
3573,white,green,0.43
3576,white,green,0.41
3579,white,green,0.41
3582,white,green,0.39
3585,white,green,0.37
3588,white,green,0.35
3591,white,green,0.33
3594,white,green,0.35
3597,white,green,0.33
3600,white,green,0.33
3603,white,green,0.33
3606,white,green,0.33
3609,white,green,0.33
3612,white,green,0.33
3615,white,green,0.33
3618,white,green,0.33
3621,white,green,0.3514
3624,white,green,0.3714
3627,white,green,0.3914
3630,white,green,0.4114
3633,white,green,0.4114
3636,white,green,0.4314
3639,white,green,0.4314
3642,green,white,0.4514
3645,green,white,0.4714
3648,white,green,0.4914
3651,white,green,0.5114
3654,white,green,0.5114
3657,white,green,0.5314
3660,white,green,0.5114
3663,white,green,0.4914
3666,white,green,0.4714
3669,white,green,0.4514
3672,white,green,0.4314
3675,white,green,0.4114
3678,white,green,0.4114
3681,white,green,0.39
3684,white,green,0.37
3687,white,green,0.35
3690,green,white,0.3348
3693,white,green,0.3205
3696,white,green,0.3005
3699,white,green,0.2821
3702,white,green,0.2641
3705,white,green,0.2441
3708,white,green,0.2241
3711,white,green,0.2041
3714,green,white,0.1889
3717,white,green,0.1889
3720,white,green,0.1889
3723,white,green,0.1889
3726,white,green,0.2089
3729,white,green,0.2306
3732,white,green,0.2506
3735,white,green,0.2721
3738,white,green,0.2935
3741,white,green,0.3135
3744,white,green,0.3352
3747,white,green,0.3568
3750,white,green,0.372
3753,white,green,0.388
3756,white,green,0.4096
3759,white,green,0.408
3762,white,green,0.406
3765,white,green,0.426
3768,white,green,0.446
3771,white,green,0.446
3774,white,green,0.4412
3777,white,green,0.4212
3780,white,green,0.4212
3783,white,green,0.4212
3786,white,green,0.4012
3789,white,green,0.3795
3792,white,green,0.3795
3795,white,green,0.3781
3798,white,green,0.3808
3801,white,green,0.3808
3804,white,green,0.3792
3807,green,white,0.3775
3810,white,green,0.3775
3813,white,green,0.38
3816,white,green,0.3841
3819,green,white,0.4041
3822,green,white,0.4241
3825,green,white,0.4261
3828,green,white,0.4276
3831,green,white,0.449
3834,green,white,0.4501
3837,green,white,0.4516
3840,green,white,0.4557
3843,green,white,0.4557
3846,green,white,0.4557
3849,green,white,0.4557
3852,green,white,0.4357
3855,green,white,0.4157
3858,green,white,0.3916
3861,green,white,0.3716
3864,green,white,0.3516
3867,green,white,0.3316
3870,green,white,0.3116
3873,green,white,0.2874
3876,green,white,0.2816
3879,green,white,0.2616
3882,green,white,0.2416
3885,green,white,0.2196
3888,green,white,0.1982
3891,green,white,0.1767
3894,green,white,0.177
3897,green,white,0.1756
3900,green,white,0.1914
3903,green,white,0.2114
3906,green,white,0.2114
3909,green,white,0.2314
3912,green,white,0.2514
3915,green,white,0.2514
3918,white,green,0.2714
3921,white,green,0.2954
3924,white,green,0.2974
3927,white,green,0.2991
3930,white,green,0.3008
3933,white,green,0.3022
3936,white,green,0.2842
3939,white,green,0.2862
3942,white,green,0.2882
3945,white,green,0.2882
3948,white,green,0.2882
3951,white,green,0.2978
3954,white,green,0.3058
3957,white,green,0.3141
3960,white,green,0.3037
3963,white,green,0.292
3966,green,white,0.312
3969,green,white,0.292
3972,green,white,0.272
3975,green,white,0.292
3978,green,white,0.292
3981,green,white,0.288
3984,green,white,0.306
3987,green,white,0.3243
3990,green,white,0.3427
3993,green,white,0.3612
3996,green,white,0.3792
3999,green,white,0.3972
4002,green,white,0.4214
4005,green,white,0.4414
4008,white,green,0.4613
4011,green,white,0.4758
4014,green,white,0.4883
4017,green,white,0.5033
4020,green,white,0.5177
4023,green,white,0.5327
4026,green,white,0.5328
4029,green,white,0.5568
4032,green,white,0.5768
4035,green,white,0.5768
4038,green,white,0.5768
4041,green,white,0.5788
4044,green,white,0.5788
4047,green,white,0.5788
4050,green,white,0.5588
4053,green,white,0.5438
4056,green,white,0.5238
4059,green,white,0.5038
4062,green,white,0.481
4065,green,white,0.461
4068,green,white,0.441
4071,green,white,0.417
4074,green,white,0.395
4077,white,green,0.3917
4080,white,green,0.3897
4083,white,green,0.3683
4086,white,green,0.3503
4089,white,green,0.328
4092,white,green,0.308
4095,white,green,0.288
4098,white,green,0.2697
4101,white,green,0.2477
4104,white,green,0.2277
4107,white,green,0.2077
