frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
3828,63.864,3,green,3096,1679,0.9095,0.9813,0.37,-7.73,296.6,corner_3,1,134.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3061,1809,3.16,837.9,0.36,0,85.49,49.06,24.28,0,1,24,0.933,hand_off,0,0.0,17.1932,,,,,0.0,6.81,half_court,,,0.0,0,unknown,73.45564024415965,558.8164380071311,0.16666666666666666,,,,0,2,0
3834,63.964,3,green,3096,1678,0.9095,0.9807,0.17,-0.2,270.0,corner_3,1,135.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3061,1809,0.0,836.9,0.16,0,85.49,49.04,24.26,0,1,25,0.867,hand_off,0,0.0,17.0931,,,,,0.0,6.91,half_court,,,0.0,0,unknown,-58.11799252610466,544.6627295285373,0.0,,,,0,2,0
3840,64.064,3,green,3095,1681,0.9092,0.9825,0.53,0.36,108.4,corner_3,1,132.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3061,1809,0.0,840.1,-0.52,0,85.47,49.12,24.35,0,1,26,0.8,hand_off,0,0.0,16.993,,,,,0.0,7.01,half_court,,,0.0,0,unknown,-82.70951085080956,584.8291890781422,0.0,,,,0,2,0
3846,64.164,3,green,3096,1679,0.9095,0.9813,0.37,-0.16,296.6,corner_3,1,132.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3062,1807,2.24,837.9,0.36,0,85.49,49.06,24.28,0,1,27,0.733,hand_off,0,0.0,16.8929,,,,,0.0,7.11,half_court,,,0.0,0,unknown,-86.26480047670346,589.7420386010485,0.37267799624996495,,,,0,2,0
3852,64.264,3,green,3096,1679,0.9095,0.9813,0.0,-0.37,0.0,corner_3,1,134.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3061,1809,2.24,837.9,0.0,0,85.49,49.06,24.28,0,1,28,0.667,hand_off,0,0.0,16.7928,,,,,0.0,7.21,half_court,,,0.0,0,unknown,-82.56145496573161,586.0225478744626,0.23570226039551587,,,,0,2,0
3858,64.364,3,green,3096,1679,0.9095,0.9813,0.0,0.0,0.0,corner_3,1,132.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3062,1807,2.24,837.9,0.0,0,85.49,49.06,24.28,0,1,29,0.6,hand_off,0,0.0,16.6927,,,,,0.0,7.31,half_court,,,0.0,0,unknown,-85.64678387414405,591.7628977847966,0.16666666666666666,,,,0,2,0
3864,64.464,3,green,3095,1681,0.9092,0.9825,0.37,0.37,116.6,corner_3,1,132.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3061,1809,2.24,840.1,-0.36,0,85.47,49.12,24.35,0,1,30,0.533,hand_off,0,0.0,16.5926,,,,,0.0,7.41,half_court,,,0.0,0,unknown,-4.7096916001003075,583.1566178490647,0.16666666666666666,,,,0,2,0
3870,64.564,3,green,3096,1679,0.9095,0.9813,0.37,0.0,296.6,corner_3,0,132.4,,20.1,none,0.0,0.0,0.0,0.0,0,0,,0.0,107.0,2.0,1195.0,569.0,3062,1807,2.24,837.9,0.36,0,85.49,49.06,24.28,0,1,31,0.467,hand_off,0,0.0,16.4925,,,,,0.0,0.0,half_court,,,0.0,0,unknown,-9.633106145449151,582.5589253023015,0.16666666666666666,,,,0,2,0
3876,64.665,4,green,3076,1681,0.9036,0.9825,0.0,0.0,0.0,corner_3,1,128.9,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,501.0,43.0,1240.0,568.0,3061,1809,2.24,843.8,0.0,0,84.94,49.12,24.42,0,1,32,0.933,hand_off,0,0.0,16.392400000000002,,,,,0.0,0.0,half_court,,,0.0,0,unknown,-8.261631861551496,582.6317949615744,0.23570226039551587,,,,0,3,0
3882,64.765,2,green,3073,1701,0.9028,0.9942,0.0,0.0,0.0,corner_3,0,108.7,,20.2,none,0.0,0.0,0.0,0.0,0,0,,0.0,471,-14,1028,494,3061,1809,0.0,864.0,0.0,0,84.86,49.71,25.01,0,1,33,1.0,hand_off,0,0.0,16.2923,,,,,0.0,0.0,half_court,,,0.0,0,unknown,-7.253525942777676,582.7231303042313,0.16666666666666666,,,,0,1,0
