frame_key,game,section,frame_index,width,height,n_calls,call_cx,call_cy,call_w,call_h,call_score,n_person,contained,person_index
1b7184dbaa2975052158c54c1193f0225526760bbc7b3c3ceae5744685d02af0,bt3NwN7k8bY,bt3NwN7k8bY_s90,688,1920,1080,0,,,,,,8,0,
1c53069b32d7d144f1093a18e94ced4e54d2a06af9dcb3cb296bde833ee1dd8a,bt3NwN7k8bY,bt3NwN7k8bY_s90,1890,1920,1080,0,,,,,,14,0,
1db0b68cc5e5ee4554a980aa07ae75ea807d3cf10ca58965197ad12c86307f0e,hLv8cwl0asQ,hLv8cwl0asQ_s3705,1079,1920,1080,0,,,,,,12,0,
1e330a843b83c748067d8c25a60f83f946cb709438b8671c09cdf84a3b7b5cf6,ql7kzzTRo4M,ql7kzzTRo4M_s5610,4087,1920,1080,0,,,,,,6,0,
1eeefb37ee64be56ca106e5c964e27a6a27b0e51c5ee4e8fad095bbfd712e140,XCaGht2GmPg,XCaGht2GmPg_s4068,3102,1920,1080,1,1726.0,595.5,60.0,53.0,0.133423,10,1,5
1f22a2a528473a7b93dcd7544caf156e9af80dad501a893bc33f16e8158c789a,GNjSxoeDT-E,GNjSxoeDT-E_s2244,2131,1920,1080,0,,,,,,9,0,
1f6c55e79eb3d2a3f1a58ca9f3c1c519d71a540ea74f16aa6b50e761cdc1105a,1zPhldjbJnU,1zPhldjbJnU_s5620,624,1920,1080,0,,,,,,4,0,
1ff7ac29819c556ed865ec550e519b07899dc8e5265608f100b40f0c5988ad66,jKoEJNdiRyI,jKoEJNdiRyI_s3429,2047,1920,1080,0,,,,,,1,0,
20acbc1fcca15521097a437ffe46365e974a1f7465a45912146e7a9d389aea3c,6FlZaoWSfFw,6FlZaoWSfFw_s337,3686,1920,1080,0,,,,,,5,0,
2151cd3a6bba8b1cb513834fda63c8d75a4d914f3be663c569193ed44a0bd2c2,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2819,1920,1080,0,,,,,,2,0,
22189c790cbe2954f2aba95c4e30fbe7b0d71577923fa92c3513ae19d33a76d6,5PNHcMafoX8,5PNHcMafoX8_s4128,1743,1920,1080,5,904.0,30.75,102.0,61.5,0.151978,4,0,
223e2f513ec484e888affd944d9971f14638ab109c98c4cfa7701597a41a69e3,X5w3V6rh26s,X5w3V6rh26s_s5234,1789,1920,1080,0,,,,,,2,0,
