attempt_id,ledger_line,section_id,competition,video,source_start,status,terminal,route_identity,declared_kind,declared_resolution,declared_height,declared_fps,declared_duration,rows,decoded_frames,evaluated_frames,stride,passed,finished_at,probe_status,measured_kind,measured_width,measured_height,measured_fps,source_sha256,source_filename,outputs_present,draw_kind,draw_order,population
L00378:UzaYBYy3GZg_s90,378,UzaYBYy3GZg_s90,ncaa_basketball,UzaYBYy3GZg,000000090,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,134.96816666666666,3507,3897,1299,3,False,1788872466,ABSENT,UNKNOWN,,,,,ncaa_basketball__UzaYBYy3GZg_s90.mp4,1,1080p30,20,783
L00363:WeheQidCPXI_s3987,363,WeheQidCPXI_s3987,ncaa_basketball,WeheQidCPXI,000003987,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,133.06626666666668,4974,3897,1299,3,False,1788871320,ABSENT,UNKNOWN,,,,,ncaa_basketball__WeheQidCPXI_s3987.mp4,1,1080p30,21,783
L01605:eXwgsSpz-GY_s3642,1605,eXwgsSpz-GY_s3642,ncaa_basketball,eXwgsSpz-GY,000003642,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,130.7306,4788,3897,1299,3,False,1789095466,ABSENT,UNKNOWN,,,,,ncaa_basketball__eXwgsSpz-GY_s3642.mp4,1,1080p30,22,783
L00480:hLv8cwl0asQ_s1295,480,hLv8cwl0asQ_s1295,ncaa_basketball,hLv8cwl0asQ,000001295,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,132.76596666666666,4819,3897,1299,3,False,1788879951,ABSENT,UNKNOWN,,,,,ncaa_basketball__hLv8cwl0asQ_s1295.mp4,1,1080p30,23,783
L00345:wJSOHbeQcg4_s4450,345,wJSOHbeQcg4_s4450,ncaa_basketball,wJSOHbeQcg4,000004450,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,134.6,3233,3901,1301,3,False,1788869736,ABSENT,UNKNOWN,,,,,ncaa_basketball__wJSOHbeQcg4_s4450.mp4,1,1080p30,24,783
L00819:1zPhldjbJnU_s4514,819,1zPhldjbJnU_s4514,wnba,1zPhldjbJnU,000004514,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,134.9,3768,3901,1301,3,False,1788914045,ABSENT,UNKNOWN,,,,,wnba__1zPhldjbJnU_s4514.mp4,1,1080p30,25,783
L00570:7WBKNCu3NLU_s526,570,7WBKNCu3NLU_s526,wnba,7WBKNCu3NLU,000000526,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,134.5344,4289,3897,1299,3,False,1788889041,ABSENT,UNKNOWN,,,,,wnba__7WBKNCu3NLU_s526.mp4,1,1080p30,26,783
L01519:IwF-L57_Mes_s1521,1519,IwF-L57_Mes_s1521,wnba,IwF-L57_Mes,000001521,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,134.46666666666667,2810,3901,1301,3,False,1789084635,ABSENT,UNKNOWN,,,,,wnba__IwF-L57_Mes_s1521.mp4,1,1080p30,27,783
L01778:pDdwzgQB6Q0_s2740,1778,pDdwzgQB6Q0_s2740,wnba,pDdwzgQB6Q0,000002740,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,134.96666666666667,3649,3901,1301,3,False,1789106668,ABSENT,UNKNOWN,,,,,wnba__pDdwzgQB6Q0_s2740.mp4,1,1080p30,28,783
L01524:wptZj4SuFtE_s5106,1524,wptZj4SuFtE_s5106,wnba,wptZj4SuFtE,000005106,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,132.03333333333333,6002,3901,1301,3,False,1789084777,ABSENT,UNKNOWN,,,,,wnba__wptZj4SuFtE_s5106.mp4,1,1080p30,29,783
