path,probe_status,bytes,width,height,avg_frame_rate,r_frame_rate,time_base,codec_name,nb_frames,duration,start_time,format_duration,format_name,avg_fps,r_fps,fps,sha256,format_kind,directory,filename
/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s9754.mp4,OK,25060538,1920,1080,25/1,25/1,1/90000,h264,3262,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,bdb6552e3bd550ec959247ac4eb2b104ab52d8e43033a47a6662757e3260a58f,OTHER,/workspace/data/footage_corpus,basketball__euroleague-1JN2w7nPn9k_s9754.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s12375.mp4,OK,31298878,1920,1080,25/1,25/1,1/90000,h264,3378,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,8c7a3ff2a611805235d4b2a7c3e97165a18b658f8b6c578840b2fe7fde30bea4,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s12375.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s2547.mp4,OK,67349525,1920,1080,25/1,25/1,1/90000,h264,3310,130.080000,0.000000,130.080000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,8de9094f257ead27c4296f516d0a2df4842b78b7682abaebd90cb5ac8eb954dd,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s2547.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,OK,44500205,1920,1080,25/1,25/1,1/90000,h264,3295,130.080000,0.000000,130.080000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,33e0e9a6a7e50e63f818cd7276c0e0f8c5a50b595c07db1f3914e380819fa908,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s5004.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s7461.mp4,OK,61337300,1920,1080,25/1,25/1,1/90000,h264,3280,130.160000,0.000000,130.160000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,78004228598e1c60e2bc2476e73aedeee8e5862a286b098c9855de3f0fa5fe71,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s7461.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s90.mp4,OK,47693826,1920,1080,25/1,25/1,1/90000,h264,3325,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,055a56366848cff58a5a71ab2e959f0ef49293dbd1ee6f20e067af96226fb648,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s90.mp4
/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s9918.mp4,OK,47922378,1920,1080,25/1,25/1,1/90000,h264,3265,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,a16ef45a8ef92a1d3775c9279f4b732058b984d38c255565776f70eafff942a6,OTHER,/workspace/data/footage_corpus,basketball__euroleague-FFTTnwrFzwQ_s9918.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s1843.mp4,OK,78901635,1920,1080,60/1,60/1,1/90000,h264,7981,130.067000,0.000000,130.067000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,967be14c98054a032cdd056b5734e53dc6432e9ebeeb941b75667254f53ab28c,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s1843.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s3596.mp4,OK,67496925,1920,1080,60/1,60/1,1/90000,h264,7861,130.017000,0.000000,130.017000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,8998cdc685822efeedfc8d1ec6dd2c2728c7164d87c71d792884e2de5a442467,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s3596.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s5349.mp4,OK,83025596,1920,1080,60/1,60/1,1/90000,h264,8041,130.067000,0.000000,130.067000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,470be509d11df67f64f435ca0429ff9003c875126a79e0140678e614b119e410,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s5349.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s7102.mp4,OK,81949872,1920,1080,60/1,60/1,1/90000,h264,7917,130.066000,0.000000,130.066000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,1e4334854240965876f593ae85633e72c02e9716abcb10bac03dc1b460fc05ec,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s7102.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s8855.mp4,OK,86535483,1920,1080,60/1,60/1,1/90000,h264,8097,130.016000,0.000000,130.016000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,0e02e6558bc88cdb80d71f873a41b8c2c7d4092b0e08ae3ab04b411e5644a467,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s8855.mp4
/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s90.mp4,OK,58850452,1920,1080,60/1,60/1,1/90000,h264,8101,130.017000,0.000000,130.017000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,d6e8224a6954799258306def6b6b595bf159af86317749a18580b854bedf2a46,OTHER,/workspace/data/footage_corpus,basketball__fiba-0wlE9W_0Qv0_s90.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s1875.mp4,OK,68989139,1920,1080,30/1,30/1,1/90000,h264,4088,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,be2d45f6c8f4dfe217629af1a93cc43d7b8379270466ba9e261b8c87ffc3b3c1,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s1875.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s3660.mp4,OK,66754031,1920,1080,30/1,30/1,1/90000,h264,4040,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,558da20882c98f673bd4772a8b239c29aa4b9f36961cd1a3e4c1cae0637623e4,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s3660.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s5445.mp4,OK,62145818,1920,1080,30/1,30/1,1/90000,h264,4084,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,d14b11def6a4bb691223bb1f7ed48661edb349391c9a97c0ed000a20065d79f1,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s5445.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s7230.mp4,OK,64191590,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,758ea8202406e3379c5f29d514f37e029cd2e60589719be2b7b5ae4ef2a8f6bc,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s7230.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s90.mp4,OK,63547094,1920,1080,30/1,30/1,1/90000,h264,4045,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,ddda2ecac9e848e5739237ced408d9c20a4e67a86233b13652987a865b379359,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s90.mp4
/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s9015.mp4,OK,58045636,1920,1080,30/1,30/1,1/90000,h264,4039,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,282acf085be946ca761888992a7eaefefdf8c57d56faeb7e16bd98347822a3e0,1080p30,/workspace/data/footage_corpus,basketball__fiba-52PuVDx8T0o_s9015.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s1656.mp4,OK,63737033,1920,1080,30/1,30/1,1/90000,h264,3931,130.100000,0.000000,130.100000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,86468a17cd61a3e04bc5262391bfdb0c092f6889095196d2aac5d0f06162f36e,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s1656.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s3222.mp4,OK,63574585,1920,1080,30/1,30/1,1/90000,h264,3961,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,a93960e63ca934ce6f3e5555d8e0944b182027f7512426d5dab8a2dac6bf2b39,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s3222.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s4788.mp4,OK,60139079,1920,1080,30/1,30/1,1/90000,h264,3991,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,6f677f4b97b4123be5df4e8e33a13617aa342c164f8cad8fed624f56f4a7cce8,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s4788.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s6354.mp4,OK,64871448,1920,1080,30/1,30/1,1/90000,h264,4021,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,8e0a641bf5d13b7dffb4a2f1e94afd95c4e3032d31ebcc91ff0e66625fd2ccc0,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s6354.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s7920.mp4,OK,59715924,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,9f60104e672ae532b3902fcf1ab699dd591752cb17c8522c4e97e0ec0f7f9453,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s7920.mp4
/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s90.mp4,OK,65547202,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,9bea23e7d318d145f74b4e0be0b639759c6ac13546466fd3450f50a8a162b739,1080p30,/workspace/data/footage_corpus,basketball__fiba-DVojj0U0dDQ_s90.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s2000.mp4,OK,71983259,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,1208de6bf2d28787e9829094f13ce1de331505bdf2e5dfd1565e17c8753b23ff,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s2000.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s3910.mp4,OK,69596011,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,98e2188e77c70b03dad9ff81628df9b489aa462ab7e6713ebd99bc1b3df6c875,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s3910.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s5820.mp4,OK,60930653,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,a5ab32320abbf4047d16179793b316d3777853443111913b508004edc29b97f7,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s5820.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s7730.mp4,OK,63561272,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,81dce7e0f40e1c7fe73da04f7cdba20b54619ef71bfc96b1faec04dcfa001df3,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s7730.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s90.mp4,OK,72103626,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,922bfed1bb3611df81b0645b3c298a7dce4af17ba4c92ffb410e52a47eb623fe,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s90.mp4
/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s9640.mp4,OK,64565477,1920,1080,30/1,30/1,1/90000,h264,4051,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,b893c5971d010a284a26395969890ed1bdce9f6c785753523043061ef29821eb,1080p30,/workspace/data/footage_corpus,basketball__fiba-HZw0bbHwHjY_s9640.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s1637.mp4,OK,94242321,1920,1080,50/1,50/1,1/90000,h264,6625,130.020000,0.000000,130.020000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,2a70620fc9159495e6f91ab4e8a09a21b2526e80e2f7bb2e93de5dd8a51925c2,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s1637.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s3184.mp4,OK,91724132,1920,1080,50/1,50/1,1/90000,h264,6521,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,c496354d45dfe601acf78a95ca6e20dc03efd6a8f6bfea7e5a5ef7f715ceaf8c,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s3184.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s4731.mp4,OK,96279755,1920,1080,50/1,50/1,1/90000,h264,6759,130.060000,0.000000,130.060000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,c83ea0808094abdb6343acfd6a372dae3b6ae9cb30b17aa984941a90cfdd55d3,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s4731.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s6278.mp4,OK,90575774,1920,1080,50/1,50/1,1/90000,h264,6525,130.020000,0.000000,130.020000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,f11380adff376bcd74d0c8b225975f51ce81a9feb39f5f2b1a9d683e4acc967c,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s6278.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s7825.mp4,OK,91780444,1920,1080,50/1,50/1,1/90000,h264,6595,130.020000,0.000000,130.020000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,7a72abf1d385a5bc33efe2c990641d4812e5b2e656b5978b9f9c79017b7f8093,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s7825.mp4
/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s90.mp4,OK,96616846,1920,1080,50/1,50/1,1/90000,h264,6689,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",50.0,50.0,50.0,d776c66e83cad4eb0f2e58df55b8fd49816ff7caf935f316ac31c17bfa21a056,OTHER,/workspace/data/footage_corpus,basketball__fiba-KjjghT10zjY_s90.mp4
/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s1707.mp4,OK,71547831,1920,1080,30/1,30/1,1/90000,h264,3961,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,8a3953964489424d13361ed16c1be9ec12ad86c3be9ecafdfa5ba5fdb6d9f0ce,1080p30,/workspace/data/footage_corpus,basketball__fiba-UWqS6-hl0W8_s1707.mp4
/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s3324.mp4,OK,59250538,1920,1080,30/1,30/1,1/90000,h264,4019,130.100000,0.000000,130.100000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,b25aad032cb5bb5b4f7adc289c2bc5ce0dd0dfe36e8413daf2083840229cf28c,1080p30,/workspace/data/footage_corpus,basketball__fiba-UWqS6-hl0W8_s3324.mp4
/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s4941.mp4,OK,59908343,1920,1080,30/1,30/1,1/90000,h264,3929,130.133000,0.000000,130.133000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,393a3f43b6a6365aed76469009820f52d49a5fe12fce2149185000bec0fc43ae,1080p30,/workspace/data/footage_corpus,basketball__fiba-UWqS6-hl0W8_s4941.mp4
/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s6558.mp4,OK,64742063,1920,1080,30/1,30/1,1/90000,h264,4019,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,68fd4a04901a371a74d8e7e6018894bcdf82ff638ad80cd9f549844988c08c5f,1080p30,/workspace/data/footage_corpus,basketball__fiba-UWqS6-hl0W8_s6558.mp4
/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s8175.mp4,OK,60691056,1920,1080,30/1,30/1,1/90000,h264,4049,130.100000,0.000000,130.100000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,bb24114ed1b0672ec2b01294526132503c6aa9fa864d93ea0e3150839983346c,1080p30,/workspace/data/footage_corpus,basketball__fiba-UWqS6-hl0W8_s8175.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s1436.mp4,OK,91466583,1920,1080,12108000/202147,60000/1001,1/90000,h264,8072,130.088000,0.000000,130.088000,"mov,mp4,m4a,3gp,3g2,mj2",59.89700564440729,59.94005994005994,59.89700564440729,acd3b020cbc5517a6f920e59a060a9dfbd6432de4c915d5fcabcb4c8e2cb58c6,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s1436.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s2782.mp4,OK,93406241,1920,1080,6525000/108937,60000/1001,1/90000,h264,7830,130.099000,0.000000,130.099000,"mov,mp4,m4a,3gp,3g2,mj2",59.897004690784584,59.94005994005994,59.897004690784584,98d3cb072420902444b29c81f085be995bd9ac46674c1afedc7c02f02f2f819b,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s2782.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s4128.mp4,OK,95775930,1920,1080,355095000/5928427,60000/1001,1/90000,h264,7891,130.043000,0.000000,130.043000,"mov,mp4,m4a,3gp,3g2,mj2",59.897001346225565,59.94005994005994,59.897001346225565,81eb8b496c2986966bcddf00423b06acf929048c32ee7c8e20d6bd402806a20f,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s4128.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s5474.mp4,OK,95163842,1920,1080,238560000/3982837,60000/1001,1/90000,h264,7952,130.021000,0.000000,130.021000,"mov,mp4,m4a,3gp,3g2,mj2",59.89700306590503,59.94005994005994,59.89700306590503,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s5474.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s6820.mp4,OK,28919840,1920,1080,721260000/12041671,60000/1001,1/90000,h264,8014,130.048000,0.000000,130.048000,"mov,mp4,m4a,3gp,3g2,mj2",59.89700266682257,59.94005994005994,59.89700266682257,0b60e8797a0bd740ac0feae4be37925322813207e653b3d6ae2f2902b09d7b5d,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s6820.mp4
/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s90.mp4,OK,79563491,1920,1080,720990000/12037163,60000/1001,1/90000,h264,8011,130.044000,0.000000,130.044000,"mov,mp4,m4a,3gp,3g2,mj2",59.89700397012153,59.94005994005994,59.89700397012153,9586b362d8bb5d6afe26eaf64935a39e6244063afc6c54f0e0d93844cc322df0,OTHER,/workspace/data/footage_corpus,nba__1rZZ_7buX_Y_s90.mp4
/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s1196.mp4,OK,45350999,1280,720,60/1,60/1,1/90000,h264,7817,130.050000,0.000000,130.050000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,720p60,/workspace/data/footage_corpus,nba__3gBeJyl7Szg_s1196.mp4
/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,OK,50300132,1280,720,60/1,60/1,1/90000,h264,7905,130.016000,0.000000,130.016000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,720p60,/workspace/data/footage_corpus,nba__3gBeJyl7Szg_s2302.mp4
/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s3408.mp4,OK,39498331,1280,720,60/1,60/1,1/90000,h264,7993,130.017000,0.000000,130.017000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,e7e73bb3cefc28d8fb5e4a4dd184e69f261460a90eee5128d7ef79c564147277,720p60,/workspace/data/footage_corpus,nba__3gBeJyl7Szg_s3408.mp4
/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s4514.mp4,OK,47733494,1280,720,60/1,60/1,1/90000,h264,8081,130.083000,0.000000,130.083000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,720p60,/workspace/data/footage_corpus,nba__3gBeJyl7Szg_s4514.mp4
/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4,OK,53285520,1280,720,60/1,60/1,1/90000,h264,8033,130.117000,0.000000,130.117000,"mov,mp4,m4a,3gp,3g2,mj2",60.0,60.0,60.0,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,720p60,/workspace/data/footage_corpus,nba__3gBeJyl7Szg_s90.mp4
/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s1456.mp4,OK,90710941,1920,1080,351810000/5869363,60000/1001,1/90000,h264,7818,130.018000,0.000000,130.018000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006504624096,59.94005994005994,59.94006504624096,812e46fea5a66df015d0476109a96eadc4d5301e61c0c71ad6563e0a80a4cda1,OTHER,/workspace/data/footage_corpus,nba__FnbFGnX4Qgo_s1456.mp4
