status,coordinate_columns,held_pairs,shared_pairs,held_share,no_shared_pairs,adjacent_evaluated_pairs,no_output_ticks,evaluated_ticks,section_id,draw_kind,draw_order,reason
OK,x_position/y_position,1074,1675,0.6411940298507462,1,499,0,500,bos_mia_playoffs,720p60,5,
OK,x_position/y_position,776,969,0.8008255933952528,91,499,21,500,cavs_broadcast_2025,720p60,6,
OK,x_position/y_position,1521,2480,0.6133064516129032,9,499,6,500,den_phx_2025,720p60,7,
OK,x_position/y_position,104,489,0.21267893660531698,174,499,134,500,gsw_lakers_2025,720p60,8,
OK,x_position/y_position,1425,1820,0.782967032967033,19,499,3,500,mem_nop_2025,720p60,9,
OK,x_position/y_position,1404,2252,0.6234458259325044,22,499,17,500,mil_chi_2025,720p60,10,
UNKNOWN,,,,,,,,,nba_highlights_gsw,720p60,11,ball_table_absent
UNKNOWN,,,,,,,,,phi_tor_2025,720p60,12,ball_table_absent
UNKNOWN,,,,,,,,,sac_por_2025,720p60,13,ball_table_absent
OK,x_position/y_position,1579,2045,0.7721271393643032,5,499,4,500,6rQ2sV4upfc_s90,720p60,14,
OK,x_position/y_position,1286,1386,0.9278499278499278,100,499,87,500,6rQ2sV4upfc_s2928,720p60,15,
OK,x_position/y_position,620,888,0.6981981981981982,34,499,16,500,6rQ2sV4upfc_s4347,720p60,16,
OK,x_position/y_position,1203,1301,0.92467332820907,23,499,0,500,7blRl4zVfrY_s90,720p60,17,
OK,x_position/y_position,1856,1927,0.9631551634665283,0,499,0,500,7blRl4zVfrY_s2356,720p60,18,
OK,x_position/y_position,1064,1251,0.8505195843325339,38,499,27,500,7blRl4zVfrY_s3489,720p60,19,
OK,x_position/y_position,1640,1929,0.8501814411612234,9,499,3,500,FyMWTVsJvv8_s90,720p60,20,
OK,x_position/y_position,1476,1601,0.9219237976264835,46,499,29,500,FyMWTVsJvv8_s1504,720p60,21,
OK,x_position/y_position,1145,2129,0.5378111789572569,32,499,30,500,FyMWTVsJvv8_s2918,720p60,22,
OK,x_position/y_position,1004,1237,0.8116410670978172,58,499,39,500,Ge4uewCFUFQ_s90,720p60,23,
OK,x_position/y_position,347,831,0.4175691937424789,10,499,0,500,Ge4uewCFUFQ_s1236,720p60,24,
OK,x_position/y_position,1867,2155,0.8663573085846867,21,499,20,500,Ge4uewCFUFQ_s2382,720p60,25,
OK,x_position/y_position,453,1252,0.36182108626198084,10,499,0,500,Ge4uewCFUFQ_s4674,720p60,26,
OK,x_position/y_position,1287,2042,0.6302644466209598,2,499,0,500,IpR4pT8iN0Y_s90,720p60,27,
OK,x_position/y_position,968,1524,0.6351706036745407,38,499,26,500,IpR4pT8iN0Y_s2432,720p60,28,
OK,x_position/y_position,2424,2596,0.9337442218798151,6,499,2,500,IpR4pT8iN0Y_s3603,720p60,29,
