frame,state,raw_rows,unique_players,emitting,section_id
885,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
888,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
891,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
894,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
897,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1080,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1083,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1086,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1089,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1092,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1095,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1098,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1101,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1104,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1107,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1110,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1113,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1116,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1119,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1122,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1125,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1128,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1131,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1134,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1137,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1140,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1143,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1146,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1149,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1152,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1155,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1158,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1161,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1164,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1167,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1170,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1173,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1176,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1179,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1182,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1185,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1188,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1191,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1194,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1197,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1200,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1203,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1206,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1209,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
