draw_kind,section_id,frame,slot,player_id,landed_position_source,derived_same_invocation_state,derived_branch,current_box_projection_minus_prior_position_px,branch_guard_px,stored_box_y1,stored_box_x1,stored_box_y2,stored_box_x2,pre_call_box_y2,archived_head_x,archived_foot_y,archived_foot_clipped,observed_x,observed_y,expected_x,expected_y,position_equals_current_box_projection,position_equals_prior_evaluated_tick,backprojected_image_x,backprojected_image_y,backprojected_minus_archived_foot_y,backprojection_inside_stored_box,frame_w,frame_h,map_w,map_h,classification
1080p30,3eeaJz1PJTM_s90,3382,6,7,,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,774.0,390.0,918.0,467.0,918.0,428,903,0,149,1017,149,1017,1,1,419.925,905.525,2.525,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s3537,2507,1,2,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,,750,289.219,892.873,769.935,1121.9,771.275,1006,754,0,3280,400,3261,407,0,0,658.038,688.715,-65.285,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,2,3,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,23.409,750,181.0,1168.0,684.0,1477.0,724.0,1322,669,0,3154,446,3154,446,1,0,948.731,645.597,-23.403,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s3537,2507,3,4,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,32.894,750,546.0,247.0,902.0,550.0,908.0,398,887,0,2427,708,2427,708,1,0,415.697,936.617,49.617,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s3537,2507,7,8,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,-12.0,1128.0,267.0,1352.0,297.0,1240,252,0,2982,507,2982,507,1,0,631.136,480.274,228.274,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s3537,2507,8,9,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,11.705,750,-57.377,441.321,314.541,603.301,334.396,522,299,0,2843,556,2837,558,0,0,432.423,430.486,131.486,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s3537,2537,0,1,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,10.198,750,-13.0,790.0,441.0,1044.0,441.0,917,426,0,121,169,119,159,0,1,916.754,440.021,14.021,1,1920,1020,3404,1711,STALE_BOX
1080p30,4JS090XPhmM_s3537,2537,1,2,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,2752.142,750,63.0,1044.0,788.0,1437.0,757.879,1240,773,0,528,372,528,372,1,0,1239.272,771.461,-1.539,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s3537,2537,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,3166.654,750,-222.441,712.655,264.424,998.71,305.679,855,249,0,494,208,14,36,0,0,1219.621,493.711,244.711,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,0,1,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,9.434,750,107.0,549.0,843.0,1155.0,843.0,852,828,0,3337,1399,3345,1394,0,1,846.294,841.251,13.251,1,1920,1020,3404,1711,STALE_BOX
1080p30,4JS090XPhmM_s4686,2790,5,6,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,,750,-1377.97,726.93,-706.136,1365.61,-474.659,1045,-721,0,3388,1304,4922,483,0,0,539.831,581.424,1302.424,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,7,8,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,12.530,750,71.4373,305.297,846.929,1094.34,846.997,699,831,0,3277,1414,3285,1409,0,0,690.941,840.387,9.387,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,9,10,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,26.683,750,341.726,145.215,859.526,598.215,857.0,371,844,0,2997,1491,3008,1483,0,0,370.055,857.905,13.905,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,1,2,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,29.732,750,-49.6056,-24.2878,956.188,502.161,980.191,243,941,1,2658,1623,2680,1611,0,0,237.442,954.317,13.317,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,2,3,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,6.708,750,117.0,850.0,846.0,1243.0,846.0,1046,831,0,3394,1382,3393,1383,0,0,1031.474,823.105,-7.895,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,4,5,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,9.434,750,303.0,501.0,847.0,828.0,847.0,664,832,0,3260,1419,3268,1414,0,1,660.152,843.673,11.673,1,1920,1020,3404,1711,STALE_BOX
1080p30,4JS090XPhmM_s4686,2820,5,6,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,0.000,750,-14.0,-15.0,1023.0,723.0,1023.0,354,1008,0,2881,1568,2880,1568,0,0,353.578,1005.553,-2.447,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,6,7,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,233.0,690.0,860.0,1318.0,838.044,1004,845,0,3378,1389,3378,1389,1,0,999.703,843.809,-1.191,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,4JS090XPhmM_s4686,2820,8,9,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,18.868,750,-18.0933,-16.8566,985.264,510.072,1023.0,247,970,1,2667,1630,2677,1622,0,0,245.288,982.082,12.082,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,127,0,1,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,43.932,750,225.0,1275.0,457.0,1377.0,457.0,1326,442,0,149,1020,178,987,0,1,1329.006,455.513,13.513,1,1920,1020,3404,1711,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,2,3,PREDICTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,22.804,750,211.0,647.0,421.0,737.0,421.0,692,406,0,903,264,917,246,0,1,696.866,415.639,9.639,1,1920,1020,3404,1711,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,3,4,DETECTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,55.444,750,365.0,820.0,607.0,988.0,607.0,904,592,0,331,902,366,859,0,1,904.994,606.511,14.511,1,1920,1020,3404,1711,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,4,5,PREDICTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,43.186,750,184.0,1527.0,399.0,1641.0,399.0,1584,384,0,18,1134,47,1102,0,1,1589.978,396.467,12.467,1,1920,1020,3404,1711,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,6,7,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,182.0,1548.0,397.0,1668.0,,1608,382,0,29,1118,29,1118,1,0,1626.825,373.815,-8.185,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,9sq-YMlIo9Q_s2346,127,7,8,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,102.0,756.0,336.0,868.0,,812,321,0,862,281,862,281,1,0,813.826,318.930,-2.070,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,9sq-YMlIo9Q_s2346,127,8,9,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,81.0,1015.0,293.0,1114.0,,1064,278,0,662,471,662,471,1,0,1066.663,275.679,-2.321,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,9sq-YMlIo9Q_s2346,394,0,1,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,973.432,750,647.703,533.046,823.181,674.046,821.088,603,808,0,522,387,522,379,0,0,602.407,822.165,14.165,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,1,2,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,388.0,1402.0,708.0,1633.0,,1517,693,0,1418,321,1418,321,1,0,1516.515,692.355,-0.645,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,9sq-YMlIo9Q_s2346,394,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,1028.117,750,463.0,712.0,792.0,841.0,,776,777,0,697,362,697,362,1,0,775.082,775.346,-1.654,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,9sq-YMlIo9Q_s2346,394,5,6,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,556.249,750,144.417,963.687,416.706,1100.17,409.0,1031,401,0,932,182,931,174,0,0,1030.566,415.979,14.979,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,6,7,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,1296.033,750,204.0,1101.0,549.0,1261.0,549.0,1181,534,0,1082,247,1080,239,0,0,1180.860,548.879,14.879,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,8,9,SUBPIXEL,RETAINED_PRIOR_POSITION,CLAMP_GUARD_REPRODUCED,1246.228,750,172.0,1303.0,403.0,1435.0,406.0,1369,388,0,240,912,1242,171,0,1,386.241,1625.116,1237.116,0,1920,1020,3404,1711,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,1,2,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,76.026,750,310.0,349.0,726.0,526.0,726.0,437,711,0,14,214,12,290,0,1,430.259,721.864,10.864,1,1920,1020,3404,1711,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,2,3,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,37.336,750,333.0,534.0,768.0,727.0,768.0,630,753,0,24,1223,19,1260,0,1,629.811,767.139,14.139,1,1920,1020,3404,1711,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,3,4,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,16.000,750,167.0,284.0,376.0,442.0,376.0,363,361,0,0,843,0,859,0,1,393.840,428.523,67.523,0,1920,1020,3404,1711,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,6,7,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,47.011,750,290.877,-17.5012,516.294,180.415,492.0,82,501,1,5,192,5,224,0,0,-16.499,457.414,-43.586,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,J8pMOFvFlsU_s3972,3649,5,6,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,226.0,391.0,730.0,631.0,,511,715,0,12,560,12,560,1,0,503.989,708.001,-6.999,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s2298,546,1,2,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,7.000,750,15.0,763.0,848.0,1554.0,847.0,1158,833,0,3316,598,3316,598,1,0,1158.040,832.514,-0.486,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s2298,546,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,,750,112.249,1167.07,554.906,1578.01,538.383,1372,539,0,2785,589,2729,589,0,0,1408.914,557.383,18.383,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s2298,546,3,4,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,34.015,750,-11.0,1363.0,549.0,1894.0,541.0,1628,534,0,2637,582,2637,582,1,0,1641.354,534.785,0.785,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s2298,546,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,105.304,750,-12.0,174.0,496.0,575.0,487.0,374,481,0,3021,677,3021,677,1,0,375.757,481.233,0.233,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s2298,594,1,2,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,50.090,750,-9.0,886.0,849.0,1720.0,849.0,1303,834,0,3277,595,3277,595,1,0,1364.592,853.654,19.654,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s2298,594,10,0,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,259.008,750,-12.0,1479.0,538.0,1869.0,483.0,1674,523,0,2581,580,2581,580,1,0,1696.474,524.154,1.154,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s90,784,1,2,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,158.449,750,468.0,441.0,753.0,591.0,753.0,516,738,0,957,1032,848,1147,0,1,516.450,751.723,13.723,1,1920,1020,3404,1711,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,3,4,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,45.277,750,691.0,441.0,997.0,589.0,997.0,515,982,0,1863,80,1832,113,0,1,515.982,993.839,11.839,1,1920,1020,3404,1711,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,4,5,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,62.290,750,697.0,426.0,997.0,551.0,997.0,488,982,0,1687,310,1645,356,0,1,488.612,995.043,13.043,1,1920,1020,3404,1711,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,5,6,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,0.000,750,695.0,421.0,999.0,529.0,999.0,475,984,0,1588,440,1539,495,0,0,475.816,996.575,12.575,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s90,784,6,7,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,100.449,750,195.271,601.012,394.493,691.938,397.0,646,379,0,888,738,765,845,0,0,646.248,393.272,14.272,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s90,784,7,8,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,696.0,412.0,994.0,523.0,,467,979,0,1441,618,1441,618,1,0,467.645,977.075,-1.925,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,UCVSlzgun0o_s90,850,1,2,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,1198.384,750,236.0,640.0,422.0,747.0,396.555,693,407,0,415,1219,1602,22,0,0,627.408,393.838,-13.162,0,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,Vm0FqeGo-8g_s1317,1056,1,2,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,3.606,750,498.0,1222.0,805.0,1366.0,800.0,1294,790,0,594,380,594,380,1,0,1293.799,789.733,-0.267,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,2,3,SUBPIXEL,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,19.698,750,459.0,444.0,670.0,637.0,654.0,540,655,0,205,304,205,304,1,0,538.604,653.447,-1.553,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,3,4,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,14.213,750,466.0,844.0,687.0,1027.0,670.0,935,672,0,408,314,408,314,1,0,933.110,671.547,-0.453,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,8.062,750,308.0,1413.0,558.0,1521.0,555.0,1467,543,0,703,243,703,243,1,0,1466.237,541.450,-1.550,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,7,8,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,48.042,750,155.0,980.0,368.0,1077.0,460.0,1028,353,0,480,144,480,144,1,0,1027.205,351.854,-1.146,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,8,9,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,13.892,750,178.0,1254.0,409.0,1353.0,395.0,1303,394,0,622,164,622,164,1,0,1301.197,393.093,-0.907,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,9,10,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,8.485,750,336.0,82.0,598.0,209.0,587.0,145,583,0,14,267,14,267,1,0,143.179,582.677,-0.323,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1056,10,0,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,6.403,750,192.0,1447.0,352.0,1576.0,358.0,1511,337,0,738,132,738,132,1,0,1510.669,335.139,-1.861,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,2,3,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,5.099,750,389.0,518.0,678.0,743.0,676.0,630,663,0,250,309,250,309,1,0,628.168,662.728,-0.272,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,3,4,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,21.095,750,479.0,801.0,717.0,996.0,720.0,898,702,0,387,330,387,330,1,0,897.480,701.112,-0.888,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,4,5,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,7.211,750,430.0,1140.0,687.0,1275.0,679.0,1207,672,0,554,314,554,314,1,0,1206.523,671.067,-0.933,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,7,8,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,5.831,750,93.0,915.0,344.0,1011.0,349.0,963,329,0,448,132,448,132,1,0,962.378,327.886,-1.114,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,8,9,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,8.062,750,210.0,1369.0,452.0,1482.0,438.0,1425,437,0,686,186,686,186,1,0,1424.528,435.612,-1.388,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Vm0FqeGo-8g_s1317,1080,10,0,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,1.414,750,185.0,1485.0,349.0,1623.0,348.0,1554,334,0,761,131,761,131,1,0,1552.864,333.812,-0.188,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,X5w3V6rh26s_s90,1247,2,3,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,31.145,750,260.0,635.0,521.0,807.0,525.0,721,506,0,363,275,363,275,1,0,719.407,505.542,-0.458,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,X5w3V6rh26s_s90,1247,4,5,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,1.000,750,101.0,396.0,330.0,504.0,331.0,450,315,0,224,159,224,159,1,0,448.963,314.594,-0.406,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,X5w3V6rh26s_s90,1247,6,7,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,36.056,750,44.6448,703.493,272.559,821.579,303.0,762,257,0,388,137,388,128,0,0,761.867,270.756,13.756,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,X5w3V6rh26s_s90,1247,8,9,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,173.954,750,279.0,1378.0,567.0,1522.0,782.0,1450,552,0,729,309,729,309,1,0,1448.243,550.636,-1.364,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,X5w3V6rh26s_s90,1247,9,10,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,13.416,750,161.535,295.551,329.625,407.358,334.524,351,314,0,172,166,172,157,0,0,349.898,328.513,14.513,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,X5w3V6rh26s_s90,1247,10,0,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,19.313,750,146.034,-23.0737,407.385,114.043,417.0,49,392,1,12,208,14,199,0,0,44.175,405.539,13.539,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,Y1cgaIWW8gk_s2784,1340,2,3,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,120.934,750,249.0,729.0,609.0,885.0,609.0,807,594,0,1374,1214,1485,1262,0,1,807.970,609.686,15.686,0,1920,1020,3404,1711,STALE_BOX
1080p30,Y1cgaIWW8gk_s2784,1340,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,344.0,1165.0,1025.0,1867.0,,1516,1010,0,1192,1347,1192,1347,1,0,1520.070,1012.010,2.010,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Y1cgaIWW8gk_s2784,1424,0,1,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,0.000,750,-12.0,1627.0,1018.0,1933.0,1018.0,1780,1003,0,1231,508,1239,503,0,0,1778.565,1016.925,13.925,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,Y1cgaIWW8gk_s2784,1424,1,2,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,750,117.0,917.0,1026.0,1460.0,1017.0,1188,1011,0,731,502,731,502,1,0,1186.501,1008.284,-2.716,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,Y1cgaIWW8gk_s2784,1424,2,3,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,1329.611,750,76.0,335.0,1025.0,903.0,883.0,619,1010,0,253,499,253,499,1,0,618.290,1008.467,-1.533,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
