stratum,n_ticks,n_games,digest
p3_m10_plus_cgt_300,013491,001087,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m10_plus_clt_60,001841,000829,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m4_9_c60_300,005019,000907,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m4_9_ceq_0,000850,000420,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m4_9_cgt_300,010098,001141,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m4_9_clt_60,001179,000591,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m0_3_c60_300,003317,000545,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m0_3_ceq_0,031090,000270,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m0_3_cgt_300,005420,000638,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m0_3_clt_60,002812,000460,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m10_plus_c60_300,008533,001041,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m10_plus_ceq_0,133026,000872,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m10_plus_cgt_300,016009,001145,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m10_plus_clt_60,001770,000914,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m4_9_c60_300,004672,000835,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m4_9_ceq_0,066831,000434,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m4_9_cgt_300,008713,000990,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p4_m4_9_clt_60,002393,000581,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m0_3_c60_300,000556,000081,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m0_3_ceq_0,005294,000040,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m0_3_clt_60,000418,000061,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m10_plus_c60_300,000003,000002,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m10_plus_ceq_0,000288,000003,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m10_plus_clt_60,000005,000003,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m4_9_c60_300,000238,000056,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m4_9_ceq_0,006179,000034,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p5_m4_9_clt_60,000171,000049,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m0_3_c60_300,000071,000009,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m0_3_ceq_0,000285,000002,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m0_3_clt_60,000021,000003,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m4_9_c60_300,000016,000007,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m4_9_ceq_0,001190,000007,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p6_m4_9_clt_60,000030,000007,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
