card_id,set,box_id,against
1080p30_06,comparator,1080p30_06_d07,blind
1080p30_06,comparator,1080p30_06_d08,blind
1080p30_06,comparator,1080p30_06_d09,blind
1080p30_06,comparator,1080p30_06_d10,blind
1080p30_06,blind,1080p30_06_m00,comparator
1080p30_06,blind,1080p30_06_m01,comparator
1080p30_06,blind,1080p30_06_m02,comparator
1080p30_06,blind,1080p30_06_m04,comparator
1080p30_06,blind,1080p30_06_m05,comparator
1080p30_06,blind,1080p30_06_m06,comparator
1080p30_06,blind,1080p30_06_m12,comparator
1080p30_07,producer,1080p30_07_r00,blind
1080p30_07,producer,1080p30_07_r01,blind
1080p30_07,producer,1080p30_07_r02,blind
1080p30_07,producer,1080p30_07_r03,blind
1080p30_07,producer,1080p30_07_r04,blind
1080p30_07,producer,1080p30_07_r05,blind
1080p30_07,blind,1080p30_07_m00,producer
1080p30_07,blind,1080p30_07_m01,producer
1080p30_07,blind,1080p30_07_m02,producer
1080p30_07,blind,1080p30_07_m03,producer
1080p30_07,blind,1080p30_07_m04,producer
1080p30_07,blind,1080p30_07_m05,producer
1080p30_07,blind,1080p30_07_m06,producer
1080p30_07,blind,1080p30_07_m07,producer
1080p30_07,blind,1080p30_07_m08,producer
1080p30_07,blind,1080p30_07_m09,producer
1080p30_07,blind,1080p30_07_m10,producer
1080p30_07,blind,1080p30_07_m11,producer
1080p30_07,blind,1080p30_07_m12,producer
1080p30_07,producer,1080p30_07_r00,comparator
1080p30_07,producer,1080p30_07_r01,comparator
1080p30_07,producer,1080p30_07_r02,comparator
1080p30_07,producer,1080p30_07_r03,comparator
1080p30_07,producer,1080p30_07_r04,comparator
1080p30_07,comparator,1080p30_07_d00,producer
1080p30_07,comparator,1080p30_07_d01,producer
1080p30_07,comparator,1080p30_07_d02,producer
1080p30_07,comparator,1080p30_07_d03,producer
1080p30_07,comparator,1080p30_07_d05,producer
1080p30_07,comparator,1080p30_07_d06,producer
1080p30_07,comparator,1080p30_07_d07,producer
1080p30_07,comparator,1080p30_07_d08,producer
1080p30_07,comparator,1080p30_07_d09,producer
1080p30_07,comparator,1080p30_07_d10,producer
1080p30_07,comparator,1080p30_07_d09,blind
1080p30_07,blind,1080p30_07_m05,comparator
1080p30_07,blind,1080p30_07_m11,comparator
1080p30_07,blind,1080p30_07_m12,comparator
1080p30_08,producer,1080p30_08_r00,blind
1080p30_08,blind,1080p30_08_m00,producer
1080p30_08,blind,1080p30_08_m01,producer
1080p30_08,blind,1080p30_08_m02,producer
1080p30_08,blind,1080p30_08_m03,producer
1080p30_08,blind,1080p30_08_m04,producer
1080p30_08,blind,1080p30_08_m05,producer
1080p30_08,blind,1080p30_08_m06,producer
1080p30_08,blind,1080p30_08_m07,producer
1080p30_08,blind,1080p30_08_m08,producer
1080p30_08,blind,1080p30_08_m09,producer
1080p30_08,blind,1080p30_08_m10,producer
1080p30_08,blind,1080p30_08_m11,producer
1080p30_08,comparator,1080p30_08_d00,producer
1080p30_08,comparator,1080p30_08_d01,producer
1080p30_08,comparator,1080p30_08_d02,producer
1080p30_08,comparator,1080p30_08_d04,producer
1080p30_08,comparator,1080p30_08_d05,producer
1080p30_08,comparator,1080p30_08_d06,producer
1080p30_08,comparator,1080p30_08_d07,producer
1080p30_08,comparator,1080p30_08_d08,producer
1080p30_08,comparator,1080p30_08_d09,producer
1080p30_08,comparator,1080p30_08_d10,producer
1080p30_08,comparator,1080p30_08_d11,producer
1080p30_08,comparator,1080p30_08_d12,producer
1080p30_08,comparator,1080p30_08_d13,producer
1080p30_08,comparator,1080p30_08_d14,producer
1080p30_08,comparator,1080p30_08_d09,blind
1080p30_08,comparator,1080p30_08_d10,blind
1080p30_08,comparator,1080p30_08_d11,blind
1080p30_08,comparator,1080p30_08_d13,blind
1080p30_08,comparator,1080p30_08_d14,blind
1080p30_08,blind,1080p30_08_m03,comparator
1080p30_08,blind,1080p30_08_m05,comparator
1080p30_09,blind,1080p30_09_m00,producer
1080p30_09,blind,1080p30_09_m01,producer
1080p30_09,blind,1080p30_09_m02,producer
1080p30_09,blind,1080p30_09_m03,producer
1080p30_09,blind,1080p30_09_m04,producer
1080p30_09,comparator,1080p30_09_d00,producer
1080p30_09,comparator,1080p30_09_d01,producer
1080p30_09,comparator,1080p30_09_d02,producer
1080p30_09,comparator,1080p30_09_d03,producer
1080p30_09,comparator,1080p30_09_d04,producer
1080p30_09,comparator,1080p30_09_d05,producer
1080p30_09,comparator,1080p30_09_d06,producer
1080p30_09,comparator,1080p30_09_d07,producer
1080p30_09,comparator,1080p30_09_d08,producer
1080p30_09,comparator,1080p30_09_d04,blind
1080p30_09,comparator,1080p30_09_d05,blind
1080p30_09,comparator,1080p30_09_d06,blind
1080p30_09,comparator,1080p30_09_d07,blind
1080p30_09,comparator,1080p30_09_d08,blind
1080p30_09,blind,1080p30_09_m01,comparator
1080p30_10,producer,1080p30_10_r01,blind
1080p30_10,blind,1080p30_10_m00,producer
1080p30_10,blind,1080p30_10_m01,producer
1080p30_10,blind,1080p30_10_m02,producer
1080p30_10,blind,1080p30_10_m03,producer
1080p30_10,blind,1080p30_10_m05,producer
1080p30_10,producer,1080p30_10_r01,comparator
1080p30_10,comparator,1080p30_10_d00,producer
1080p30_10,comparator,1080p30_10_d02,producer
1080p30_10,comparator,1080p30_10_d03,producer
1080p30_10,comparator,1080p30_10_d04,producer
1080p30_10,comparator,1080p30_10_d03,blind
1080p30_10,comparator,1080p30_10_d04,blind
1080p30_10,blind,1080p30_10_m01,comparator
1080p30_10,blind,1080p30_10_m02,comparator
1080p30_10,blind,1080p30_10_m05,comparator
1080p30_11,producer,1080p30_11_r00,blind
1080p30_11,producer,1080p30_11_r01,blind
1080p30_11,producer,1080p30_11_r03,blind
1080p30_11,producer,1080p30_11_r04,blind
1080p30_11,blind,1080p30_11_m00,producer
1080p30_11,blind,1080p30_11_m02,producer
1080p30_11,blind,1080p30_11_m03,producer
1080p30_11,blind,1080p30_11_m04,producer
1080p30_11,blind,1080p30_11_m05,producer
1080p30_11,blind,1080p30_11_m06,producer
1080p30_11,blind,1080p30_11_m07,producer
1080p30_11,producer,1080p30_11_r00,comparator
1080p30_11,producer,1080p30_11_r01,comparator
1080p30_11,producer,1080p30_11_r02,comparator
1080p30_11,producer,1080p30_11_r03,comparator
1080p30_11,producer,1080p30_11_r04,comparator
1080p30_11,comparator,1080p30_11_d00,producer
1080p30_11,comparator,1080p30_11_d01,producer
1080p30_11,comparator,1080p30_11_d02,producer
1080p30_11,comparator,1080p30_11_d03,producer
1080p30_11,comparator,1080p30_11_d04,producer
1080p30_11,comparator,1080p30_11_d05,producer
1080p30_11,comparator,1080p30_11_d06,producer
1080p30_11,comparator,1080p30_11_d07,producer
1080p30_11,comparator,1080p30_11_d08,producer
1080p30_11,comparator,1080p30_11_d09,producer
1080p30_11,comparator,1080p30_11_d10,producer
1080p30_11,comparator,1080p30_11_d02,blind
1080p30_11,comparator,1080p30_11_d05,blind
1080p30_11,comparator,1080p30_11_d07,blind
1080p30_11,comparator,1080p30_11_d10,blind
1080p30_11,blind,1080p30_11_m02,comparator
1080p30_12,producer,1080p30_12_r00,blind
1080p30_12,producer,1080p30_12_r01,blind
1080p30_12,producer,1080p30_12_r02,blind
1080p30_12,producer,1080p30_12_r03,blind
1080p30_12,producer,1080p30_12_r04,blind
1080p30_12,producer,1080p30_12_r05,blind
1080p30_12,blind,1080p30_12_m00,producer
1080p30_12,blind,1080p30_12_m01,producer
1080p30_12,blind,1080p30_12_m02,producer
1080p30_12,blind,1080p30_12_m03,producer
1080p30_12,blind,1080p30_12_m04,producer
1080p30_12,blind,1080p30_12_m05,producer
1080p30_12,blind,1080p30_12_m06,producer
1080p30_12,blind,1080p30_12_m07,producer
1080p30_12,blind,1080p30_12_m08,producer
1080p30_12,blind,1080p30_12_m09,producer
1080p30_12,blind,1080p30_12_m10,producer
1080p30_12,blind,1080p30_12_m11,producer
1080p30_12,blind,1080p30_12_m12,producer
1080p30_12,blind,1080p30_12_m13,producer
1080p30_12,producer,1080p30_12_r00,comparator
1080p30_12,producer,1080p30_12_r01,comparator
1080p30_12,producer,1080p30_12_r04,comparator
1080p30_12,producer,1080p30_12_r05,comparator
1080p30_12,comparator,1080p30_12_d00,producer
1080p30_12,comparator,1080p30_12_d02,producer
1080p30_12,comparator,1080p30_12_d03,producer
1080p30_12,comparator,1080p30_12_d04,producer
1080p30_12,comparator,1080p30_12_d05,producer
1080p30_12,comparator,1080p30_12_d06,producer
1080p30_12,comparator,1080p30_12_d08,producer
1080p30_12,comparator,1080p30_12_d09,producer
1080p30_12,comparator,1080p30_12_d10,producer
1080p30_12,comparator,1080p30_12_d11,producer
1080p30_12,comparator,1080p30_12_d12,producer
1080p30_12,comparator,1080p30_12_d01,blind
1080p30_12,comparator,1080p30_12_d02,blind
1080p30_12,comparator,1080p30_12_d09,blind
1080p30_12,comparator,1080p30_12_d11,blind
1080p30_12,comparator,1080p30_12_d12,blind
1080p30_12,blind,1080p30_12_m01,comparator
1080p30_12,blind,1080p30_12_m02,comparator
1080p30_12,blind,1080p30_12_m03,comparator
1080p30_12,blind,1080p30_12_m06,comparator
1080p30_12,blind,1080p30_12_m08,comparator
1080p30_12,blind,1080p30_12_m11,comparator
1080p30_13,producer,1080p30_13_r00,blind
1080p30_13,producer,1080p30_13_r01,blind
1080p30_13,producer,1080p30_13_r02,blind
1080p30_13,producer,1080p30_13_r03,blind
1080p30_13,blind,1080p30_13_m00,producer
1080p30_13,blind,1080p30_13_m01,producer
1080p30_13,blind,1080p30_13_m02,producer
1080p30_13,blind,1080p30_13_m03,producer
1080p30_13,blind,1080p30_13_m04,producer
1080p30_13,blind,1080p30_13_m05,producer
1080p30_13,blind,1080p30_13_m06,producer
1080p30_13,blind,1080p30_13_m07,producer
1080p30_13,blind,1080p30_13_m08,producer
1080p30_13,blind,1080p30_13_m09,producer
1080p30_13,blind,1080p30_13_m10,producer
1080p30_13,blind,1080p30_13_m11,producer
1080p30_13,blind,1080p30_13_m12,producer
1080p30_13,blind,1080p30_13_m13,producer
1080p30_13,producer,1080p30_13_r01,comparator
1080p30_13,producer,1080p30_13_r03,comparator
1080p30_13,comparator,1080p30_13_d00,producer
1080p30_13,comparator,1080p30_13_d01,producer
1080p30_13,comparator,1080p30_13_d02,producer
1080p30_13,comparator,1080p30_13_d03,producer
1080p30_13,comparator,1080p30_13_d04,producer
1080p30_13,comparator,1080p30_13_d06,producer
1080p30_13,comparator,1080p30_13_d08,producer
1080p30_13,comparator,1080p30_13_d09,producer
1080p30_13,comparator,1080p30_13_d10,producer
1080p30_13,comparator,1080p30_13_d11,producer
1080p30_13,comparator,1080p30_13_d12,producer
1080p30_13,comparator,1080p30_13_d04,blind
1080p30_13,comparator,1080p30_13_d08,blind
1080p30_13,comparator,1080p30_13_d10,blind
1080p30_13,comparator,1080p30_13_d11,blind
1080p30_13,comparator,1080p30_13_d12,blind
1080p30_13,blind,1080p30_13_m02,comparator
1080p30_13,blind,1080p30_13_m06,comparator
1080p30_13,blind,1080p30_13_m07,comparator
1080p30_13,blind,1080p30_13_m11,comparator
1080p30_13,blind,1080p30_13_m12,comparator
1080p30_13,blind,1080p30_13_m13,comparator
1080p30_14,producer,1080p30_14_r02,blind
1080p30_14,producer,1080p30_14_r03,blind
1080p30_14,blind,1080p30_14_m02,producer
1080p30_14,blind,1080p30_14_m03,producer
1080p30_14,blind,1080p30_14_m04,producer
1080p30_14,blind,1080p30_14_m05,producer
1080p30_14,blind,1080p30_14_m06,producer
1080p30_14,producer,1080p30_14_r02,comparator
1080p30_14,producer,1080p30_14_r03,comparator
1080p30_14,comparator,1080p30_14_d02,producer
1080p30_14,comparator,1080p30_14_d03,producer
1080p30_14,blind,1080p30_14_m03,comparator
1080p30_14,blind,1080p30_14_m04,comparator
1080p30_14,blind,1080p30_14_m06,comparator
1080p30_15,producer,1080p30_15_r00,blind
1080p30_15,producer,1080p30_15_r01,blind
1080p30_15,producer,1080p30_15_r02,blind
1080p30_15,producer,1080p30_15_r03,blind
1080p30_15,producer,1080p30_15_r04,blind
1080p30_15,blind,1080p30_15_m00,producer
1080p30_15,blind,1080p30_15_m01,producer
1080p30_15,blind,1080p30_15_m02,producer
1080p30_15,blind,1080p30_15_m03,producer
1080p30_15,blind,1080p30_15_m04,producer
1080p30_15,blind,1080p30_15_m05,producer
1080p30_15,producer,1080p30_15_r00,comparator
1080p30_15,producer,1080p30_15_r02,comparator
1080p30_15,producer,1080p30_15_r03,comparator
1080p30_15,producer,1080p30_15_r04,comparator
1080p30_15,comparator,1080p30_15_d01,producer
1080p30_15,comparator,1080p30_15_d02,producer
1080p30_15,comparator,1080p30_15_d03,producer
1080p30_15,blind,1080p30_15_m04,comparator
1080p30_15,blind,1080p30_15_m05,comparator
1080p30_16,blind,1080p30_16_m01,producer
1080p30_16,blind,1080p30_16_m02,producer
1080p30_16,blind,1080p30_16_m03,producer
1080p30_16,blind,1080p30_16_m04,producer
1080p30_16,blind,1080p30_16_m05,producer
1080p30_16,comparator,1080p30_16_d01,producer
1080p30_16,comparator,1080p30_16_d02,producer
1080p30_16,comparator,1080p30_16_d01,blind
1080p30_16,blind,1080p30_16_m02,comparator
1080p30_16,blind,1080p30_16_m03,comparator
1080p30_16,blind,1080p30_16_m04,comparator
1080p30_16,blind,1080p30_16_m05,comparator
1080p30_17,producer,1080p30_17_r00,blind
1080p30_17,producer,1080p30_17_r01,blind
1080p30_17,producer,1080p30_17_r02,blind
1080p30_17,producer,1080p30_17_r03,blind
1080p30_17,blind,1080p30_17_m00,producer
1080p30_17,blind,1080p30_17_m01,producer
1080p30_17,blind,1080p30_17_m02,producer
1080p30_17,blind,1080p30_17_m03,producer
1080p30_17,blind,1080p30_17_m04,producer
1080p30_17,blind,1080p30_17_m05,producer
1080p30_17,blind,1080p30_17_m06,producer
1080p30_17,blind,1080p30_17_m07,producer
1080p30_17,blind,1080p30_17_m08,producer
1080p30_17,blind,1080p30_17_m09,producer
1080p30_17,blind,1080p30_17_m10,producer
1080p30_17,blind,1080p30_17_m11,producer
1080p30_17,producer,1080p30_17_r03,comparator
1080p30_17,comparator,1080p30_17_d00,producer
1080p30_17,comparator,1080p30_17_d02,producer
1080p30_17,comparator,1080p30_17_d04,producer
1080p30_17,comparator,1080p30_17_d05,producer
1080p30_17,comparator,1080p30_17_d06,producer
1080p30_17,comparator,1080p30_17_d07,producer
1080p30_17,comparator,1080p30_17_d09,producer
1080p30_17,comparator,1080p30_17_d10,producer
1080p30_17,comparator,1080p30_17_d11,producer
1080p30_17,comparator,1080p30_17_d12,producer
1080p30_17,comparator,1080p30_17_d13,producer
1080p30_17,comparator,1080p30_17_d14,producer
1080p30_17,comparator,1080p30_17_d03,blind
1080p30_17,comparator,1080p30_17_d05,blind
1080p30_17,comparator,1080p30_17_d06,blind
1080p30_17,comparator,1080p30_17_d09,blind
1080p30_17,comparator,1080p30_17_d10,blind
1080p30_17,comparator,1080p30_17_d11,blind
1080p30_17,comparator,1080p30_17_d12,blind
1080p30_17,comparator,1080p30_17_d13,blind
1080p30_17,comparator,1080p30_17_d14,blind
1080p30_17,blind,1080p30_17_m05,comparator
1080p30_17,blind,1080p30_17_m06,comparator
1080p30_17,blind,1080p30_17_m07,comparator
1080p30_17,blind,1080p30_17_m08,comparator
1080p30_17,blind,1080p30_17_m09,comparator
1080p30_17,blind,1080p30_17_m10,comparator
1080p30_18,producer,1080p30_18_r00,blind
1080p30_18,producer,1080p30_18_r01,blind
1080p30_18,producer,1080p30_18_r02,blind
1080p30_18,producer,1080p30_18_r03,blind
1080p30_18,producer,1080p30_18_r04,blind
1080p30_18,producer,1080p30_18_r05,blind
1080p30_18,producer,1080p30_18_r06,blind
1080p30_18,blind,1080p30_18_m00,producer
1080p30_18,blind,1080p30_18_m01,producer
1080p30_18,blind,1080p30_18_m02,producer
1080p30_18,blind,1080p30_18_m03,producer
1080p30_18,blind,1080p30_18_m04,producer
1080p30_18,blind,1080p30_18_m05,producer
1080p30_18,blind,1080p30_18_m06,producer
1080p30_18,blind,1080p30_18_m07,producer
1080p30_18,blind,1080p30_18_m08,producer
1080p30_18,producer,1080p30_18_r00,comparator
1080p30_18,producer,1080p30_18_r01,comparator
1080p30_18,producer,1080p30_18_r03,comparator
1080p30_18,producer,1080p30_18_r06,comparator
1080p30_18,comparator,1080p30_18_d02,producer
1080p30_18,comparator,1080p30_18_d03,producer
1080p30_18,comparator,1080p30_18_d04,producer
1080p30_18,comparator,1080p30_18_d06,producer
1080p30_18,comparator,1080p30_18_d07,producer
1080p30_18,comparator,1080p30_18_d08,producer
