card_id,draw_kind,section_id,frame,actual_pts_s,native_width,native_height,producer_rows,candidate_rows,producer_silence,comparator_boxes,comparator_silence,blind_instances,blind_uncertain,blind_regions,blind_region_min_persons,producer_supported,producer_no_person,producer_unknown,producer_out_of_frame,producer_matched_comparator,comparator_matched_producer,comparator_matched_blind,blind_matched_producer
1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,66.8,1920,1080,5,0,0,4,0,6,2,1,20,5,0,0,0,1,1,4,0
1080p30_16,1080p30,yZ5u2sOpiNU_s3933,2031,67.7677,1920,1080,1,0,0,3,0,6,3,1,100,1,0,0,0,1,1,2,1
1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,70.203467,1920,1080,4,2,0,15,0,12,2,4,121,4,0,0,0,3,3,6,0
1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,76.709967,1920,1080,7,2,0,15,0,9,0,3,75,7,0,0,0,3,3,8,0
1080p30_19,1080p30,4JS090XPhmM_s2388,2373,79.1791,1920,1080,3,0,0,4,0,5,2,1,150,2,0,1,0,0,0,3,0
1080p30_20,1080p30,4JS090XPhmM_s3537,2447,81.648233,1920,1080,2,0,0,6,0,9,2,3,174,2,0,0,0,2,2,4,0
1080p30_21,1080p30,4JS090XPhmM_s3537,2708,90.356933,1920,1080,4,0,0,14,0,10,2,1,40,3,1,0,0,1,1,7,0
1080p30_22,1080p30,4JS090XPhmM_s4686,2781,92.7927,1920,1080,3,0,0,12,0,9,1,1,6,3,0,0,0,3,3,5,1
1080p30_23,1080p30,3eeaJz1PJTM_s1331,2948,98.266667,1920,1080,2,1,0,8,0,8,4,2,33,2,0,0,0,0,0,1,0
1080p30_24,1080p30,3eeaJz1PJTM_s2572,3023,100.766667,1920,1080,6,0,0,11,0,10,3,1,25,5,1,0,0,2,2,2,0
1080p30_25,1080p30,3eeaJz1PJTM_s3813,3098,103.266667,1920,1080,7,0,0,15,0,10,1,3,66,6,1,0,0,1,1,7,0
1080p30_26,1080p30,3eeaJz1PJTM_s90,3286,109.533333,1920,1080,3,0,0,11,0,10,8,5,219,3,0,0,0,0,0,7,0
1080p30_27,1080p30,J8pMOFvFlsU_s1384,3364,112.133333,1920,1080,5,0,0,17,0,8,2,1,35,5,0,0,0,2,2,3,2
1080p30_28,1080p30,J8pMOFvFlsU_s3972,3439,114.633333,1920,1080,3,0,0,7,0,9,0,4,72,2,1,0,0,0,0,2,0
1080p30_29,1080p30,J8pMOFvFlsU_s90,3783,126.1,1920,1080,2,1,0,14,0,9,0,1,60,2,0,0,0,1,1,5,0
720p60_00,720p60,acb-jHcR5UxPGuE_s1393,232,3.866667,1280,720,0,0,1,11,0,12,1,4,133,0,0,0,0,0,0,7,0
720p60_01,720p60,acb-jHcR5UxPGuE_s90,537,8.95,1280,720,2,0,0,12,0,13,1,3,170,2,0,0,0,0,0,10,0
720p60_02,720p60,3gBeJyl7Szg_s2302,751,12.516667,1280,720,2,1,0,6,0,10,5,1,8,2,0,0,0,1,1,4,1
720p60_03,720p60,3gBeJyl7Szg_s90,966,16.1,1280,720,2,1,0,13,0,11,1,2,70,2,0,0,0,0,0,8,0
720p60_04,720p60,Kh7Fj4ogPN4_s3606,1173,19.569556,1280,720,4,1,0,11,0,10,1,2,31,4,0,0,0,3,3,4,2
720p60_05,720p60,Kh7Fj4ogPN4_s3606,1755,29.279256,1280,720,3,1,0,11,0,12,1,3,155,3,0,0,0,0,0,8,0
720p60_06,720p60,Kh7Fj4ogPN4_s5950,1968,32.8328,1280,720,2,0,0,12,0,12,1,3,150,2,0,0,0,0,0,9,0
720p60_07,720p60,Ktu6yFS9iMo_s2532,2183,36.419711,1280,720,5,1,0,12,0,14,2,4,162,3,2,0,0,0,0,3,0
720p60_08,720p60,Ktu6yFS9iMo_s6195,2397,39.989944,1280,720,3,0,0,2,0,3,1,0,0,3,0,0,0,1,1,2,1
720p60_09,720p60,L7o4UCIIqS4_s2656,2611,43.560178,1280,720,3,0,0,2,0,3,1,0,0,2,1,0,0,0,0,2,0
720p60_10,720p60,L7o4UCIIqS4_s5222,2885,48.131411,1280,720,2,0,0,2,0,5,3,1,30,2,0,0,0,1,1,1,1
720p60_11,720p60,oL9Uaie2v2A_s5960,3175,52.969578,1280,720,6,0,0,16,0,12,2,3,130,6,0,0,0,4,4,6,0
720p60_12,720p60,6rQ2sV4upfc_s1509,3390,56.5565,1280,720,5,0,0,8,0,8,3,1,8,5,0,0,0,4,4,3,3
720p60_13,720p60,6rQ2sV4upfc_s90,3603,60.110044,1280,720,1,0,0,8,0,11,1,3,166,0,0,1,0,0,0,7,0
720p60_14,720p60,7blRl4zVfrY_s3489,3817,63.680278,1280,720,4,1,0,19,0,9,2,2,70,4,0,0,0,0,0,4,0
720p60_15,720p60,7blRl4zVfrY_s90,4032,67.2672,1280,720,0,0,1,10,0,13,1,1,60,0,0,0,0,0,0,7,0
720p60_16,720p60,FyMWTVsJvv8_s4332,4515,75.325244,1280,720,9,0,0,11,0,5,2,1,20,9,0,0,0,2,2,3,1
720p60_17,720p60,Ge4uewCFUFQ_s2382,4729,78.895489,1280,720,3,0,0,11,0,13,0,3,265,3,0,0,0,0,0,8,0
720p60_18,720p60,Ge4uewCFUFQ_s4674,4944,82.4824,1280,720,2,0,0,4,0,3,2,1,200,2,0,0,0,0,0,1,0
720p60_19,720p60,IpR4pT8iN0Y_s2432,5152,85.952533,1280,720,0,0,1,9,0,8,2,1,250,0,0,0,0,0,0,3,0
720p60_20,720p60,KZK9rv9TnGE_s1474,5365,89.506089,1280,720,6,4,0,10,0,12,1,4,176,6,0,0,0,0,0,6,0
720p60_21,720p60,KZK9rv9TnGE_s4242,5579,93.076322,1280,720,2,0,0,8,0,10,2,4,198,2,0,0,0,0,0,4,0
720p60_22,720p60,KZK9rv9TnGE_s90,5793,96.646544,1280,720,2,0,0,4,0,3,0,1,30,2,0,0,0,0,0,2,0
720p60_23,720p60,dAy3tnlu3EQ_s4326,6008,100.233467,1280,720,7,1,0,9,0,16,1,3,236,7,0,0,0,0,0,6,0
720p60_24,720p60,qTXrSRHHR2M_s2262,6313,105.321878,1280,720,5,2,0,12,0,12,2,3,285,5,0,0,0,0,0,9,0
720p60_25,720p60,s-0Y7aLxXgM_s1275,6338,105.738967,1280,720,2,0,0,13,0,17,2,3,130,1,0,0,1,0,0,10,0
720p60_26,720p60,s-0Y7aLxXgM_s4830,6547,109.225778,1280,720,5,2,0,10,0,12,0,4,100,5,0,0,0,0,0,4,0
720p60_27,720p60,xv0WyG7_99c_s1200,6761,112.796011,1280,720,0,0,1,13,0,12,1,3,227,0,0,0,0,0,0,6,0
720p60_28,720p60,xv0WyG7_99c_s4530,6975,116.366244,1280,720,4,1,0,11,0,11,2,3,246,4,0,0,0,0,0,7,0
720p60_29,720p60,xv0WyG7_99c_s4530,7557,126.075944,1280,720,4,0,0,7,0,5,1,1,150,4,0,0,0,3,3,1,1
