audit_id,sport,role,group_index,mean_abs_point_line_distance_px
wnba__wnba_06__s03__f007237,wnba,lane_right,224,19.446210786631
wnba__wnba_06__s07__f014099,wnba,near_baseline,632,16.319520265154
wnba__wnba_06__s07__f014099,wnba,near_free_throw,506,19.928250513264
wnba__wnba_06__s07__f014099,wnba,lane_left,336,6.997542906272
wnba__wnba_06__s07__f014099,wnba,lane_right,431,6.698947848387
wnba__wnba_06__s09__f018997,wnba,near_baseline,490,4.937725333768
wnba__wnba_06__s09__f018997,wnba,near_free_throw,556,8.091933508300
wnba__wnba_06__s09__f018997,wnba,lane_left,620,21.163982791443
wnba__wnba_06__s09__f018997,wnba,lane_right,386,10.422452237038
wnba__wnba_07__s08__f016801,wnba,near_baseline,82,2.060539308344
wnba__wnba_07__s08__f016801,wnba,near_free_throw,223,16.798792407028
wnba__wnba_07__s08__f016801,wnba,lane_left,460,15.732986152883
wnba__wnba_07__s08__f016801,wnba,lane_right,132,10.015046716963
