clip,frame_index,blind_order,contact_sheet,tile_index
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20160,8,sheet_04.jpg,5
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,21120,9,sheet_04.jpg,10
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,10,sheet_04.jpg,18
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,11,sheet_05.jpg,21
wnba__wnba_01,3072,1,sheet_00.jpg,16
wnba__wnba_01,6528,2,sheet_01.jpg,9
wnba__wnba_01,8448,3,sheet_01.jpg,19
wnba__wnba_01,8832,4,sheet_01.jpg,21
wnba__wnba_01,11712,5,sheet_02.jpg,11
wnba__wnba_01,11904,6,sheet_02.jpg,12
wnba__wnba_01,13632,7,sheet_02.jpg,21
wnba__wnba_01,16128,8,sheet_03.jpg,9
wnba__wnba_01,17664,9,sheet_03.jpg,17
wnba__wnba_01,23232,10,sheet_04.jpg,21
wnba__wnba_01,23424,11,sheet_04.jpg,22
wnba__wnba_01_1080p,360,1,sheet_00.jpg,3
wnba__wnba_01_1080p,2640,2,sheet_00.jpg,22
wnba__wnba_01_1080p,3360,3,sheet_01.jpg,3
wnba__wnba_01_1080p,4080,4,sheet_01.jpg,9
wnba__wnba_01_1080p,9600,5,sheet_03.jpg,5
wnba__wnba_01_1080p,10560,6,sheet_03.jpg,13
wnba__wnba_01_1080p,10920,7,sheet_03.jpg,16
wnba__wnba_01_1080p,11640,8,sheet_03.jpg,22
wnba__wnba_01_1080p,12720,9,sheet_04.jpg,6
wnba__wnba_01_1080p,15360,10,sheet_05.jpg,3
wnba__wnba_01_1080p,17280,11,sheet_05.jpg,19
wnba__wnba_02,1152,1,sheet_00.jpg,6
wnba__wnba_02,4416,2,sheet_00.jpg,23
wnba__wnba_02,6336,3,sheet_01.jpg,8
wnba__wnba_02,6912,4,sheet_01.jpg,11
wnba__wnba_02,10176,5,sheet_02.jpg,3
wnba__wnba_02,10752,6,sheet_02.jpg,6
wnba__wnba_02,11520,7,sheet_02.jpg,10
wnba__wnba_02,13824,8,sheet_02.jpg,22
wnba__wnba_02,18624,9,sheet_03.jpg,22
wnba__wnba_02,20736,10,sheet_04.jpg,8
wnba__wnba_02,23616,11,sheet_04.jpg,23
wnba__wnba_04,1920,1,sheet_00.jpg,10
wnba__wnba_04,3648,2,sheet_00.jpg,19
wnba__wnba_04,7680,3,sheet_01.jpg,15
wnba__wnba_04,8064,4,sheet_01.jpg,17
wnba__wnba_04,15168,5,sheet_03.jpg,4
wnba__wnba_04,15360,6,sheet_03.jpg,5
wnba__wnba_04,21696,7,sheet_04.jpg,13
wnba__wnba_04,22464,8,sheet_04.jpg,17
wnba__wnba_04,23424,9,sheet_04.jpg,22
wnba__wnba_04,23616,10,sheet_04.jpg,23
wnba__wnba_04,24768,11,sheet_05.jpg,4
wnba__wnba_05,2304,1,sheet_00.jpg,12
wnba__wnba_05,3648,2,sheet_00.jpg,19
wnba__wnba_05,6912,3,sheet_01.jpg,11
wnba__wnba_05,8640,4,sheet_01.jpg,20
wnba__wnba_05,9024,5,sheet_01.jpg,22
wnba__wnba_05,13056,6,sheet_02.jpg,18
wnba__wnba_05,16128,7,sheet_03.jpg,9
wnba__wnba_05,17280,8,sheet_03.jpg,15
wnba__wnba_05,18816,9,sheet_03.jpg,23
wnba__wnba_05,23424,10,sheet_04.jpg,22
wnba__wnba_05,28608,11,sheet_05.jpg,24
